"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"FOXP1","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.114","0.020","1.120","7.43e-09",NA,NA,NA,0.999988947
"GIGYF2","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.084","0.018","0.919","3.86e-06",NA,NA,NA,0.995086996
"PLCB4","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.058","0.015","1.059","1.68e-04",NA,NA,NA,0.844563072
"MAD1L1","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.076","0.021","0.927","3.33e-04",NA,NA,NA,0.758012406
"ARHGEF7","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.057","0.016","1.059","3.59e-04",NA,NA,NA,0.731319252
"ARHGAP32","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.070","0.020","0.933","4.12e-04",NA,NA,NA,0.75530604
"NADSYN1","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.052","0.015","0.949","4.74e-04",NA,NA,NA,0.686422977
"COL19A1","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.068","0.020","1.070","7.32e-04",NA,NA,NA,0.587139526
"PRDM16","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.075","0.023","0.928","1.10e-03",NA,NA,NA,0.534357624
"CTNNA2","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.061","0.019","0.941","1.49e-03",NA,NA,NA,0.505309634
"LRBA","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.054","0.017","1.056","1.64e-03",NA,NA,NA,0.397668169
"MYRFL","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.054","0.017","0.948","2.17e-03",NA,NA,NA,0.366681042
"PTPN14","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.055","0.018","1.056","2.21e-03",NA,NA,NA,0.381783925
"B3GAT1","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.046","0.015","1.047","2.76e-03",NA,NA,NA,0.365985198
"POLR3K","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.063","0.021","1.065","3.03e-03",NA,NA,NA,0.357398877
"CDK14","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.068","0.023","1.070","3.13e-03",NA,NA,NA,0.253773855
"EXT1","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.027","0.009","0.973","3.26e-03",NA,NA,NA,0.310424482
"HPR","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.055","0.019","1.057","3.75e-03",NA,NA,NA,0.278296527
"ABCC4","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.039","0.014","0.962","6.64e-03",NA,NA,NA,0.258008985
"SORCS3","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.048","0.018","0.953","6.79e-03",NA,NA,NA,0.182454575
"PJA2","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.028","0.011","1.029","7.75e-03",NA,NA,NA,0.140243116
"METTL4","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.044","0.017","1.045","8.15e-03",NA,NA,NA,0.152479693
"BRD3","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.064","0.024","1.066","8.88e-03",NA,NA,NA,0.179796699
"ARHGEF10","Brain Prefrontal cortex","ADHD","Inverse variance weighted",2," 0.029","0.011","1.029","9.63e-03",NA,0.623482343,NA,0.02520218
"DSCAM","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.047","0.018","1.048","1.02e-02",NA,NA,NA,0.112916567
"STX6","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.037","0.015","1.038","1.05e-02",NA,NA,NA,0.110457815
"MOCS1","Brain Prefrontal cortex","ADHD","Wald ratio",1,"-0.056","0.022","0.946","1.11e-02",NA,NA,NA,0.097614498
"ANO2","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.034","0.014","1.035","1.16e-02",NA,NA,NA,0.10449142
"AGAP1","Brain Prefrontal cortex","ADHD","Wald ratio",1," 0.048","0.019","1.049","1.17e-02",NA,NA,NA,0.104283726
