"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ARTN","Brain Amygdala","ADHD","Wald ratio",1,-0.119,0.021,0.888,9.42e-09,NA,NA,NA,0.976452811
"HYAL3","Brain Amygdala","ADHD","Wald ratio",1,0.09,0.019,1.094,2.46e-06,NA,NA,NA,0.996800687
"NAA80","Brain Amygdala","ADHD","Wald ratio",1,-0.134,0.028,0.875,2.46e-06,NA,NA,NA,0.991096517
"BLOC1S2","Brain Amygdala","ADHD","Wald ratio",1,0.13,0.03,1.139,1.82e-05,NA,NA,NA,0.989513543
"SUOX","Brain Amygdala","ADHD","Wald ratio",1,-0.102,0.024,0.903,2.78e-05,NA,NA,NA,0.943047329
"RPS26","Brain Amygdala","ADHD","Wald ratio",1,0.035,0.008,1.035,2.78e-05,NA,NA,NA,0.967761447
"GNAZ","Brain Amygdala","ADHD","Wald ratio",1,-0.156,0.038,0.856,3.78e-05,NA,NA,NA,0.961988198
"CD40","Brain Amygdala","ADHD","Wald ratio",1,0.106,0.027,1.111,8.59e-05,NA,NA,NA,0.61713795
"NBR2","Brain Amygdala","ADHD","Wald ratio",1,0.031,0.008,1.031,9.62e-05,NA,NA,NA,0.907774206
"GATD1-DT","Brain Amygdala","ADHD","Wald ratio",1,-0.076,0.019,0.927,0.000101,NA,NA,NA,0.901863991
"LSG1","Brain Amygdala","ADHD","Wald ratio",1,-0.055,0.015,0.946,0.000206,NA,NA,NA,0.856373511
"SNORC","Brain Amygdala","ADHD","Wald ratio",1,0.056,0.015,1.057,0.000305,NA,NA,NA,0.760306644
"RNF123","Brain Amygdala","ADHD","Wald ratio",1,-0.165,0.047,0.848,0.000474,NA,NA,NA,0.596620017
"TMEM161B-DT","Brain Amygdala","ADHD","Wald ratio",1,0.057,0.016,1.059,0.000507,NA,NA,NA,0.692791971
"KHDC1L","Brain Amygdala","ADHD","Wald ratio",1,0.061,0.018,1.063,0.000767,NA,NA,NA,0.199874697
"CTNNB1","Brain Amygdala","ADHD","Wald ratio",1,0.086,0.026,1.09,0.000893,NA,NA,NA,0.490664489
"ALDH16A1","Brain Amygdala","ADHD","Wald ratio",1,-0.065,0.02,0.937,0.00132,NA,NA,NA,0.481474712
"PAX8-AS1","Brain Amygdala","ADHD","Wald ratio",1,-0.031,0.01,0.97,0.00135,NA,NA,NA,0.45056942
"PAX8","Brain Amygdala","ADHD","Wald ratio",1,-0.034,0.011,0.966,0.00135,NA,NA,NA,0.450354407
"CCDC171","Brain Amygdala","ADHD","Wald ratio",1,0.059,0.019,1.061,0.0017,NA,NA,NA,0.385912292
"MCUR1","Brain Amygdala","ADHD","Wald ratio",1,0.063,0.02,1.065,0.00194,NA,NA,NA,0.377209951
"PTK2","Brain Amygdala","ADHD","Wald ratio",1,-0.095,0.031,0.909,0.00218,NA,NA,NA,0.334781552
"NPEPPS","Brain Amygdala","ADHD","Wald ratio",1,0.134,0.045,1.143,0.00302,NA,NA,NA,0.010078107
"PMS2P3","Brain Amygdala","ADHD","Wald ratio",1,0.072,0.024,1.074,0.00308,NA,NA,NA,0.024477889
"NSUN5P1","Brain Amygdala","ADHD","Wald ratio",1,-0.114,0.039,0.892,0.00308,NA,NA,NA,0.095316866
"PMS2P2","Brain Amygdala","ADHD","Wald ratio",1,-0.048,0.016,0.953,0.00308,NA,NA,NA,0.18216238
"SIGLEC14","Brain Amygdala","ADHD","Wald ratio",1,-0.053,0.018,0.948,0.00327,NA,NA,NA,0.382904985
"HP","Brain Amygdala","ADHD","Wald ratio",1,-0.053,0.018,0.948,0.00327,NA,NA,NA,0.011855122
"TXNL4B","Brain Amygdala","ADHD","Wald ratio",1,-0.059,0.02,0.943,0.00327,NA,NA,NA,0.181152998
"HPR","Brain Amygdala","ADHD","Wald ratio",1,-0.032,0.011,0.968,0.00327,NA,NA,NA,0.306337294
"SYNC","Brain Amygdala","ADHD","Wald ratio",1,0.074,0.025,1.077,0.00335,NA,NA,NA,0.068820257
"PISD","Brain Amygdala","ADHD","Wald ratio",1,0.084,0.029,1.087,0.00363,NA,NA,NA,0.156825811
"LINC00506","Brain Amygdala","ADHD","Wald ratio",1,0.059,0.02,1.061,0.00369,NA,NA,NA,0.035461599
"RHCE","Brain Amygdala","ADHD","Wald ratio",1,-0.043,0.015,0.958,0.00371,NA,NA,NA,0.252765001
"RHD","Brain Amygdala","ADHD","Wald ratio",1,0.03,0.011,1.031,0.00371,NA,NA,NA,0.253369836
"PGK1P2","Brain Amygdala","ADHD","Wald ratio",1,-0.046,0.016,0.955,0.00393,NA,NA,NA,0.240207081
"SUFU","Brain Amygdala","ADHD","Wald ratio",1,-0.13,0.045,0.878,0.00397,NA,NA,NA,0.020340673
"RBFADN","Brain Amygdala","ADHD","Wald ratio",1,0.055,0.019,1.057,0.00401,NA,NA,NA,0.331711722
"MRPL34","Brain Amygdala","ADHD","Wald ratio",1,-0.086,0.03,0.918,0.0042,NA,NA,NA,0.216467919
"PIP4K2A","Brain Amygdala","ADHD","Wald ratio",1,-0.124,0.044,0.883,0.00429,NA,NA,NA,0.149263072
"ARMH4","Brain Amygdala","ADHD","Wald ratio",1,0.111,0.039,1.118,0.00446,NA,NA,NA,0.050635275
"CDHR1","Brain Amygdala","ADHD","Wald ratio",1,-0.07,0.025,0.932,0.00451,NA,NA,NA,0.018566203
"SMIM8","Brain Amygdala","ADHD","Wald ratio",1,-0.08,0.028,0.923,0.00464,NA,NA,NA,0.04600084
"CCDC32","Brain Amygdala","ADHD","Wald ratio",1,0.032,0.011,1.032,0.00498,NA,NA,NA,0.193632468
"FAM86JP","Brain Amygdala","ADHD","Wald ratio",1,0.028,0.01,1.028,0.00499,NA,NA,NA,0.254061645
"DSTYK","Brain Amygdala","ADHD","Wald ratio",1,0.06,0.022,1.062,0.00529,NA,NA,NA,0.186384589
"LINC01954","Brain Amygdala","ADHD","Wald ratio",1,0.044,0.016,1.045,0.00538,NA,NA,NA,0.018297866
"KPNA2","Brain Amygdala","ADHD","Wald ratio",1,0.08,0.029,1.083,0.00542,NA,NA,NA,0.208989068
