"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"BDNF","Brain Cortex","ADHD","Wald ratio",1,-0.112,0.026,0.894,1.38e-05,NA,NA,NA,0.983784164
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.161,0.038,0.852,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,0.133,0.031,1.142,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.057,0.014,0.944,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.051,0.012,0.95,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,0.106,0.025,1.111,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.1,0.024,0.905,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.08,0.019,0.923,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.103,0.025,0.902,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.112,0.027,0.894,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.064,0.015,0.938,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,0.164,0.039,1.178,2.52e-05,NA,NA,NA,0.01008482
"OGFOD2","Brain Cortex","ADHD","Wald ratio",1,-0.13,0.031,0.878,2.52e-05,NA,NA,NA,0.01008482
"PRTFDC1","Brain Cortex","ADHD","Wald ratio",1,0.057,0.014,1.058,5.07e-05,NA,NA,NA,0.945418924
"IGF1R","Brain Cortex","ADHD","Wald ratio",1,-0.108,0.027,0.898,5.79e-05,NA,NA,NA,0.005742152
"IGF1R","Brain Cortex","ADHD","Wald ratio",1,-0.138,0.034,0.871,5.79e-05,NA,NA,NA,0.005742152
"SLC24A4","Brain Cortex","ADHD","Wald ratio",1,0.097,0.025,1.102,8.81e-05,NA,NA,NA,0.041751346
"SLC24A4","Brain Cortex","ADHD","Wald ratio",1,0.124,0.032,1.132,8.81e-05,NA,NA,NA,0.041751346
"SLC24A4","Brain Cortex","ADHD","Wald ratio",1,0.25,0.064,1.284,8.81e-05,NA,NA,NA,0.041751346
"SLC24A4","Brain Cortex","ADHD","Wald ratio",1,0.141,0.036,1.152,8.81e-05,NA,NA,NA,0.041751346
"SLC24A4","Brain Cortex","ADHD","Wald ratio",1,0.09,0.023,1.094,8.81e-05,NA,NA,NA,0.041751346
"MED27","Brain Cortex","ADHD","Wald ratio",1,-0.1,0.026,0.905,9.7e-05,NA,NA,NA,0.008931888
"TMEM132B","Brain Cortex","ADHD","Wald ratio",1,0.095,0.025,1.1,0.000141,NA,NA,NA,0.006309474
"RFLNA","Brain Cortex","ADHD","Wald ratio",1,-0.057,0.016,0.945,0.000275,NA,NA,NA,0.010135831
"ENSG00000257735","Brain Cortex","ADHD","Wald ratio",1,0.09,0.025,1.094,0.000316,NA,NA,NA,0.759864151
"ENSG00000257735","Brain Cortex","ADHD","Wald ratio",1,0.057,0.016,1.058,0.000316,NA,NA,NA,0.759864151
"ENSG00000257735","Brain Cortex","ADHD","Wald ratio",1,-0.073,0.02,0.93,0.000316,NA,NA,NA,0.759864151
"ENSG00000257735","Brain Cortex","ADHD","Wald ratio",1,-0.068,0.019,0.934,0.000316,NA,NA,NA,0.759864151
"NR2E3","Brain Cortex","ADHD","Wald ratio",1,-0.446,0.125,0.64,0.000354,NA,NA,NA,0.010680209
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,0.105,0.03,1.111,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,0.107,0.03,1.113,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,0.122,0.035,1.129,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,0.105,0.03,1.111,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,-0.081,0.023,0.922,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,-0.084,0.024,0.92,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,0.045,0.013,1.046,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,0.102,0.029,1.107,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,0.119,0.034,1.126,0.00044,NA,NA,NA,0.701180074
"DHCR7","Brain Cortex","ADHD","Wald ratio",1,0.053,0.015,1.055,0.00044,NA,NA,NA,0.701180074
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.066,0.019,1.068,0.000465,NA,NA,NA,0.674903588
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.058,0.017,1.06,0.000465,NA,NA,NA,0.674903588
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.069,0.02,1.071,0.000465,NA,NA,NA,0.674903588
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.059,0.017,1.061,0.000465,NA,NA,NA,0.674903588
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.082,0.023,1.086,0.000465,NA,NA,NA,0.674903588
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.069,0.02,1.072,0.000465,NA,NA,NA,0.674903588
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.077,0.022,1.08,0.000465,NA,NA,NA,0.674903588
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.077,0.022,1.08,0.000465,NA,NA,NA,0.674903588
"CACNB2","Brain Cortex","ADHD","Wald ratio",1,0.089,0.025,1.093,0.000465,NA,NA,NA,0.674903588
"SEMA6D","Brain Cortex","ADHD","Wald ratio",1,-0.058,0.017,0.944,0.000505,NA,NA,NA,0.700899246
"SLC12A5","Brain Cortex","ADHD","Wald ratio",1,0.072,0.021,1.075,0.000517,NA,NA,NA,0.68300931
"SECISBP2","Brain Cortex","ADHD","Wald ratio",1,0.214,0.062,1.238,0.000517,NA,NA,NA,0.025878349
"NXPH4","Brain Cortex","ADHD","Wald ratio",1,-0.069,0.02,0.933,0.000611,NA,NA,NA,0.626431494
"NXPH4","Brain Cortex","ADHD","Wald ratio",1,-0.092,0.027,0.912,0.000611,NA,NA,NA,0.626431494
"NXPH4","Brain Cortex","ADHD","Wald ratio",1,0.115,0.034,1.122,0.000611,NA,NA,NA,0.626431494
