"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"KLC3","Brain","ALZ","Wald ratio",1," 0.201","0.029","1.222","8.39e-12",NA,NA,NA,0.999999985
"MAPT","Brain","ALZ","Wald ratio",1," 0.128","0.025","1.136","3.96e-07",NA,NA,NA,0.999566808
"IQCK","Brain","ALZ","Wald ratio",1," 0.160","0.036","1.173","7.04e-06",NA,NA,NA,0.993558045
"OTUB1","Brain","ALZ","Wald ratio",1," 0.066","0.017","1.068","1.45e-04",NA,NA,NA,0.870166217
"GGA2","Brain","ALZ","Wald ratio",1,"-0.113","0.031","0.893","2.39e-04",NA,NA,NA,0.850462222
"CHRNE","Brain","ALZ","Wald ratio",1," 0.098","0.029","1.103","6.27e-04",NA,NA,NA,0.729103754
"ZFP69","Brain","ALZ","Wald ratio",1,"-0.096","0.028","0.909","7.62e-04",NA,NA,NA,0.648335008
"LINC02210-CRHR1","Brain","ALZ","Wald ratio",1," 0.182","0.057","1.200","1.50e-03",NA,NA,NA,0.663994769
"KNTC1","Brain","ALZ","Wald ratio",1," 0.057","0.018","1.059","1.95e-03",NA,NA,NA,0.402229602
"TIMM50","Brain","ALZ","Wald ratio",1,"-0.091","0.030","0.913","2.53e-03",NA,NA,NA,0.320660542
"TRMT61A","Brain","ALZ","Wald ratio",1," 0.127","0.042","1.136","2.78e-03",NA,NA,NA,0.333492178
"LINC00672","Brain","ALZ","Wald ratio",1,"-0.109","0.037","0.897","3.39e-03",NA,NA,NA,0.336152818
"CD2AP","Brain","ALZ","Wald ratio",1," 0.093","0.032","1.098","3.47e-03",NA,NA,NA,0.289946826
"ENSG00000253917","Brain","ALZ","Wald ratio",1,"-0.197","0.068","0.821","3.91e-03",NA,NA,NA,0.381408436
"ABLIM3","Brain","ALZ","Wald ratio",1," 0.098","0.036","1.103","5.88e-03",NA,NA,NA,0.194317138
"ELL","Brain","ALZ","Wald ratio",1,"-0.109","0.040","0.897","6.33e-03",NA,NA,NA,0.204722386
"ITGB3","Brain","ALZ","Wald ratio",1,"-0.045","0.016","0.956","6.39e-03",NA,NA,NA,0.168027282
"ENSG00000223646","Brain","ALZ","Wald ratio",1,"-0.093","0.034","0.912","6.56e-03",NA,NA,NA,0.179255068
"MNT","Brain","ALZ","Wald ratio",1," 0.070","0.026","1.073","6.59e-03",NA,NA,NA,0.173532354
"ZNF775","Brain","ALZ","Wald ratio",1,"-0.134","0.050","0.874","6.80e-03",NA,NA,NA,0.214197355
"ZNF584","Brain","ALZ","Wald ratio",1,"-0.091","0.035","0.913","8.43e-03",NA,NA,NA,0.162887344
"CLK3P2","Brain","ALZ","Wald ratio",1," 0.063","0.024","1.065","1.05e-02",NA,NA,NA,0.156502642
"GALNT6","Brain","ALZ","Wald ratio",1,"-0.060","0.024","0.942","1.18e-02",NA,NA,NA,0.118140286
"NOL4L","Brain","ALZ","Wald ratio",1," 0.096","0.038","1.101","1.23e-02",NA,NA,NA,0.105147138
"TAFA5","Brain","ALZ","Wald ratio",1," 0.092","0.037","1.096","1.23e-02",NA,NA,NA,0.143538148
"QPCT","Brain","ALZ","Wald ratio",1,"-0.071","0.028","0.932","1.24e-02",NA,NA,NA,0.101345896
"MDGA1","Brain","ALZ","Wald ratio",1,"-0.069","0.027","0.934","1.26e-02",NA,NA,NA,0.104672441
"ENSG00000239381","Brain","ALZ","Wald ratio",1," 0.107","0.044","1.113","1.37e-02",NA,NA,NA,0.117125146
"DGKI","Brain","ALZ","Wald ratio",1,"-0.091","0.037","0.913","1.40e-02",NA,NA,NA,0.097971723
"EFNB2","Brain","ALZ","Wald ratio",1,"-0.093","0.039","0.911","1.58e-02",NA,NA,NA,0.091975453
"TXNL4B","Brain","ALZ","Wald ratio",1,"-0.070","0.030","0.932","1.76e-02",NA,NA,NA,0.094087715
"ENSG00000249451","Brain","ALZ","Wald ratio",1,"-0.042","0.018","0.959","1.78e-02",NA,NA,NA,0.075990121
"HRNR","Brain","ALZ","Wald ratio",1,"-0.063","0.027","0.939","1.81e-02",NA,NA,NA,0.104759913
"DENND6B","Brain","ALZ","Wald ratio",1," 0.117","0.050","1.124","1.83e-02",NA,NA,NA,0.135530698
"ECE1","Brain","ALZ","Wald ratio",1,"-0.073","0.031","0.929","1.85e-02",NA,NA,NA,0.074446681
"CERT1","Brain","ALZ","Wald ratio",1,"-0.113","0.048","0.893","1.85e-02",NA,NA,NA,0.108420482
"SLC2A9","Brain","ALZ","Wald ratio",1,"-0.055","0.023","0.946","1.88e-02",NA,NA,NA,0.0727495
"FOXO6","Brain","ALZ","Wald ratio",1," 0.051","0.022","1.053","1.89e-02",NA,NA,NA,0.070945529
"CAMK1D","Brain","ALZ","Wald ratio",1," 0.077","0.033","1.080","1.96e-02",NA,NA,NA,0.0771559
"OAS1","Brain","ALZ","Wald ratio",1," 0.068","0.030","1.071","2.05e-02",NA,NA,NA,0.070258199
"CCDC13-AS1","Brain","ALZ","Wald ratio",1,"-0.055","0.024","0.946","2.13e-02",NA,NA,NA,0.065125315
"PRDM7","Brain","ALZ","Inverse variance weighted",2,"-0.074","0.032","0.929","2.14e-02",NA,0.940263628,NA,0.040135346
"TSPAN5","Brain","ALZ","Wald ratio",1,"-0.085","0.037","0.919","2.20e-02",NA,NA,NA,0.067978562
"PSD4","Brain","ALZ","Wald ratio",1,"-0.081","0.036","0.922","2.34e-02",NA,NA,NA,0.061467993
"PDE11A","Brain","ALZ","Wald ratio",1," 0.057","0.025","1.058","2.39e-02",NA,NA,NA,0.066412389
"CDC25B","Brain","ALZ","Wald ratio",1," 0.072","0.032","1.075","2.40e-02",NA,NA,NA,0.060191978
"MRPL15P1","Brain","ALZ","Wald ratio",1," 0.094","0.043","1.098","2.96e-02",NA,NA,NA,0.056763685
"ENSG00000254363","Brain","ALZ","Wald ratio",1," 0.083","0.038","1.086","3.12e-02",NA,NA,NA,0.052625813
"C2orf74","Brain","ALZ","Wald ratio",1," 0.054","0.025","1.056","3.22e-02",NA,NA,NA,0.046425515
"STX6","Brain","ALZ","Wald ratio",1," 0.040","0.019","1.041","3.24e-02",NA,NA,NA,0.046731594
"IPO9","Brain","ALZ","Wald ratio",1,"-0.078","0.037","0.925","3.63e-02",NA,NA,NA,0.04935763
"KAT2B","Brain","ALZ","Wald ratio",1," 0.054","0.026","1.056","3.75e-02",NA,NA,NA,0.04109121
"LAMC3","Brain","ALZ","Wald ratio",1,"-0.076","0.037","0.927","3.77e-02",NA,NA,NA,0.042393416
"STX1B","Brain","ALZ","Wald ratio",1," 0.095","0.046","1.099","3.81e-02",NA,NA,NA,0.054512412
"USP2-AS1","Brain","ALZ","Wald ratio",1,"-0.068","0.033","0.935","3.81e-02",NA,NA,NA,0.044340389
"PROM2","Brain","ALZ","Wald ratio",1,"-0.087","0.042","0.917","3.86e-02",NA,NA,NA,0.04692066
"DIS3L2","Brain","ALZ","Wald ratio",1,"-0.066","0.032","0.937","3.90e-02",NA,NA,NA,0.04354539
"OBI1","Brain","ALZ","Wald ratio",1," 0.048","0.023","1.049","3.93e-02",NA,NA,NA,0.045170027
"PGBD5","Brain","ALZ","Wald ratio",1,"-0.038","0.019","0.963","3.93e-02",NA,NA,NA,0.039478053
"TANC2","Brain","ALZ","Wald ratio",1,"-0.028","0.014","0.972","4.02e-02",NA,NA,NA,0.038035101
"ZNF500","Brain","ALZ","Wald ratio",1," 0.060","0.029","1.061","4.05e-02",NA,NA,NA,0.039695262
"CUEDC1","Brain","ALZ","Wald ratio",1," 0.089","0.044","1.093","4.08e-02",NA,NA,NA,0.049891826
"CD82","Brain","ALZ","Wald ratio",1,"-0.085","0.042","0.919","4.33e-02",NA,NA,NA,0.052547871
"FAM174B","Brain","ALZ","Wald ratio",1,"-0.037","0.018","0.964","4.36e-02",NA,NA,NA,0.041476764
"PLEKHH2","Brain","ALZ","Wald ratio",1," 0.042","0.021","1.043","4.44e-02",NA,NA,NA,0.036104919
"PCSK6","Brain","ALZ","Wald ratio",1," 0.128","0.064","1.137","4.55e-02",NA,NA,NA,0.067831272
"CRACD","Brain","ALZ","Wald ratio",1,"-0.076","0.038","0.927","4.65e-02",NA,NA,NA,0.037432862
"HBZ","Brain","ALZ","Wald ratio",1,"-0.069","0.035","0.933","4.76e-02",NA,NA,NA,0.036442435
"JMJD6","Brain","ALZ","Wald ratio",1," 0.072","0.036","1.074","4.77e-02",NA,NA,NA,0.033744466
"SNX19","Brain","ALZ","Wald ratio",1," 0.078","0.039","1.081","4.87e-02",NA,NA,NA,0.034447921
"LINC02268","Brain","ALZ","Wald ratio",1," 0.058","0.029","1.059","4.90e-02",NA,NA,NA,0.051865649
"LINC00115","Brain","ALZ","Wald ratio",1," 0.439","0.223","1.552","4.93e-02",NA,NA,NA,0.174370494
"ENSG00000289543","Brain","ALZ","Wald ratio",1,"-0.085","0.043","0.918","4.93e-02",NA,NA,NA,0.038514252
