"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ARMS2","Brain Cortex","ALZ","Wald ratio",1,0.141,0.032,1.151,7.59e-06,NA,NA,NA,0.993705758
"ARMS2","Brain Cortex","ALZ","Wald ratio",1,0.216,0.048,1.241,7.59e-06,NA,NA,NA,0.993705758
"ARMS2","Brain Cortex","ALZ","Wald ratio",1,-0.249,0.056,0.78,7.59e-06,NA,NA,NA,0.993705758
"ARMS2","Brain Cortex","ALZ","Wald ratio",1,0.22,0.049,1.246,7.59e-06,NA,NA,NA,0.993705758
"CELF1","Brain Cortex","ALZ","Wald ratio",1,-0.141,0.035,0.868,6.89e-05,NA,NA,NA,0.931578827
"CELF1","Brain Cortex","ALZ","Wald ratio",1,-0.103,0.026,0.902,6.89e-05,NA,NA,NA,0.931578827
"CELF1","Brain Cortex","ALZ","Wald ratio",1,-0.143,0.036,0.867,6.89e-05,NA,NA,NA,0.931578827
"CELF1","Brain Cortex","ALZ","Wald ratio",1,-0.091,0.023,0.913,6.89e-05,NA,NA,NA,0.931578827
"TPCN1","Brain Cortex","ALZ","Wald ratio",1,0.095,0.025,1.1,0.000144,NA,NA,NA,0.927858428
"TPCN1","Brain Cortex","ALZ","Wald ratio",1,-0.279,0.073,0.756,0.000144,NA,NA,NA,0.927858428
"GRIK4","Brain Cortex","ALZ","Wald ratio",1,0.046,0.012,1.047,0.000182,NA,NA,NA,0.028950688
"GRIK4","Brain Cortex","ALZ","Wald ratio",1,0.112,0.03,1.119,0.000182,NA,NA,NA,0.028950688
"TEAD1","Brain Cortex","ALZ","Wald ratio",1,0.097,0.026,1.102,0.000211,NA,NA,NA,0.005917658
"TEAD1","Brain Cortex","ALZ","Wald ratio",1,0.132,0.036,1.141,0.000211,NA,NA,NA,0.005917658
"OGFOD2","Brain Cortex","ALZ","Wald ratio",1,-0.092,0.025,0.912,0.000286,NA,NA,NA,0.005079425
"OGFOD2","Brain Cortex","ALZ","Wald ratio",1,-0.103,0.028,0.902,0.000286,NA,NA,NA,0.005079425
