"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"PVR","BannerBBDP","ALZ","Wald ratio",1,3.61,0.268,36.954,1.78e-41,NA,NA,NA,0.003499899
"CD2AP","BannerBBDP","ALZ","Inverse variance weighted",2,-3.273,0.524,0.038,4.06e-10,NA,NA,NA,8.04e-07
"PICAL","BannerBBDP","ALZ","Wald ratio",1,37.268,8.186,1.532125e+16,5.3e-06,NA,NA,NA,1.17e-05
"OMGP","BannerBBDP","ALZ","Wald ratio",1,0.982,0.232,2.669,2.4e-05,NA,NA,NA,0.975333897
"EVI2A","BannerBBDP","ALZ","Wald ratio",1,0.955,0.226,2.598,2.4e-05,NA,NA,NA,8.88e-07
"ACADV","BannerBBDP","ALZ","Inverse variance weighted",2,-1.379,0.33,0.252,2.95e-05,NA,NA,NA,0.320080846
"GBRAP","BannerBBDP","ALZ","Inverse variance weighted",3,6.075,1.507,434.73,5.57e-05,NA,NA,NA,0.000580462
"ERCC2","BannerBBDP","ALZ","Inverse variance weighted",2,-3.313,0.83,0.036,6.59e-05,NA,NA,NA,7.03e-07
"T106B","BannerBBDP","ALZ","Inverse variance weighted",2,0.347,0.087,1.415,6.87e-05,NA,NA,NA,0.995759562
"SHIP1","BannerBBDP","ALZ","Inverse variance weighted",3,-1.062,0.268,0.346,7.37e-05,NA,NA,NA,0.00012439
"OARD1","BannerBBDP","ALZ","Wald ratio",1,1.793,0.453,6.007,7.48e-05,NA,NA,NA,0.01425962
"A16L1","BannerBBDP","ALZ","Inverse variance weighted",2,-4.83,1.249,0.008,0.00011,NA,NA,NA,5.24e-06
"GRL1A","BannerBBDP","ALZ","Inverse variance weighted",5,1.218,0.32,3.379,0.000139,NA,NA,NA,1.11e-06
"COG7","BannerBBDP","ALZ","Inverse variance weighted",3,2.23,0.6,9.304,0.000202,NA,NA,NA,1.52e-07
"ACE","BannerBBDP","ALZ","Inverse variance weighted",2,0.548,0.15,1.73,0.000247,NA,NA,NA,0.793321957
"MTSS2","BannerBBDP","ALZ","Wald ratio",1,1.486,0.406,4.42,0.000256,NA,NA,NA,5.91e-06
"VAC14","BannerBBDP","ALZ","Wald ratio",1,256.339,70.104,2.122297e+111,0.000256,NA,NA,NA,9.15e-08
"VATA","BannerBBDP","ALZ","Wald ratio",1,-6.221,1.748,0.002,0.000372,NA,NA,NA,1.61e-05
"PPIB","BannerBBDP","ALZ","Wald ratio",1,-29.211,8.249,0,0.000399,NA,NA,NA,2.74e-06
"ANS1A","BannerBBDP","ALZ","Inverse variance weighted",2,-9.587,2.732,0,0.000449,NA,NA,NA,2.54e-07
"DMWD","BannerBBDP","ALZ","Wald ratio",1,4.669,1.33,106.55,0.000449,NA,NA,NA,3.11e-07
"BIN1","BannerBBDP","ALZ","Inverse variance weighted",5,-2.754,0.785,0.064,0.000451,NA,NA,NA,6.27e-06
"SYEM","BannerBBDP","ALZ","Wald ratio",1,-0.306,0.088,0.736,0.000538,NA,NA,NA,1.65e-06
"CLUS","BannerBBDP","ALZ","Inverse variance weighted",3,3.561,1.038,35.186,0.000603,NA,NA,NA,1.02e-07
"SPTN4","BannerBBDP","ALZ","Inverse variance weighted",3,-3.229,0.943,0.04,0.00062,NA,NA,NA,7.1e-08
"KPCB","BannerBBDP","ALZ","Inverse variance weighted",6,-1.24,0.363,0.29,0.000631,NA,NA,NA,1.34e-07
"MARK2","BannerBBDP","ALZ","Wald ratio",1,6.794,2.006,892.466,0.000709,NA,NA,NA,9.49e-05
"VP9D1","BannerBBDP","ALZ","Inverse variance weighted",2,-4.297,1.272,0.014,0.000732,NA,NA,NA,9e-06
"BICD2","BannerBBDP","ALZ","Wald ratio",1,6.352,1.891,573.802,0.000782,NA,NA,NA,0.000457337
"WDR12","BannerBBDP","ALZ","Wald ratio",1,-2.874,0.857,0.056,0.000804,NA,NA,NA,6.03e-07
"CLIP1","BannerBBDP","ALZ","Wald ratio",1,-5.65,1.687,0.004,0.000811,NA,NA,NA,2.2e-08
"CCZ1B","BannerBBDP","ALZ","Inverse variance weighted",7,-1.303,0.392,0.272,0.000894,NA,NA,NA,7.84e-05
"VP33A","BannerBBDP","ALZ","Inverse variance weighted",2,5.63,1.701,278.587,0.000934,NA,NA,NA,2.05e-08
"I5P1","BannerBBDP","ALZ","Inverse variance weighted",4,1.346,0.41,3.844,0.00102,NA,NA,NA,3.44e-07
"CD5L","BannerBBDP","ALZ","Inverse variance weighted",2,0.651,0.201,1.918,0.00118,NA,NA,NA,3.03e-07
"ACSF2","BannerBBDP","ALZ","Inverse variance weighted",2,1.274,0.395,3.574,0.00126,NA,NA,NA,5.74e-08
"BCAR1","BannerBBDP","ALZ","Wald ratio",1,-34.512,10.732,0,0.0013,NA,NA,NA,1.59e-06
"OSBL1","BannerBBDP","ALZ","Inverse variance weighted",3,-1.791,0.559,0.167,0.00136,NA,NA,NA,4.86e-08
"PLTP","BannerBBDP","ALZ","Inverse variance weighted",2,4.753,1.503,115.981,0.00156,NA,NA,NA,2.66e-07
"SNX1","BannerBBDP","ALZ","Inverse variance weighted",2,2.272,0.72,9.699,0.0016,NA,NA,NA,7.55e-06
"STAT2","BannerBBDP","ALZ","Inverse variance weighted",3,-1.797,0.571,0.166,0.00166,NA,NA,NA,2.52e-06
"KCRM","BannerBBDP","ALZ","Inverse variance weighted",2,0.377,0.121,1.458,0.00182,NA,NA,NA,6.86e-07
"C4BPA","BannerBBDP","ALZ","Inverse variance weighted",3,-1.119,0.359,0.327,0.00183,NA,NA,NA,1.21e-07
"ACOT8","BannerBBDP","ALZ","Inverse variance weighted",3,0.536,0.172,1.709,0.00188,NA,NA,NA,0.000283321
"PABP1","BannerBBDP","ALZ","Wald ratio",1,-487.417,157.616,0,0.00199,NA,NA,NA,1.92e-07
"RLA1","BannerBBDP","ALZ","Wald ratio",1,-1.057,0.343,0.347,0.00204,NA,NA,NA,2.51e-07
"TT39C","BannerBBDP","ALZ","Wald ratio",1,3.867,1.269,47.795,0.00231,NA,NA,NA,7.97e-08
"MUTA","BannerBBDP","ALZ","Wald ratio",1,0.405,0.133,1.5,0.00237,NA,NA,NA,0.000517717
"RASL1","BannerBBDP","ALZ","Inverse variance weighted",4,0.605,0.199,1.831,0.0024,NA,NA,NA,0.008984633
"WDR91","BannerBBDP","ALZ","Inverse variance weighted",2,-2.045,0.677,0.129,0.00252,NA,NA,NA,7.45e-07
"SPIR2","BannerBBDP","ALZ","Wald ratio",1,0.877,0.292,2.403,0.0027,NA,NA,NA,1.7e-07
"PHAX","BannerBBDP","ALZ","Inverse variance weighted",4,-0.8,0.267,0.449,0.00271,NA,NA,NA,3.96e-07
"RIMS3","BannerBBDP","ALZ","Inverse variance weighted",2,1.561,0.523,4.766,0.00283,NA,NA,NA,7.87e-06
"S20A2","BannerBBDP","ALZ","Wald ratio",1,0.622,0.209,1.862,0.00288,NA,NA,NA,0.000454619
"CHIN","BannerBBDP","ALZ","Inverse variance weighted",5,-1.281,0.43,0.278,0.00289,NA,NA,NA,1.25e-07
"TR150","BannerBBDP","ALZ","Wald ratio",1,-1.249,0.422,0.287,0.00307,NA,NA,NA,7.06e-08
"KCNC2","BannerBBDP","ALZ","Inverse variance weighted",3,-1.639,0.554,0.194,0.00308,NA,NA,NA,2.65e-07
"EFTS","BannerBBDP","ALZ","Wald ratio",1,0.385,0.13,1.47,0.00316,NA,NA,NA,0.285922368
"CDK4","BannerBBDP","ALZ","Wald ratio",1,-2.509,0.85,0.081,0.00316,NA,NA,NA,5.72e-06
"ARG28","BannerBBDP","ALZ","Inverse variance weighted",6,-0.541,0.185,0.582,0.00338,NA,NA,NA,2.42e-07
"NB5R1","BannerBBDP","ALZ","Inverse variance weighted",2,-1.595,0.546,0.203,0.0035,NA,NA,NA,8.75e-08
"RL28","BannerBBDP","ALZ","Inverse variance weighted",5,-2.357,0.809,0.095,0.00358,NA,NA,NA,3.28e-07
"MT3","BannerBBDP","ALZ","Inverse variance weighted",2,0.596,0.205,1.816,0.0037,NA,NA,NA,1.84e-07
"OTU1","BannerBBDP","ALZ","Inverse variance weighted",3,-0.858,0.296,0.424,0.00373,NA,NA,NA,3.91e-07
"PHAG1","BannerBBDP","ALZ","Inverse variance weighted",5,0.977,0.337,2.656,0.00373,NA,NA,NA,8.85e-06
"GP158","BannerBBDP","ALZ","Inverse variance weighted",3,3.031,1.057,20.708,0.00413,NA,NA,NA,8.96e-08
"PAK2","BannerBBDP","ALZ","Inverse variance weighted",4,-3.12,1.088,0.044,0.00413,NA,NA,NA,4.97e-07
"CATH","BannerBBDP","ALZ","Inverse variance weighted",5,-0.155,0.054,0.857,0.00422,NA,NA,NA,4.53e-07
"MAOM","BannerBBDP","ALZ","Inverse variance weighted",2,1.217,0.425,3.375,0.00422,NA,NA,NA,6.99e-08
"LMCD1","BannerBBDP","ALZ","Wald ratio",1,-0.994,0.349,0.37,0.00439,NA,NA,NA,1.14e-07
"CK054","BannerBBDP","ALZ","Inverse variance weighted",2,0.196,0.069,1.216,0.0044,NA,NA,NA,0.122480435
"MADD","BannerBBDP","ALZ","Inverse variance weighted",3,0.518,0.182,1.679,0.00448,NA,NA,NA,1.87e-07
"VPS45","BannerBBDP","ALZ","Wald ratio",1,25.423,8.991,109921700000,0.00469,NA,NA,NA,1.06e-05
"PKHO1","BannerBBDP","ALZ","Wald ratio",1,2.841,1.005,17.131,0.00469,NA,NA,NA,1.55e-05
"MYCT","BannerBBDP","ALZ","Inverse variance weighted",3,-1.62,0.574,0.198,0.00474,NA,NA,NA,1.66e-07
"MAP1S","BannerBBDP","ALZ","Inverse variance weighted",4,-0.662,0.234,0.516,0.00475,NA,NA,NA,1.08e-06
"CATH","BannerBBDP","ALZ","Weighted median",5,-0.161,0.057,0.851,0.00476,NA,NA,NA,4.53e-07
"KPCB","BannerBBDP","ALZ","Weighted median",6,-1.245,0.442,0.288,0.00482,NA,NA,NA,1.34e-07
