"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"LARS2","Brain","ANX","Wald ratio",1," 0.646","0.194","1.909","8.39e-04",NA,NA,NA,0.823342299
"PPM1F","Brain","ANX","Wald ratio",1,"-0.204","0.066","0.815","1.94e-03",NA,NA,NA,0.601212508
"SLC22A15","Brain","ANX","Wald ratio",1,"-0.314","0.103","0.731","2.40e-03",NA,NA,NA,0.577805331
"STAP2","Brain","ANX","Wald ratio",1,"-0.187","0.067","0.829","5.07e-03",NA,NA,NA,0.414292662
"GPSM1","Brain","ANX","Wald ratio",1,"-0.503","0.186","0.605","6.82e-03",NA,NA,NA,0.454974154
"ARHGEF10","Brain","ANX","Inverse variance weighted",2," 0.254","0.096","1.289","8.22e-03",NA,0.864392026,NA,0.077091754
"SLC28A1","Brain","ANX","Wald ratio",1,"-0.355","0.136","0.701","8.85e-03",NA,NA,NA,0.32902642
"CROCC","Brain","ANX","Wald ratio",1," 0.339","0.133","1.404","1.05e-02",NA,NA,NA,0.31064364
"CD82","Brain","ANX","Wald ratio",1," 0.329","0.130","1.389","1.11e-02",NA,NA,NA,0.321672811
"PACRG","Brain","ANX","Inverse variance weighted",2," 0.103","0.041","1.109","1.17e-02",NA,0.497915229,NA,0.278703264
"ST8SIA5-DT","Brain","ANX","Wald ratio",1," 0.227","0.090","1.254","1.21e-02",NA,NA,NA,0.242118514
"ENSG00000233569","Brain","ANX","Wald ratio",1,"-0.159","0.064","0.853","1.28e-02",NA,NA,NA,0.266725389
"TOGARAM2","Brain","ANX","Wald ratio",1," 0.098","0.041","1.103","1.64e-02",NA,NA,NA,0.217860572
"ENSG00000241449","Brain","ANX","Wald ratio",1,"-0.406","0.170","0.666","1.66e-02",NA,NA,NA,0.281626669
"LINC02406","Brain","ANX","Wald ratio",1," 0.106","0.044","1.112","1.72e-02",NA,NA,NA,0.194884304
"FAM171B","Brain","ANX","Wald ratio",1," 0.212","0.089","1.236","1.76e-02",NA,NA,NA,0.17560347
"ENSG00000241525","Brain","ANX","Wald ratio",1," 0.146","0.062","1.157","1.78e-02",NA,NA,NA,0.21374291
"ANKS1A","Brain","ANX","Wald ratio",1," 0.102","0.044","1.108","2.03e-02",NA,NA,NA,0.159111152
"MED12L","Brain","ANX","Wald ratio",1,"-0.239","0.105","0.788","2.29e-02",NA,NA,NA,0.150638018
"RALGPS1","Brain","ANX","Wald ratio",1,"-0.121","0.054","0.886","2.50e-02",NA,NA,NA,0.143829063
