"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CCDC174","Brain Amygdala","ANX","Wald ratio",1,-0.127,0.038,0.88,0.000899,NA,NA,NA,0.755937277
"METTL22","Brain Amygdala","ANX","Wald ratio",1,0.186,0.06,1.204,0.00215,NA,NA,NA,0.121339704
"ZNF407-AS1","Brain Amygdala","ANX","Wald ratio",1,-0.141,0.047,0.869,0.0027,NA,NA,NA,0.579278464
"CBLL1-AS1","Brain Amygdala","ANX","Wald ratio",1,-0.179,0.061,0.836,0.0031,NA,NA,NA,0.384071309
"C20orf203","Brain Amygdala","ANX","Wald ratio",1,-0.169,0.058,0.845,0.00379,NA,NA,NA,0.389900439
"PPM1F-AS1","Brain Amygdala","ANX","Wald ratio",1,0.084,0.03,1.088,0.00545,NA,NA,NA,0.383049856
"OPN4","Brain Amygdala","ANX","Wald ratio",1,-0.111,0.041,0.895,0.00605,NA,NA,NA,0.402687258
"WDR97","Brain Amygdala","ANX","Wald ratio",1,0.246,0.09,1.278,0.00631,NA,NA,NA,0.480559133
"SLC44A3","Brain Amygdala","ANX","Wald ratio",1,0.238,0.087,1.268,0.00635,NA,NA,NA,0.436443856
"C2CD2","Brain Amygdala","ANX","Wald ratio",1,0.209,0.077,1.232,0.00644,NA,NA,NA,0.288606448
"NDST1-AS1","Brain Amygdala","ANX","Wald ratio",1,-0.109,0.04,0.896,0.00672,NA,NA,NA,0.460772908
"CLEC4GP1","Brain Amygdala","ANX","Wald ratio",1,0.119,0.044,1.126,0.00732,NA,NA,NA,0.372420813
"PRKXP1","Brain Amygdala","ANX","Wald ratio",1,-0.118,0.045,0.888,0.00865,NA,NA,NA,0.328300238
"LEPROT","Brain Amygdala","ANX","Wald ratio",1,-0.19,0.074,0.827,0.00979,NA,NA,NA,0.257949048
"RPL13P5","Brain Amygdala","ANX","Wald ratio",1,0.159,0.062,1.172,0.0103,NA,NA,NA,0.045377864
"SPSB2","Brain Amygdala","ANX","Wald ratio",1,0.098,0.038,1.104,0.0103,NA,NA,NA,0.284402318
"DSTNP2","Brain Amygdala","ANX","Wald ratio",1,0.153,0.06,1.165,0.0103,NA,NA,NA,0.249948729
"PPT1","Brain Amygdala","ANX","Wald ratio",1,0.249,0.099,1.283,0.0116,NA,NA,NA,0.176476986
"GFOD2","Brain Amygdala","ANX","Wald ratio",1,0.326,0.131,1.385,0.0129,NA,NA,NA,0.141996712
"HLTF","Brain Amygdala","ANX","Wald ratio",1,-0.206,0.083,0.814,0.0133,NA,NA,NA,0.087639465
"TOGARAM2","Brain Amygdala","ANX","Wald ratio",1,-0.107,0.043,0.898,0.0133,NA,NA,NA,0.221851563
