"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"RP11-259G18.2","Meta 10 Brain Regions","ASD","Wald ratio",1,0.069,0.015,1.071,8.23e-06,NA,NA,NA,0.993996346
"LRRC37A2","Meta 10 Brain Regions","ASD","Wald ratio",1,0.061,0.014,1.063,8.23e-06,NA,NA,NA,0.993996346
"MAPT","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.117,0.026,0.889,8.23e-06,NA,NA,NA,0.993901013
"RP11-707O23.5","Meta 10 Brain Regions","ASD","Wald ratio",1,0.068,0.015,1.07,8.23e-06,NA,NA,NA,0.993996346
"DND1P1","Meta 10 Brain Regions","ASD","Wald ratio",1,0.122,0.027,1.13,8.23e-06,NA,NA,NA,0.992956029
"LRRC37A4P","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.061,0.014,0.941,8.23e-06,NA,NA,NA,0.993996346
"RP11-259G18.1","Meta 10 Brain Regions","ASD","Wald ratio",1,0.094,0.021,1.099,8.23e-06,NA,NA,NA,0.993996163
"CRHR1-IT1","Meta 10 Brain Regions","ASD","Wald ratio",1,0.086,0.019,1.09,8.23e-06,NA,NA,NA,0.993989502
"LRRC37A","Meta 10 Brain Regions","ASD","Wald ratio",1,0.077,0.017,1.08,8.23e-06,NA,NA,NA,0.993986805
"KANSL1-AS1","Meta 10 Brain Regions","ASD","Wald ratio",1,0.066,0.015,1.069,8.23e-06,NA,NA,NA,0.993996346
"PLEKHM1","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.186,0.042,0.83,8.23e-06,NA,NA,NA,0.993763025
"RP11-798G7.5","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.114,0.026,0.892,8.23e-06,NA,NA,NA,0.993406962
"RP11-259G18.3","Meta 10 Brain Regions","ASD","Wald ratio",1,0.061,0.014,1.063,8.23e-06,NA,NA,NA,0.993996346
"MUL1","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.08,0.024,0.923,0.000825,NA,NA,NA,0.728052158
"RP1-293L6.1","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.075,0.023,0.928,0.00121,NA,NA,NA,0.57436599
"SNX16","Meta 10 Brain Regions","ASD","Wald ratio",1,0.067,0.021,1.07,0.00129,NA,NA,NA,0.57183768
"RP4-673D20.6","Meta 10 Brain Regions","ASD","Wald ratio",1,0.113,0.037,1.12,0.00191,NA,NA,NA,0.445807747
"BLOC1S2","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.057,0.019,0.945,0.00236,NA,NA,NA,0.591366368
"JHDM1D","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.075,0.025,0.927,0.00237,NA,NA,NA,0.541872375
"PMS2P5","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.052,0.017,0.949,0.0025,NA,NA,NA,0.439002351
"STAG3L2","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.061,0.02,0.941,0.0025,NA,NA,NA,0.311980918
"ZCCHC11","Meta 10 Brain Regions","ASD","Wald ratio",1,0.089,0.03,1.093,0.00262,NA,NA,NA,0.56071249
"FAM160A1","Meta 10 Brain Regions","ASD","Wald ratio",1,0.114,0.038,1.12,0.00263,NA,NA,NA,0.373094582
"SH3D19","Meta 10 Brain Regions","ASD","Wald ratio",1,0.147,0.049,1.158,0.00263,NA,NA,NA,0.380772379
"RP11-164P12.4","Meta 10 Brain Regions","ASD","Wald ratio",1,0.155,0.051,1.167,0.00263,NA,NA,NA,0.384393784
"RBBP8NL","Meta 10 Brain Regions","ASD","Wald ratio",1,0.059,0.02,1.06,0.00276,NA,NA,NA,0.391427791
"NPC1","Meta 10 Brain Regions","ASD","Wald ratio",1,0.094,0.032,1.099,0.00322,NA,NA,NA,0.346805047
"C18orf8","Meta 10 Brain Regions","ASD","Wald ratio",1,0.089,0.03,1.093,0.00322,NA,NA,NA,0.344286374
"RP11-87G24.3","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.062,0.021,0.94,0.00333,NA,NA,NA,0.380394649
"CTD-2006C1.2","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.093,0.032,0.911,0.00396,NA,NA,NA,0.403189042
"KNSTRN","Meta 10 Brain Regions","ASD","Wald ratio",1,-0.036,0.013,0.964,0.004,NA,NA,NA,0.38188498
"IVD","Meta 10 Brain Regions","ASD","Wald ratio",1,0.09,0.031,1.094,0.004,NA,NA,NA,0.174354452
