"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ITIH4","Brain Amygdala","BP","Wald ratio",1,0.155,0.025,1.168,6.96e-10,NA,NA,NA,0.992087276
"ASB16-AS1","Brain Amygdala","BP","Wald ratio",1,0.122,0.02,1.129,1.47e-09,NA,NA,NA,0.999868133
"PLEC","Brain Amygdala","BP","Wald ratio",1,0.142,0.028,1.153,5.14e-07,NA,NA,NA,0.997390085
"BLOC1S2","Brain Amygdala","BP","Wald ratio",1,0.136,0.029,1.145,2.32e-06,NA,NA,NA,0.998342912
"NME2","Brain Amygdala","BP","Wald ratio",1,-0.114,0.026,0.892,1.42e-05,NA,NA,NA,0.982591352
"CCDC25","Brain Amygdala","BP","Wald ratio",1,0.14,0.032,1.15,1.47e-05,NA,NA,NA,0.955638393
"THAP5","Brain Amygdala","BP","Wald ratio",1,0.079,0.019,1.082,2.24e-05,NA,NA,NA,0.97498386
"PPM1F-AS1","Brain Amygdala","BP","Wald ratio",1,-0.04,0.01,0.96,6.05e-05,NA,NA,NA,0.935553398
"CDHR1","Brain Amygdala","BP","Wald ratio",1,0.098,0.025,1.103,7.82e-05,NA,NA,NA,0.445346287
"VWA5B2","Brain Amygdala","BP","Wald ratio",1,0.058,0.015,1.059,9.98e-05,NA,NA,NA,0.912403493
"BAG6","Brain Amygdala","BP","Wald ratio",1,-0.086,0.022,0.918,0.000108,NA,NA,NA,0.647849874
"CATSPERZ","Brain Amygdala","BP","Wald ratio",1,0.077,0.02,1.08,0.000156,NA,NA,NA,0.887552768
"SCAND2P","Brain Amygdala","BP","Wald ratio",1,-0.075,0.02,0.928,0.000166,NA,NA,NA,0.86675661
"THRB-IT1","Brain Amygdala","BP","Wald ratio",1,-0.089,0.024,0.915,0.000166,NA,NA,NA,0.776253323
"C15orf40","Brain Amygdala","BP","Wald ratio",1,-0.049,0.013,0.952,0.000201,NA,NA,NA,0.829746061
"LARS1","Brain Amygdala","BP","Wald ratio",1,-0.077,0.021,0.926,0.000293,NA,NA,NA,0.733862618
"CIB2","Brain Amygdala","BP","Wald ratio",1,-0.079,0.022,0.924,0.000318,NA,NA,NA,0.49216032
"ZNF93","Brain Amygdala","BP","Wald ratio",1,0.037,0.01,1.038,0.000319,NA,NA,NA,0.778080994
"ZNF506","Brain Amygdala","BP","Wald ratio",1,0.069,0.019,1.071,0.000319,NA,NA,NA,0.24203369
"LINC01260","Brain Amygdala","BP","Wald ratio",1,-0.057,0.016,0.945,0.000382,NA,NA,NA,0.767952425
"BLTP1","Brain Amygdala","BP","Wald ratio",1,0.094,0.026,1.098,0.000386,NA,NA,NA,0.565214041
"TPMT","Brain Amygdala","BP","Wald ratio",1,-0.078,0.022,0.925,0.000429,NA,NA,NA,0.544478919
"ARTN","Brain Amygdala","BP","Wald ratio",1,-0.071,0.02,0.931,0.000481,NA,NA,NA,0.087750644
"PISD","Brain Amygdala","BP","Wald ratio",1,0.101,0.029,1.107,0.000481,NA,NA,NA,0.546084064
"MMD","Brain Amygdala","BP","Wald ratio",1,0.083,0.024,1.086,0.000558,NA,NA,NA,0.60500187
"ALG8","Brain Amygdala","BP","Wald ratio",1,-0.059,0.017,0.943,0.000604,NA,NA,NA,0.412077529
"KCTD21-AS1","Brain Amygdala","BP","Wald ratio",1,0.033,0.01,1.034,0.000604,NA,NA,NA,0.621669415
"SNX19","Brain Amygdala","BP","Wald ratio",1,-0.042,0.012,0.959,0.000625,NA,NA,NA,0.002797595
"RPL13P5","Brain Amygdala","BP","Wald ratio",1,-0.066,0.02,0.936,0.000766,NA,NA,NA,0.149459067
"DSTNP2","Brain Amygdala","BP","Wald ratio",1,-0.064,0.019,0.938,0.000766,NA,NA,NA,0.552141293
"SPSB2","Brain Amygdala","BP","Wald ratio",1,-0.041,0.012,0.96,0.000766,NA,NA,NA,0.595236753
"DNAJC3","Brain Amygdala","BP","Wald ratio",1,0.103,0.031,1.109,0.000784,NA,NA,NA,0.197692353
"FGF14-AS2","Brain Amygdala","BP","Wald ratio",1,-0.101,0.03,0.904,0.000787,NA,NA,NA,0.302533598
"NBN","Brain Amygdala","BP","Wald ratio",1,-0.093,0.028,0.911,0.000848,NA,NA,NA,0.512667299
"LACC1","Brain Amygdala","BP","Wald ratio",1,0.098,0.029,1.103,0.000904,NA,NA,NA,0.283536762
"SMIM19","Brain Amygdala","BP","Wald ratio",1,0.074,0.022,1.077,0.000925,NA,NA,NA,0.533333204
"ARMC1","Brain Amygdala","BP","Wald ratio",1,0.097,0.03,1.102,0.00106,NA,NA,NA,0.024211859
"PCDHB12","Brain Amygdala","BP","Wald ratio",1,0.071,0.022,1.073,0.00107,NA,NA,NA,0.155842699
"PCDHB7","Brain Amygdala","BP","Wald ratio",1,-0.067,0.02,0.935,0.00107,NA,NA,NA,0.234991706
"HES6","Brain Amygdala","BP","Wald ratio",1,0.066,0.02,1.069,0.00107,NA,NA,NA,0.50812397
"NSUN2","Brain Amygdala","BP","Wald ratio",1,0.039,0.012,1.04,0.00123,NA,NA,NA,0.485437025
"NECTIN3","Brain Amygdala","BP","Wald ratio",1,0.06,0.019,1.062,0.00131,NA,NA,NA,0.028768202
"NUP50","Brain Amygdala","BP","Wald ratio",1,0.075,0.024,1.078,0.00157,NA,NA,NA,0.402549813
"KCTD7","Brain Amygdala","BP","Wald ratio",1,-0.069,0.022,0.933,0.00158,NA,NA,NA,0.386523454
"CD40","Brain Amygdala","BP","Wald ratio",1,0.086,0.027,1.09,0.00163,NA,NA,NA,0.097032529
"CERS1","Brain Amygdala","BP","Wald ratio",1,0.081,0.026,1.085,0.00173,NA,NA,NA,0.423184909
"TUBA8","Brain Amygdala","BP","Wald ratio",1,0.08,0.026,1.084,0.00216,NA,NA,NA,0.102508263
"UBXN6","Brain Amygdala","BP","Wald ratio",1,-0.104,0.034,0.901,0.00218,NA,NA,NA,0.36914224
"CHAF1A","Brain Amygdala","BP","Wald ratio",1,-0.048,0.016,0.953,0.00218,NA,NA,NA,0.369608034
"UROS","Brain Amygdala","BP","Wald ratio",1,-0.04,0.014,0.961,0.00308,NA,NA,NA,0.276508678
"LAMA5","Brain Amygdala","BP","Wald ratio",1,0.09,0.031,1.095,0.00324,NA,NA,NA,0.081023136
