"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"MAPT","Brain","ASD","Wald ratio",1,"-0.154","0.034","0.858","6.80e-06",NA,NA,NA,0.994983448
"MNT","Brain","ASD","Wald ratio",1,"-0.139","0.036","0.870","1.08e-04",NA,NA,NA,0.927244023
"CASP8","Brain","ASD","Wald ratio",1," 0.164","0.044","1.178","1.98e-04",NA,NA,NA,0.880584086
"TMCO3","Brain","ASD","Wald ratio",1,"-0.146","0.039","0.864","2.08e-04",NA,NA,NA,0.87529834
"FAM167A","Brain","ASD","Wald ratio",1," 0.079","0.022","1.082","2.77e-04",NA,NA,NA,0.836778011
"TMIGD3","Brain","ASD","Wald ratio",1,"-0.245","0.068","0.783","3.22e-04",NA,NA,NA,0.892304832
"ADIRF","Brain","ASD","Wald ratio",1," 0.168","0.049","1.183","5.39e-04",NA,NA,NA,0.728718549
"CALN1","Brain","ASD","Wald ratio",1,"-0.149","0.044","0.862","6.74e-04",NA,NA,NA,0.700923037
"ETFB","Brain","ASD","Wald ratio",1," 0.285","0.089","1.329","1.39e-03",NA,NA,NA,0.678512096
"CNMD","Brain","ASD","Wald ratio",1,"-0.299","0.097","0.742","2.01e-03",NA,NA,NA,0.655969227
"TRMT61A","Brain","ASD","Wald ratio",1,"-0.167","0.055","0.846","2.21e-03",NA,NA,NA,0.43922468
"CTSB","Brain","ASD","Wald ratio",1," 0.097","0.033","1.102","2.82e-03",NA,NA,NA,0.379162557
"JMJD6","Brain","ASD","Wald ratio",1,"-0.151","0.051","0.860","3.25e-03",NA,NA,NA,0.341673837
"TMOD3","Brain","ASD","Wald ratio",1," 0.154","0.053","1.167","3.50e-03",NA,NA,NA,0.324164871
"LINC00390","Brain","ASD","Wald ratio",1," 0.174","0.059","1.190","3.51e-03",NA,NA,NA,0.401063649
"ZNF584","Brain","ASD","Wald ratio",1," 0.137","0.048","1.147","4.40e-03",NA,NA,NA,0.322997837
"CHD1L","Brain","ASD","Wald ratio",1,"-0.149","0.054","0.862","5.77e-03",NA,NA,NA,0.238886167
"IP6K3","Brain","ASD","Wald ratio",1," 0.189","0.069","1.208","6.35e-03",NA,NA,NA,0.265980346
"SCG5","Brain","ASD","Wald ratio",1," 0.103","0.038","1.109","6.46e-03",NA,NA,NA,0.219686374
"HELB","Brain","ASD","Wald ratio",1,"-0.111","0.041","0.895","6.55e-03",NA,NA,NA,0.215434664
"ZFP69","Brain","ASD","Wald ratio",1," 0.107","0.039","1.113","6.56e-03",NA,NA,NA,0.260267835
"TXNL4B","Brain","ASD","Wald ratio",1," 0.105","0.040","1.111","8.65e-03",NA,NA,NA,0.20689784
"HTRA1","Brain","ASD","Wald ratio",1,"-0.161","0.062","0.851","9.27e-03",NA,NA,NA,0.197076297
"FAM171B","Brain","ASD","Wald ratio",1,"-0.122","0.047","0.886","9.76e-03",NA,NA,NA,0.164187485
"ATP23","Brain","ASD","Wald ratio",1," 0.097","0.038","1.101","1.11e-02",NA,NA,NA,0.154498613
"SLC39A10","Brain","ASD","Wald ratio",1," 0.102","0.041","1.107","1.19e-02",NA,NA,NA,0.141150755
"FGFR2","Brain","ASD","Wald ratio",1,"-0.095","0.038","0.909","1.24e-02",NA,NA,NA,0.144843932
"MYOM2","Brain","ASD","Wald ratio",1," 0.088","0.035","1.092","1.28e-02",NA,NA,NA,0.133047605
"SYNDIG1","Brain","ASD","Wald ratio",1,"-0.131","0.053","0.877","1.38e-02",NA,NA,NA,0.145706682
"ICE2","Brain","ASD","Wald ratio",1," 0.134","0.054","1.143","1.41e-02",NA,NA,NA,0.132895676
"ENSG00000239381","Brain","ASD","Wald ratio",1,"-0.148","0.061","0.862","1.55e-02",NA,NA,NA,0.141175067
"CRACD","Brain","ASD","Wald ratio",1,"-0.127","0.053","0.881","1.60e-02",NA,NA,NA,0.117504118
"MIR99AHG","Brain","ASD","Wald ratio",1,"-0.219","0.091","0.804","1.62e-02",NA,NA,NA,0.187183256
"RMDN3","Brain","ASD","Wald ratio",1,"-0.049","0.020","0.953","1.65e-02",NA,NA,NA,0.10751602
"CDC20B","Brain","ASD","Wald ratio",1,"-0.177","0.074","0.837","1.72e-02",NA,NA,NA,0.156912621
"ENSG00000250195","Brain","ASD","Wald ratio",1,"-0.045","0.020","0.956","2.03e-02",NA,NA,NA,0.096315675
"TRMT9B","Brain","ASD","Inverse variance weighted",2,"-0.145","0.063","0.865","2.12e-02",NA,0.384720668,NA,0.116730514
"MAGI2","Brain","ASD","Wald ratio",1," 0.101","0.044","1.106","2.16e-02",NA,NA,NA,0.086873678
"GSDME","Brain","ASD","Wald ratio",1," 0.087","0.038","1.091","2.19e-02",NA,NA,NA,0.087180784
"RRM1","Brain","ASD","Wald ratio",1,"-0.085","0.038","0.918","2.36e-02",NA,NA,NA,0.082129203
"ENSG00000272305","Brain","ASD","Wald ratio",1," 0.083","0.037","1.087","2.42e-02",NA,NA,NA,0.083430965
"YEATS2","Brain","ASD","Wald ratio",1," 0.108","0.048","1.114","2.43e-02",NA,NA,NA,0.081627783
"RGR","Brain","ASD","Wald ratio",1," 0.098","0.043","1.103","2.44e-02",NA,NA,NA,0.079788516
"CIT","Brain","ASD","Wald ratio",1," 0.112","0.050","1.118","2.47e-02",NA,NA,NA,0.08426317
"ADAR","Brain","ASD","Wald ratio",1,"-0.060","0.027","0.942","2.81e-02",NA,NA,NA,0.070426441
"EFHD1","Brain","ASD","Wald ratio",1," 0.075","0.035","1.078","2.97e-02",NA,NA,NA,0.0673845
"PLEKHN1","Brain","ASD","Wald ratio",1," 0.076","0.035","1.079","3.18e-02",NA,NA,NA,0.074560774
"PSD3","Brain","ASD","Wald ratio",1," 0.076","0.035","1.079","3.27e-02",NA,NA,NA,0.069036581
"ITGA2","Brain","ASD","Wald ratio",1,"-0.124","0.058","0.883","3.38e-02",NA,NA,NA,0.067636565
"ZNF75A","Brain","ASD","Wald ratio",1," 0.080","0.038","1.083","3.46e-02",NA,NA,NA,0.067914295
"PDE11A","Brain","ASD","Wald ratio",1," 0.075","0.036","1.078","3.57e-02",NA,NA,NA,0.066294795
"WDR27","Brain","ASD","Wald ratio",1," 0.162","0.078","1.176","3.73e-02",NA,NA,NA,0.080497675
"ZNF502","Brain","ASD","Wald ratio",1," 0.069","0.033","1.071","3.79e-02",NA,NA,NA,0.067494647
"KIAA0753","Brain","ASD","Wald ratio",1,"-0.097","0.047","0.908","3.84e-02",NA,NA,NA,0.056066136
"LINC02453","Brain","ASD","Wald ratio",1," 0.102","0.049","1.107","3.89e-02",NA,NA,NA,0.070857194
"GALNT2","Brain","ASD","Wald ratio",1," 0.120","0.058","1.127","3.91e-02",NA,NA,NA,0.067199422
"SGPL1","Brain","ASD","Wald ratio",1," 0.090","0.044","1.094","3.93e-02",NA,NA,NA,0.05748443
"RCAN2","Brain","ASD","Inverse variance weighted",2,"-0.065","0.032","0.937","4.15e-02",NA,0.313593329,NA,0.013023159
"CCDC158","Brain","ASD","Wald ratio",1," 0.048","0.024","1.049","4.18e-02",NA,NA,NA,0.051696122
"ENSG00000249335","Brain","ASD","Wald ratio",1,"-0.060","0.030","0.942","4.85e-02",NA,NA,NA,0.049899747
"CD2AP","Brain","ASD","Wald ratio",1," 0.088","0.045","1.092","5.03e-02",NA,NA,NA,0.051943713
"H4C2","Brain","ASD","Wald ratio",1,"-0.068","0.035","0.934","5.21e-02",NA,NA,NA,0.043663882
"ADCY1","Brain","ASD","Wald ratio",1," 0.100","0.051","1.105","5.27e-02",NA,NA,NA,0.044388693
"ZFP82","Brain","ASD","Wald ratio",1," 0.093","0.048","1.097","5.27e-02",NA,NA,NA,0.044082395
"TYW3","Brain","ASD","Wald ratio",1," 0.060","0.031","1.061","5.30e-02",NA,NA,NA,0.042777379
"INSR","Brain","ASD","Wald ratio",1,"-0.093","0.048","0.911","5.37e-02",NA,NA,NA,0.042853226
"TMEM171","Brain","ASD","Wald ratio",1," 0.065","0.034","1.068","5.63e-02",NA,NA,NA,0.044569923
"ZNF396","Brain","ASD","Wald ratio",1,"-0.075","0.040","0.927","5.65e-02",NA,NA,NA,0.040913853
"ENSG00000231769","Brain","ASD","Wald ratio",1,"-0.096","0.051","0.908","5.80e-02",NA,NA,NA,0.0411489
"TNFRSF10B","Brain","ASD","Wald ratio",1,"-0.108","0.057","0.897","5.82e-02",NA,NA,NA,0.042860198
"ENSG00000251357","Brain","ASD","Wald ratio",1," 0.064","0.034","1.066","5.85e-02",NA,NA,NA,0.044300798
"TRPV3","Brain","ASD","Wald ratio",1,"-0.087","0.046","0.916","5.85e-02",NA,NA,NA,0.041913162
"COL16A1","Brain","ASD","Wald ratio",1," 0.091","0.048","1.095","5.89e-02",NA,NA,NA,0.040623837
"MUCL3","Brain","ASD","Wald ratio",1," 0.055","0.029","1.056","5.97e-02",NA,NA,NA,0.040474874
