"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CACNA1C","Brain Cortex","BP","Wald ratio",1,0.255,0.035,1.29,1.68e-13,NA,NA,NA,0.337665411
"CACNA1C","Brain Cortex","BP","Wald ratio",1,-0.131,0.018,0.878,1.68e-13,NA,NA,NA,0.337665411
"CACNA1C","Brain Cortex","BP","Wald ratio",1,0.238,0.032,1.269,1.68e-13,NA,NA,NA,0.337665411
"CACNA1C","Brain Cortex","BP","Wald ratio",1,0.237,0.032,1.268,1.68e-13,NA,NA,NA,0.337665411
"CACNA1C","Brain Cortex","BP","Wald ratio",1,-0.097,0.013,0.908,1.68e-13,NA,NA,NA,0.337665411
"CACNA1C","Brain Cortex","BP","Wald ratio",1,-0.133,0.018,0.875,1.68e-13,NA,NA,NA,0.337665411
"BCL11B","Brain Cortex","BP","Wald ratio",1,-0.171,0.032,0.843,1.19e-07,NA,NA,NA,0.009119044
"BCL11B","Brain Cortex","BP","Wald ratio",1,-0.148,0.028,0.863,1.19e-07,NA,NA,NA,0.009119044
"BCL11B","Brain Cortex","BP","Wald ratio",1,-0.067,0.013,0.936,1.19e-07,NA,NA,NA,0.009119044
"BCL11B","Brain Cortex","BP","Wald ratio",1,-0.107,0.02,0.899,1.19e-07,NA,NA,NA,0.009119044
"BCL11B","Brain Cortex","BP","Wald ratio",1,-0.109,0.021,0.897,1.19e-07,NA,NA,NA,0.009119044
"SLC12A5","Brain Cortex","BP","Wald ratio",1,0.094,0.021,1.099,5.43e-06,NA,NA,NA,0.993753039
"WSCD2","Brain Cortex","BP","Wald ratio",1,0.085,0.02,1.089,2.02e-05,NA,NA,NA,0.025205709
"ENSG00000238280","Brain Cortex","BP","Wald ratio",1,0.108,0.026,1.114,2.32e-05,NA,NA,NA,0.008209089
"NRXN2","Brain Cortex","BP","Wald ratio",1,0.103,0.025,1.108,3.03e-05,NA,NA,NA,0.007215603
