"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"TRMT61A","Brain","DEP","Wald ratio",1,"-0.105","0.016","0.901","2.08e-10",NA,NA,NA,0.999999209
"CDHR4","Brain","DEP","Wald ratio",1," 0.066","0.012","1.068","6.93e-08",NA,NA,NA,0.999825172
"PTCH1","Brain","DEP","Wald ratio",1,"-0.078","0.020","0.925","1.30e-04",NA,NA,NA,0.837642844
"TSPAN5","Brain","DEP","Wald ratio",1," 0.060","0.016","1.062","1.55e-04",NA,NA,NA,0.745578727
"ENSG00000286619","Brain","DEP","Wald ratio",1,"-0.020","0.005","0.980","1.77e-04",NA,NA,NA,0.712653938
"PCMTD2","Brain","DEP","Wald ratio",1," 0.058","0.016","1.060","2.12e-04",NA,NA,NA,0.676768052
"GSDME","Brain","DEP","Wald ratio",1," 0.043","0.012","1.044","2.18e-04",NA,NA,NA,0.666127271
"VPS41","Brain","DEP","Wald ratio",1," 0.049","0.014","1.050","3.73e-04",NA,NA,NA,0.546052896
"ARHGEF7","Brain","DEP","Wald ratio",1," 0.026","0.007","1.026","3.92e-04",NA,NA,NA,0.540546662
"LBHD1","Brain","DEP","Wald ratio",1," 0.054","0.016","1.056","4.47e-04",NA,NA,NA,0.526294032
"IGKV2OR2-1","Brain","DEP","Wald ratio",1,"-0.036","0.010","0.965","5.00e-04",NA,NA,NA,0.525279213
"TRPS1","Brain","DEP","Wald ratio",1," 0.038","0.011","1.039","5.07e-04",NA,NA,NA,0.480821474
"HTT","Brain","DEP","Wald ratio",1," 0.027","0.008","1.027","5.93e-04",NA,NA,NA,0.455278918
"ZNF502","Brain","DEP","Wald ratio",1,"-0.035","0.010","0.965","6.38e-04",NA,NA,NA,0.473473874
"THEM7P","Brain","DEP","Wald ratio",1," 0.079","0.023","1.082","6.81e-04",NA,NA,NA,0.519685627
"LINC00390","Brain","DEP","Wald ratio",1," 0.062","0.019","1.064","1.08e-03",NA,NA,NA,0.396464829
"TFRC","Brain","DEP","Wald ratio",1," 0.040","0.013","1.041","1.89e-03",NA,NA,NA,0.225923996
"CDC42BPA","Brain","DEP","Wald ratio",1,"-0.058","0.019","0.944","2.05e-03",NA,NA,NA,0.257234006
"OBI1","Brain","DEP","Wald ratio",1,"-0.031","0.010","0.969","2.07e-03",NA,NA,NA,0.222433741
