"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ENSG00000289436","Brain Cortex","DEP","Wald ratio",1,-0.051,0.007,0.95,6.86e-12,NA,NA,NA,0.999999972
"ENSG00000289436","Brain Cortex","DEP","Wald ratio",1,0.076,0.011,1.079,6.86e-12,NA,NA,NA,0.999999972
"B3GLCT","Brain Cortex","DEP","Wald ratio",1,0.04,0.006,1.04,8.81e-10,NA,NA,NA,0.999997394
"SEMA6D","Brain Cortex","DEP","Wald ratio",1,-0.039,0.008,0.962,3.13e-07,NA,NA,NA,0.999193629
"PAX5","Brain Cortex","DEP","Wald ratio",1,0.046,0.009,1.047,1.04e-06,NA,NA,NA,0.010363765
"PAX5","Brain Cortex","DEP","Inverse variance weighted",2,0.024,0.005,1.024,1.22e-06,NA,0.33995368,NA,0.010363765
"PAX5","Brain Cortex","DEP","Inverse variance weighted",2,0.024,0.005,1.024,1.22e-06,NA,0.33995368,NA,0.010363765
"TRAF3","Brain Cortex","DEP","Wald ratio",1,0.029,0.007,1.029,2.06e-05,NA,NA,NA,0.011606501
"TRMT61A","Brain Cortex","DEP","Wald ratio",1,0.057,0.014,1.059,2.57e-05,NA,NA,NA,0.943606892
"TRMT61A","Brain Cortex","DEP","Wald ratio",1,0.044,0.01,1.045,2.57e-05,NA,NA,NA,0.943606892
"TRMT61A","Brain Cortex","DEP","Wald ratio",1,-0.029,0.007,0.971,2.57e-05,NA,NA,NA,0.943606892
"TRMT61A","Brain Cortex","DEP","Wald ratio",1,0.061,0.014,1.063,2.57e-05,NA,NA,NA,0.943606892
"TRMT61A","Brain Cortex","DEP","Wald ratio",1,0.046,0.011,1.047,2.57e-05,NA,NA,NA,0.943606892
"TRMT61A","Brain Cortex","DEP","Wald ratio",1,0.076,0.018,1.079,2.57e-05,NA,NA,NA,0.943606892
"TRMT61A","Brain Cortex","DEP","Wald ratio",1,0.072,0.017,1.074,2.57e-05,NA,NA,NA,0.943606892
"TRMT61A","Brain Cortex","DEP","Wald ratio",1,-0.025,0.006,0.976,2.57e-05,NA,NA,NA,0.943606892
"LINC00607","Brain Cortex","DEP","Inverse variance weighted",2,0.035,0.009,1.035,4.52e-05,NA,0.845367158,NA,0.011229724
"LINC00607","Brain Cortex","DEP","Inverse variance weighted",2,0.035,0.009,1.035,4.52e-05,NA,0.845367158,NA,0.011229724
"HS6ST3","Brain Cortex","DEP","Wald ratio",1,-0.126,0.031,0.882,4.74e-05,NA,NA,NA,0.003506191
"ANO4","Brain Cortex","DEP","Wald ratio",1,0.058,0.014,1.059,5.86e-05,NA,NA,NA,0.89754685
"PTCH1","Brain Cortex","DEP","Wald ratio",1,-0.102,0.026,0.903,5.98e-05,NA,NA,NA,0.919122051
"PTCH1","Brain Cortex","DEP","Wald ratio",1,-0.101,0.025,0.904,5.98e-05,NA,NA,NA,0.919122051
"PTCH1","Brain Cortex","DEP","Wald ratio",1,-0.085,0.021,0.918,5.98e-05,NA,NA,NA,0.919122051
"PCDH8P1","Brain Cortex","DEP","Wald ratio",1,0.026,0.007,1.026,6.99e-05,NA,NA,NA,0.853344272
