"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"AL513166.1","Brain Cortex","DEP","Wald ratio",1,-0.45,0.054,0.638,5.01e-17,NA,NA,NA,1
"RP1-313I6.12","Brain Cortex","DEP","Wald ratio",1,-0.101,0.014,0.904,3.89e-12,NA,NA,NA,0.999999986
"ZSCAN26","Brain Cortex","DEP","Wald ratio",1,-0.453,0.065,0.636,3.89e-12,NA,NA,NA,0.999999981
"ZSCAN16-AS1","Brain Cortex","DEP","Wald ratio",1,-0.22,0.032,0.803,3.89e-12,NA,NA,NA,0.999999986
"CD40","Brain Cortex","DEP","Wald ratio",1,0.164,0.026,1.178,2.51e-10,NA,NA,NA,0.999998378
"CRB1","Brain Cortex","DEP","Wald ratio",1,-0.488,0.091,0.614,7.26e-08,NA,NA,NA,0.005306694
"DENND1B","Brain Cortex","DEP","Wald ratio",1,-0.41,0.076,0.664,7.26e-08,NA,NA,NA,0.999803462
"ZNF311","Brain Cortex","DEP","Inverse variance weighted",2,-0.134,0.025,0.875,8.76e-08,NA,0.288540573,NA,0.012804605
"RFWD2","Brain Cortex","DEP","Wald ratio",1,-0.041,0.008,0.96,2.75e-07,NA,NA,NA,0.99914092
"COP1","Brain Cortex","DEP","Wald ratio",1,-0.272,0.053,0.762,2.75e-07,NA,NA,NA,0.99914092
"LINC00899","Brain Cortex","DEP","Wald ratio",1,-0.246,0.049,0.782,5.14e-07,NA,NA,NA,0.99859253
"ZSCAN23","Brain Cortex","DEP","Weighted median",4,0.123,0.025,1.131,6.45e-07,0.055018923,0.000257557,0.165296752,0.999993534
"ARL3","Brain Cortex","DEP","Wald ratio",1,-0.118,0.025,0.888,3.19e-06,NA,NA,NA,0.994849101
"THRA","Brain Cortex","DEP","Wald ratio",1,0.03,0.007,1.031,4.05e-06,NA,NA,NA,0.989432123
"ZNF660","Brain Cortex","DEP","Wald ratio",1,0.394,0.085,1.482,4.05e-06,NA,NA,NA,0.989145045
"MED24","Brain Cortex","DEP","Wald ratio",1,-0.124,0.027,0.884,4.05e-06,NA,NA,NA,0.989421713
"PSMD3","Brain Cortex","DEP","Wald ratio",1,-0.37,0.08,0.691,4.05e-06,NA,NA,NA,0.989431552
"ZNF445","Brain Cortex","DEP","Wald ratio",1,0.181,0.039,1.199,4.05e-06,NA,NA,NA,0.989432123
"BORCS7","Brain Cortex","DEP","Inverse variance weighted",2,-0.203,0.044,0.817,4.46e-06,NA,0.381180983,NA,0.956495407
"RANBP1","Brain Cortex","DEP","Wald ratio",1,-0.187,0.042,0.829,7.13e-06,NA,NA,NA,0.983062124
"TRMT2A","Brain Cortex","DEP","Wald ratio",1,-0.298,0.066,0.742,7.13e-06,NA,NA,NA,0.983062124
"TANGO2","Brain Cortex","DEP","Wald ratio",1,-0.253,0.056,0.777,7.13e-06,NA,NA,NA,0.983062124
"TCF4","Brain Cortex","DEP","Wald ratio",1,0.26,0.061,1.297,2.14e-05,NA,NA,NA,0.948208144
"CDH9","Brain Cortex","DEP","Wald ratio",1,0.105,0.026,1.11,4.26e-05,NA,NA,NA,0.902859983
"PRMT6","Brain Cortex","DEP","Wald ratio",1,0.224,0.055,1.251,4.8e-05,NA,NA,NA,0.89875952
"ZCCHC2","Brain Cortex","DEP","Wald ratio",1,-0.087,0.021,0.917,4.83e-05,NA,NA,NA,0.900176089
"RERE","Brain Cortex","DEP","Wald ratio",1,-0.074,0.019,0.929,6.96e-05,NA,NA,NA,0.859395325
"NRG1-IT1","Brain Cortex","DEP","Wald ratio",1,-0.039,0.01,0.961,8.92e-05,NA,NA,NA,0.840268715
"HSPH1","Brain Cortex","DEP","Wald ratio",1,0.341,0.087,1.406,9.04e-05,NA,NA,NA,0.832710269
"B3GLCT","Brain Cortex","DEP","Wald ratio",1,0.32,0.082,1.377,9.04e-05,NA,NA,NA,0.832761364
"GRM8","Brain Cortex","DEP","Wald ratio",1,-0.185,0.047,0.831,9.26e-05,NA,NA,NA,0.820134617
"B3GALTL","Brain Cortex","DEP","Inverse variance weighted",2,0.043,0.011,1.044,9.61e-05,NA,0.359820872,NA,0.832764843
"NT5DC2","Brain Cortex","DEP","Wald ratio",1,0.084,0.022,1.088,0.000103,NA,NA,NA,0.801490535
"GNL3","Brain Cortex","DEP","Wald ratio",1,-0.102,0.026,0.903,0.000103,NA,NA,NA,0.800301048
"PBRM1","Brain Cortex","DEP","Wald ratio",1,0.054,0.014,1.055,0.000103,NA,NA,NA,0.801491287
"SPCS1","Brain Cortex","DEP","Wald ratio",1,0.103,0.026,1.108,0.000103,NA,NA,NA,0.801491287
"NEK4","Brain Cortex","DEP","Wald ratio",1,0.098,0.025,1.103,0.000103,NA,NA,NA,0.800275111
"PCLO","Brain Cortex","DEP","Wald ratio",1,-0.354,0.092,0.702,0.000124,NA,NA,NA,0.765986686
"AL132709.5","Brain Cortex","DEP","Wald ratio",1,-0.047,0.012,0.954,0.000137,NA,NA,NA,0.755329496
"RP11-909M7.3","Brain Cortex","DEP","Wald ratio",1,0.077,0.02,1.08,0.000137,NA,NA,NA,0.755329485
"CTGLF10P","Brain Cortex","DEP","Wald ratio",1,0.087,0.023,1.091,0.000158,NA,NA,NA,0.858785699
"AL355312.2","Brain Cortex","DEP","Wald ratio",1,0.313,0.083,1.367,0.000169,NA,NA,NA,0.729668758
"LATS1","Brain Cortex","DEP","Wald ratio",1,0.09,0.024,1.094,0.000169,NA,NA,NA,0.729714925
"LRP11","Brain Cortex","DEP","Wald ratio",1,0.071,0.019,1.073,0.000169,NA,NA,NA,0.729723504
"NUP43","Brain Cortex","DEP","Wald ratio",1,0.039,0.01,1.04,0.000169,NA,NA,NA,0.729723505
"GINM1","Brain Cortex","DEP","Wald ratio",1,0.255,0.068,1.291,0.000169,NA,NA,NA,0.729723503
"PDIA6","Brain Cortex","DEP","Wald ratio",1,0.051,0.014,1.052,0.000186,NA,NA,NA,0.753150399
"C15orf59","Brain Cortex","DEP","Wald ratio",1,0.103,0.028,1.108,0.000189,NA,NA,NA,0.703560385
"TMEM106B","Brain Cortex","DEP","Wald ratio",1,-0.046,0.012,0.955,0.000197,NA,NA,NA,0.73254135
"ASCC3","Brain Cortex","DEP","Wald ratio",1,0.087,0.023,1.091,0.000198,NA,NA,NA,0.685014901
"PCDH10","Brain Cortex","DEP","Wald ratio",1,0.302,0.082,1.353,0.000238,NA,NA,NA,0.646647066
"RP11-9G1.3","Brain Cortex","DEP","Wald ratio",1,-0.078,0.021,0.925,0.000238,NA,NA,NA,0.646803845
"AC105383.1","Brain Cortex","DEP","Wald ratio",1,0.099,0.027,1.104,0.000238,NA,NA,NA,0.646808182
"SNX3","Brain Cortex","DEP","Wald ratio",1,0.097,0.027,1.102,0.000262,NA,NA,NA,0.793305234
"RP11-428J1.4","Brain Cortex","DEP","Wald ratio",1,-0.061,0.017,0.941,0.000286,NA,NA,NA,0.646328192
"DGKI","Brain Cortex","DEP","Wald ratio",1,0.087,0.024,1.091,3e-04,NA,NA,NA,0.778577
"ZNF718","Brain Cortex","DEP","Wald ratio",1,-0.062,0.017,0.94,0.000318,NA,NA,NA,0.593787005
"LRFN5","Brain Cortex","DEP","Weighted median",3,0.029,0.008,1.03,0.000342,0.029583942,0.000459023,0.374478058,0.82627412
"CWF19L1","Brain Cortex","DEP","Wald ratio",1,0.151,0.042,1.163,0.000377,NA,NA,NA,0.554954882
"SGSM3","Brain Cortex","DEP","Wald ratio",1,0.157,0.044,1.17,0.000395,NA,NA,NA,0.549757052
"BRAF","Brain Cortex","DEP","Wald ratio",1,-0.329,0.093,0.72,0.000402,NA,NA,NA,0.568477526
"LRRC37A5P","Brain Cortex","DEP","Inverse variance weighted",2,-0.025,0.007,0.975,0.000451,NA,0.68174733,NA,0.473899303
"CABP1","Brain Cortex","DEP","Wald ratio",1,-0.353,0.101,0.702,0.000451,NA,NA,NA,0.581763825
"AC159540.1","Brain Cortex","DEP","Wald ratio",1,0.039,0.011,1.039,0.000465,NA,NA,NA,0.511660636
"AC017099.3","Brain Cortex","DEP","Wald ratio",1,-0.077,0.022,0.926,0.000465,NA,NA,NA,0.511581237
"C2orf92","Brain Cortex","DEP","Wald ratio",1,0.168,0.048,1.183,0.000465,NA,NA,NA,0.511660636
"AC159540.2","Brain Cortex","DEP","Wald ratio",1,0.208,0.059,1.231,0.000465,NA,NA,NA,0.511660636
"ACTR1B","Brain Cortex","DEP","Wald ratio",1,0.207,0.059,1.23,0.000465,NA,NA,NA,0.511660636
"SEC23IP","Brain Cortex","DEP","Wald ratio",1,-0.236,0.069,0.79,0.000595,NA,NA,NA,0.489592548
"SLC30A9","Brain Cortex","DEP","Inverse variance weighted",2,-0.067,0.02,0.935,0.00063,NA,0.24797329,NA,0.004329723
"C11orf98","Brain Cortex","DEP","Wald ratio",1,0.194,0.057,1.214,0.000634,NA,NA,NA,0.450381607
"ROM1","Brain Cortex","DEP","Wald ratio",1,0.224,0.066,1.251,0.000634,NA,NA,NA,0.450381575
"EML3","Brain Cortex","DEP","Wald ratio",1,0.166,0.049,1.18,0.000634,NA,NA,NA,0.450381607
"MTA2","Brain Cortex","DEP","Wald ratio",1,0.183,0.054,1.201,0.000634,NA,NA,NA,0.450381607
"DTX3","Brain Cortex","DEP","Wald ratio",1,0.186,0.055,1.205,0.000645,NA,NA,NA,0.461153502
"ARHGEF25","Brain Cortex","DEP","Wald ratio",1,0.259,0.076,1.296,0.000645,NA,NA,NA,0.461150238
"NAB1","Brain Cortex","DEP","Wald ratio",1,0.253,0.074,1.288,0.000674,NA,NA,NA,0.420674899
"GLS","Brain Cortex","DEP","Wald ratio",1,0.036,0.01,1.036,0.000674,NA,NA,NA,0.420675073
"CCDC14","Brain Cortex","DEP","Wald ratio",1,0.307,0.091,1.36,0.000696,NA,NA,NA,0.417024513
"ACO1","Brain Cortex","DEP","Inverse variance weighted",3,0.034,0.01,1.034,0.000714,0.71585161,0.764350099,0.639209763,0.202802884
"SSBP3","Brain Cortex","DEP","Wald ratio",1,-0.252,0.075,0.777,0.000746,NA,NA,NA,0.387069051
"RP11-665J16.1","Brain Cortex","DEP","Wald ratio",1,0.029,0.009,1.029,0.000764,NA,NA,NA,0.047850048
"CHD6","Brain Cortex","DEP","Wald ratio",1,0.068,0.02,1.071,0.000779,NA,NA,NA,0.413257605
"AC018630.2","Brain Cortex","DEP","Inverse variance weighted",2,0.11,0.033,1.116,0.000816,NA,0.768226328,NA,0.024053254
"WIPI2","Brain Cortex","DEP","Inverse variance weighted",2,0.068,0.02,1.07,0.000824,NA,0.742769429,NA,0.005222093
"FLJ20021","Brain Cortex","DEP","Wald ratio",1,0.228,0.068,1.256,0.000837,NA,NA,NA,0.382848734
"AP001816.1","Brain Cortex","DEP","Wald ratio",1,0.056,0.017,1.058,0.000837,NA,NA,NA,0.382848767
"IVD","Brain Cortex","DEP","Wald ratio",1,-0.131,0.039,0.877,0.000874,NA,NA,NA,0.458450856
"TIPIN","Brain Cortex","DEP","Wald ratio",1,-0.069,0.021,0.934,0.000883,NA,NA,NA,0.508363227
"ZWILCH","Brain Cortex","DEP","Wald ratio",1,0.054,0.016,1.056,0.000883,NA,NA,NA,0.508449469
"RNF152","Brain Cortex","DEP","Wald ratio",1,0.062,0.019,1.064,0.000906,NA,NA,NA,0.440312823
"ABCF3","Brain Cortex","DEP","Wald ratio",1,0.174,0.053,1.19,0.000928,NA,NA,NA,0.617429796
"SIRT5","Brain Cortex","DEP","Wald ratio",1,-0.066,0.02,0.936,0.000987,NA,NA,NA,0.36588596
"RANBP9","Brain Cortex","DEP","Wald ratio",1,-0.119,0.036,0.887,0.000987,NA,NA,NA,0.36588596
"CNDP1","Brain Cortex","DEP","Wald ratio",1,0.077,0.023,1.08,0.00101,NA,NA,NA,0.366027806
"SMIM2-AS1","Brain Cortex","DEP","Wald ratio",1,-0.025,0.008,0.975,0.00102,NA,NA,NA,0.408966286
"LINC00390","Brain Cortex","DEP","Wald ratio",1,0.077,0.024,1.08,0.00102,NA,NA,NA,0.40896456
"KCNH8","Brain Cortex","DEP","Wald ratio",1,0.254,0.078,1.29,0.00117,NA,NA,NA,0.338185754
"AHSA2P","Brain Cortex","DEP","Weighted median",4,0.049,0.015,1.051,0.00121,0.651324332,0.582573132,0.405399697,0.009917584
