"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ALDH16A1","Brain Prefrontal cortex","ED","Wald ratio",1," 0.067","0.019","1.069","4.53e-04",NA,NA,NA,0.76286496
"FAM131C","Brain Prefrontal cortex","ED","Wald ratio",1," 0.097","0.028","1.102","6.74e-04",NA,NA,NA,0.718924543
"HLA-DQB1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.095","0.028","0.909","7.57e-04",NA,NA,NA,0.747992592
"CARMIL3","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.071","0.022","0.932","1.23e-03",NA,NA,NA,0.581819057
"TRPS1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.091","0.029","0.913","1.50e-03",NA,NA,NA,0.508013476
"ARHGEF38","Brain Prefrontal cortex","ED","Wald ratio",1," 0.069","0.022","1.071","1.79e-03",NA,NA,NA,0.51870432
"ZNF385B","Brain Prefrontal cortex","ED","Wald ratio",1," 0.074","0.024","1.077","1.82e-03",NA,NA,NA,0.645212531
"FOXP1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.090","0.029","0.914","2.09e-03",NA,NA,NA,0.462151318
"TTC13","Brain Prefrontal cortex","ED","Wald ratio",1," 0.106","0.035","1.111","2.88e-03",NA,NA,NA,0.435852606
"KIF16B","Brain Prefrontal cortex","ED","Inverse variance weighted",2,"-0.046","0.017","0.955","6.11e-03",NA,0.597046588,NA,0.066921544
"PTPRN2","Brain Prefrontal cortex","ED","Inverse variance weighted",3," 0.031","0.011","1.032","6.51e-03",0.547645443,0.818942059,0.87754452,0.010832893
"PPP1R14C","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.048","0.018","0.953","7.75e-03",NA,NA,NA,0.218590171
"LHPP","Brain Prefrontal cortex","ED","Wald ratio",1," 0.044","0.017","1.045","9.40e-03",NA,NA,NA,0.175370554
"TSNARE1","Brain Prefrontal cortex","ED","Wald ratio",1," 0.054","0.021","1.055","1.03e-02",NA,NA,NA,0.150949285
"ANO2","Brain Prefrontal cortex","ED","Wald ratio",1," 0.052","0.021","1.054","1.12e-02",NA,NA,NA,0.15257672
"DCC","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.051","0.020","0.950","1.13e-02",NA,NA,NA,0.155403114
"PIAS4","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.056","0.023","0.945","1.28e-02",NA,NA,NA,0.141033836
"ABCA1","Brain Prefrontal cortex","ED","Wald ratio",1," 0.105","0.042","1.111","1.30e-02",NA,NA,NA,0.175074149
"SLC5A10","Brain Prefrontal cortex","ED","Wald ratio",1," 0.121","0.050","1.129","1.42e-02",NA,NA,NA,0.15972826
"PRDX1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.111","0.046","0.895","1.53e-02",NA,NA,NA,0.116040755
"PTPRN2","Brain Prefrontal cortex","ED","Weighted median",3," 0.031","0.013","1.032","1.85e-02",0.547645443,0.818942059,0.87754452,0.010832893
"SLC41A3","Brain Prefrontal cortex","ED","Wald ratio",1," 0.035","0.015","1.036","1.89e-02",NA,NA,NA,0.103654461
"FRY","Brain Prefrontal cortex","ED","Wald ratio",1," 0.049","0.021","1.051","1.93e-02",NA,NA,NA,0.109051035
"MET","Brain Prefrontal cortex","ED","Wald ratio",1," 0.059","0.026","1.061","2.08e-02",NA,NA,NA,0.087729139
"JKAMP","Brain Prefrontal cortex","ED","Wald ratio",1," 0.065","0.029","1.067","2.36e-02",NA,NA,NA,0.081739833
"VPS53","Brain Prefrontal cortex","ED","Inverse variance weighted",2,"-0.032","0.014","0.968","2.47e-02",NA,0.331758566,NA,0.024152737
"PLEKHG7","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.080","0.035","0.923","2.47e-02",NA,NA,NA,0.076099283
"GPATCH2","Brain Prefrontal cortex","ED","Wald ratio",1," 0.078","0.035","1.081","2.49e-02",NA,NA,NA,0.078544315
"LATS2","Brain Prefrontal cortex","ED","Wald ratio",1," 0.082","0.037","1.085","2.55e-02",NA,NA,NA,0.077829876
"TYW1","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.044","0.020","0.957","2.61e-02",NA,NA,NA,0.085325002
