"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CTNNB1","Brain Amygdala","ED","Wald ratio",1,-0.165,0.038,0.848,1.39e-05,NA,NA,NA,0.985513707
"RNF123","Brain Amygdala","ED","Wald ratio",1,-0.275,0.069,0.759,5.94e-05,NA,NA,NA,0.936299447
"RFPL1S","Brain Amygdala","ED","Wald ratio",1,-0.255,0.068,0.775,0.000182,NA,NA,NA,0.899097148
"ARHGAP1","Brain Amygdala","ED","Wald ratio",1,0.21,0.057,1.234,0.000221,NA,NA,NA,0.763048016
"SNHG5","Brain Amygdala","ED","Wald ratio",1,0.078,0.022,1.081,0.000286,NA,NA,NA,0.827069544
"PKMP3","Brain Amygdala","ED","Wald ratio",1,0.123,0.034,1.131,0.000286,NA,NA,NA,0.483123668
"SLC43A1","Brain Amygdala","ED","Wald ratio",1,-0.178,0.049,0.837,0.000287,NA,NA,NA,0.125139765
"KNOP1","Brain Amygdala","ED","Wald ratio",1,0.072,0.02,1.074,0.000334,NA,NA,NA,0.843769036
"DHFR2","Brain Amygdala","ED","Wald ratio",1,0.163,0.046,1.177,0.000389,NA,NA,NA,0.684928478
"SLC12A8","Brain Amygdala","ED","Wald ratio",1,-0.113,0.033,0.893,0.000734,NA,NA,NA,0.067793127
"STAG3","Brain Amygdala","ED","Wald ratio",1,0.136,0.041,1.145,0.000921,NA,NA,NA,0.721338723
"PVRIG","Brain Amygdala","ED","Wald ratio",1,0.101,0.031,1.106,0.000921,NA,NA,NA,0.434953309
"ALDH16A1","Brain Amygdala","ED","Wald ratio",1,0.099,0.03,1.104,0.001,NA,NA,NA,0.636026297
"FAM131C2P","Brain Amygdala","ED","Wald ratio",1,-0.066,0.02,0.936,0.00103,NA,NA,NA,0.626461596
"ZSCAN31","Brain Amygdala","ED","Wald ratio",1,-0.075,0.023,0.928,0.0014,NA,NA,NA,0.300742906
"ZSCAN26","Brain Amygdala","ED","Wald ratio",1,0.137,0.043,1.146,0.0014,NA,NA,NA,0.042757731
"ZNF603P","Brain Amygdala","ED","Wald ratio",1,-0.042,0.013,0.959,0.0014,NA,NA,NA,0.526365116
"HAUS4","Brain Amygdala","ED","Wald ratio",1,-0.097,0.031,0.908,0.00156,NA,NA,NA,0.533566405
"NLRC3","Brain Amygdala","ED","Wald ratio",1,-0.054,0.017,0.948,0.00171,NA,NA,NA,0.535164073
"CLUAP1","Brain Amygdala","ED","Wald ratio",1,0.096,0.031,1.101,0.00171,NA,NA,NA,0.534679579
"NDUFS1","Brain Amygdala","ED","Wald ratio",1,-0.125,0.041,0.882,0.00245,NA,NA,NA,0.396588355
"PPM1K-DT","Brain Amygdala","ED","Wald ratio",1,-0.041,0.014,0.96,0.00257,NA,NA,NA,0.381613773
"LINC01750","Brain Amygdala","ED","Wald ratio",1,0.071,0.024,1.074,0.00305,NA,NA,NA,0.445707469
"SHPK","Brain Amygdala","ED","Wald ratio",1,-0.057,0.02,0.944,0.00515,NA,NA,NA,0.289577061
"CWF19L1","Brain Amygdala","ED","Wald ratio",1,0.061,0.022,1.063,0.00564,NA,NA,NA,0.183982971
"ANAPC4","Brain Amygdala","ED","Wald ratio",1,-0.073,0.027,0.93,0.00636,NA,NA,NA,0.221007354
"SP5","Brain Amygdala","ED","Wald ratio",1,0.066,0.024,1.068,0.00647,NA,NA,NA,0.22760235
