"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"LHPP","Brain Cortex","ED","Wald ratio",1,0.141,0.036,1.151,7.65e-05,NA,NA,NA,0.016471753
"LHPP","Brain Cortex","ED","Wald ratio",1,0.398,0.101,1.489,7.65e-05,NA,NA,NA,0.016471753
"LHPP","Brain Cortex","ED","Wald ratio",1,0.353,0.089,1.423,7.65e-05,NA,NA,NA,0.016471753
"PRMT8","Brain Cortex","ED","Wald ratio",1,0.222,0.06,1.249,0.00022,NA,NA,NA,0.010030731
"NR5A1","Brain Cortex","ED","Wald ratio",1,0.114,0.031,1.121,0.000237,NA,NA,NA,0.852456785
"NR5A1","Brain Cortex","ED","Wald ratio",1,0.083,0.022,1.086,0.000237,NA,NA,NA,0.852456785
"NR5A1","Brain Cortex","ED","Wald ratio",1,0.101,0.028,1.107,0.000237,NA,NA,NA,0.852456785
"NR5A1","Brain Cortex","ED","Wald ratio",1,0.179,0.049,1.196,0.000237,NA,NA,NA,0.852456785
"NR5A1","Brain Cortex","ED","Wald ratio",1,0.084,0.023,1.088,0.000237,NA,NA,NA,0.852456785
"SUFU","Brain Cortex","ED","Wald ratio",1,0.067,0.019,1.069,0.00038,NA,NA,NA,0.790021958
"SUFU","Brain Cortex","ED","Wald ratio",1,0.119,0.034,1.127,0.00038,NA,NA,NA,0.790021958
"SUFU","Brain Cortex","ED","Wald ratio",1,0.081,0.023,1.084,0.00038,NA,NA,NA,0.790021958
"MGMT","Brain Cortex","ED","Wald ratio",1,-0.132,0.037,0.877,0.000406,NA,NA,NA,0.009282597
"MGMT","Brain Cortex","ED","Wald ratio",1,-0.114,0.032,0.892,0.000406,NA,NA,NA,0.009282597
"MGMT","Brain Cortex","ED","Wald ratio",1,-0.081,0.023,0.923,0.000406,NA,NA,NA,0.009282597
"MGMT","Brain Cortex","ED","Wald ratio",1,-0.152,0.043,0.859,0.000406,NA,NA,NA,0.009282597
"CASC18","Brain Cortex","ED","Wald ratio",1,-0.11,0.031,0.896,0.000443,NA,NA,NA,0.809980293
"GPC6","Brain Cortex","ED","Wald ratio",1,-0.12,0.035,0.887,0.000613,NA,NA,NA,0.012937225
"SOX5","Brain Cortex","ED","Wald ratio",1,0.207,0.061,1.23,0.000703,NA,NA,NA,0.707752284
"CCDC83","Brain Cortex","ED","Wald ratio",1,0.174,0.052,1.19,0.000765,NA,NA,NA,0.027194731
"CCDC83","Brain Cortex","ED","Wald ratio",1,-0.078,0.023,0.925,0.000765,NA,NA,NA,0.027194731
"MYO5A","Brain Cortex","ED","Wald ratio",1,-0.179,0.054,0.836,0.000895,NA,NA,NA,0.00847194
"MYO5A","Brain Cortex","ED","Wald ratio",1,0.159,0.048,1.172,0.000895,NA,NA,NA,0.00847194
"ATP12A","Brain Cortex","ED","Wald ratio",1,-0.139,0.043,0.87,0.00112,NA,NA,NA,0.720158421
"RFLNA","Brain Cortex","ED","Wald ratio",1,0.32,0.1,1.377,0.00137,NA,NA,NA,0.694156096
"TEX10","Brain Cortex","ED","Wald ratio",1,0.062,0.019,1.064,0.00145,NA,NA,NA,0.512418115
"PTCH1","Brain Cortex","ED","Wald ratio",1,0.202,0.064,1.224,0.00153,NA,NA,NA,0.608682998
"PTCH1","Brain Cortex","ED","Wald ratio",1,0.243,0.077,1.275,0.00153,NA,NA,NA,0.608682998
"PTCH1","Brain Cortex","ED","Wald ratio",1,0.239,0.076,1.27,0.00153,NA,NA,NA,0.608682998
"TIGAR","Brain Cortex","ED","Wald ratio",1,-0.182,0.059,0.833,0.00186,NA,NA,NA,0.008868375
"TIGAR","Brain Cortex","ED","Wald ratio",1,-0.108,0.035,0.898,0.00186,NA,NA,NA,0.008868375
"TIGAR","Brain Cortex","ED","Wald ratio",1,-0.097,0.031,0.908,0.00186,NA,NA,NA,0.008868375
"TSPAN14","Brain Cortex","ED","Wald ratio",1,-0.086,0.028,0.917,0.00186,NA,NA,NA,0.020169343
"CELF1","Brain Cortex","ED","Wald ratio",1,0.097,0.031,1.101,0.00192,NA,NA,NA,0.451050308
"CELF1","Brain Cortex","ED","Wald ratio",1,0.109,0.035,1.115,0.00192,NA,NA,NA,0.451050308
"CELF1","Brain Cortex","ED","Wald ratio",1,0.151,0.049,1.163,0.00192,NA,NA,NA,0.451050308
"CELF1","Brain Cortex","ED","Wald ratio",1,0.149,0.048,1.161,0.00192,NA,NA,NA,0.451050308
"HSPB7","Brain Cortex","ED","Wald ratio",1,-0.143,0.047,0.867,0.00239,NA,NA,NA,0.008931756
"HSPB7","Brain Cortex","ED","Wald ratio",1,0.127,0.042,1.136,0.00239,NA,NA,NA,0.008931756
