"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ERLEC","BannerBBDP","ED","Wald ratio",1,5.907,1.103,367.671,8.44e-08,NA,NA,NA,1.1e-05
"HEAT1","BannerBBDP","ED","Inverse variance weighted",6,-2.645,0.63,0.071,2.71e-05,0.759530358,0.570868476,0.231976526,1.81e-07
"BBS2","BannerBBDP","ED","Inverse variance weighted",2,-14.668,3.696,0,7.22e-05,NA,0.871565245,NA,6.31e-08
"MT2","BannerBBDP","ED","Inverse variance weighted",3,-0.712,0.182,0.491,9.1e-05,0.471542617,0.742004519,0.826153938,5.16e-07
"S2512","BannerBBDP","ED","Wald ratio",1,1.181,0.302,3.256,9.51e-05,NA,NA,NA,0.198142523
"CTNB1","BannerBBDP","ED","Wald ratio",1,-5.859,1.503,0.003,9.74e-05,NA,NA,NA,5.66e-06
"RL13A","BannerBBDP","ED","Inverse variance weighted",2,-3.54,0.92,0.029,0.000119,NA,0.897761135,NA,6.69e-06
"NIBA1","BannerBBDP","ED","Inverse variance weighted",3,-1.42,0.371,0.242,0.00013,0.791147122,0.408449942,0.414667898,2.38e-07
"PIHD1","BannerBBDP","ED","Inverse variance weighted",3,-1.432,0.382,0.239,0.000178,0.728773845,0.626809479,0.532698581,9.99e-05
"RGS14","BannerBBDP","ED","Inverse variance weighted",3,1.762,0.476,5.826,0.000212,0.762314992,0.836886025,0.697513758,6.69e-08
"SYMC","BannerBBDP","ED","Wald ratio",1,103.915,28.077,1.3486e+45,0.000215,NA,NA,NA,1.93e-07
"KIF5A","BannerBBDP","ED","Wald ratio",1,-15.433,4.17,0,0.000215,NA,NA,NA,3.57e-07
"DCTN2","BannerBBDP","ED","Wald ratio",1,-11.333,3.062,0,0.000215,NA,NA,NA,1.54e-07
"HSDL2","BannerBBDP","ED","Wald ratio",1,1.663,0.458,5.274,0.000285,NA,NA,NA,4.34e-05
"RAE1L","BannerBBDP","ED","Inverse variance weighted",4,-2.065,0.577,0.127,0.000348,0.988659469,0.988569057,0.778687051,1.33e-07
"GNA11","BannerBBDP","ED","Inverse variance weighted",4,5.577,1.589,264.202,0.000449,0.253255623,0.312074981,0.520273214,1.99e-05
"DNAL1","BannerBBDP","ED","Inverse variance weighted",2,-1.958,0.571,0.141,0.000604,NA,0.538398513,NA,4.9e-08
"PNMA1","BannerBBDP","ED","Inverse variance weighted",2,-3.553,1.038,0.029,0.000616,NA,0.519868313,NA,7.69e-08
"DOP2","BannerBBDP","ED","Inverse variance weighted",2,-2.508,0.733,0.081,0.00062,NA,0.708586669,NA,0.000328498
"CBR3","BannerBBDP","ED","Inverse variance weighted",2,-0.315,0.092,0.73,0.000631,NA,0.707965998,NA,0.686625187
"NDUB9","BannerBBDP","ED","Inverse variance weighted",2,-1.908,0.566,0.148,0.000742,NA,0.469332891,NA,1.88e-07
"DOCK4","BannerBBDP","ED","Inverse variance weighted",7,1.791,0.531,5.996,0.000743,0.638706455,0.707271652,0.567277723,2.58e-07
"KBRS1","BannerBBDP","ED","Inverse variance weighted",3,-1.289,0.391,0.275,0.000972,0.70328948,0.662247096,0.561196169,1.51e-06
"ASCC3","BannerBBDP","ED","Inverse variance weighted",3,2.072,0.634,7.939,0.00108,0.565274387,0.769580846,0.736380707,9.32e-08
"CPSF5","BannerBBDP","ED","Wald ratio",1,19.822,6.089,405881700,0.00113,NA,NA,NA,3.4e-07
"GMPPA","BannerBBDP","ED","Wald ratio",1,-556.91,172.308,0,0.00123,NA,NA,NA,2.79e-07
"CCD43","BannerBBDP","ED","Wald ratio",1,-2.114,0.661,0.121,0.00139,NA,NA,NA,2.4e-06
"ADA11","BannerBBDP","ED","Wald ratio",1,-11.156,3.491,0,0.00139,NA,NA,NA,0.001354459
"DBF4B","BannerBBDP","ED","Wald ratio",1,7.299,2.284,1478.722,0.00139,NA,NA,NA,8.25e-06
"U5S1","BannerBBDP","ED","Wald ratio",1,24.527,7.675,44878380000,0.00139,NA,NA,NA,2.25e-06
"A16A1","BannerBBDP","ED","Inverse variance weighted",3,0.547,0.171,1.728,0.00142,0.34677469,0.292359078,0.428383678,0.55248914
"RAB12","BannerBBDP","ED","Inverse variance weighted",5,-5.096,1.598,0.006,0.00143,0.328527445,0.435993424,0.622292179,4.83e-08
"SBP1","BannerBBDP","ED","Inverse variance weighted",2,-1.528,0.485,0.217,0.00162,NA,0.65684794,NA,5.09e-06
"ANO8","BannerBBDP","ED","Inverse variance weighted",2,2.238,0.717,9.37,0.00181,NA,0.700772694,NA,0.001736886
"MFAP1","BannerBBDP","ED","Wald ratio",1,1.459,0.47,4.304,0.00191,NA,NA,NA,5.42e-08
"KCRU","BannerBBDP","ED","Wald ratio",1,2.442,0.787,11.501,0.00191,NA,NA,NA,4.34e-08
"HYPK","BannerBBDP","ED","Wald ratio",1,-1.835,0.591,0.16,0.00191,NA,NA,NA,7.61e-08
"PDIA3","BannerBBDP","ED","Wald ratio",1,-18.387,5.925,0,0.00191,NA,NA,NA,0.003261432
"ELL3","BannerBBDP","ED","Wald ratio",1,4.184,1.348,65.629,0.00191,NA,NA,NA,2.02e-07
"AP3M1","BannerBBDP","ED","Wald ratio",1,22.796,7.35,7949791000,0.00193,NA,NA,NA,1.21e-07
"ADK","BannerBBDP","ED","Wald ratio",1,2.021,0.652,7.544,0.00193,NA,NA,NA,0.034495681
"TSYL1","BannerBBDP","ED","Inverse variance weighted",2,-1.036,0.335,0.355,0.00198,NA,0.850644116,NA,4.86e-06
"CUL3","BannerBBDP","ED","Inverse variance weighted",3,-4.661,1.507,0.009,0.00198,0.246838189,0.333068998,0.570557022,2.23e-07
"ELP5","BannerBBDP","ED","Inverse variance weighted",2,-1.925,0.639,0.146,0.00259,NA,0.531535048,NA,2.57e-06
"BST2","BannerBBDP","ED","Wald ratio",1,3.021,1.005,20.515,0.00264,NA,NA,NA,2.23e-05
"GTPB3","BannerBBDP","ED","Wald ratio",1,-7.917,2.633,0,0.00264,NA,NA,NA,1.81e-05
"CHD2","BannerBBDP","ED","Inverse variance weighted",6,1.42,0.477,4.138,0.00288,0.464801649,0.594348667,0.760447345,2.07e-07
"MCA3","BannerBBDP","ED","Inverse variance weighted",2,-2.257,0.758,0.105,0.00293,NA,0.515310268,NA,5.67e-08
"RL24","BannerBBDP","ED","Wald ratio",1,1.308,0.441,3.699,0.00305,NA,NA,NA,5.53e-07
"CEP97","BannerBBDP","ED","Wald ratio",1,-2.316,0.782,0.099,0.00305,NA,NA,NA,3.15e-06
"B3GLT","BannerBBDP","ED","Inverse variance weighted",4,-0.327,0.111,0.721,0.00319,0.58789407,0.783060061,0.920256665,1.37e-07
"GLPC","BannerBBDP","ED","Inverse variance weighted",5,-0.525,0.179,0.591,0.00343,0.872642161,0.824451641,0.434460685,1.62e-07
"RN213","BannerBBDP","ED","Inverse variance weighted",3,1.461,0.5,4.312,0.00349,0.663691798,0.847047077,0.769894312,4.25e-08
"ABCD3","BannerBBDP","ED","Inverse variance weighted",3,3.665,1.257,39.056,0.00356,0.641654068,0.541380348,0.49830909,4.16e-05
"KIFC2","BannerBBDP","ED","Wald ratio",1,7.251,2.492,1410.124,0.00362,NA,NA,NA,5.06e-06
"VPS28","BannerBBDP","ED","Wald ratio",1,-25.093,8.623,0,0.00362,NA,NA,NA,1.82e-06
"CH082","BannerBBDP","ED","Wald ratio",1,12.586,4.325,292500.4,0.00362,NA,NA,NA,3.49e-06
"LRC14","BannerBBDP","ED","Wald ratio",1,20.312,6.98,662510500,0.00362,NA,NA,NA,0.00015193
"PP16A","BannerBBDP","ED","Wald ratio",1,-1.503,0.516,0.223,0.00362,NA,NA,NA,0.262942659
"CPSF1","BannerBBDP","ED","Wald ratio",1,7.864,2.702,2600.663,0.00362,NA,NA,NA,1.41e-06
"RHG39","BannerBBDP","ED","Wald ratio",1,6.644,2.283,768.389,0.00362,NA,NA,NA,1.49e-06
"ALAT1","BannerBBDP","ED","Wald ratio",1,-1.267,0.436,0.282,0.00362,NA,NA,NA,0.000331261
"XRCC4","BannerBBDP","ED","Inverse variance weighted",2,-1.483,0.514,0.227,0.0039,NA,0.537074511,NA,3.3e-06
"REEP5","BannerBBDP","ED","Inverse variance weighted",2,-1.867,0.647,0.155,0.00391,NA,0.818253071,NA,1.12e-07
"FOLR2","BannerBBDP","ED","Inverse variance weighted",2,0.647,0.226,1.909,0.00427,NA,0.899075226,NA,6.03e-07
"GRIN1","BannerBBDP","ED","Inverse variance weighted",3,-8.225,2.879,0,0.00428,0.945038131,0.90903783,0.740793688,2.28e-06
"NP1L5","BannerBBDP","ED","Wald ratio",1,2.935,1.03,18.817,0.00438,NA,NA,NA,5.01e-07
"NDRG2","BannerBBDP","ED","Inverse variance weighted",4,2.476,0.874,11.896,0.00462,0.740771181,0.740261005,0.503840858,1.49e-07
"RM34","BannerBBDP","ED","Inverse variance weighted",2,1.089,0.385,2.972,0.00467,NA,0.294847107,NA,1.76e-05
"APC","BannerBBDP","ED","Wald ratio",1,-10.015,3.542,0,0.00469,NA,NA,NA,9.27e-07
"RED1","BannerBBDP","ED","Wald ratio",1,1.309,0.465,3.703,0.00485,NA,NA,NA,1.39e-07
"SRPK2","BannerBBDP","ED","Inverse variance weighted",2,5.98,2.149,395.537,0.00538,NA,0.939273311,NA,1.02e-07
"NDUAC","BannerBBDP","ED","Inverse variance weighted",2,2.626,0.945,13.822,0.00543,NA,0.495363816,NA,5.44e-07
"IF5A1","BannerBBDP","ED","Inverse variance weighted",3,-4.881,1.771,0.008,0.00585,0.179464838,0.366852079,0.793593944,1.18e-07
"S23A2","BannerBBDP","ED","Inverse variance weighted",6,1.119,0.407,3.063,0.0059,0.602054679,0.721192563,0.74513278,1.66e-07
"KAD5","BannerBBDP","ED","Inverse variance weighted",4,0.982,0.357,2.669,0.00593,0.756807766,0.902799385,0.914406306,7.99e-07
"RT27","BannerBBDP","ED","Inverse variance weighted",2,-0.809,0.294,0.445,0.00599,NA,0.946018714,NA,1.22e-06
"PLD3","BannerBBDP","ED","Inverse variance weighted",2,-4.159,1.521,0.016,0.00626,NA,0.819693122,NA,5.71e-08
"SCO2","BannerBBDP","ED","Weighted median",3,-0.478,0.175,0.62,0.00627,0.012655497,0.038322121,0.860830553,1.63e-07
