"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CTNNB1","Brain Cortex","ED","Wald ratio",1,0.433,0.097,1.542,7.54e-06,NA,NA,NA,0.993212632
"RPS26","Brain Cortex","ED","Wald ratio",1,-0.191,0.044,0.826,1.37e-05,NA,NA,NA,0.988224746
"ERBB3","Brain Cortex","ED","Wald ratio",1,-1.108,0.255,0.33,1.37e-05,NA,NA,NA,0.988218191
"SUOX","Brain Cortex","ED","Wald ratio",1,-0.232,0.053,0.793,1.37e-05,NA,NA,NA,0.988224746
"RPL41","Brain Cortex","ED","Wald ratio",1,-0.852,0.196,0.426,1.37e-05,NA,NA,NA,0.988224746
"RAB5B","Brain Cortex","ED","Wald ratio",1,-0.576,0.132,0.562,1.37e-05,NA,NA,NA,0.988224746
"MGMT","Brain Cortex","ED","Inverse variance weighted",2,-0.14,0.033,0.869,1.57e-05,NA,0.401427694,NA,0.028342938
"PRKCSH","Brain Cortex","ED","Wald ratio",1,-0.312,0.075,0.732,2.75e-05,NA,NA,NA,0.986846639
"SRRM4","Brain Cortex","ED","Wald ratio",1,-1.14,0.285,0.32,6.51e-05,NA,NA,NA,0.952550359
"RBM6","Brain Cortex","ED","Wald ratio",1,0.822,0.208,2.275,7.54e-05,NA,NA,NA,0.946424564
"MST1","Brain Cortex","ED","Wald ratio",1,1.085,0.274,2.959,7.54e-05,NA,NA,NA,0.944948958
"RNF123","Brain Cortex","ED","Wald ratio",1,-0.283,0.071,0.754,7.54e-05,NA,NA,NA,0.945644047
"ARIH2","Brain Cortex","ED","Wald ratio",1,-0.219,0.055,0.803,7.54e-05,NA,NA,NA,0.946388519
"FAM19A2","Brain Cortex","ED","Wald ratio",1,0.367,0.094,1.444,9.24e-05,NA,NA,NA,0.958920822
"RP11-276H19.1","Brain Cortex","ED","Inverse variance weighted",2,0.161,0.041,1.174,0.000105,NA,0.413324655,NA,0.861049028
"ZBED3-AS1","Brain Cortex","ED","Wald ratio",1,0.816,0.219,2.261,0.000201,NA,NA,NA,0.877704068
"RFPL1S","Brain Cortex","ED","Wald ratio",1,-0.166,0.045,0.847,0.000201,NA,NA,NA,0.88978999
"AL513166.1","Brain Cortex","ED","Wald ratio",1,0.622,0.168,1.862,0.000219,NA,NA,NA,0.860275788
"BAG6","Brain Cortex","ED","Inverse variance weighted",6,-0.041,0.011,0.96,0.000267,0.749936103,0.796843524,0.542982236,0.016933749
"SNHG5","Brain Cortex","ED","Wald ratio",1,0.266,0.073,1.305,0.000286,NA,NA,NA,0.827069528
"GLRX2","Brain Cortex","ED","Wald ratio",1,0.467,0.13,1.595,0.000319,NA,NA,NA,0.821392214
"LINC01031","Brain Cortex","ED","Wald ratio",1,0.318,0.088,1.374,0.000319,NA,NA,NA,0.820318712
"EPHA10","Brain Cortex","ED","Wald ratio",1,-0.238,0.066,0.788,0.000327,NA,NA,NA,0.821047646
"C1orf109","Brain Cortex","ED","Wald ratio",1,-0.286,0.08,0.751,0.000327,NA,NA,NA,0.821047794
"ZCCHC2","Brain Cortex","ED","Wald ratio",1,0.234,0.066,1.264,0.000393,NA,NA,NA,0.789235771
"PTBP2","Brain Cortex","ED","Wald ratio",1,0.242,0.068,1.273,0.000395,NA,NA,NA,0.814172303
"VAMP2","Brain Cortex","ED","Wald ratio",1,0.707,0.2,2.028,0.000413,NA,NA,NA,0.794844651
"CTC1","Brain Cortex","ED","Wald ratio",1,0.297,0.084,1.345,0.000413,NA,NA,NA,0.794822904
"PER1","Brain Cortex","ED","Wald ratio",1,-0.096,0.027,0.909,0.000413,NA,NA,NA,0.794844651
"ITGA8","Brain Cortex","ED","Inverse variance weighted",2,0.265,0.076,1.303,0.000449,NA,0.677527175,NA,0.501200168
"DOP1B","Brain Cortex","ED","Wald ratio",1,-0.796,0.228,0.451,0.000483,NA,NA,NA,0.753123987
"CBR3-AS1","Brain Cortex","ED","Wald ratio",1,-0.146,0.042,0.865,0.000483,NA,NA,NA,0.753124087
"CBR3","Brain Cortex","ED","Wald ratio",1,-0.273,0.078,0.761,0.000483,NA,NA,NA,0.753111272
"CTD-2380F24.1","Brain Cortex","ED","Wald ratio",1,-0.133,0.038,0.875,0.000504,NA,NA,NA,0.78847648
"IQCK","Brain Cortex","ED","Wald ratio",1,-1.118,0.321,0.327,0.000504,NA,NA,NA,0.785915787
"KNOP1","Brain Cortex","ED","Wald ratio",1,0.186,0.053,1.205,0.000504,NA,NA,NA,0.78847648
"AC027130.1","Brain Cortex","ED","Wald ratio",1,-0.752,0.216,0.471,0.000504,NA,NA,NA,0.78847648
"MICOS10","Brain Cortex","ED","Inverse variance weighted",3,-0.216,0.062,0.805,0.000527,0.385273462,0.365877671,0.463662696,0.426243863
"BAG6","Brain Cortex","ED","Weighted median",6,-0.041,0.012,0.959,0.000639,0.749936103,0.796843524,0.542982236,0.016933749
"DHX33","Brain Cortex","ED","Wald ratio",1,0.281,0.082,1.325,0.000641,NA,NA,NA,0.778430687
"MIS12","Brain Cortex","ED","Wald ratio",1,0.625,0.183,1.868,0.000641,NA,NA,NA,0.778937033
"ALDH16A1","Brain Cortex","ED","Wald ratio",1,0.15,0.044,1.162,0.000697,NA,NA,NA,0.702082088
"PIH1D1","Brain Cortex","ED","Wald ratio",1,-0.29,0.086,0.748,0.000697,NA,NA,NA,0.702082088
"UTP18","Brain Cortex","ED","Wald ratio",1,0.21,0.062,1.234,0.000765,NA,NA,NA,0.640501122
"ACADVL","Brain Cortex","ED","Wald ratio",1,-0.352,0.106,0.703,0.000903,NA,NA,NA,0.623348593
"ELP5","Brain Cortex","ED","Wald ratio",1,0.293,0.088,1.34,0.000903,NA,NA,NA,0.621722126
"DLG4","Brain Cortex","ED","Wald ratio",1,-0.54,0.163,0.583,0.000903,NA,NA,NA,0.623348593
"CTDNEP1","Brain Cortex","ED","Wald ratio",1,-0.143,0.043,0.867,0.000903,NA,NA,NA,0.623348593
"TTC13","Brain Cortex","ED","Wald ratio",1,0.212,0.064,1.236,0.000968,NA,NA,NA,0.682666844
"ARV1","Brain Cortex","ED","Wald ratio",1,-0.129,0.039,0.879,0.000968,NA,NA,NA,0.68266799
"STK35","Brain Cortex","ED","Wald ratio",1,-0.965,0.294,0.381,0.00103,NA,NA,NA,0.648964435
"MTMR12","Brain Cortex","ED","Wald ratio",1,0.276,0.084,1.317,0.00104,NA,NA,NA,0.607688334
"MUC20","Brain Cortex","ED","Inverse variance weighted",3,0.328,0.1,1.388,0.00109,0.351323454,0.501076062,0.604218752,0.130119728
"FRRS1L","Brain Cortex","ED","Wald ratio",1,0.403,0.124,1.497,0.00117,NA,NA,NA,0.623520588
"THBS4","Brain Cortex","ED","Wald ratio",1,0.162,0.05,1.176,0.00118,NA,NA,NA,0.559899915
"AL132780.1","Brain Cortex","ED","Wald ratio",1,0.359,0.112,1.431,0.0013,NA,NA,NA,0.543289187
"RBM23","Brain Cortex","ED","Wald ratio",1,0.065,0.02,1.067,0.0013,NA,NA,NA,0.543289187
"RP11-298I3.1","Brain Cortex","ED","Wald ratio",1,0.156,0.048,1.169,0.0013,NA,NA,NA,0.543289187
"HAUS4","Brain Cortex","ED","Wald ratio",1,0.784,0.244,2.189,0.0013,NA,NA,NA,0.54328291
"ADK","Brain Cortex","ED","Wald ratio",1,0.112,0.035,1.119,0.00138,NA,NA,NA,0.541603513
"GRK6","Brain Cortex","ED","Wald ratio",1,-0.533,0.167,0.587,0.00141,NA,NA,NA,0.527688902
"DBN1","Brain Cortex","ED","Wald ratio",1,-0.276,0.086,0.759,0.00141,NA,NA,NA,0.527688902
"PCMT1","Brain Cortex","ED","Inverse variance weighted",2,-0.203,0.064,0.817,0.00142,NA,0.93131342,NA,0.345923053
"ACAT1","Brain Cortex","ED","Wald ratio",1,-0.544,0.171,0.581,0.00146,NA,NA,NA,0.571031312
"ZSCAN26","Brain Cortex","ED","Wald ratio",1,0.659,0.207,1.932,0.00148,NA,NA,NA,0.550108058
"ZSCAN16-AS1","Brain Cortex","ED","Wald ratio",1,0.32,0.101,1.377,0.00148,NA,NA,NA,0.550109318
"RP1-313I6.12","Brain Cortex","ED","Wald ratio",1,0.146,0.046,1.157,0.00148,NA,NA,NA,0.550109318
"SEC11C","Brain Cortex","ED","Wald ratio",1,-0.198,0.063,0.82,0.00161,NA,NA,NA,0.512136397
"FES","Brain Cortex","ED","Wald ratio",1,0.161,0.051,1.175,0.00163,NA,NA,NA,0.493360982
"GRIK1-AS1","Brain Cortex","ED","Wald ratio",1,-0.185,0.059,0.831,0.00164,NA,NA,NA,0.589263285
"TLE4","Brain Cortex","ED","Wald ratio",1,-0.193,0.062,0.825,0.00171,NA,NA,NA,0.493615726
"PPP2R1A","Brain Cortex","ED","Wald ratio",1,-0.789,0.252,0.454,0.00175,NA,NA,NA,0.500086511
"GMPR","Brain Cortex","ED","Wald ratio",1,0.193,0.062,1.213,0.00183,NA,NA,NA,0.463381125
"KMT2E","Brain Cortex","ED","Inverse variance weighted",2,0.191,0.061,1.21,0.00184,NA,0.618915491,NA,0.015085768
"FAM174A","Brain Cortex","ED","Wald ratio",1,-0.262,0.084,0.77,0.00186,NA,NA,NA,0.494323581
"RP11-275H4.1","Brain Cortex","ED","Inverse variance weighted",2,-0.06,0.019,0.942,0.00191,NA,0.265876363,NA,0.065724272
"BCL2A1","Brain Cortex","ED","Wald ratio",1,-0.24,0.077,0.787,0.00191,NA,NA,NA,0.479740827
"SNTG1","Brain Cortex","ED","Inverse variance weighted",2,0.236,0.076,1.267,0.00196,NA,0.774040018,NA,0.29772852
"NDUFS1","Brain Cortex","ED","Wald ratio",1,-0.396,0.128,0.673,0.00202,NA,NA,NA,0.015364794
"INO80D","Brain Cortex","ED","Wald ratio",1,-0.529,0.171,0.589,0.00202,NA,NA,NA,0.440041664
"C16orf72","Brain Cortex","ED","Wald ratio",1,0.639,0.207,1.894,0.00204,NA,NA,NA,0.465057912
"AC068308.1","Brain Cortex","ED","Wald ratio",1,-0.573,0.186,0.564,0.00205,NA,NA,NA,0.450825979
"SMYD2","Brain Cortex","ED","Wald ratio",1,0.237,0.077,1.267,0.00217,NA,NA,NA,0.421907558
"MICOS10","Brain Cortex","ED","Weighted median",3,-0.207,0.068,0.813,0.00223,0.385273462,0.365877671,0.463662696,0.426243863
"TMEM120A","Brain Cortex","ED","Wald ratio",1,0.223,0.073,1.249,0.00237,NA,NA,NA,0.427779905
"STYXL1","Brain Cortex","ED","Wald ratio",1,-0.138,0.045,0.871,0.00237,NA,NA,NA,0.428099033
"TAOK3","Brain Cortex","ED","Wald ratio",1,-1.321,0.437,0.267,0.00253,NA,NA,NA,0.637659764
"FAM65C","Brain Cortex","ED","Wald ratio",1,-0.348,0.115,0.706,0.00255,NA,NA,NA,0.440750397
"TMEM273","Brain Cortex","ED","Wald ratio",1,0.699,0.233,2.012,0.00264,NA,NA,NA,0.380908021
"SCN1B","Brain Cortex","ED","Wald ratio",1,-0.457,0.154,0.633,0.00288,NA,NA,NA,0.599192567
"MFSD13A","Brain Cortex","ED","Wald ratio",1,0.537,0.18,1.711,0.0029,NA,NA,NA,0.367338039
"TMEM180","Brain Cortex","ED","Wald ratio",1,0.061,0.02,1.063,0.0029,NA,NA,NA,0.367338039
"ACTR1A","Brain Cortex","ED","Wald ratio",1,-0.143,0.048,0.867,0.0029,NA,NA,NA,0.367336632
"WBP1L","Brain Cortex","ED","Wald ratio",1,0.783,0.263,2.187,0.0029,NA,NA,NA,0.36647445
"PSMC6","Brain Cortex","ED","Wald ratio",1,-0.773,0.26,0.462,0.00297,NA,NA,NA,0.355461696
"GNPNAT1","Brain Cortex","ED","Wald ratio",1,-0.182,0.061,0.834,0.00297,NA,NA,NA,0.355823444
"SLU7","Brain Cortex","ED","Inverse variance weighted",3,0.209,0.07,1.232,0.00298,0.693229743,0.914113291,0.902172537,0.016661581
"LINC00381","Brain Cortex","ED","Inverse variance weighted",2,0.129,0.044,1.138,0.00308,NA,0.584084399,NA,0.041816157
"LINC01750","Brain Cortex","ED","Wald ratio",1,-0.365,0.123,0.695,0.0031,NA,NA,NA,0.442062976
"RP11-88H9.2","Brain Cortex","ED","Wald ratio",1,0.077,0.026,1.081,0.0031,NA,NA,NA,0.442062976
"DENND6B","Brain Cortex","ED","Inverse variance weighted",2,-0.329,0.111,0.719,0.00311,NA,0.302836605,NA,0.109442112
"COBL","Brain Cortex","ED","Wald ratio",1,-0.154,0.052,0.858,0.00312,NA,NA,NA,0.342550282
"RP11-110G21.1","Brain Cortex","ED","Wald ratio",1,-0.233,0.079,0.792,0.00322,NA,NA,NA,0.372534821
"AFF3","Brain Cortex","ED","Wald ratio",1,0.255,0.087,1.29,0.00324,NA,NA,NA,0.397733955
