"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"DHRS11","Brain Amygdala","OCD","Wald ratio",1,-0.179,0.046,0.836,8.82e-05,NA,NA,NA,0.961746252
"MYO19","Brain Amygdala","OCD","Wald ratio",1,-0.309,0.079,0.734,8.82e-05,NA,NA,NA,0.907242844
"CSGALNACT2","Brain Amygdala","OCD","Wald ratio",1,-0.181,0.049,0.835,0.000263,NA,NA,NA,0.914295309
"TTC27","Brain Amygdala","OCD","Wald ratio",1,-0.186,0.058,0.831,0.00129,NA,NA,NA,0.456018202
"NAPSB","Brain Amygdala","OCD","Wald ratio",1,-0.114,0.036,0.892,0.00164,NA,NA,NA,0.647624388
"PCDHGA11","Brain Amygdala","OCD","Wald ratio",1,-0.079,0.026,0.924,0.00194,NA,NA,NA,0.000245797
"TMEM80","Brain Amygdala","OCD","Wald ratio",1,-0.118,0.039,0.888,0.0021,NA,NA,NA,0.61190348
"DRD4","Brain Amygdala","OCD","Wald ratio",1,0.223,0.073,1.25,0.0021,NA,NA,NA,0.166442848
"ADAMTS7P4","Brain Amygdala","OCD","Wald ratio",1,-0.125,0.042,0.883,0.00276,NA,NA,NA,0.216324989
"PADI4","Brain Amygdala","OCD","Wald ratio",1,-0.13,0.043,0.878,0.00284,NA,NA,NA,0.51458273
"ACADS","Brain Amygdala","OCD","Wald ratio",1,-0.259,0.091,0.772,0.00451,NA,NA,NA,0.293762338
"NLRC4","Brain Amygdala","OCD","Wald ratio",1,0.212,0.075,1.236,0.00471,NA,NA,NA,0.0492127
"SLC25A26","Brain Amygdala","OCD","Inverse variance weighted",2,0.088,0.032,1.092,0.00516,NA,0.384340274,NA,0.001324315
"CYB561","Brain Amygdala","OCD","Wald ratio",1,0.169,0.061,1.184,0.00599,NA,NA,NA,0.344183509
"SLC9A8","Brain Amygdala","OCD","Wald ratio",1,-0.181,0.067,0.834,0.00663,NA,NA,NA,0.162618376
"FABP1","Brain Amygdala","OCD","Wald ratio",1,-0.082,0.03,0.921,0.00673,NA,NA,NA,0.324367424
"CDRT4","Brain Amygdala","OCD","Wald ratio",1,-0.18,0.07,0.836,0.0101,NA,NA,NA,0.248145117
"NME7","Brain Amygdala","OCD","Wald ratio",1,0.174,0.068,1.19,0.0102,NA,NA,NA,0.240584294
"LRPPRC","Brain Amygdala","OCD","Wald ratio",1,-0.162,0.063,0.85,0.0103,NA,NA,NA,0.249298691
"MLST8","Brain Amygdala","OCD","Wald ratio",1,0.268,0.104,1.307,0.0103,NA,NA,NA,0.262607308
"ZNF320","Brain Amygdala","OCD","Wald ratio",1,-0.171,0.067,0.843,0.0111,NA,NA,NA,0.233567423
"RRM1","Brain Amygdala","OCD","Wald ratio",1,-0.135,0.053,0.874,0.0114,NA,NA,NA,0.153683532
"ANKS1A","Brain Amygdala","OCD","Wald ratio",1,-0.153,0.061,0.858,0.0117,NA,NA,NA,0.158088977
"TRIM51DP","Brain Amygdala","OCD","Wald ratio",1,0.123,0.049,1.131,0.0125,NA,NA,NA,0.188621947
"GRM5P1","Brain Amygdala","OCD","Wald ratio",1,0.108,0.043,1.114,0.0125,NA,NA,NA,0.221008978
"PPP2R1B","Brain Amygdala","OCD","Wald ratio",1,-0.151,0.061,0.86,0.0138,NA,NA,NA,0.208827843
"PAN3-AS1","Brain Amygdala","OCD","Wald ratio",1,-0.151,0.061,0.86,0.0142,NA,NA,NA,0.041550025
"NOS2P3","Brain Amygdala","OCD","Wald ratio",1,0.1,0.041,1.105,0.0146,NA,NA,NA,0.195986362
"SPECC1-DT","Brain Amygdala","OCD","Wald ratio",1,0.165,0.068,1.179,0.0146,NA,NA,NA,0.041161586
"CA12","Brain Amygdala","OCD","Wald ratio",1,-0.137,0.056,0.872,0.0147,NA,NA,NA,0.000363722
"EIF2B2","Brain Amygdala","OCD","Wald ratio",1,0.15,0.063,1.162,0.0166,NA,NA,NA,0.179406433
"TRPV3","Brain Amygdala","OCD","Wald ratio",1,0.142,0.06,1.152,0.0172,NA,NA,NA,0.13143103
"PCED1A","Brain Amygdala","OCD","Wald ratio",1,0.199,0.084,1.22,0.0176,NA,NA,NA,0.16478586
"INSYN1-AS1","Brain Amygdala","OCD","Wald ratio",1,0.122,0.051,1.13,0.0179,NA,NA,NA,0.026132987
"C5orf22","Brain Amygdala","OCD","Wald ratio",1,0.249,0.105,1.282,0.0182,NA,NA,NA,0.001113228
"ZP3","Brain Amygdala","OCD","Wald ratio",1,-0.06,0.026,0.942,0.0192,NA,NA,NA,0.176260311
"LINC03009","Brain Amygdala","OCD","Wald ratio",1,-0.075,0.032,0.928,0.0192,NA,NA,NA,0.176260294
"HMGB1P31","Brain Amygdala","OCD","Wald ratio",1,0.088,0.037,1.092,0.0192,NA,NA,NA,0.162004603
"HADHB","Brain Amygdala","OCD","Wald ratio",1,0.232,0.099,1.261,0.0192,NA,NA,NA,0.186465152
"PRPH2","Brain Amygdala","OCD","Wald ratio",1,0.085,0.037,1.089,0.0202,NA,NA,NA,0.168280768
"CYP2C8","Brain Amygdala","OCD","Wald ratio",1,-0.13,0.056,0.878,0.0205,NA,NA,NA,0.048315001
"HAUS1","Brain Amygdala","OCD","Wald ratio",1,0.169,0.073,1.184,0.0206,NA,NA,NA,0.003526542
"LEPROT","Brain Amygdala","OCD","Wald ratio",1,0.168,0.073,1.183,0.0216,NA,NA,NA,0.148235712
"PLCD4","Brain Amygdala","OCD","Wald ratio",1,0.166,0.072,1.18,0.0216,NA,NA,NA,0.016135777
"DSCC1","Brain Amygdala","OCD","Wald ratio",1,-0.078,0.034,0.925,0.0216,NA,NA,NA,0.183881685
"STK33","Brain Amygdala","OCD","Wald ratio",1,-0.209,0.092,0.811,0.0224,NA,NA,NA,0.112699701
"MRPL19","Brain Amygdala","OCD","Wald ratio",1,-0.105,0.046,0.9,0.023,NA,NA,NA,0.156606434
"KRI1","Brain Amygdala","OCD","Wald ratio",1,-0.138,0.061,0.871,0.0233,NA,NA,NA,0.150535407
"SLC2A1-DT","Brain Amygdala","OCD","Wald ratio",1,0.085,0.037,1.088,0.0235,NA,NA,NA,0.137366051
"TRGC2","Brain Amygdala","OCD","Wald ratio",1,-0.103,0.046,0.902,0.0251,NA,NA,NA,0.132825649
"TRGJP2","Brain Amygdala","OCD","Wald ratio",1,-0.116,0.052,0.89,0.0251,NA,NA,NA,0.120916571
"SCRN2","Brain Amygdala","OCD","Wald ratio",1,-0.173,0.077,0.841,0.0258,NA,NA,NA,0.16180821
"AGAP12P","Brain Amygdala","OCD","Inverse variance weighted",2,-0.083,0.037,0.92,0.0265,NA,0.929661776,NA,0.098271985
"PLA2G4C","Brain Amygdala","OCD","Wald ratio",1,0.138,0.062,1.148,0.0267,NA,NA,NA,0.025162609
"VPREB3","Brain Amygdala","OCD","Wald ratio",1,-0.085,0.039,0.918,0.0274,NA,NA,NA,0.155776081
"DMAP1","Brain Amygdala","OCD","Wald ratio",1,0.132,0.06,1.141,0.0277,NA,NA,NA,0.000819136
"ALDH16A1","Brain Amygdala","OCD","Wald ratio",1,0.127,0.058,1.136,0.0284,NA,NA,NA,0.138773636
"MTUS1","Brain Amygdala","OCD","Wald ratio",1,0.149,0.068,1.161,0.0288,NA,NA,NA,0.134358822
"KCNT1","Brain Amygdala","OCD","Wald ratio",1,0.187,0.086,1.205,0.0293,NA,NA,NA,0.144899628
"MARCHF7","Brain Amygdala","OCD","Wald ratio",1,-0.161,0.074,0.852,0.0309,NA,NA,NA,0.03359277
