"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"GRHL3","Brain","OCD","Wald ratio",1," 0.271","0.083","1.311","1.12e-03",NA,NA,NA,0.715921561
"CFAP251","Brain","OCD","Wald ratio",1," 0.203","0.065","1.224","1.83e-03",NA,NA,NA,0.602851494
"GALM","Brain","OCD","Wald ratio",1,"-0.289","0.093","0.749","1.92e-03",NA,NA,NA,0.604658373
"ZNF236-DT","Brain","OCD","Wald ratio",1,"-0.215","0.070","0.806","1.98e-03",NA,NA,NA,0.621417063
"ENSG00000291212","Brain","OCD","Wald ratio",1," 0.224","0.073","1.252","1.99e-03",NA,NA,NA,0.616494467
"DNAJC18","Brain","OCD","Wald ratio",1," 0.225","0.075","1.252","2.79e-03",NA,NA,NA,0.531037364
"GRID1","Brain","OCD","Wald ratio",1,"-0.948","0.318","0.387","2.88e-03",NA,NA,NA,0.625142185
"CHMP1A","Brain","OCD","Wald ratio",1,"-0.186","0.063","0.830","3.05e-03",NA,NA,NA,0.561201017
"GRM3","Brain","OCD","Wald ratio",1,"-0.272","0.094","0.762","3.75e-03",NA,NA,NA,0.449882371
"ENSG00000262039","Brain","OCD","Wald ratio",1," 0.360","0.127","1.433","4.70e-03",NA,NA,NA,0.446029534
"STMN4","Brain","OCD","Wald ratio",1," 0.087","0.031","1.090","5.02e-03",NA,NA,NA,0.384635405
"RGS9","Brain","OCD","Wald ratio",1," 0.149","0.055","1.161","6.87e-03",NA,NA,NA,0.347503227
"GMDS-DT","Brain","OCD","Wald ratio",1," 0.171","0.064","1.187","6.98e-03",NA,NA,NA,0.314398875
"TTN","Brain","OCD","Wald ratio",1,"-0.347","0.129","0.706","7.13e-03",NA,NA,NA,0.370795458
"TANC2","Brain","OCD","Wald ratio",1,"-0.097","0.036","0.908","7.84e-03",NA,NA,NA,0.292864537
"AGMO","Brain","OCD","Wald ratio",1," 0.267","0.101","1.306","8.34e-03",NA,NA,NA,0.288399016
"HTT","Brain","OCD","Wald ratio",1,"-0.117","0.046","0.889","1.10e-02",NA,NA,NA,0.245359535
"ANKS1A","Brain","OCD","Wald ratio",1," 0.111","0.044","1.117","1.13e-02",NA,NA,NA,0.238184687
"CHRDL2","Brain","OCD","Wald ratio",1,"-0.357","0.143","0.699","1.27e-02",NA,NA,NA,0.340794723
"MED12L","Brain","OCD","Wald ratio",1,"-0.256","0.104","0.774","1.44e-02",NA,NA,NA,0.208099892
"CCDC77","Brain","OCD","Wald ratio",1," 0.205","0.084","1.227","1.46e-02",NA,NA,NA,0.213234192
"GCH1","Brain","OCD","Wald ratio",1," 0.159","0.066","1.172","1.65e-02",NA,NA,NA,0.239657441
"CCDC188BP","Brain","OCD","Wald ratio",1,"-0.356","0.149","0.700","1.69e-02",NA,NA,NA,0.232307528
