"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"PFKAM","BannerBBDP","OCD","Wald ratio",1,2.628,0.64,13.84,4.03e-05,NA,NA,NA,1.49e-07
"MEF2D","BannerBBDP","OCD","Inverse variance weighted",2,113.565,29.575,2.092784e+49,0.000123,NA,0.939650183,NA,9.75e-07
"RAP2B","BannerBBDP","OCD","Inverse variance weighted",2,5.806,1.517,332.384,0.000129,NA,0.702312306,NA,4.02e-07
"SYNE1","BannerBBDP","OCD","Inverse variance weighted",9,3.574,0.938,35.674,0.000138,0.943425624,0.938392265,0.44164779,2.83e-07
"ECHB","BannerBBDP","OCD","Inverse variance weighted",2,7.67,2.049,2144.044,0.000181,NA,0.882375642,NA,5.1e-07
"GRK6","BannerBBDP","OCD","Inverse variance weighted",3,-5.359,1.465,0.005,0.000254,0.425042093,0.624330462,0.678411332,1.44e-07
"TTYH1","BannerBBDP","OCD","Inverse variance weighted",3,-2.686,0.745,0.068,0.000311,0.636667738,0.765363874,0.675845278,9.33e-07
"LST2","BannerBBDP","OCD","Inverse variance weighted",2,3.383,0.951,29.454,0.000373,NA,0.249375759,NA,1.67e-06
"TMED9","BannerBBDP","OCD","Wald ratio",1,-7.301,2.106,0.001,0.000528,NA,NA,NA,9.3e-07
"TCPG","BannerBBDP","OCD","Inverse variance weighted",2,-20.551,5.968,0,0.000574,NA,0.312935087,NA,2.33e-06
"TM175","BannerBBDP","OCD","Inverse variance weighted",2,-2.181,0.658,0.113,0.000921,NA,0.329167899,NA,7.39e-07
"TM209","BannerBBDP","OCD","Inverse variance weighted",2,-3.137,0.951,0.043,0.000966,NA,0.65109195,NA,4.01e-05
"ASF1A","BannerBBDP","OCD","Wald ratio",1,-3.521,1.074,0.03,0.00105,NA,NA,NA,7.11e-07
"GPC5B","BannerBBDP","OCD","Inverse variance weighted",2,2.444,0.755,11.517,0.00121,NA,0.367054124,NA,0.003045954
"RBBP9","BannerBBDP","OCD","Wald ratio",1,-3.977,1.252,0.019,0.00149,NA,NA,NA,0.28463754
"SC23B","BannerBBDP","OCD","Wald ratio",1,87.474,27.54,9.761027e+37,0.00149,NA,NA,NA,0.000229718
"HIKES","BannerBBDP","OCD","Inverse variance weighted",2,2.173,0.689,8.785,0.00162,NA,0.635832361,NA,1.24e-06
"TNKS1","BannerBBDP","OCD","Inverse variance weighted",3,1.412,0.448,4.104,0.00162,0.27824193,0.554582308,0.96568129,4.46e-06
"NGEF","BannerBBDP","OCD","Inverse variance weighted",2,2.159,0.686,8.661,0.00164,NA,0.618205515,NA,8.27e-08
"MTA2","BannerBBDP","OCD","Wald ratio",1,25.691,8.302,143733200000,0.00197,NA,NA,NA,6.96e-08
"UBXN1","BannerBBDP","OCD","Wald ratio",1,25.308,8.178,97940270000,0.00197,NA,NA,NA,1.06e-07
"EMAL3","BannerBBDP","OCD","Wald ratio",1,16.611,5.368,16366670,0.00197,NA,NA,NA,6.68e-07
"EF1G","BannerBBDP","OCD","Wald ratio",1,10.36,3.348,31570.05,0.00197,NA,NA,NA,7.99e-08
"GANAB","BannerBBDP","OCD","Wald ratio",1,-3.368,1.088,0.034,0.00197,NA,NA,NA,2.57e-07
"CC28A","BannerBBDP","OCD","Inverse variance weighted",3,4.261,1.382,70.872,0.00205,0.263930748,0.364254127,0.575765345,2.25e-07
"AT8A1","BannerBBDP","OCD","Inverse variance weighted",3,-2.513,0.82,0.081,0.00218,0.953781381,0.940246071,0.787812644,4.34e-06
"LRRT1","BannerBBDP","OCD","Inverse variance weighted",3,-3.991,1.304,0.018,0.00221,0.79474325,0.756192673,0.610822691,2.22e-05
