"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SPAG1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.106","0.034","0.899","1.63e-03",NA,NA,NA,0.51433222
"SH3RF3","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.083","0.027","1.087","2.12e-03",NA,NA,NA,0.451301991
"MAD1L1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.093","0.033","0.911","4.94e-03",NA,NA,NA,0.286685885
"TBX19","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.096","0.036","0.908","7.69e-03",NA,NA,NA,0.311886428
"HFM1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.124","0.047","1.132","8.43e-03",NA,NA,NA,0.285094883
"MUC12","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.063","0.024","0.939","9.08e-03",NA,NA,NA,0.186358058
"ABCA1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.121","0.047","1.129","9.14e-03",NA,NA,NA,0.239696634
"THBS2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.082","0.031","0.922","9.32e-03",NA,NA,NA,0.186493023
"KCNMB2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.116","0.045","0.890","1.04e-02",NA,NA,NA,0.170708155
"ANKRD36B","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.047","0.018","1.048","1.05e-02",NA,NA,NA,0.167196196
"WDR37","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.077","0.031","1.080","1.23e-02",NA,NA,NA,0.19489462
"TSNARE1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.058","0.023","0.944","1.24e-02",NA,NA,NA,0.14166685
"BCAR1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.088","0.035","1.092","1.27e-02",NA,NA,NA,0.139652554
"CHAF1A","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.078","0.032","1.081","1.38e-02",NA,NA,NA,0.131701495
"DLGAP2","Brain Prefrontal cortex","PTSD","Inverse variance weighted",6," 0.021","0.009","1.021","2.14e-02",0.600467379,0.486004541,0.261754922,0.009241313
"TBC1D1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.049","0.023","1.050","3.09e-02",NA,NA,NA,0.078858509
"COL5A2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.079","0.037","1.083","3.12e-02",NA,NA,NA,0.084568579
"NPM1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.073","0.034","1.075","3.25e-02",NA,NA,NA,0.068479625
"C19orf12","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.094","0.044","0.910","3.35e-02",NA,NA,NA,0.075807502
"THAP4","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.048","0.022","1.049","3.38e-02",NA,NA,NA,0.089112996
"ARHGEF18","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.068","0.032","1.070","3.48e-02",NA,NA,NA,0.072207148
"SCG3","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.067","0.032","1.069","3.51e-02",NA,NA,NA,0.063230152
"TTC13","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.080","0.038","1.083","3.73e-02",NA,NA,NA,0.080607037
"RHEX","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.076","0.036","0.927","3.79e-02",NA,NA,NA,0.06712109
"KIF1A","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.044","0.022","1.045","4.32e-02",NA,NA,NA,0.065626795
"TRPS1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.063","0.031","0.939","4.34e-02",NA,NA,NA,0.05351238
"UCN3","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.064","0.032","1.066","4.36e-02",NA,NA,NA,0.058510928
"PKD1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.070","0.035","1.072","4.50e-02",NA,NA,NA,0.07688609
"RPH3AL","Brain Prefrontal cortex","PTSD","Weighted median",4,"-0.044","0.022","0.957","4.54e-02",0.011938732,0.013985381,0.592688638,0.085228893
"FOXP1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.061","0.031","1.063","4.55e-02",NA,NA,NA,0.055920037
"SLC5A8","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.060","0.030","0.942","4.67e-02",NA,NA,NA,0.060555711
"CHST9","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.068","0.035","1.070","5.17e-02",NA,NA,NA,0.046273323
"COL22A1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.072","0.037","1.075","5.32e-02",NA,NA,NA,0.056983294
"NRXN1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.087","0.045","1.091","5.41e-02",NA,NA,NA,0.044560462
"F13A1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.049","0.025","0.953","5.55e-02",NA,NA,NA,0.077697912
"CACNA1C","Brain Prefrontal cortex","PTSD","Weighted median",3," 0.036","0.019","1.037","5.64e-02",0.078048685,0.105653344,0.624596324,0.191481199
"NFATC1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.063","0.034","1.065","6.50e-02",NA,NA,NA,0.041726787
"KIF26A","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.048","0.026","0.953","6.70e-02",NA,NA,NA,0.047477436
"ZNF385B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.048","0.026","0.954","6.72e-02",NA,NA,NA,0.081030669
"CCDC6","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.035","0.019","0.966","6.88e-02",NA,NA,NA,0.037374115
"KCNG2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.034","0.019","0.966","7.09e-02",NA,NA,NA,0.052382085
"SNTG2","Brain Prefrontal cortex","PTSD","Inverse variance weighted",3,"-0.025","0.014","0.975","7.17e-02",0.619491169,0.837229082,0.79722544,0.013790183
"DNAJC15","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.070","0.039","1.072","7.20e-02",NA,NA,NA,0.041389771
"STAC","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.067","0.038","1.069","7.55e-02",NA,NA,NA,0.039935376
"GHRL","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.050","0.028","0.951","7.78e-02",NA,NA,NA,0.033468407
"DOCK8","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.078","0.044","0.925","7.79e-02",NA,NA,NA,0.034309437
"RYR3","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.064","0.036","1.066","7.95e-02",NA,NA,NA,0.029519897
"PDIA5","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.032","0.019","0.968","8.20e-02",NA,NA,NA,0.039432088
"GSDME","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.073","0.042","1.075","8.36e-02",NA,NA,NA,0.032476895
"EXT1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.025","0.015","1.025","8.57e-02",NA,NA,NA,0.039655486
"RIMS2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.067","0.039","0.935","8.58e-02",NA,NA,NA,0.040160045
"TP63","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.040","0.024","1.041","8.79e-02",NA,NA,NA,0.053990773
"SLC8A2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.073","0.043","0.930","8.81e-02",NA,NA,NA,0.03655308
"LRPAP1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.044","0.026","0.957","8.86e-02",NA,NA,NA,0.030256575
