"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"PDCD6IPP2","Brain","PTSD","Wald ratio",1,"-0.602","0.194","0.548","1.96e-03",NA,NA,NA,0.70089654
"PLEKHH2","Brain","PTSD","Wald ratio",1,"-0.095","0.031","0.910","2.31e-03",NA,NA,NA,0.43029932
"TARS1","Brain","PTSD","Wald ratio",1," 0.157","0.054","1.170","3.44e-03",NA,NA,NA,0.377131049
"CRACD","Brain","PTSD","Wald ratio",1,"-0.160","0.056","0.852","4.30e-03",NA,NA,NA,0.312853607
"RCCD1","Brain","PTSD","Wald ratio",1,"-0.084","0.029","0.920","4.38e-03",NA,NA,NA,0.301680556
"GET1-SH3BGR","Brain","PTSD","Wald ratio",1," 0.119","0.044","1.126","6.83e-03",NA,NA,NA,0.255471891
"SLC7A7","Brain","PTSD","Wald ratio",1," 0.169","0.063","1.184","7.17e-03",NA,NA,NA,0.231523278
"LINC01356","Brain","PTSD","Wald ratio",1,"-0.219","0.081","0.803","7.22e-03",NA,NA,NA,0.289368483
"ADGRB3","Brain","PTSD","Inverse variance weighted",2," 0.133","0.050","1.142","7.99e-03",NA,0.414321254,NA,0.026050648
"TCF20","Brain","PTSD","Wald ratio",1," 0.474","0.181","1.606","8.72e-03",NA,NA,NA,0.379853499
"RNF157","Brain","PTSD","Wald ratio",1," 0.183","0.071","1.201","1.04e-02",NA,NA,NA,0.19822053
"MAPT","Brain","PTSD","Wald ratio",1,"-0.088","0.035","0.916","1.19e-02",NA,NA,NA,0.168533032
"SMG1P2","Brain","PTSD","Wald ratio",1," 0.068","0.027","1.071","1.22e-02",NA,NA,NA,0.149988752
"ENOX1","Brain","PTSD","Wald ratio",1," 0.147","0.059","1.158","1.26e-02",NA,NA,NA,0.152134139
"LDLRAD4","Brain","PTSD","Wald ratio",1," 0.178","0.071","1.195","1.28e-02",NA,NA,NA,0.176413447
"INSR","Brain","PTSD","Wald ratio",1,"-0.125","0.051","0.882","1.40e-02",NA,NA,NA,0.129909532
"LINC02453","Brain","PTSD","Wald ratio",1," 0.126","0.052","1.135","1.43e-02",NA,NA,NA,0.1583272
"HTT","Brain","PTSD","Wald ratio",1," 0.063","0.026","1.065","1.50e-02",NA,NA,NA,0.125943726
"PATJ","Brain","PTSD","Wald ratio",1,"-0.225","0.094","0.798","1.62e-02",NA,NA,NA,0.200037663
"VAX2","Brain","PTSD","Wald ratio",1,"-0.117","0.049","0.889","1.72e-02",NA,NA,NA,0.122486804
"GOLGA8A","Brain","PTSD","Wald ratio",1,"-0.232","0.098","0.793","1.82e-02",NA,NA,NA,0.196953867
"MED16","Brain","PTSD","Wald ratio",1," 0.114","0.050","1.121","2.11e-02",NA,NA,NA,0.119590902
"MICAL3","Brain","PTSD","Wald ratio",1,"-0.164","0.071","0.849","2.16e-02",NA,NA,NA,0.117031877
"MOV10L1","Brain","PTSD","Wald ratio",1,"-0.109","0.048","0.896","2.16e-02",NA,NA,NA,0.105070054
"LINC02210-CRHR1","Brain","PTSD","Wald ratio",1,"-0.202","0.088","0.817","2.20e-02",NA,NA,NA,0.207943435
"NARF","Brain","PTSD","Wald ratio",1," 0.124","0.054","1.132","2.20e-02",NA,NA,NA,0.09483575
"TUBG2","Brain","PTSD","Wald ratio",1," 0.127","0.056","1.136","2.20e-02",NA,NA,NA,0.102142819
"CKMT2-AS1","Brain","PTSD","Wald ratio",1," 0.160","0.071","1.173","2.37e-02",NA,NA,NA,0.132830616
"TRPS1","Brain","PTSD","Wald ratio",1,"-0.083","0.037","0.920","2.50e-02",NA,NA,NA,0.082881454
"DNAAF5","Brain","PTSD","Wald ratio",1," 0.091","0.041","1.095","2.69e-02",NA,NA,NA,0.078743114
"SIRT5","Brain","PTSD","Wald ratio",1,"-0.088","0.041","0.916","3.00e-02",NA,NA,NA,0.075946322
"TRMT9B","Brain","PTSD","Inverse variance weighted",2,"-0.145","0.067","0.865","3.02e-02",NA,0.531827681,NA,0.075206616
"TMOD3","Brain","PTSD","Wald ratio",1," 0.123","0.057","1.130","3.06e-02",NA,NA,NA,0.070140775
"DOCK2","Brain","PTSD","Wald ratio",1,"-0.120","0.056","0.887","3.12e-02",NA,NA,NA,0.077400749
"CNMD","Brain","PTSD","Wald ratio",1,"-0.203","0.094","0.816","3.12e-02",NA,NA,NA,0.14988498
"SLC25A10","Brain","PTSD","Wald ratio",1,"-0.097","0.045","0.908","3.16e-02",NA,NA,NA,0.084524863
"ROBO2","Brain","PTSD","Wald ratio",1," 0.151","0.071","1.163","3.30e-02",NA,NA,NA,0.082154961
"CNTN3","Brain","PTSD","Wald ratio",1," 0.238","0.113","1.269","3.45e-02",NA,NA,NA,0.140422344
"IFFO2","Brain","PTSD","Wald ratio",1,"-0.103","0.049","0.902","3.46e-02",NA,NA,NA,0.075043625
"MATN3","Brain","PTSD","Wald ratio",1," 0.122","0.058","1.130","3.54e-02",NA,NA,NA,0.06480196
"PPM1F","Brain","PTSD","Wald ratio",1," 0.074","0.036","1.077","3.74e-02",NA,NA,NA,0.059791102
"HFM1","Brain","PTSD","Wald ratio",1," 0.107","0.052","1.113","3.87e-02",NA,NA,NA,0.102169905
"ENSG00000234698","Brain","PTSD","Wald ratio",1," 0.113","0.055","1.119","3.97e-02",NA,NA,NA,0.060567343
"PFN4","Brain","PTSD","Wald ratio",1,"-0.157","0.077","0.854","4.04e-02",NA,NA,NA,0.074076282
"MBP","Brain","PTSD","Wald ratio",1,"-0.098","0.048","0.907","4.15e-02",NA,NA,NA,0.06580915
"PSD3","Brain","PTSD","Wald ratio",1,"-0.076","0.038","0.927","4.23e-02",NA,NA,NA,0.059228416
"PLPP2","Brain","PTSD","Wald ratio",1,"-0.097","0.048","0.907","4.26e-02",NA,NA,NA,0.052921425
"TMCO3","Brain","PTSD","Wald ratio",1,"-0.086","0.042","0.918","4.29e-02",NA,NA,NA,0.058259495
"GFOD1","Brain","PTSD","Wald ratio",1,"-0.110","0.054","0.896","4.29e-02",NA,NA,NA,0.058566234
"VINAC1P","Brain","PTSD","Wald ratio",1,"-0.051","0.025","0.950","4.34e-02",NA,NA,NA,0.053791288
"UMODL1","Brain","PTSD","Wald ratio",1," 0.101","0.050","1.107","4.36e-02",NA,NA,NA,0.060678679
"ATF7IP","Brain","PTSD","Wald ratio",1,"-0.091","0.045","0.913","4.41e-02",NA,NA,NA,0.052514329
"ENSG00000125695","Brain","PTSD","Wald ratio",1,"-0.062","0.031","0.940","4.41e-02",NA,NA,NA,0.054707678
"AHNAK2","Brain","PTSD","Wald ratio",1,"-0.099","0.049","0.906","4.55e-02",NA,NA,NA,0.06514154
"RARRES1","Brain","PTSD","Wald ratio",1," 0.118","0.060","1.126","4.69e-02",NA,NA,NA,0.054312226
"","Brain","PTSD","Inverse variance weighted",389,"-0.004","0.002","0.996","4.73e-02",0.374249914,0.334249701,0.046905056,0.00908883
"ENSG00000257943","Brain","PTSD","Wald ratio",1,"-0.101","0.051","0.904","4.77e-02",NA,NA,NA,0.050216576
"LINC02930","Brain","PTSD","Wald ratio",1," 0.100","0.051","1.105","4.80e-02",NA,NA,NA,0.057467051
"ANKEF1","Brain","PTSD","Wald ratio",1,"-0.122","0.062","0.885","4.88e-02",NA,NA,NA,0.054086548
"HLA-C","Brain","PTSD","Wald ratio",1,"-0.109","0.056","0.897","5.12e-02",NA,NA,NA,0.049467063
"TFRC","Brain","PTSD","Wald ratio",1," 0.090","0.046","1.094","5.16e-02",NA,NA,NA,0.052050959
"CYBRD1","Brain","PTSD","Wald ratio",1,"-0.064","0.033","0.938","5.33e-02",NA,NA,NA,0.045130666
"MIR99AHG","Brain","PTSD","Wald ratio",1,"-0.185","0.096","0.831","5.36e-02",NA,NA,NA,0.080992401
"MADCAM1","Brain","PTSD","Wald ratio",1," 0.123","0.064","1.131","5.42e-02",NA,NA,NA,0.051409415
"CHRDL2","Brain","PTSD","Wald ratio",1,"-0.158","0.082","0.854","5.47e-02",NA,NA,NA,0.099737698
"ITGB3","Brain","PTSD","Wald ratio",1,"-0.047","0.024","0.954","5.50e-02",NA,NA,NA,0.044030515
"ARID1B","Brain","PTSD","Wald ratio",1," 0.136","0.071","1.146","5.54e-02",NA,NA,NA,0.067060483
"ZNF584","Brain","PTSD","Wald ratio",1," 0.098","0.052","1.103","5.85e-02",NA,NA,NA,0.051519392
"TRMT61A","Brain","PTSD","Wald ratio",1,"-0.107","0.056","0.899","5.88e-02",NA,NA,NA,0.043337231
"ARMH1","Brain","PTSD","Wald ratio",1," 0.133","0.071","1.142","6.04e-02",NA,NA,NA,0.050970109
"MOBP","Brain","PTSD","Wald ratio",1,"-0.096","0.052","0.908","6.13e-02",NA,NA,NA,0.050195462
