"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"SIX1","Brain Cortex","PTSD","Wald ratio",1,-0.415,0.122,0.66,0.000644,NA,NA,NA,0.838886155
"SLC1A2","Brain Cortex","PTSD","Wald ratio",1,-0.119,0.038,0.887,0.00148,NA,NA,NA,0.009553908
"ARHGAP45","Brain Cortex","PTSD","Wald ratio",1,0.198,0.066,1.219,0.00285,NA,NA,NA,0.428084187
"ARHGAP45","Brain Cortex","PTSD","Wald ratio",1,0.192,0.064,1.212,0.00285,NA,NA,NA,0.428084187
"ARHGAP45","Brain Cortex","PTSD","Wald ratio",1,0.16,0.054,1.174,0.00285,NA,NA,NA,0.428084187
"ARHGAP45","Brain Cortex","PTSD","Wald ratio",1,0.19,0.064,1.209,0.00285,NA,NA,NA,0.428084187
"ARHGAP45","Brain Cortex","PTSD","Wald ratio",1,0.171,0.057,1.186,0.00285,NA,NA,NA,0.428084187
"ARHGAP45","Brain Cortex","PTSD","Wald ratio",1,0.146,0.049,1.157,0.00285,NA,NA,NA,0.428084187
"ARHGAP45","Brain Cortex","PTSD","Wald ratio",1,0.174,0.058,1.19,0.00285,NA,NA,NA,0.428084187
"ENSG00000258526","Brain Cortex","PTSD","Wald ratio",1,-0.119,0.04,0.888,0.00313,NA,NA,NA,0.008217252
"LINC02299","Brain Cortex","PTSD","Wald ratio",1,0.101,0.035,1.107,0.00353,NA,NA,NA,0.365478637
"LINC02299","Brain Cortex","PTSD","Wald ratio",1,0.168,0.057,1.183,0.00353,NA,NA,NA,0.365478637
"ENSG00000291058","Brain Cortex","PTSD","Wald ratio",1,0.499,0.173,1.646,0.00401,NA,NA,NA,0.560605635
"ZFHX3","Brain Cortex","PTSD","Wald ratio",1,0.055,0.019,1.057,0.00453,NA,NA,NA,0.008291817
"ZFHX3","Brain Cortex","PTSD","Wald ratio",1,0.112,0.039,1.118,0.00453,NA,NA,NA,0.008291817
"CACNA1C","Brain Cortex","PTSD","Wald ratio",1,-0.086,0.03,0.918,0.00464,NA,NA,NA,0.018822594
"PWWP2B","Brain Cortex","PTSD","Wald ratio",1,-0.19,0.067,0.827,0.00467,NA,NA,NA,0.103306464
"PWWP2B","Brain Cortex","PTSD","Wald ratio",1,-0.165,0.058,0.848,0.00467,NA,NA,NA,0.103306464
"NCOR2","Brain Cortex","PTSD","Wald ratio",1,0.316,0.112,1.371,0.00474,NA,NA,NA,0.033253316
"CHRNA5","Brain Cortex","PTSD","Wald ratio",1,0.219,0.077,1.244,0.00475,NA,NA,NA,0.436872797
"SLC7A8","Brain Cortex","PTSD","Wald ratio",1,-0.602,0.215,0.548,0.00515,NA,NA,NA,0.5076177
"SLC7A7","Brain Cortex","PTSD","Inverse variance weighted",2,-0.089,0.032,0.915,0.0059,NA,0.873277972,NA,0.02260896
"NALCN","Brain Cortex","PTSD","Wald ratio",1,-0.067,0.025,0.935,0.00626,NA,NA,NA,0.008909433
"NCS1","Brain Cortex","PTSD","Wald ratio",1,-0.072,0.026,0.931,0.0066,NA,NA,NA,0.013739946
"SH3RF3","Brain Cortex","PTSD","Wald ratio",1,0.155,0.057,1.168,0.00677,NA,NA,NA,0.009772569
"SH3RF3","Brain Cortex","PTSD","Wald ratio",1,0.075,0.028,1.078,0.00677,NA,NA,NA,0.009772569
"ENSG00000260661","Brain Cortex","PTSD","Wald ratio",1,0.166,0.062,1.181,0.00703,NA,NA,NA,0.251602585
"VAX1","Brain Cortex","PTSD","Wald ratio",1,0.199,0.074,1.22,0.00755,NA,NA,NA,0.255013822
"VAX1","Brain Cortex","PTSD","Wald ratio",1,0.195,0.073,1.216,0.00755,NA,NA,NA,0.255013822
"VAX1","Brain Cortex","PTSD","Wald ratio",1,0.11,0.041,1.116,0.00755,NA,NA,NA,0.255013822
"VAX1","Brain Cortex","PTSD","Wald ratio",1,0.124,0.046,1.132,0.00755,NA,NA,NA,0.255013822
"VAX1","Brain Cortex","PTSD","Wald ratio",1,-0.101,0.038,0.904,0.00755,NA,NA,NA,0.255013822
"VAX1","Brain Cortex","PTSD","Wald ratio",1,0.192,0.072,1.212,0.00755,NA,NA,NA,0.255013822
"VAX1","Brain Cortex","PTSD","Wald ratio",1,0.186,0.07,1.205,0.00755,NA,NA,NA,0.255013822
"VAX1","Brain Cortex","PTSD","Wald ratio",1,0.168,0.063,1.183,0.00755,NA,NA,NA,0.255013822
"VAX1","Brain Cortex","PTSD","Wald ratio",1,0.133,0.05,1.142,0.00755,NA,NA,NA,0.255013822
"DOCK1","Brain Cortex","PTSD","Wald ratio",1,0.072,0.027,1.075,0.00766,NA,NA,NA,0.244614397
"DOCK1","Brain Cortex","PTSD","Wald ratio",1,0.06,0.023,1.062,0.00766,NA,NA,NA,0.244614397
"DOCK1","Brain Cortex","PTSD","Wald ratio",1,0.113,0.042,1.12,0.00766,NA,NA,NA,0.244614397
"FARP1","Brain Cortex","PTSD","Wald ratio",1,0.094,0.036,1.099,0.00867,NA,NA,NA,0.010587657
"FARP1","Brain Cortex","PTSD","Wald ratio",1,-0.047,0.018,0.954,0.00867,NA,NA,NA,0.010587657
"FARP1","Brain Cortex","PTSD","Wald ratio",1,-0.079,0.03,0.924,0.00867,NA,NA,NA,0.010587657
"FARP1","Brain Cortex","PTSD","Wald ratio",1,-0.13,0.05,0.878,0.00867,NA,NA,NA,0.010587657
"FARP1","Brain Cortex","PTSD","Wald ratio",1,-0.141,0.054,0.868,0.00867,NA,NA,NA,0.010587657
