"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CSE1L","Brain Cortex","PTSD","Wald ratio",1,0.634,"0.167",1.885,"1.47e-04",NA,NA,NA,0.914313844
"DDX27","Brain Cortex","PTSD","Wald ratio",1,0.567,"0.149",1.762,"1.47e-04",NA,NA,NA,0.914313844
"PLXNA4","Brain Cortex","PTSD","Wald ratio",1,-0.43,"0.117",0.651,"2.39e-04",NA,NA,NA,0.859744146
"LINC00960","Brain Cortex","PTSD","Wald ratio",1,1.169,"0.326",3.218,"3.31e-04",NA,NA,NA,0.821627452
"ZNF717","Brain Cortex","PTSD","Wald ratio",1,-0.261,"0.073",0.77,"3.31e-04",NA,NA,NA,0.824557448
"ANKRD36C","Brain Cortex","PTSD","Inverse variance weighted",4,0.096,"0.027",1.101,"4.48e-04",0.243638479,0.419264732,0.975509179,0.29031824
"CRYM","Brain Cortex","PTSD","Wald ratio",1,-0.232,"0.067",0.793,"5.08e-04",NA,NA,NA,0.773497677
"AC092802.1","Brain Cortex","PTSD","Wald ratio",1,1.034,"0.298",2.812,"5.20e-04",NA,NA,NA,0.831996116
"SLC1A3","Brain Cortex","PTSD","Wald ratio",1,0.381,"0.112",1.464,"6.75e-04",NA,NA,NA,0.784599755
"PALM","Brain Cortex","PTSD","MR Egger",69,0.265,"0.075",1.304,"7.37e-04",0.179361487,0.024480621,0.000525025,0.012488954
"SPAG1","Brain Cortex","PTSD","Wald ratio",1,0.286,"0.088",1.331,"1.12e-03",NA,NA,NA,0.601135741
"AC006059.1","Brain Cortex","PTSD","Inverse variance weighted",2,-0.299,"0.092",0.741,"1.16e-03",NA,0.652633331,NA,0.629558584
"MARCHF2","Brain Cortex","PTSD","Wald ratio",1,0.265,"0.082",1.304,"1.24e-03",NA,NA,NA,0.594329578
"RAB11B","Brain Cortex","PTSD","Wald ratio",1,0.992,"0.307",2.696,"1.24e-03",NA,NA,NA,0.591475181
"NUDT2","Brain Cortex","PTSD","Inverse variance weighted",2,-0.08,"0.025",0.924,"1.34e-03",NA,0.692577007,NA,0.035521311
"CCDC13-AS1","Brain Cortex","PTSD","Wald ratio",1,-0.264,"0.083",0.768,"1.41e-03",NA,NA,NA,0.624865162
"RP4-613B23.1","Brain Cortex","PTSD","Wald ratio",1,-0.202,"0.063",0.817,"1.41e-03",NA,NA,NA,0.629558584
"UAP1","Brain Cortex","PTSD","Wald ratio",1,0.263,"0.083",1.301,"1.46e-03",NA,NA,NA,0.531934118
"UHMK1","Brain Cortex","PTSD","Wald ratio",1,0.593,"0.186",1.809,"1.46e-03",NA,NA,NA,0.531956518
"Z84468.2","Brain Cortex","PTSD","Weighted median",4,-0.169,"0.053",0.844,"1.54e-03",1,0.388469294,0.22434776,0.121931029
"LHX2","Brain Cortex","PTSD","Wald ratio",1,-0.252,"0.080",0.777,"1.56e-03",NA,NA,NA,0.53364788
"C9orf24","Brain Cortex","PTSD","Inverse variance weighted",2,0.169,"0.054",1.184,"1.60e-03",NA,0.485359365,NA,0.035410008
"KCNT1","Brain Cortex","PTSD","Inverse variance weighted",2,-0.184,"0.059",0.832,"1.65e-03",NA,0.563035801,NA,0.287524089
"IFI16","Brain Cortex","PTSD","Inverse variance weighted",4,-0.153,"0.049",0.858,"1.81e-03",0.597359611,0.723513497,0.642415991,0.08960347
"NCOR2","Brain Cortex","PTSD","Inverse variance weighted",5,0.071,"0.023",1.073,"2.03e-03",0.189761461,0.305682464,0.858902072,0.009731457
"AC139491.5","Brain Cortex","PTSD","Wald ratio",1,0.513,"0.167",1.67,"2.09e-03",NA,NA,NA,0.461048953
"POLR2E","Brain Cortex","PTSD","Inverse variance weighted",3,-0.199,"0.065",0.82,"2.13e-03",0.659331575,0.830023401,0.745663995,0.012488954
"NCK2","Brain Cortex","PTSD","Wald ratio",1,-0.311,"0.101",0.733,"2.17e-03",NA,NA,NA,0.567526193
"NCOR2","Brain Cortex","PTSD","Weighted median",5,0.072,"0.023",1.074,"2.23e-03",0.189761461,0.305682464,0.858902072,0.009731457
"GSTO1","Brain Cortex","PTSD","Inverse variance weighted",2,0.179,"0.058",1.195,"2.25e-03",NA,0.950483214,NA,0.020968641
"CCDC66","Brain Cortex","PTSD","Wald ratio",1,-0.247,"0.082",0.781,"2.49e-03",NA,NA,NA,0.12998385
"ARHGEF3","Brain Cortex","PTSD","Wald ratio",1,0.692,"0.229",1.998,"2.49e-03",NA,NA,NA,0.520886174
"THOC5","Brain Cortex","PTSD","Inverse variance weighted",2,-0.074,"0.025",0.928,"2.64e-03",NA,1,NA,0.075837247
"OLFM1","Brain Cortex","PTSD","Wald ratio",1,-0.25,"0.084",0.779,"2.74e-03",NA,NA,NA,0.461161702
"CCDC14","Brain Cortex","PTSD","Wald ratio",1,0.926,"0.309",2.525,"2.76e-03",NA,NA,NA,0.40033075
"DGCR6","Brain Cortex","PTSD","Inverse variance weighted",6,0.091,"0.030",1.095,"2.82e-03",0.400249733,0.33116669,0.263385593,0.010202666
"LINC00320","Brain Cortex","PTSD","Wald ratio",1,0.278,"0.093",1.321,"2.90e-03",NA,NA,NA,0.42414571
"HSD17B11","Brain Cortex","PTSD","Wald ratio",1,0.827,"0.280",2.286,"3.15e-03",NA,NA,NA,0.412789139
"RABL2B","Brain Cortex","PTSD","Inverse variance weighted",4,0.251,"0.085",1.285,"3.26e-03",1,0.999961147,0.962774508,0.054991534
"MADCAM1","Brain Cortex","PTSD","Wald ratio",1,-0.111,"0.038",0.895,"3.32e-03",NA,NA,NA,0.383500466
"PLPP2","Brain Cortex","PTSD","Wald ratio",1,-0.938,"0.319",0.391,"3.32e-03",NA,NA,NA,0.383453167
"TMEM50B","Brain Cortex","PTSD","Wald ratio",1,0.147,"0.050",1.158,"3.36e-03",NA,NA,NA,0.347056507
"RIC8A","Brain Cortex","PTSD","Wald ratio",1,-0.358,"0.122",0.699,"3.49e-03",NA,NA,NA,0.361212798
"SIRT3","Brain Cortex","PTSD","Wald ratio",1,0.184,"0.063",1.202,"3.49e-03",NA,NA,NA,0.361212797
"RP3-508I15.9","Brain Cortex","PTSD","Inverse variance weighted",4,0.131,"0.046",1.14,"4.24e-03",1,0.992550894,0.788157441,0.028798877
"TIMM13","Brain Cortex","PTSD","Wald ratio",1,0.239,"0.084",1.27,"4.28e-03",NA,NA,NA,0.316327116
"CCDC90B","Brain Cortex","PTSD","Wald ratio",1,-0.109,"0.038",0.897,"4.34e-03",NA,NA,NA,0.298155824
"Z84468.2","Brain Cortex","PTSD","Inverse variance weighted",4,-0.13,"0.046",0.878,"4.43e-03",1,0.388469294,0.22434776,0.121931029
"RBBP6","Brain Cortex","PTSD","Wald ratio",1,0.562,"0.198",1.754,"4.54e-03",NA,NA,NA,0.332863888
"MRPS11","Brain Cortex","PTSD","Wald ratio",1,0.614,"0.217",1.848,"4.60e-03",NA,NA,NA,0.538682418
"ANKS6","Brain Cortex","PTSD","Inverse variance weighted",2,-0.094,"0.033",0.91,"4.68e-03",NA,0.715576923,NA,0.226686333
"AC159540.1","Brain Cortex","PTSD","Wald ratio",1,0.106,"0.038",1.112,"4.78e-03",NA,NA,NA,0.29031824
"AC159540.2","Brain Cortex","PTSD","Wald ratio",1,0.572,"0.203",1.772,"4.78e-03",NA,NA,NA,0.29031824
"AC017099.3","Brain Cortex","PTSD","Wald ratio",1,-0.211,"0.075",0.81,"4.78e-03",NA,NA,NA,0.290252816
"C2orf92","Brain Cortex","PTSD","Wald ratio",1,0.462,"0.164",1.587,"4.78e-03",NA,NA,NA,0.29031824
"SECISBP2L","Brain Cortex","PTSD","Wald ratio",1,0.546,"0.195",1.726,"5.12e-03",NA,NA,NA,0.37322587
"EEF1AKNMT","Brain Cortex","PTSD","Wald ratio",1,0.348,"0.124",1.417,"5.15e-03",NA,NA,NA,0.306434376
"METTL13","Brain Cortex","PTSD","Wald ratio",1,-0.191,"0.068",0.826,"5.15e-03",NA,NA,NA,0.306434296
"CCBL2","Brain Cortex","PTSD","Wald ratio",1,0.14,"0.050",1.15,"5.24e-03",NA,NA,NA,0.263809714
"KYAT3","Brain Cortex","PTSD","Wald ratio",1,0.407,"0.146",1.503,"5.24e-03",NA,NA,NA,0.263809714
