"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ZNF603P","Brain Amygdala","SCZ","Wald ratio",1,0.066,0.008,1.068,3.36e-15,NA,NA,NA,1
"ZSCAN26","Brain Amygdala","SCZ","Wald ratio",1,-0.216,0.027,0.806,3.36e-15,NA,NA,NA,0.976702228
"ZSCAN31","Brain Amygdala","SCZ","Wald ratio",1,0.118,0.015,1.126,3.36e-15,NA,NA,NA,0.998420303
"CYP2D6","Brain Amygdala","SCZ","Wald ratio",1,0.095,0.015,1.099,1.31e-10,NA,NA,NA,0.999999741
"ITIH4","Brain Amygdala","SCZ","Wald ratio",1,0.146,0.023,1.157,2.12e-10,NA,NA,NA,0.99209427
"GPM6A-DT","Brain Amygdala","SCZ","Wald ratio",1,0.076,0.012,1.079,4.78e-10,NA,NA,NA,0.996135741
"FOXN2","Brain Amygdala","SCZ","Inverse variance weighted",2,0.104,0.019,1.109,2.59e-08,NA,0.329438449,NA,0.999668265
"SNX19","Brain Amygdala","SCZ","Wald ratio",1,-0.063,0.011,0.939,2.93e-08,NA,NA,NA,0.005775062
"EIF5-DT","Brain Amygdala","SCZ","Wald ratio",1,0.089,0.018,1.093,3.59e-07,NA,NA,NA,0.998794737
"ELAC2","Brain Amygdala","SCZ","Wald ratio",1,-0.076,0.016,0.927,2e-06,NA,NA,NA,0.997149756
"THRB-IT1","Brain Amygdala","SCZ","Wald ratio",1,-0.101,0.021,0.904,2.51e-06,NA,NA,NA,0.993495931
"IER5L-AS1","Brain Amygdala","SCZ","Wald ratio",1,-0.082,0.018,0.922,4.91e-06,NA,NA,NA,0.994871128
"PABPC1L","Brain Amygdala","SCZ","Wald ratio",1,-0.097,0.021,0.908,6.33e-06,NA,NA,NA,0.992149592
"MAP2K5-DT","Brain Amygdala","SCZ","Wald ratio",1,0.069,0.016,1.071,8.66e-06,NA,NA,NA,0.868658427
"PIGO","Brain Amygdala","SCZ","Wald ratio",1,-0.114,0.027,0.892,1.81e-05,NA,NA,NA,0.963400924
"ATOSA","Brain Amygdala","SCZ","Wald ratio",1,-0.073,0.017,0.93,2.77e-05,NA,NA,NA,0.970690685
"CD46","Brain Amygdala","SCZ","Wald ratio",1,-0.116,0.028,0.891,2.79e-05,NA,NA,NA,0.970592741
"ATP5MC2","Brain Amygdala","SCZ","Wald ratio",1,0.107,0.026,1.113,3.04e-05,NA,NA,NA,0.961681312
"DPYSL5","Brain Amygdala","SCZ","Wald ratio",1,-0.09,0.022,0.914,4.32e-05,NA,NA,NA,0.89481674
"DARS2","Brain Amygdala","SCZ","Wald ratio",1,-0.083,0.021,0.921,5.58e-05,NA,NA,NA,0.811314424
"APC2","Brain Amygdala","SCZ","Wald ratio",1,-0.09,0.023,0.913,6.62e-05,NA,NA,NA,0.9333106
"VPS8","Brain Amygdala","SCZ","Wald ratio",1,0.075,0.019,1.078,7.94e-05,NA,NA,NA,0.840272541
"NUP50","Brain Amygdala","SCZ","Wald ratio",1,0.086,0.022,1.09,8.09e-05,NA,NA,NA,0.908376714
"NPIPB2","Brain Amygdala","SCZ","Wald ratio",1,-0.031,0.008,0.969,8.41e-05,NA,NA,NA,0.90800065
"TSNARE1","Brain Amygdala","SCZ","Wald ratio",1,-0.079,0.02,0.924,9.31e-05,NA,NA,NA,0.901181085
"LACC1","Brain Amygdala","SCZ","Wald ratio",1,0.107,0.028,1.113,9.69e-05,NA,NA,NA,0.748434707
"TTC12","Brain Amygdala","SCZ","Wald ratio",1,-0.045,0.012,0.956,9.79e-05,NA,NA,NA,0.893206698
"PDGFA","Brain Amygdala","SCZ","Wald ratio",1,-0.118,0.03,0.888,9.83e-05,NA,NA,NA,0.903887001
"CDHR1","Brain Amygdala","SCZ","Wald ratio",1,0.085,0.022,1.088,0.000122,NA,NA,NA,0.321933467
"COX11","Brain Amygdala","SCZ","Wald ratio",1,0.08,0.021,1.083,0.000127,NA,NA,NA,0.878160016
"CADM2-AS1","Brain Amygdala","SCZ","Inverse variance weighted",2,-0.042,0.011,0.959,0.000146,NA,0.588048235,NA,0.186490802
"MYO19","Brain Amygdala","SCZ","Wald ratio",1,0.098,0.026,1.103,0.000149,NA,NA,NA,0.691816613
"DHRS11","Brain Amygdala","SCZ","Wald ratio",1,0.057,0.015,1.058,0.000149,NA,NA,NA,0.850821335
"ARTN","Brain Amygdala","SCZ","Wald ratio",1,-0.069,0.019,0.933,0.00023,NA,NA,NA,0.149459473
"MMD","Brain Amygdala","SCZ","Wald ratio",1,0.082,0.022,1.085,0.000249,NA,NA,NA,0.751890873
"SUMO2P17","Brain Amygdala","SCZ","Wald ratio",1,-0.043,0.012,0.958,0.000249,NA,NA,NA,0.755940405
"CMAHP","Brain Amygdala","SCZ","Wald ratio",1,0.089,0.025,1.093,0.000307,NA,NA,NA,0.765160896
"ALG8","Brain Amygdala","SCZ","Wald ratio",1,-0.057,0.016,0.944,0.000312,NA,NA,NA,0.545827957
"KCTD21-AS1","Brain Amygdala","SCZ","Wald ratio",1,0.033,0.009,1.033,0.000312,NA,NA,NA,0.738178865
"SLC25A24","Brain Amygdala","SCZ","Wald ratio",1,-0.063,0.018,0.939,0.000328,NA,NA,NA,0.762033496
"THAP5","Brain Amygdala","SCZ","Wald ratio",1,0.062,0.017,1.064,0.000335,NA,NA,NA,0.737589436
"DNAJC3","Brain Amygdala","SCZ","Wald ratio",1,0.101,0.028,1.106,0.000335,NA,NA,NA,0.33249217
"CPNE8","Brain Amygdala","SCZ","Wald ratio",1,0.109,0.031,1.115,0.000428,NA,NA,NA,0.078867531
"MICA","Brain Amygdala","SCZ","Wald ratio",1,0.044,0.013,1.045,0.000429,NA,NA,NA,0.699607075
"CD40","Brain Amygdala","SCZ","Wald ratio",1,0.088,0.025,1.092,0.000448,NA,NA,NA,0.24650025
"REEP2","Brain Amygdala","SCZ","Wald ratio",1,0.159,0.045,1.172,0.00045,NA,NA,NA,0.248066941
"GSDME","Brain Amygdala","SCZ","Wald ratio",1,-0.043,0.012,0.958,0.000455,NA,NA,NA,0.6671179
"LINC02273","Brain Amygdala","SCZ","Wald ratio",1,-0.062,0.018,0.94,0.000475,NA,NA,NA,0.0638482
"PPM1F-AS1","Brain Amygdala","SCZ","Wald ratio",1,-0.032,0.009,0.969,0.000565,NA,NA,NA,0.621003385
"HMGB1P31","Brain Amygdala","SCZ","Wald ratio",1,0.042,0.012,1.043,0.00068,NA,NA,NA,0.582547183
"CERS5","Brain Amygdala","SCZ","Wald ratio",1,-0.059,0.018,0.943,0.000871,NA,NA,NA,0.534176627
"NSUN2","Brain Amygdala","SCZ","Wald ratio",1,0.036,0.011,1.037,0.00088,NA,NA,NA,0.534512944
"CHRAC1","Brain Amygdala","SCZ","Wald ratio",1,0.087,0.027,1.091,0.00106,NA,NA,NA,0.307129804
"ZNF589","Brain Amygdala","SCZ","Wald ratio",1,0.041,0.013,1.042,0.00109,NA,NA,NA,0.49037392
"GLTP","Brain Amygdala","SCZ","Wald ratio",1,0.091,0.028,1.095,0.00119,NA,NA,NA,0.451712812
"KRT81","Brain Amygdala","SCZ","Wald ratio",1,-0.045,0.014,0.956,0.00119,NA,NA,NA,0.450824408
"MOCS2-DT","Brain Amygdala","SCZ","Wald ratio",1,-0.064,0.02,0.938,0.00133,NA,NA,NA,0.431760534
"CDS2","Brain Amygdala","SCZ","Wald ratio",1,0.089,0.028,1.093,0.00146,NA,NA,NA,0.407480058
"HLA-DQA2","Brain Amygdala","SCZ","Wald ratio",1,-0.05,0.016,0.951,0.00149,NA,NA,NA,0.121369117
"CCDC174","Brain Amygdala","SCZ","Wald ratio",1,0.039,0.012,1.04,0.00155,NA,NA,NA,0.40239638
"TRIM51DP","Brain Amygdala","SCZ","Wald ratio",1,0.051,0.016,1.052,0.00164,NA,NA,NA,0.336064445
"GRM5P1","Brain Amygdala","SCZ","Wald ratio",1,0.045,0.014,1.046,0.00164,NA,NA,NA,0.381867615
"DRAM2","Brain Amygdala","SCZ","Wald ratio",1,-0.054,0.017,0.948,0.00166,NA,NA,NA,0.400580749
"TBL2","Brain Amygdala","SCZ","Wald ratio",1,-0.061,0.019,0.941,0.00166,NA,NA,NA,0.007452627
"ARF4","Brain Amygdala","SCZ","Wald ratio",1,0.081,0.026,1.085,0.00169,NA,NA,NA,0.421388912
"VTA1","Brain Amygdala","SCZ","Wald ratio",1,0.142,0.045,1.153,0.00174,NA,NA,NA,0.128144704
"THAP9-AS1","Brain Amygdala","SCZ","Wald ratio",1,-0.046,0.015,0.955,0.00182,NA,NA,NA,0.39199622
"RPL31P46","Brain Amygdala","SCZ","Wald ratio",1,-0.042,0.013,0.959,0.00184,NA,NA,NA,0.377166081
"XRRA1","Brain Amygdala","SCZ","Wald ratio",1,0.023,0.008,1.024,0.00184,NA,NA,NA,0.377166113
