"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"MUCL3","Brain","SCZ","Wald ratio",1," 0.110","0.019","1.117","3.12e-09",NA,NA,NA,0.999994678
"LINC02210-CRHR1","Brain","SCZ","Wald ratio",1," 0.123","0.022","1.131","1.24e-08",NA,NA,NA,0.999982322
"MAPT","Brain","SCZ","Wald ratio",1," 0.121","0.022","1.128","2.31e-08",NA,NA,NA,0.999967914
"HLA-C","Brain","SCZ","Wald ratio",1,"-0.182","0.033","0.834","3.06e-08",NA,NA,NA,0.999951301
"ENSG00000287578","Brain","SCZ","Wald ratio",1," 0.328","0.062","1.388","1.09e-07",NA,NA,NA,0.999904964
"ZNF536","Brain","SCZ","Wald ratio",1,"-0.195","0.040","0.823","1.30e-06",NA,NA,NA,0.998566052
"TMED4","Brain","SCZ","Wald ratio",1,"-0.083","0.017","0.921","1.93e-06",NA,NA,NA,0.99722364
"SZT2","Brain","SCZ","Wald ratio",1," 0.116","0.025","1.123","2.74e-06",NA,NA,NA,0.996070084
"RCBTB1","Brain","SCZ","Wald ratio",1,"-0.118","0.026","0.888","7.17e-06",NA,NA,NA,0.990311701
"NDRG4","Brain","SCZ","Wald ratio",1," 0.147","0.033","1.159","9.07e-06",NA,NA,NA,0.988031313
"CALN1","Brain","SCZ","Wald ratio",1," 0.117","0.027","1.125","1.81e-05",NA,NA,NA,0.97827434
"CCDC117","Brain","SCZ","Wald ratio",1," 0.133","0.031","1.142","2.27e-05",NA,NA,NA,0.972907575
"FOXN2","Brain","SCZ","Wald ratio",1,"-0.086","0.021","0.918","3.66e-05",NA,NA,NA,0.955014118
"H4C2","Brain","SCZ","Wald ratio",1,"-0.089","0.022","0.915","4.49e-05",NA,NA,NA,0.946452629
"FOXO6","Brain","SCZ","Wald ratio",1,"-0.078","0.019","0.925","4.94e-05",NA,NA,NA,0.941030426
"MAN2A1","Brain","SCZ","Wald ratio",1,"-0.134","0.034","0.874","8.68e-05",NA,NA,NA,0.91977172
"ENSG00000254363","Brain","SCZ","Wald ratio",1,"-0.135","0.035","0.874","9.68e-05",NA,NA,NA,0.906457378
"CHMP1A","Brain","SCZ","Wald ratio",1," 0.082","0.021","1.086","1.01e-04",NA,NA,NA,0.921474063
"RPL13","Brain","SCZ","Wald ratio",1,"-0.080","0.021","0.923","1.04e-04",NA,NA,NA,0.908455975
"ENSG00000285726","Brain","SCZ","Wald ratio",1," 0.134","0.035","1.144","1.05e-04",NA,NA,NA,0.905144862
"MAPK15","Brain","SCZ","Wald ratio",1," 0.164","0.042","1.178","1.08e-04",NA,NA,NA,0.912018265
