"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"NT5C2","Brain Cortex","SCZ","Inverse variance weighted",2,-0.388,0.043,0.678,4.22e-19,NA,0.501991387,NA,0.999999951
"ZSCAN23","Brain Cortex","SCZ","Inverse variance weighted",3,0.26,0.03,1.297,7.29e-18,0.162458638,0.37673327,0.983920039,0.999993548
"ARL3","Brain Cortex","SCZ","Wald ratio",1,-0.422,0.05,0.656,2.72e-17,NA,NA,NA,0.999970831
"ZSCAN26","Brain Cortex","SCZ","Wald ratio",1,-1.1,0.134,0.333,2.6e-16,NA,NA,NA,0.999999995
"ZSCAN16-AS1","Brain Cortex","SCZ","Wald ratio",1,-0.534,0.065,0.586,2.6e-16,NA,NA,NA,1
"RP1-313I6.12","Brain Cortex","SCZ","Wald ratio",1,-0.244,0.03,0.783,2.6e-16,NA,NA,NA,1
"NT5DC2","Brain Cortex","SCZ","Wald ratio",1,0.353,0.044,1.424,1.36e-15,NA,NA,NA,0.999999995
"GNL3","Brain Cortex","SCZ","Wald ratio",1,-0.43,0.054,0.651,1.36e-15,NA,NA,NA,0.999992538
"SPCS1","Brain Cortex","SCZ","Wald ratio",1,0.432,0.054,1.541,1.36e-15,NA,NA,NA,1
"PBRM1","Brain Cortex","SCZ","Wald ratio",1,0.227,0.028,1.254,1.36e-15,NA,NA,NA,1
"NEK4","Brain Cortex","SCZ","Wald ratio",1,0.414,0.052,1.513,1.36e-15,NA,NA,NA,0.999992375
"DPYD","Brain Cortex","SCZ","Wald ratio",1,0.23,0.03,1.259,2.22e-14,NA,NA,NA,1
"PSMA4","Brain Cortex","SCZ","Wald ratio",1,-0.117,0.016,0.89,9.05e-13,NA,NA,NA,0.999999998
"FTSJ2","Brain Cortex","SCZ","Wald ratio",1,-0.151,0.023,0.86,3.28e-11,NA,NA,NA,0.999999935
"MAD1L1","Brain Cortex","SCZ","Wald ratio",1,-0.315,0.048,0.73,3.28e-11,NA,NA,NA,0.999999907
"FES","Brain Cortex","SCZ","Wald ratio",1,-0.22,0.034,0.803,6.01e-11,NA,NA,NA,0.999999885
"KLC1","Brain Cortex","SCZ","Wald ratio",1,0.222,0.035,1.249,1.89e-10,NA,NA,NA,0.999999649
"COA8","Brain Cortex","SCZ","Wald ratio",1,0.297,0.047,1.346,1.89e-10,NA,NA,NA,0.999999649
"PPP1R13B","Brain Cortex","SCZ","Wald ratio",1,0.163,0.026,1.177,1.89e-10,NA,NA,NA,0.999999649
"MARK3","Brain Cortex","SCZ","Wald ratio",1,1.009,0.158,2.743,1.89e-10,NA,NA,NA,0.999995861
"ZFYVE21","Brain Cortex","SCZ","Wald ratio",1,-0.246,0.039,0.782,1.89e-10,NA,NA,NA,0.999999649
"TDRD9","Brain Cortex","SCZ","Wald ratio",1,0.233,0.037,1.263,1.89e-10,NA,NA,NA,0.999998657
"XRCC3","Brain Cortex","SCZ","Wald ratio",1,-0.345,0.054,0.708,1.89e-10,NA,NA,NA,0.999970974
"OGFOD2","Brain Cortex","SCZ","Wald ratio",1,0.779,0.123,2.18,2.45e-10,NA,NA,NA,0.999999557
"PITPNM2","Brain Cortex","SCZ","Wald ratio",1,1.205,0.19,3.337,2.45e-10,NA,NA,NA,0.999964895
"KMT5A","Brain Cortex","SCZ","Wald ratio",1,0.796,0.126,2.217,2.45e-10,NA,NA,NA,0.999999557
"MPHOSPH9","Brain Cortex","SCZ","Wald ratio",1,0.825,0.13,2.282,2.45e-10,NA,NA,NA,0.999999557
"ABCB9","Brain Cortex","SCZ","Wald ratio",1,-0.243,0.038,0.784,2.45e-10,NA,NA,NA,0.999999419
"C12orf65","Brain Cortex","SCZ","Wald ratio",1,0.277,0.044,1.32,2.45e-10,NA,NA,NA,0.99999464
"ARL6IP4","Brain Cortex","SCZ","Wald ratio",1,-0.068,0.011,0.934,2.45e-10,NA,NA,NA,0.999999557
"HSPA9","Brain Cortex","SCZ","Wald ratio",1,0.089,0.014,1.093,4.11e-10,NA,NA,NA,0.999999222
"SLCO4C1","Brain Cortex","SCZ","Wald ratio",1,0.328,0.053,1.388,5.2e-10,NA,NA,NA,0.999977857
"RFTN2","Brain Cortex","SCZ","Wald ratio",1,0.314,0.051,1.369,9.99e-10,NA,NA,NA,0.999998206
"HSPE1","Brain Cortex","SCZ","Wald ratio",1,0.785,0.129,2.193,9.99e-10,NA,NA,NA,0.999998206
"HSPD1","Brain Cortex","SCZ","Wald ratio",1,0.862,0.141,2.369,9.99e-10,NA,NA,NA,0.999998202
"SUGP1","Brain Cortex","SCZ","Wald ratio",1,0.101,0.018,1.107,3.19e-08,NA,NA,NA,0.999958193
"NDUFA13","Brain Cortex","SCZ","Wald ratio",1,0.346,0.063,1.413,3.19e-08,NA,NA,NA,0.999958193
"MAU2","Brain Cortex","SCZ","Wald ratio",1,-0.237,0.043,0.789,3.19e-08,NA,NA,NA,0.99995819
"HAPLN4","Brain Cortex","SCZ","Wald ratio",1,0.705,0.127,2.023,3.19e-08,NA,NA,NA,0.999958193
"AKT3","Brain Cortex","SCZ","Wald ratio",1,0.113,0.021,1.119,5.13e-08,NA,NA,NA,0.999920449
"RERE","Brain Cortex","SCZ","Wald ratio",1,0.206,0.038,1.229,5.82e-08,NA,NA,NA,0.999908388
"PRMT7","Brain Cortex","SCZ","Inverse variance weighted",3,0.109,0.02,1.115,8.2e-08,0.191083019,0.399134979,0.830162534,0.216624655
"ALG12","Brain Cortex","SCZ","Wald ratio",1,-0.291,0.055,0.748,1.12e-07,NA,NA,NA,0.999824661
"CRELD2","Brain Cortex","SCZ","Wald ratio",1,-0.096,0.018,0.908,1.12e-07,NA,NA,NA,0.999850954
"OLA1","Brain Cortex","SCZ","Wald ratio",1,-0.803,0.153,0.448,1.46e-07,NA,NA,NA,0.999787781
"RBM26","Brain Cortex","SCZ","Wald ratio",1,0.162,0.031,1.176,1.5e-07,NA,NA,NA,0.999759085
"DARS2","Brain Cortex","SCZ","Wald ratio",1,-0.161,0.031,0.851,2.58e-07,NA,NA,NA,0.99972276
"RC3H1","Brain Cortex","SCZ","Wald ratio",1,-0.865,0.168,0.421,2.58e-07,NA,NA,NA,0.99972271
"PRKD3","Brain Cortex","SCZ","Wald ratio",1,-0.968,0.19,0.38,3.49e-07,NA,NA,NA,0.99948977
"NDUFAF7","Brain Cortex","SCZ","Wald ratio",1,-0.332,0.065,0.717,3.49e-07,NA,NA,NA,0.999498803
