"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"CR1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.133","0.014","1.142","1.05e-20",NA,NA,NA,0.999999994
"BIN1","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.319","0.043","0.727","1.32e-13",NA,NA,NA,0.999999604
"ABCA1","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.112","0.030","0.894","1.89e-04",NA,NA,NA,0.879717722
"TRAPPC8","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.217","0.064","1.242","6.91e-04",NA,NA,NA,0.739951455
"EXT1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.030","0.010","1.030","2.02e-03",NA,NA,NA,0.420112638
"EXOC2","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.037","0.012","1.038","2.70e-03",NA,NA,NA,0.352025723
"UBE2F","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.070","0.024","0.932","2.98e-03",NA,NA,NA,0.288193711
"ITGB3","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.081","0.028","0.922","4.09e-03",NA,NA,NA,0.235395985
"AP2A2","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.100","0.035","0.905","4.29e-03",NA,NA,NA,0.268058439
"DSC1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.052","0.019","1.053","6.89e-03",NA,NA,NA,0.165191509
"CLUL1","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.057","0.022","0.944","8.55e-03",NA,NA,NA,0.093372677
"HSD17B11","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.063","0.025","1.065","1.09e-02",NA,NA,NA,0.111014401
"ME2","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.085","0.034","1.089","1.13e-02",NA,NA,NA,0.110506525
"NCOA7","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.056","0.023","1.057","1.45e-02",NA,NA,NA,0.086866082
"HFM1","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.078","0.032","0.925","1.53e-02",NA,NA,NA,0.14358461
"VWA5B2","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.042","0.017","0.959","1.71e-02",NA,NA,NA,0.102584203
"HPR","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.048","0.020","0.953","1.73e-02",NA,NA,NA,0.095403539
"SV2B","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.047","0.020","1.048","1.80e-02",NA,NA,NA,0.076044754
"E2F7","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.035","0.015","1.036","1.82e-02",NA,NA,NA,0.078040498
"BPI","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.052","0.022","0.950","1.93e-02",NA,NA,NA,0.072971254
"GPATCH2","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.059","0.025","0.943","2.02e-02",NA,NA,NA,0.069913929
"PKD1","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.053","0.023","0.948","2.09e-02",NA,NA,NA,0.096950942
"STX6","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.036","0.016","1.037","2.11e-02",NA,NA,NA,0.066891799
"ANXA11","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.044","0.020","1.045","2.39e-02",NA,NA,NA,0.065053792
"LRP1B","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.060","0.027","1.062","2.46e-02",NA,NA,NA,0.008777307
"CCNY","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.033","0.015","1.034","2.47e-02",NA,NA,NA,0.061349065
"NFATC1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.052","0.024","1.053","2.88e-02",NA,NA,NA,0.057152941
"MYT1L","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.048","0.022","1.050","2.92e-02",NA,NA,NA,0.046660221
"SLC17A5","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.054","0.025","1.056","2.94e-02",NA,NA,NA,0.051006441
"MAD1L1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.048","0.022","1.049","3.00e-02",NA,NA,NA,0.052447983
"BOD1L1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.038","0.017","1.038","3.07e-02",NA,NA,NA,0.051447631
"PPFIA4","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.043","0.020","0.958","3.10e-02",NA,NA,NA,0.059697367
"PASK","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.031","0.014","0.969","3.15e-02",NA,NA,NA,0.09146409
"MOCS1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.049","0.023","1.050","3.23e-02",NA,NA,NA,0.042749636
"MUC12","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.039","0.018","1.040","3.34e-02",NA,NA,NA,0.053147546
"FAM131C","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.052","0.025","0.950","3.52e-02",NA,NA,NA,0.060390196
"KIRREL3","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.035","0.017","1.036","3.57e-02",NA,NA,NA,0.043104592
"ASB5","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.059","0.028","0.943","3.67e-02",NA,NA,NA,0.048536494
"CDC16","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.028","0.014","1.029","4.44e-02",NA,NA,NA,0.065802972
"ABCA7","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.060","0.030","0.942","4.46e-02",NA,NA,NA,0.043229266
"CARS1","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.031","0.016","0.969","4.55e-02",NA,NA,NA,0.036089186
"ZNF385D","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.041","0.020","1.041","4.55e-02",NA,NA,NA,0.066217461
"LMF1","Brain Prefrontal cortex","ALZ","Inverse variance weighted",2," 0.025","0.013","1.026","4.83e-02",NA,0.787751324,NA,0.012993372
"ADCY1","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.050","0.026","0.951","4.97e-02",NA,NA,NA,0.034984531
"PPP3R1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.051","0.026","1.052","5.08e-02",NA,NA,NA,0.034559617
"PSD4","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.043","0.022","0.958","5.13e-02",NA,NA,NA,0.031522971
"TEX29","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.025","0.013","1.025","5.24e-02",NA,NA,NA,0.031600904
"TMBIM4","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.024","0.012","0.976","5.24e-02",NA,NA,NA,0.031600904
"HSPA12A","Brain Prefrontal cortex","ALZ","Wald ratio",1,"-0.039","0.020","0.962","5.52e-02",NA,NA,NA,0.039210585
"SYNDIG1","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.040","0.021","1.041","5.71e-02",NA,NA,NA,0.02713703
"CCDC6","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.024","0.013","1.024","5.74e-02",NA,NA,NA,0.029338788
"SNTG2","Brain Prefrontal cortex","ALZ","Weighted median",3," 0.021","0.011","1.021","5.80e-02",0.000491141,0.001426018,0.825828499,0.22904318
"WDR70","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.022","0.012","1.022","6.08e-02",NA,NA,NA,0.029103127
"EIF3H","Brain Prefrontal cortex","ALZ","Wald ratio",1," 0.041","0.022","1.042","6.27e-02",NA,NA,NA,0.027607534
