"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"PLCB4","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.132","0.044","0.876","2.51e-03",NA,NA,NA,0.539145911
"CSMD2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.215","0.072","0.806","2.73e-03",NA,NA,NA,0.527789041
"TSNARE1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.122","0.042","0.885","3.36e-03",NA,NA,NA,0.473972417
"ENOSF1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.157","0.056","1.170","5.38e-03",NA,NA,NA,0.380308911
"DNAJC6","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.135","0.049","1.145","5.49e-03",NA,NA,NA,0.361003843
"CR1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.106","0.039","1.112","6.30e-03",NA,NA,NA,0.385770039
"NPM1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.159","0.061","1.173","9.52e-03",NA,NA,NA,0.269466453
"PIERCE2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.423","0.165","0.655","1.03e-02",NA,NA,NA,0.361214128
"PLCH1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.186","0.073","0.830","1.08e-02",NA,NA,NA,0.149870021
"COLEC11","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.119","0.049","1.126","1.54e-02",NA,NA,NA,0.238360437
"PLCG2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.126","0.053","1.135","1.73e-02",NA,NA,NA,0.20470319
"CHPT1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.117","0.049","1.124","1.82e-02",NA,NA,NA,0.227345753
"F13A1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.106","0.045","0.900","1.83e-02",NA,NA,NA,0.249305362
"ANKRD33B","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.124","0.053","1.132","1.83e-02",NA,NA,NA,0.16799161
"PREX1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.214","0.093","1.239","2.13e-02",NA,NA,NA,0.18996731
"OTUD7A","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.113","0.049","1.119","2.22e-02",NA,NA,NA,0.173597524
"CHST9","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.156","0.069","0.855","2.32e-02",NA,NA,NA,0.152724087
"RPH3AL","Brain Prefrontal cortex","ANX","Weighted median",4,"-0.115","0.051","0.892","2.43e-02",0.096089318,0.187467842,0.848754843,0.113713873
"TBX19","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.181","0.081","1.198","2.61e-02",NA,NA,NA,0.222313275
"ADCY2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.136","0.062","0.873","2.76e-02",NA,NA,NA,0.119453608
"LAPTM5","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.143","0.066","0.866","2.92e-02",NA,NA,NA,0.116218002
"NFATC1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.146","0.068","0.864","3.07e-02",NA,NA,NA,0.133547542
"SLC35E2B","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.298","0.139","1.347","3.20e-02",NA,NA,NA,0.205861754
"PTPRJ","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.093","0.044","0.911","3.31e-02",NA,NA,NA,0.119368502
"KLK7","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.163","0.076","0.850","3.31e-02",NA,NA,NA,0.139316863
"TAF4","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.052","0.025","0.949","3.86e-02",NA,NA,NA,0.101177006
"TSHR","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.154","0.075","0.857","4.03e-02",NA,NA,NA,0.103868473
"ANGPT4","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.094","0.047","1.098","4.45e-02",NA,NA,NA,0.102591524
"CD59","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.220","0.111","0.803","4.68e-02",NA,NA,NA,0.141478305
"HTATIP2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.136","0.068","1.145","4.76e-02",NA,NA,NA,0.083423326
"RIMS2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.137","0.072","1.147","5.61e-02",NA,NA,NA,0.09358634
"FAM120B","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.093","0.049","0.911","5.61e-02",NA,NA,NA,0.083837422
"TNR","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.084","0.044","1.087","5.72e-02",NA,NA,NA,0.076382281
"EXT1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.051","0.027","1.052","6.17e-02",NA,NA,NA,0.08731377
"PCGF3","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.129","0.069","1.138","6.20e-02",NA,NA,NA,0.099481472
"PLEKHG4B","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.077","0.041","0.926","6.20e-02",NA,NA,NA,0.099481472
"KCNMB2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.163","0.087","1.177","6.22e-02",NA,NA,NA,0.075907497
"PTPRN2","Brain Prefrontal cortex","ANX","Weighted median",4,"-0.049","0.026","0.953","6.48e-02",0.950089998,0.871317481,0.517892839,0.018274468
"LYPLA1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.221","0.122","0.801","6.97e-02",NA,NA,NA,0.091991905
"NADSYN1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.091","0.050","0.913","6.99e-02",NA,NA,NA,0.075661917
"GRTP1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.070","0.039","0.932","7.28e-02",NA,NA,NA,0.072334967
"EIF2AK4","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.198","0.110","1.219","7.30e-02",NA,NA,NA,0.098102961
"SMOC2","Brain Prefrontal cortex","ANX","Inverse variance weighted",2,"-0.054","0.030","0.947","7.37e-02",NA,0.304484882,NA,0.013474492
"CDHR2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.075","0.042","0.927","7.39e-02",NA,NA,NA,0.071375044
"LHCGR","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.067","0.038","0.936","7.63e-02",NA,NA,NA,0.070572954
"SLC38A9","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.101","0.057","1.106","7.77e-02",NA,NA,NA,0.063805637
"RPH3AL","Brain Prefrontal cortex","ANX","Inverse variance weighted",4,"-0.094","0.054","0.910","7.86e-02",0.096089318,0.187467842,0.848754843,0.113713873
"PID1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.146","0.083","1.157","7.92e-02",NA,NA,NA,0.078921778
"NINJ2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.086","0.049","1.090","8.00e-02",NA,NA,NA,0.058867011
"SDK1","Brain Prefrontal cortex","ANX","Inverse variance weighted",2," 0.076","0.044","1.079","8.51e-02",NA,0.589630872,NA,0.050835814
"PTPRN2","Brain Prefrontal cortex","ANX","Inverse variance weighted",4,"-0.039","0.023","0.962","8.53e-02",0.950089998,0.871317481,0.517892839,0.018274468
"RPH3AL","Brain Prefrontal cortex","ANX","Weighted mode",4,"-0.120","0.048","0.887","8.69e-02",0.096089318,0.187467842,0.848754843,0.113713873
"SLC8A2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.151","0.088","0.860","8.75e-02",NA,NA,NA,0.070034692
"GABRR2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.150","0.088","1.162","8.84e-02",NA,NA,NA,0.060658906
