"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SLC38A10","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.147","0.040","1.158","2.14e-04",NA,NA,NA,0.87201902
"LDLRAD4","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.051","0.015","1.053","5.97e-04",NA,NA,NA,0.747289883
"KIF26A","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.081","0.025","0.923","1.25e-03",NA,NA,NA,0.611596979
"HPCAL1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.145","0.050","1.156","3.58e-03",NA,NA,NA,0.335556335
"OSTN","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.115","0.040","1.122","3.92e-03",NA,NA,NA,0.319416768
"EIF3H","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.091","0.032","0.913","4.05e-03",NA,NA,NA,0.302970508
"TACC3","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.090","0.031","0.914","4.06e-03",NA,NA,NA,0.342695456
"PDE11A","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.057","0.020","1.059","4.22e-03",NA,NA,NA,0.3650061
"NEK4","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.087","0.031","1.091","4.87e-03",NA,NA,NA,0.264615399
"FOXP1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.080","0.029","1.083","6.11e-03",NA,NA,NA,0.24484284
"FLACC1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.117","0.043","1.124","6.20e-03",NA,NA,NA,0.215942178
"HPR","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.072","0.028","1.075","8.95e-03",NA,NA,NA,0.201376256
"UNC45B","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.071","0.028","0.931","1.00e-02",NA,NA,NA,0.159777783
"LRBA","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.065","0.026","1.067","1.23e-02",NA,NA,NA,0.137088796
"CHPT1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.061","0.026","1.063","1.64e-02",NA,NA,NA,0.155558895
"RNF215","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.112","0.047","1.119","1.65e-02",NA,NA,NA,0.123907106
"CHST9","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.078","0.033","1.081","1.76e-02",NA,NA,NA,0.102763434
"FOXN3","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.072","0.031","1.075","1.77e-02",NA,NA,NA,0.106271925
"CTNNA2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.066","0.029","0.936","2.07e-02",NA,NA,NA,0.123859544
"PTPRJ","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.053","0.023","1.055","2.15e-02",NA,NA,NA,0.097712362
"EXOC2","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.039","0.017","1.040","2.31e-02",NA,NA,NA,0.098472598
"SLC17A5","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.079","0.035","0.924","2.38e-02",NA,NA,NA,0.082560804
"MATN2","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.074","0.033","1.077","2.39e-02",NA,NA,NA,0.079363901
"TNS1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.045","0.020","1.046","2.42e-02",NA,NA,NA,0.081339197
"FREM1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.059","0.027","1.061","2.65e-02",NA,NA,NA,0.075698956
"UBAC2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.057","0.026","0.945","2.67e-02",NA,NA,NA,0.077908557
"TRARG1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.069","0.032","0.933","2.83e-02",NA,NA,NA,0.075611782
"GABRG3","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.060","0.028","0.942","2.99e-02",NA,NA,NA,0.06793811
"GOLGA8B","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.058","0.027","1.060","3.15e-02",NA,NA,NA,0.064651346
"ARHGAP24","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.031","0.014","0.970","3.29e-02",NA,NA,NA,0.067023995
"CAPN9","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.038","0.018","0.962","3.46e-02",NA,NA,NA,0.060944063
"RPTOR","Brain Prefrontal cortex","ASD","Inverse variance weighted",3,"-0.037","0.018","0.963","3.70e-02",0.955621393,0.582181155,0.487923667,0.010106185
"NTM","Brain Prefrontal cortex","ASD","Inverse variance weighted",3,"-0.027","0.013","0.974","3.74e-02",0.591857304,0.39229469,0.42743002,0.007537244
"SIPA1L3","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.069","0.033","1.071","3.76e-02",NA,NA,NA,0.053382667
"PRKG1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.073","0.035","1.076","3.77e-02",NA,NA,NA,0.056621083
"TRIO","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.034","0.017","0.966","3.83e-02",NA,NA,NA,0.055453968
"ABCA7","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.077","0.038","0.926","4.28e-02",NA,NA,NA,0.055839911
"NTM","Brain Prefrontal cortex","ASD","Weighted median",3,"-0.032","0.016","0.969","4.49e-02",0.591857304,0.39229469,0.42743002,0.007537244
"CHCHD3","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.043","0.022","1.044","4.63e-02",NA,NA,NA,0.047654828
"PPP3R1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.071","0.036","1.073","4.63e-02",NA,NA,NA,0.050189398
"CAB39L","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.067","0.034","0.936","4.78e-02",NA,NA,NA,0.046393841
"MAD1L1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.062","0.031","0.940","4.85e-02",NA,NA,NA,0.049271149
"CLUL1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.060","0.031","1.062","5.09e-02",NA,NA,NA,0.029860271
