"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"NEK4","Brain Prefrontal cortex","BP","Wald ratio",1," 0.126","0.021","1.135","1.97e-09",NA,NA,NA,0.99998798
"RPS6KA2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.086","0.015","1.089","3.17e-08",NA,NA,NA,0.999950094
"CERS6","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.106","0.019","0.900","4.90e-08",NA,NA,NA,0.99974788
"SH3RF3","Brain Prefrontal cortex","BP","Wald ratio",1," 0.090","0.017","1.094","1.52e-07",NA,NA,NA,0.999776873
"CDAN1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.106","0.024","1.112","1.50e-05",NA,NA,NA,0.984828968
"MYH15","Brain Prefrontal cortex","BP","Wald ratio",1," 0.040","0.010","1.040","5.40e-05",NA,NA,NA,0.94723443
"LYPLA1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.138","0.035","0.871","7.21e-05",NA,NA,NA,0.940391815
"TSNARE1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.058","0.015","0.944","8.65e-05",NA,NA,NA,0.911082145
"PCDHB16","Brain Prefrontal cortex","BP","Wald ratio",1," 0.044","0.012","1.045","1.40e-04",NA,NA,NA,0.867203225
"PTDSS1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.052","0.014","1.053","3.23e-04",NA,NA,NA,0.748379724
"TAF4","Brain Prefrontal cortex","BP","Wald ratio",1," 0.032","0.009","1.032","4.16e-04",NA,NA,NA,0.714062433
"GABRG3","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.065","0.019","0.937","5.13e-04",NA,NA,NA,0.661183105
"ADCY2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.071","0.021","0.932","5.42e-04",NA,NA,NA,0.622906487
"SLC41A1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.036","0.011","0.964","5.77e-04",NA,NA,NA,0.636347655
"PCBP3","Brain Prefrontal cortex","BP","Wald ratio",1," 0.058","0.017","1.060","5.89e-04",NA,NA,NA,0.650253346
"NT5DC1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.045","0.013","1.047","6.82e-04",NA,NA,NA,0.625006096
"MYT1L","Brain Prefrontal cortex","BP","Wald ratio",1," 0.069","0.021","1.071","1.05e-03",NA,NA,NA,0.477912233
"GRIN2A","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.033","0.010","0.968","1.08e-03",NA,NA,NA,0.490045635
"RERG","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.065","0.020","0.937","1.10e-03",NA,NA,NA,0.487500394
"VWA5B2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.048","0.015","1.049","1.22e-03",NA,NA,NA,0.513860297
"KLK7","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.070","0.022","0.933","1.28e-03",NA,NA,NA,0.478333959
"B3GAT1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.051","0.016","0.950","1.41e-03",NA,NA,NA,0.52675816
"AK3","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.059","0.018","0.943","1.44e-03",NA,NA,NA,0.459252799
"OAF","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.086","0.027","0.917","1.59e-03",NA,NA,NA,0.546463162
"MTUS1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.066","0.021","1.068","1.62e-03",NA,NA,NA,0.467364234
"DIRAS1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.051","0.017","0.951","2.35e-03",NA,NA,NA,0.375423036
"PTPRJ","Brain Prefrontal cortex","BP","Wald ratio",1," 0.048","0.016","1.049","2.70e-03",NA,NA,NA,0.323854636
"DOCK1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.040","0.013","1.041","2.80e-03",NA,NA,NA,0.290597236
"PRIMA1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.087","0.030","1.091","4.07e-03",NA,NA,NA,0.330333021
"PREX1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.086","0.030","1.090","4.63e-03",NA,NA,NA,0.248900123
"SPATC1L","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.036","0.013","0.964","5.37e-03",NA,NA,NA,0.208826062
"ZNF577","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.075","0.027","0.928","5.44e-03",NA,NA,NA,0.246334722
"KIF1A","Brain Prefrontal cortex","BP","Wald ratio",1," 0.039","0.014","1.039","5.59e-03",NA,NA,NA,0.212755118
"UBE2F","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.062","0.023","0.940","5.78e-03",NA,NA,NA,0.174463977
"ZDHHC14","Brain Prefrontal cortex","BP","Wald ratio",1," 0.044","0.016","1.045","5.78e-03",NA,NA,NA,0.176456215
"PRKG1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.065","0.024","0.937","5.81e-03",NA,NA,NA,0.173786532
"SLC35E2B","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.061","0.022","0.941","6.16e-03",NA,NA,NA,0.194518026
"HELZ2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.061","0.023","0.940","7.09e-03",NA,NA,NA,0.153192427
"DGKI","Brain Prefrontal cortex","BP","Wald ratio",1," 0.057","0.021","1.058","8.07e-03",NA,NA,NA,0.126572749
"JKAMP","Brain Prefrontal cortex","BP","Wald ratio",1," 0.052","0.020","1.054","9.53e-03",NA,NA,NA,0.12207447
"RAB11FIP3","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.031","0.012","0.969","1.10e-02",NA,NA,NA,0.105686695
"UPK3B","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.063","0.025","0.939","1.10e-02",NA,NA,NA,0.106750879
"KREMEN1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.034","0.014","0.967","1.21e-02",NA,NA,NA,0.114176518
"CHAF1A","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.051","0.020","0.951","1.26e-02",NA,NA,NA,0.095639259
"GPR161","Brain Prefrontal cortex","BP","Wald ratio",1," 0.051","0.020","1.052","1.31e-02",NA,NA,NA,0.093707463
"STMN4","Brain Prefrontal cortex","BP","Wald ratio",1," 0.035","0.014","1.036","1.32e-02",NA,NA,NA,0.093376847
"SLC66A2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.027","0.011","1.027","1.42e-02",NA,NA,NA,0.087067435
"TNR","Brain Prefrontal cortex","BP","Wald ratio",1," 0.035","0.014","1.036","1.47e-02",NA,NA,NA,0.083123444
"VIPR2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.045","0.019","0.956","1.49e-02",NA,NA,NA,0.092149039
"ATXN7L1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.037","0.016","0.964","1.69e-02",NA,NA,NA,0.093901931
"FOXN3","Brain Prefrontal cortex","BP","Wald ratio",1," 0.048","0.020","1.049","1.93e-02",NA,NA,NA,0.069172494
"MYOM2","Brain Prefrontal cortex","BP","Inverse variance weighted",2," 0.029","0.012","1.029","2.06e-02",NA,0.658129334,NA,0.017254404
"PPP3R1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.055","0.024","1.056","2.18e-02",NA,NA,NA,0.063734972
"GSDME","Brain Prefrontal cortex","BP","Wald ratio",1," 0.061","0.027","1.062","2.25e-02",NA,NA,NA,0.060386514
"CCDC6","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.027","0.012","0.973","2.36e-02",NA,NA,NA,0.057557648
"PTPN14","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.040","0.018","0.961","2.43e-02",NA,NA,NA,0.066779518
"LATS2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.055","0.025","0.946","2.46e-02",NA,NA,NA,0.056951917
"TRARG1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.047","0.021","0.954","2.59e-02",NA,NA,NA,0.055999836
"RPTOR","Brain Prefrontal cortex","BP","Weighted median",3,"-0.034","0.015","0.967","2.83e-02",0.017182972,0.035404128,0.746551641,0.005194816
"CARMIL3","Brain Prefrontal cortex","BP","Wald ratio",1," 0.030","0.014","1.030","2.97e-02",NA,NA,NA,0.049122898
"MAD1L1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.045","0.021","1.046","3.09e-02",NA,NA,NA,0.048932899
"NWD2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.037","0.018","1.038","3.71e-02",NA,NA,NA,0.039430823
"MMP11","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.046","0.022","0.955","3.73e-02",NA,NA,NA,0.039121723
"AFDN","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.028","0.014","0.972","3.75e-02",NA,NA,NA,0.041434709
"DIP2C","Brain Prefrontal cortex","BP","Wald ratio",1," 0.022","0.011","1.023","4.11e-02",NA,NA,NA,0.036292149
"NRCAM","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.039","0.019","0.962","4.16e-02",NA,NA,NA,0.040228485
"NCEH1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.042","0.021","1.043","4.18e-02",NA,NA,NA,0.042476132
"F13A1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.033","0.016","1.033","4.20e-02",NA,NA,NA,0.064511567
"DSC1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.037","0.018","1.038","4.23e-02",NA,NA,NA,0.037203933
"EEF1A2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.048","0.023","0.953","4.24e-02",NA,NA,NA,0.03827878
"FRMD4A","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.041","0.020","0.960","4.25e-02",NA,NA,NA,0.02832351
"S100A16","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.036","0.018","0.965","4.34e-02",NA,NA,NA,0.036820767
"TRHDE","Brain Prefrontal cortex","BP","Wald ratio",1," 0.052","0.026","1.053","4.39e-02",NA,NA,NA,0.036136839
"NOTCH1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.037","0.018","1.037","4.55e-02",NA,NA,NA,0.036401494
"FLACC1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.058","0.029","1.060","4.67e-02",NA,NA,NA,0.031480777
"RPTOR","Brain Prefrontal cortex","BP","Inverse variance weighted",3,"-0.044","0.022","0.957","4.78e-02",0.017182972,0.035404128,0.746551641,0.005194816
"TBC1D1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.028","0.014","0.972","4.86e-02",NA,NA,NA,0.036106032
"PRDX1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.063","0.032","1.065","4.90e-02",NA,NA,NA,0.032731724
"PLCG2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.031","0.016","1.031","5.13e-02",NA,NA,NA,0.031820577
"PLCB4","Brain Prefrontal cortex","BP","Wald ratio",1," 0.030","0.015","1.030","5.28e-02",NA,NA,NA,0.029595727
"SORCS3","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.032","0.016","0.969","5.30e-02",NA,NA,NA,0.033395256
"SLC38A10","Brain Prefrontal cortex","BP","Wald ratio",1," 0.051","0.026","1.052","5.33e-02",NA,NA,NA,0.031891195
"TMEM132C","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.041","0.021","0.960","5.34e-02",NA,NA,NA,0.024881796
"ALDH16A1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.025","0.013","0.975","5.38e-02",NA,NA,NA,0.030024766
"PAMR1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.042","0.022","0.959","5.54e-02",NA,NA,NA,0.031750824
