"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ERBB4","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.026","0.006","0.974","8.92e-06",NA,NA,NA,0.976292845
"MAD1L1","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.041","0.010","0.960","3.04e-05",NA,NA,NA,0.933196827
"PTPRN2","Brain Prefrontal cortex","DEP","Inverse variance weighted",3,"-0.014","0.004","0.986","6.77e-05",0.373010863,0.638972605,0.803037689,0.003671793
"EPHB2","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.038","0.010","1.039","1.28e-04",NA,NA,NA,0.781735572
"NEK4","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.037","0.010","1.038","1.34e-04",NA,NA,NA,0.760882071
"HLA-DQB1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.024","0.006","1.024","1.70e-04",NA,NA,NA,0.745079124
"SLC41A1","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.018","0.005","0.982","2.12e-04",NA,NA,NA,0.676770393
"TEC","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.023","0.007","0.977","4.85e-04",NA,NA,NA,0.496503844
"ARHGEF7","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.026","0.007","1.026","5.07e-04",NA,NA,NA,0.480821474
"VPS41","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.033","0.010","1.034","6.85e-04",NA,NA,NA,0.388911994
"TRPS1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.030","0.009","1.031","7.46e-04",NA,NA,NA,0.38705687
"FOXP1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.029","0.009","1.029","9.74e-04",NA,NA,NA,0.350091624
"MYT1L","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.031","0.010","1.031","1.34e-03",NA,NA,NA,0.253548396
"FREM1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.026","0.008","1.027","1.35e-03",NA,NA,NA,0.271412485
"ANKRD36B","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.017","0.005","1.017","1.60e-03",NA,NA,NA,0.245857004
"PTPRN2","Brain Prefrontal cortex","DEP","Weighted median",3,"-0.012","0.004","0.988","2.43e-03",0.373010863,0.638972605,0.803037689,0.003671793
"EXT1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.013","0.004","1.013","2.70e-03",NA,NA,NA,0.20067949
"VWA5B2","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.020","0.007","1.020","2.70e-03",NA,NA,NA,0.186196973
"SDK1","Brain Prefrontal cortex","DEP","Inverse variance weighted",2," 0.019","0.006","1.019","2.92e-03",NA,0.396598697,NA,0.070405462
"SH3RF3","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.023","0.008","1.024","3.13e-03",NA,NA,NA,0.147149108
"NRXN1","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.038","0.013","1.039","4.50e-03",NA,NA,NA,0.11042152
"FAM120B","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.020","0.007","0.980","4.77e-03",NA,NA,NA,0.107491481
"ZNF385B","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.021","0.008","0.979","5.87e-03",NA,NA,NA,0.188796947
"MYH15","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.012","0.004","1.012","6.76e-03",NA,NA,NA,0.085712138
"CAPN11","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.021","0.008","0.979","6.81e-03",NA,NA,NA,0.090013816
"CDC16","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.015","0.006","0.985","8.91e-03",NA,NA,NA,0.105966996
"BRD3","Brain Prefrontal cortex","DEP","Wald ratio",1," 0.021","0.008","1.022","1.05e-02",NA,NA,NA,0.06197105
"FAM131C","Brain Prefrontal cortex","DEP","Wald ratio",1,"-0.022","0.009","0.978","1.08e-02",NA,NA,NA,0.061483095
