"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"PAM","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.206","0.059","0.814","4.59e-04",NA,NA,NA,0.833489222
"CFAP46","Brain Prefrontal cortex","OCD","Inverse variance weighted",2," 0.150","0.044","1.162","7.26e-04",NA,0.661639415,NA,0.040248342
"WDR62","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.176","0.054","1.193","1.14e-03",NA,NA,NA,0.703951632
"PDIA5","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.098","0.031","1.103","1.78e-03",NA,NA,NA,0.644068142
"PLCH1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.181","0.061","0.835","2.96e-03",NA,NA,NA,0.32490044
"SYNE1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.123","0.042","0.884","3.32e-03",NA,NA,NA,0.528507626
"JAZF1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.129","0.046","0.879","4.98e-03",NA,NA,NA,0.426439965
"STMN4","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.108","0.039","1.114","5.02e-03",NA,NA,NA,0.384635415
"MEGF6","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.131","0.049","0.877","6.98e-03",NA,NA,NA,0.02361728
"PCGF3","Brain Prefrontal cortex","OCD","Inverse variance weighted",2," 0.117","0.045","1.124","9.58e-03",NA,0.227408714,NA,0.469161399
"ROBO2","Brain Prefrontal cortex","OCD","Inverse variance weighted",2,"-0.063","0.024","0.939","9.83e-03",NA,0.954773108,NA,0.109901737
"PHRF1","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.078","0.031","0.925","1.17e-02",NA,NA,NA,0.247007261
"FOXP1","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.130","0.052","1.138","1.31e-02",NA,NA,NA,0.220163551
"LDLRAD4","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.069","0.028","0.933","1.44e-02",NA,NA,NA,0.228445673
"DPP10","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.093","0.038","0.911","1.45e-02",NA,NA,NA,0.227156979
"MET","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.120","0.050","1.127","1.59e-02",NA,NA,NA,0.18491782
"HSD17B11","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.153","0.065","0.858","1.79e-02",NA,NA,NA,0.162279528
"TSHR","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.164","0.069","0.849","1.81e-02",NA,NA,NA,0.175214782
"LATS2","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.163","0.070","0.850","1.97e-02",NA,NA,NA,0.146534709
"PRPH2","Brain Prefrontal cortex","OCD","Wald ratio",1,"-0.085","0.037","0.918","2.01e-02",NA,NA,NA,0.169387726
"HSD17B4","Brain Prefrontal cortex","OCD","Wald ratio",1," 0.240","0.104","1.271","2.12e-02",NA,NA,NA,0.148835406
