"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"TSNARE1","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.103","0.014","0.902","3.94e-14",NA,NA,NA,1
"NEK4","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.131","0.020","1.140","2.14e-11",NA,NA,NA,0.999991278
"SLC66A2","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.060","0.010","1.062","5.20e-09",NA,NA,NA,0.999990807
"MYT1L","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.106","0.019","1.112","4.14e-08",NA,NA,NA,0.999713735
"CERS6","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.085","0.018","0.918","1.65e-06",NA,NA,NA,0.997358011
"ERBB4","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.057","0.012","0.945","2.45e-06",NA,NA,NA,0.996473494
"ARHGEF10","Brain Prefrontal cortex","SCZ","Inverse variance weighted",2," 0.044","0.009","1.045","3.02e-06",NA,0.748066918,NA,0.018573507
"RPTOR","Brain Prefrontal cortex","SCZ","Inverse variance weighted",3,"-0.050","0.011","0.951","8.19e-06",0.336756422,0.470722529,0.584527526,0.025976449
"SORCS3","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.062","0.014","0.940","1.72e-05",NA,NA,NA,0.979274258
"SLC5A10","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.112","0.028","0.894","6.10e-05",NA,NA,NA,0.94295901
"B3GAT1","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.057","0.014","0.945","7.75e-05",NA,NA,NA,0.937114255
"DGKI","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.078","0.020","1.081","9.17e-05",NA,NA,NA,0.893423235
"KALRN","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.081","0.021","1.084","9.32e-05",NA,NA,NA,0.898572686
"RAB2A","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.072","0.019","0.930","1.28e-04",NA,NA,NA,0.868995405
"RASA3","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.048","0.013","1.049","1.53e-04",NA,NA,NA,0.85062533
"TRPS1","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.067","0.018","1.069","2.45e-04",NA,NA,NA,0.781159038
"PJA2","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.035","0.010","0.965","2.69e-04",NA,NA,NA,0.766387779
"DGKB","Brain Prefrontal cortex","SCZ","Inverse variance weighted",2," 0.046","0.013","1.047","3.15e-04",NA,0.419087376,NA,0.371012714
"ZDHHC20","Brain Prefrontal cortex","SCZ","Wald ratio",1,"-0.032","0.009","0.969","3.22e-04",NA,NA,NA,0.734774014
"SLC8A1","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.066","0.019","1.068","4.14e-04",NA,NA,NA,0.684909889
"RNF215","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.100","0.029","1.105","5.49e-04",NA,NA,NA,0.660641892
"FOXP1","Brain Prefrontal cortex","SCZ","Wald ratio",1," 0.060","0.018","1.062","7.55e-04",NA,NA,NA,0.577001499
