Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
INSYN1-AS1,Brain Amygdala,DEP,Wald ratio,1,-0.038,0.008,0.962,5.76E-06,NA,NA,NA,0.886517344
SLC30A9,Brain Amygdala,DEP,Wald ratio,1,0.061,0.015,1.063,5.82E-05,NA,NA,NA,0.85787031
CD40,Brain Amygdala,DEP,Wald ratio,1,0.05,0.013,1.052,6.72E-05,NA,NA,NA,0.498914775
LINC01114,Brain Amygdala,DEP,Wald ratio,1,0.037,0.01,1.038,0.000123,NA,NA,NA,0.77780569
GPM6A-DT,Brain Amygdala,DEP,Wald ratio,1,0.023,0.006,1.024,0.000151,NA,NA,NA,0.542286941
PPIB,Brain Amygdala,DEP,Wald ratio,1,0.037,0.01,1.037,0.000168,NA,NA,NA,0.004760864
GSDME,Brain Amygdala,DEP,Wald ratio,1,-0.023,0.006,0.978,0.000218,NA,NA,NA,0.666127006
MSL1,Brain Amygdala,DEP,Wald ratio,1,0.036,0.01,1.037,0.000273,NA,NA,NA,0.692799364
GLTP,Brain Amygdala,DEP,Wald ratio,1,0.048,0.014,1.05,0.000486,NA,NA,NA,0.484746999
NME7,Brain Amygdala,DEP,Wald ratio,1,0.039,0.011,1.04,6.00E-04,NA,NA,NA,0.431069956
GUF1,Brain Amygdala,DEP,Wald ratio,1,-0.031,0.009,0.97,0.000745,NA,NA,NA,0.336909697
GNPDA2,Brain Amygdala,DEP,Wald ratio,1,0.031,0.009,1.031,0.000745,NA,NA,NA,0.428310402
SNX16,Brain Amygdala,DEP,Wald ratio,1,-0.034,0.01,0.967,0.000946,NA,NA,NA,0.241973404
CWF19L1,Brain Amygdala,DEP,Wald ratio,1,-0.023,0.007,0.977,0.000983,NA,NA,NA,0.265737538
KNSTRN,Brain Amygdala,DEP,Wald ratio,1,0.014,0.004,1.014,0.00103,NA,NA,NA,0.40918821
TIPIN,Brain Amygdala,DEP,Wald ratio,1,-0.017,0.005,0.983,0.00118,NA,NA,NA,0.43891104
GTF2IRD2,Brain Amygdala,DEP,Wald ratio,1,-0.019,0.006,0.982,0.00142,NA,NA,NA,0.318474831
PMS2P5,Brain Amygdala,DEP,Wald ratio,1,-0.016,0.005,0.984,0.00142,NA,NA,NA,0.318474917
TAS2R14,Brain Amygdala,DEP,Wald ratio,1,-0.033,0.011,0.967,0.00152,NA,NA,NA,0.021857919
PRR4,Brain Amygdala,DEP,Wald ratio,1,-0.03,0.009,0.971,0.00152,NA,NA,NA,0.159715514
TAS2R64P,Brain Amygdala,DEP,Wald ratio,1,0.016,0.005,1.016,0.00152,NA,NA,NA,0.262838911
LINC01252,Brain Amygdala,DEP,Wald ratio,1,-0.029,0.009,0.971,0.00152,NA,NA,NA,0.020700675
LINC01299,Brain Amygdala,DEP,Wald ratio,1,-0.024,0.008,0.976,0.00156,NA,NA,NA,0.241724976
TTC12,Brain Amygdala,DEP,Wald ratio,1,-0.018,0.006,0.982,0.00156,NA,NA,NA,0.241732049
