Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
ZNF717,Brain Cortex SMR,PTSD,Wald ratio,1,-0.052,0.015,0.949,0.000331,NA,NA,NA,0.82455744
LINC00960,Brain Cortex SMR,PTSD,Wald ratio,1,-0.095,0.026,0.91,0.000331,NA,NA,NA,0.82455744
ANTXR1,Brain Cortex SMR,PTSD,Inverse variance weighted,3,-0.117,0.034,0.889,0.000489,0.621892638,0.872275765,0.890669635,0.03740966
CFAP92,Brain Cortex SMR,PTSD,Wald ratio,1,-0.314,0.095,0.73,0.000911,NA,NA,NA,0.759373986
PLCH1,Brain Cortex SMR,PTSD,Inverse variance weighted,2,-0.101,0.031,0.904,0.00127,NA,0.575831083,NA,0.056960904
AC017028.1,Brain Cortex SMR,PTSD,Wald ratio,1,0.27,0.085,1.31,0.00144,NA,NA,NA,0.561365211
ANKRD36B,Brain Cortex SMR,PTSD,Inverse variance weighted,2,0.051,0.016,1.052,0.00149,NA,0.980174549,NA,0.016043269
ANKRD36,Brain Cortex SMR,PTSD,Wald ratio,1,-0.122,0.04,0.885,0.00195,NA,NA,NA,0.473774382
ACTR1B,Brain Cortex SMR,PTSD,Wald ratio,1,-0.256,0.083,0.774,0.00195,NA,NA,NA,0.470907637
ZAP70,Brain Cortex SMR,PTSD,Wald ratio,1,0.095,0.031,1.1,0.00195,NA,NA,NA,0.473774382
CDPF1P1,Brain Cortex SMR,PTSD,Wald ratio,1,0.136,0.045,1.146,0.00233,NA,NA,NA,0.495947213
ANTXR1,Brain Cortex SMR,PTSD,Weighted median,3,-0.111,0.037,0.895,0.00255,0.621892638,0.872275765,0.890669635,0.03740966
AL596257.1,Brain Cortex SMR,PTSD,Wald ratio,1,-0.091,0.03,0.913,0.00265,NA,NA,NA,0.414018442
CATSPERE,Brain Cortex SMR,PTSD,Wald ratio,1,-0.224,0.077,0.799,0.00341,NA,NA,NA,0.432242219
AC026316.5,Brain Cortex SMR,PTSD,Wald ratio,1,-0.117,0.04,0.889,0.00354,NA,NA,NA,0.378561312
MFSD10,Brain Cortex SMR,PTSD,Wald ratio,1,-0.277,0.096,0.758,0.00376,NA,NA,NA,0.569443931
VIT,Brain Cortex SMR,PTSD,Wald ratio,1,0.234,0.082,1.264,0.00422,NA,NA,NA,0.509544215
TTN,Brain Cortex SMR,PTSD,Wald ratio,1,-0.117,0.041,0.889,0.00427,NA,NA,NA,0.450691703
MPZL1,Brain Cortex SMR,PTSD,Inverse variance weighted,2,-0.103,0.036,0.902,0.0043,NA,0.768416586,NA,0.022660734
ST6GALNAC3,Brain Cortex SMR,PTSD,Wald ratio,1,-0.215,0.076,0.806,0.00439,NA,NA,NA,0.339395389
INPP5B,Brain Cortex SMR,PTSD,Wald ratio,1,-0.061,0.022,0.941,0.00465,NA,NA,NA,0.305272295
MANEAL,Brain Cortex SMR,PTSD,Wald ratio,1,0.227,0.08,1.255,0.00465,NA,NA,NA,0.305262953
KYAT3,Brain Cortex SMR,PTSD,Inverse variance weighted,2,-0.037,0.013,0.964,0.00551,NA,0.627262766,NA,0.272947151
AC017099.1,Brain Cortex SMR,PTSD,Inverse variance weighted,2,0.041,0.015,1.041,0.00679,NA,0.278731707,NA,0.009960922
LINC01356,Brain Cortex SMR,PTSD,Wald ratio,1,-0.142,0.053,0.868,0.00722,NA,NA,NA,0.28936912
POGZ,Brain Cortex SMR,PTSD,Wald ratio,1,0.12,0.045,1.127,0.00778,NA,NA,NA,0.24208325
AC063919.1,Brain Cortex SMR,PTSD,Wald ratio,1,0.077,0.029,1.08,0.00803,NA,NA,NA,0.196582178
