"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"PIDD1","Brain","ADHD","Wald ratio",1," 0.147","0.028","1.159","1.32e-07",NA,NA,NA,0.999821036
"SZT2","Brain","ADHD","Wald ratio",1," 0.141","0.027","1.151","1.39e-07",NA,NA,NA,0.999791558
"CDHR4","Brain","ADHD","Wald ratio",1," 0.128","0.026","1.137","1.04e-06",NA,NA,NA,0.998847418
"CALN1","Brain","ADHD","Wald ratio",1,"-0.137","0.029","0.872","3.42e-06",NA,NA,NA,0.995788141
"STK32C","Brain","ADHD","Wald ratio",1,"-0.141","0.030","0.869","3.80e-06",NA,NA,NA,0.995734788
"IKZF4","Brain","ADHD","Wald ratio",1,"-0.161","0.036","0.851","5.76e-06",NA,NA,NA,0.992956253
"ENSG00000285847","Brain","ADHD","Wald ratio",1," 0.106","0.027","1.112","7.87e-05",NA,NA,NA,0.919521258
"CDC25B","Brain","ADHD","Wald ratio",1,"-0.113","0.030","0.893","1.46e-04",NA,NA,NA,0.862310214
"MNT","Brain","ADHD","Wald ratio",1,"-0.091","0.024","0.913","1.84e-04",NA,NA,NA,0.842517575
"RMDN3","Brain","ADHD","Wald ratio",1,"-0.050","0.014","0.952","2.67e-04",NA,NA,NA,0.778485479
"NGEF","Brain","ADHD","Wald ratio",1,"-0.061","0.017","0.941","3.05e-04",NA,NA,NA,0.760306623
"ARHGEF7","Brain","ADHD","Wald ratio",1," 0.055","0.016","1.057","3.74e-04",NA,NA,NA,0.724151481
"SECISBP2","Brain","ADHD","Wald ratio",1,"-0.185","0.052","0.831","4.05e-04",NA,NA,NA,0.81369382
"F13B","Brain","ADHD","Wald ratio",1," 0.118","0.035","1.125","6.64e-04",NA,NA,NA,0.603267559
"LINC00910","Brain","ADHD","Wald ratio",1," 0.120","0.036","1.127","7.32e-04",NA,NA,NA,0.626179253
"RGS9","Brain","ADHD","Wald ratio",1," 0.067","0.020","1.069","9.76e-04",NA,NA,NA,0.555880569
"ENSG00000289207","Brain","ADHD","Wald ratio",1," 0.107","0.034","1.113","1.50e-03",NA,NA,NA,0.439294256
"DOCK2","Brain","ADHD","Wald ratio",1,"-0.110","0.035","0.896","1.79e-03",NA,NA,NA,0.406340819
"TXNL4B","Brain","ADHD","Wald ratio",1," 0.081","0.028","1.084","3.46e-03",NA,NA,NA,0.294070432
"NOL4L","Brain","ADHD","Wald ratio",1,"-0.118","0.040","0.889","3.54e-03",NA,NA,NA,0.272593029
"XYLT1","Brain","ADHD","Wald ratio",1," 0.132","0.046","1.141","3.80e-03",NA,NA,NA,0.284795824
"LINC02579","Brain","ADHD","Wald ratio",1," 0.124","0.043","1.131","4.30e-03",NA,NA,NA,0.265865563
"NTNG2","Brain","ADHD","Wald ratio",1," 0.087","0.031","1.091","4.79e-03",NA,NA,NA,0.200815681
"KAT2B","Brain","ADHD","Wald ratio",1,"-0.066","0.025","0.936","7.81e-03",NA,NA,NA,0.138109722
"ROBO2","Brain","ADHD","Wald ratio",1," 0.121","0.046","1.128","8.30e-03",NA,NA,NA,0.163747505
"DMBT1L1","Brain","ADHD","Wald ratio",1,"-0.242","0.092","0.785","8.44e-03",NA,NA,NA,0.331549929
"TMCO3","Brain","ADHD","Wald ratio",1,"-0.070","0.027","0.932","9.01e-03",NA,NA,NA,0.133644362
"ABCC4","Brain","ADHD","Wald ratio",1,"-0.116","0.045","0.891","9.29e-03",NA,NA,NA,0.211201776
"FAM167A","Brain","ADHD","Wald ratio",1,"-0.038","0.015","0.963","9.38e-03",NA,NA,NA,0.123112239
"LRP11","Brain","ADHD","Wald ratio",1,"-0.089","0.035","0.915","1.00e-02",NA,NA,NA,0.113708133
"MCM9","Brain","ADHD","Wald ratio",1,"-0.082","0.032","0.921","1.00e-02",NA,NA,NA,0.113595864
"KCNH3","Brain","ADHD","Wald ratio",1," 0.133","0.053","1.143","1.13e-02",NA,NA,NA,0.161610013
"CCDC117","Brain","ADHD","Wald ratio",1," 0.085","0.034","1.089","1.17e-02",NA,NA,NA,0.106117343
"PARP16","Brain","ADHD","Wald ratio",1,"-0.107","0.043","0.898","1.17e-02",NA,NA,NA,0.15267327
"AFG3L1P","Brain","ADHD","Wald ratio",1,"-0.151","0.060","0.860","1.22e-02",NA,NA,NA,0.156142406
"BORCS8-MEF2B","Brain","ADHD","Wald ratio",1," 0.089","0.036","1.093","1.28e-02",NA,NA,NA,0.093693655
