"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ANK3","Brain","BP","Wald ratio",1,"-0.229","0.037","0.795","7.49e-10",NA,NA,NA,0.999999231
"HLA-C","Brain","BP","Wald ratio",1,"-0.178","0.036","0.837","5.72e-07",NA,NA,NA,0.99923936
"TMEM258","Brain","BP","Wald ratio",1," 0.220","0.044","1.246","5.73e-07",NA,NA,NA,0.999369412
"RORB","Brain","BP","Wald ratio",1," 0.118","0.027","1.125","1.68e-05",NA,NA,NA,0.982786082
"MUCL3","Brain","BP","Wald ratio",1," 0.080","0.020","1.084","6.08e-05",NA,NA,NA,0.938113363
"OTUB1","Brain","BP","Wald ratio",1," 0.066","0.017","1.068","7.89e-05",NA,NA,NA,0.919419473
"PPM1F","Brain","BP","Wald ratio",1," 0.087","0.023","1.091","1.45e-04",NA,NA,NA,0.86450178
"RNU1-47P","Brain","BP","Wald ratio",1," 0.121","0.032","1.129","1.46e-04",NA,NA,NA,0.86837247
"CALCB","Brain","BP","Wald ratio",1,"-0.125","0.034","0.882","1.94e-04",NA,NA,NA,0.828642768
"RCBTB1","Brain","BP","Wald ratio",1,"-0.104","0.028","0.901","2.49e-04",NA,NA,NA,0.792909522
"ENSG00000235140","Brain","BP","Wald ratio",1," 0.101","0.028","1.106","2.87e-04",NA,NA,NA,0.805478174
"SHANK2","Brain","BP","Wald ratio",1," 0.113","0.032","1.120","4.04e-04",NA,NA,NA,0.730698118
"KCNJ12","Brain","BP","Wald ratio",1,"-0.114","0.032","0.893","4.18e-04",NA,NA,NA,0.720608859
"ENSG00000286619","Brain","BP","Wald ratio",1,"-0.040","0.012","0.961","6.01e-04",NA,NA,NA,0.627675197
"ENSG00000272305","Brain","BP","Wald ratio",1," 0.085","0.025","1.088","6.55e-04",NA,NA,NA,0.616046726
"FAM135B","Brain","BP","Wald ratio",1,"-0.158","0.047","0.854","7.14e-04",NA,NA,NA,0.672769386
"RCAN2","Brain","BP","Inverse variance weighted",2,"-0.071","0.022","0.932","1.16e-03",NA,0.736683657,NA,0.033890656
"CHMP1A","Brain","BP","Wald ratio",1," 0.074","0.023","1.077","1.19e-03",NA,NA,NA,0.560001215
"MYO18A","Brain","BP","Wald ratio",1," 0.281","0.087","1.325","1.21e-03",NA,NA,NA,0.685453656
"CDC25B","Brain","BP","Wald ratio",1,"-0.095","0.030","0.909","1.36e-03",NA,NA,NA,0.438731197
"RPL13","Brain","BP","Wald ratio",1,"-0.072","0.023","0.930","1.37e-03",NA,NA,NA,0.495060466
"FOXO6","Brain","BP","Wald ratio",1,"-0.066","0.021","0.936","1.52e-03",NA,NA,NA,0.414019925
"FRK","Brain","BP","Wald ratio",1,"-0.083","0.026","0.920","1.65e-03",NA,NA,NA,0.399381291
"XPNPEP1","Brain","BP","Wald ratio",1," 0.089","0.028","1.094","1.65e-03",NA,NA,NA,0.415591409
"SLC39A10","Brain","BP","Wald ratio",1," 0.086","0.027","1.090","1.72e-03",NA,NA,NA,0.392533281
