"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"MGMT","Brain","ED","Wald ratio",1," 0.236","0.053","1.266","7.44e-06",NA,NA,NA,0.99399952
"IKZF4","Brain","ED","Wald ratio",1,"-0.216","0.051","0.806","2.38e-05",NA,NA,NA,0.980796331
"RCAN2","Brain","ED","Wald ratio",1," 0.156","0.039","1.169","7.66e-05",NA,NA,NA,0.948670593
"GNB1","Brain","ED","Wald ratio",1,"-0.114","0.031","0.892","1.77e-04",NA,NA,NA,0.884118987
"ST8SIA5-DT","Brain","ED","Wald ratio",1,"-0.152","0.042","0.859","3.22e-04",NA,NA,NA,0.81259578
"TYMSP2","Brain","ED","Wald ratio",1," 0.162","0.046","1.176","4.41e-04",NA,NA,NA,0.802938878
"CTBP2","Brain","ED","Wald ratio",1,"-0.134","0.038","0.875","4.47e-04",NA,NA,NA,0.75664598
"IQCK","Brain","ED","Wald ratio",1," 0.165","0.048","1.179","5.49e-04",NA,NA,NA,0.770103323
"ATP12A","Brain","ED","Wald ratio",1," 0.282","0.087","1.326","1.12e-03",NA,NA,NA,0.720158424
"TRPS1","Brain","ED","Wald ratio",1,"-0.109","0.034","0.897","1.31e-03",NA,NA,NA,0.536387291
"KIF5C","Brain","ED","Wald ratio",1,"-0.291","0.091","0.747","1.43e-03",NA,NA,NA,0.644609068
"EPHA10","Brain","ED","Wald ratio",1,"-0.078","0.025","0.925","1.81e-03",NA,NA,NA,0.487134688
"CHN2","Brain","ED","Inverse variance weighted",2,"-0.107","0.034","0.898","1.83e-03",NA,0.653678903,NA,0.05266261
"ENSG00000231769","Brain","ED","Wald ratio",1,"-0.154","0.051","0.857","2.30e-03",NA,NA,NA,0.420751095
"ATXN2","Brain","ED","Wald ratio",1," 0.187","0.062","1.206","2.65e-03",NA,NA,NA,0.434090072
"AFF3","Brain","ED","Wald ratio",1,"-0.194","0.066","0.824","3.36e-03",NA,NA,NA,0.387070974
"LINC01500","Brain","ED","Wald ratio",1," 0.080","0.028","1.084","3.85e-03",NA,NA,NA,0.303910309
"ZNF302","Brain","ED","Wald ratio",1,"-0.103","0.036","0.902","4.10e-03",NA,NA,NA,0.317061207
"ENSG00000285535","Brain","ED","Wald ratio",1," 0.122","0.043","1.130","4.93e-03",NA,NA,NA,0.274665052
"LINC01992","Brain","ED","Wald ratio",1,"-0.100","0.036","0.905","5.04e-03",NA,NA,NA,0.256315147
"PLPP2","Brain","ED","Wald ratio",1," 0.164","0.059","1.178","5.25e-03",NA,NA,NA,0.295936976
"MYOCOS","Brain","ED","Wald ratio",1,"-0.141","0.051","0.869","5.31e-03",NA,NA,NA,0.257663059
"TMEM258","Brain","ED","Wald ratio",1,"-0.170","0.064","0.844","7.91e-03",NA,NA,NA,0.228599901
"FAM131C","Brain","ED","Wald ratio",1," 0.118","0.045","1.125","7.98e-03",NA,NA,NA,0.195387547
"NOL4L","Brain","ED","Wald ratio",1,"-0.153","0.059","0.858","9.73e-03",NA,NA,NA,0.179853848
"MGLL","Brain","ED","Wald ratio",1," 0.250","0.098","1.284","1.04e-02",NA,NA,NA,0.286381317
"SIRPA","Brain","ED","Wald ratio",1," 0.091","0.036","1.096","1.08e-02",NA,NA,NA,0.15366227
"NIPAL1","Brain","ED","Wald ratio",1," 0.114","0.045","1.120","1.18e-02",NA,NA,NA,0.143103472
"MNT","Brain","ED","Wald ratio",1," 0.090","0.036","1.094","1.18e-02",NA,NA,NA,0.146066579
"PPP5D1P","Brain","ED","Wald ratio",1," 0.144","0.058","1.155","1.31e-02",NA,NA,NA,0.207634198
"SLC29A3","Brain","ED","Wald ratio",1,"-0.062","0.025","0.940","1.37e-02",NA,NA,NA,0.125313854
"CROCC","Brain","ED","Wald ratio",1," 0.181","0.075","1.199","1.50e-02",NA,NA,NA,0.168815776
"MYOM2","Brain","ED","Wald ratio",1,"-0.084","0.035","0.920","1.55e-02",NA,NA,NA,0.112618599
"PARP16","Brain","ED","Wald ratio",1," 0.151","0.063","1.163","1.60e-02",NA,NA,NA,0.165390898
"CCDC163","Brain","ED","Wald ratio",1," 0.083","0.035","1.086","1.83e-02",NA,NA,NA,0.101516512
