Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
BDNF,Brain Cortex,ADHD,Wald ratio,1,-0.112,0.026,0.894,1.38E-05,NA,NA,NA,0.983784164
OGFOD2,Brain Cortex,ADHD,Wald ratio,1,-0.161,0.038,0.852,2.52E-05,NA,NA,NA,0.01008482
PRTFDC1,Brain Cortex,ADHD,Wald ratio,1,0.057,0.014,1.058,5.07E-05,NA,NA,NA,0.945418924
IGF1R,Brain Cortex,ADHD,Wald ratio,1,-0.108,0.027,0.898,5.79E-05,NA,NA,NA,0.005742152
SLC24A4,Brain Cortex,ADHD,Wald ratio,1,0.097,0.025,1.102,8.81E-05,NA,NA,NA,0.041751346
MED27,Brain Cortex,ADHD,Wald ratio,1,-0.1,0.026,0.905,9.70E-05,NA,NA,NA,0.008931888
TMEM132B,Brain Cortex,ADHD,Wald ratio,1,0.095,0.025,1.1,0.000141,NA,NA,NA,0.006309474
RFLNA,Brain Cortex,ADHD,Wald ratio,1,-0.057,0.016,0.945,0.000275,NA,NA,NA,0.010135831
ENSG00000257735,Brain Cortex,ADHD,Wald ratio,1,0.09,0.025,1.094,0.000316,NA,NA,NA,0.759864151
NR2E3,Brain Cortex,ADHD,Wald ratio,1,-0.446,0.125,0.64,0.000354,NA,NA,NA,0.010680209
DHCR7,Brain Cortex,ADHD,Wald ratio,1,0.105,0.03,1.111,0.00044,NA,NA,NA,0.701180074
CACNB2,Brain Cortex,ADHD,Wald ratio,1,0.066,0.019,1.068,0.000465,NA,NA,NA,0.674903588
SEMA6D,Brain Cortex,ADHD,Wald ratio,1,-0.058,0.017,0.944,0.000505,NA,NA,NA,0.700899246
SLC12A5,Brain Cortex,ADHD,Wald ratio,1,0.072,0.021,1.075,0.000517,NA,NA,NA,0.68300931
SECISBP2,Brain Cortex,ADHD,Wald ratio,1,0.214,0.062,1.238,0.000517,NA,NA,NA,0.025878349
NXPH4,Brain Cortex,ADHD,Wald ratio,1,-0.069,0.02,0.933,0.000611,NA,NA,NA,0.626431494
ENSG00000286608,Brain Cortex,ADHD,Wald ratio,1,-0.1,0.03,0.905,0.000988,NA,NA,NA,0.626644422
NOS1,Brain Cortex,ADHD,Inverse variance weighted,2,0.077,0.023,1.08,0.00109,NA,0.38758696,NA,0.335001031
ENSG00000264449,Brain Cortex,ADHD,Wald ratio,1,-0.116,0.035,0.891,0.00112,NA,NA,NA,0.499877266
SVIL-AS1,Brain Cortex,ADHD,Wald ratio,1,0.115,0.036,1.121,0.00139,NA,NA,NA,0.608868565
LINC02694,Brain Cortex,ADHD,Wald ratio,1,0.035,0.011,1.036,0.00176,NA,NA,NA,0.382298391
NCOR2,Brain Cortex,ADHD,Wald ratio,1,-0.273,0.089,0.761,0.00209,NA,NA,NA,0.584188048
FLJ12825,Brain Cortex,ADHD,Wald ratio,1,-0.053,0.017,0.949,0.00219,NA,NA,NA,0.340623158
MIR3667HG,Brain Cortex,ADHD,Wald ratio,1,0.055,0.018,1.057,0.00231,NA,NA,NA,0.007057833
NTN1,Brain Cortex,ADHD,Wald ratio,1,0.119,0.04,1.127,0.00264,NA,NA,NA,0.008373262
NANS,Brain Cortex,ADHD,Wald ratio,1,-0.035,0.012,0.966,0.00279,NA,NA,NA,0.305605767
SILC1,Brain Cortex,ADHD,Wald ratio,1,-0.095,0.032,0.91,0.00295,NA,NA,NA,0.314142265
PPME1,Brain Cortex,ADHD,Wald ratio,1,-0.342,0.116,0.711,0.00329,NA,NA,NA,0.552191783
FERMT3,Brain Cortex,ADHD,Wald ratio,1,-0.108,0.037,0.898,0.00332,NA,NA,NA,0.317209867
LDLRAD3,Brain Cortex,ADHD,Wald ratio,1,0.184,0.063,1.202,0.00334,NA,NA,NA,0.010213504
JMJD1C,Brain Cortex,ADHD,Wald ratio,1,-0.092,0.032,0.912,0.00375,NA,NA,NA,0.279007677
PRKCA,Brain Cortex,ADHD,Wald ratio,1,-0.059,0.021,0.943,0.00409,NA,NA,NA,0.061055697
BICRA,Brain Cortex,ADHD,Wald ratio,1,0.093,0.033,1.098,0.00417,NA,NA,NA,0.248888556
TMEM132D,Brain Cortex,ADHD,Wald ratio,1,0.036,0.013,1.037,0.00433,NA,NA,NA,0.21586303
ENSG00000270299,Brain Cortex,ADHD,Wald ratio,1,0.078,0.028,1.082,0.00483,NA,NA,NA,0.270505043
TMEM266,Brain Cortex,ADHD,Wald ratio,1,-0.129,0.046,0.879,0.00553,NA,NA,NA,0.272073774
PDZRN4,Brain Cortex,ADHD,Wald ratio,1,0.053,0.019,1.055,0.00575,NA,NA,NA,0.190232725
WDR72,Brain Cortex,ADHD,Wald ratio,1,0.12,0.043,1.127,0.00577,NA,NA,NA,0.211927316
POC1B-AS1,Brain Cortex,ADHD,Wald ratio,1,-0.071,0.026,0.931,0.00583,NA,NA,NA,0.196797553
ENSG00000236924,Brain Cortex,ADHD,Inverse variance weighted,2,0.079,0.029,1.082,0.00598,NA,0.470328026,NA,0.010016403
ALDH1A2,Brain Cortex,ADHD,Wald ratio,1,0.056,0.02,1.058,0.0061,NA,NA,NA,0.007884544
LINC01234,Brain Cortex,ADHD,Wald ratio,1,0.094,0.034,1.099,0.00621,NA,NA,NA,0.005634032
PSMB7,Brain Cortex,ADHD,Wald ratio,1,-0.041,0.015,0.96,0.00626,NA,NA,NA,0.163436613
STK32B,Brain Cortex,ADHD,Wald ratio,1,-0.075,0.027,0.928,0.00636,NA,NA,NA,0.057361388
NPAS3,Brain Cortex,ADHD,Wald ratio,1,-0.092,0.034,0.912,0.00704,NA,NA,NA,0.00730888
VEZT,Brain Cortex,ADHD,Wald ratio,1,-0.057,0.021,0.945,0.00719,NA,NA,NA,0.189105564
TOM1L2,Brain Cortex,ADHD,Wald ratio,1,-0.082,0.03,0.922,0.00737,NA,NA,NA,0.152072471
LINC02882,Brain Cortex,ADHD,Wald ratio,1,0.052,0.019,1.053,0.00743,NA,NA,NA,0.14232147
PRKD1,Brain Cortex,ADHD,Wald ratio,1,-0.089,0.033,0.914,0.00752,NA,NA,NA,0.154802836
ENSG00000289436,Brain Cortex,ADHD,Wald ratio,1,0.065,0.024,1.067,0.00757,NA,NA,NA,0.141427
ENSG00000228809,Brain Cortex,ADHD,Wald ratio,1,0.202,0.076,1.224,0.00777,NA,NA,NA,0.350092466
STYX,Brain Cortex,ADHD,Wald ratio,1,-0.043,0.016,0.958,0.00781,NA,NA,NA,0.141868789
CHST11,Brain Cortex,ADHD,Wald ratio,1,0.04,0.015,1.041,0.00792,NA,NA,NA,0.016280241
CAMK1D,Brain Cortex,ADHD,Wald ratio,1,-0.061,0.023,0.941,0.00831,NA,NA,NA,0.151415137
TEAD1,Brain Cortex,ADHD,Wald ratio,1,0.087,0.033,1.091,0.00849,NA,NA,NA,0.130718697
