Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
ST3GAL4,Brain Cortex,ANX,Inverse variance weighted,2,0.206,0.064,1.228,0.00121,NA,0.96115116,NA,0.066982827
SYNM,Brain Cortex,ANX,Wald ratio,1,0.218,0.071,1.243,0.00206,NA,NA,NA,0.048459129
CELF4,Brain Cortex,ANX,Wald ratio,1,-0.202,0.067,0.817,0.00236,NA,NA,NA,0.023717894
LARGE2,Brain Cortex,ANX,Wald ratio,1,0.364,0.125,1.439,0.0035,NA,NA,NA,0.585892933
RPH3AL,Brain Cortex,ANX,Wald ratio,1,0.279,0.096,1.321,0.0038,NA,NA,NA,0.029122171
PCSK6,Brain Cortex,ANX,Wald ratio,1,-0.971,0.34,0.379,0.00431,NA,NA,NA,0.125406383
ENSG00000285584,Brain Cortex,ANX,Inverse variance weighted,2,0.216,0.077,1.241,0.00483,NA,0.341743668,NA,0.23127731
HIKESHI,Brain Cortex,ANX,Wald ratio,1,-0.258,0.094,0.772,0.00608,NA,NA,NA,0.352413422
PFKFB3,Brain Cortex,ANX,Wald ratio,1,-0.301,0.111,0.74,0.00692,NA,NA,NA,0.024920346
MYH11,Brain Cortex,ANX,Wald ratio,1,0.305,0.114,1.356,0.00748,NA,NA,NA,0.015230623
WDR95P,Brain Cortex,ANX,Wald ratio,1,0.309,0.118,1.362,0.00866,NA,NA,NA,0.372741786
DTX4,Brain Cortex,ANX,Wald ratio,1,-0.179,0.068,0.836,0.00869,NA,NA,NA,0.366793134
COX10,Brain Cortex,ANX,Wald ratio,1,0.368,0.141,1.445,0.00918,NA,NA,NA,0.330547939
DHX37,Brain Cortex,ANX,Wald ratio,1,0.106,0.041,1.112,0.0101,NA,NA,NA,0.018789924
SYNE3,Brain Cortex,ANX,Wald ratio,1,-0.206,0.08,0.813,0.0103,NA,NA,NA,0.301645235
HOXC10,Brain Cortex,ANX,Wald ratio,1,0.291,0.114,1.338,0.0105,NA,NA,NA,0.28993188
CCDC92,Brain Cortex,ANX,Wald ratio,1,-0.138,0.055,0.871,0.0126,NA,NA,NA,0.226227815
FARP1,Brain Cortex,ANX,Wald ratio,1,-0.127,0.052,0.881,0.0137,NA,NA,NA,0.023002385
C16orf95,Brain Cortex,ANX,Wald ratio,1,-0.241,0.098,0.786,0.0139,NA,NA,NA,0.313658129
LRIG3,Brain Cortex,ANX,Wald ratio,1,1.304,0.534,3.683,0.0146,NA,NA,NA,0.26713741
TOGARAM2,Brain Cortex,ANX,Wald ratio,1,-0.093,0.038,0.911,0.0148,NA,NA,NA,0.218302891
ABLIM2,Brain Cortex,ANX,Wald ratio,1,0.273,0.112,1.314,0.015,NA,NA,NA,0.02044266
KTN1,Brain Cortex,ANX,Wald ratio,1,0.174,0.074,1.191,0.0177,NA,NA,NA,0.158462924
TMEM132D,Brain Cortex,ANX,Wald ratio,1,-0.101,0.042,0.904,0.0177,NA,NA,NA,0.019722522
TMEM72-AS1,Brain Cortex,ANX,Wald ratio,1,-0.27,0.116,0.763,0.0203,NA,NA,NA,0.184307092
SLCO1A2,Brain Cortex,ANX,Wald ratio,1,0.239,0.104,1.27,0.0209,NA,NA,NA,0.19713628
MSLNL,Brain Cortex,ANX,Wald ratio,1,0.387,0.168,1.473,0.0213,NA,NA,NA,0.217337068
TMEM179,Brain Cortex,ANX,Wald ratio,1,-0.321,0.141,0.726,0.0233,NA,NA,NA,0.038396713
SPATA13,Brain Cortex,ANX,Wald ratio,1,-0.143,0.063,0.867,0.0244,NA,NA,NA,0.154153919
ZRANB1,Brain Cortex,ANX,Wald ratio,1,0.083,0.037,1.087,0.0247,NA,NA,NA,0.151919014
MSRB3-AS1,Brain Cortex,ANX,Wald ratio,1,-0.275,0.124,0.76,0.0268,NA,NA,NA,0.170585189
COLEC11,Brain Cortex,ANX,Wald ratio,1,-0.158,0.071,0.854,0.0268,NA,NA,NA,0.16259911
WFDC1,Brain Cortex,ANX,Wald ratio,1,-0.219,0.1,0.803,0.0285,NA,NA,NA,0.12495664
FTO,Brain Cortex,ANX,Wald ratio,1,-0.133,0.061,0.876,0.0291,NA,NA,NA,0.019375089
VSTM5,Brain Cortex,ANX,Wald ratio,1,0.09,0.041,1.094,0.0292,NA,NA,NA,0.019706747
SLC38A11,Brain Cortex,ANX,Wald ratio,1,-0.254,0.116,0.776,0.0292,NA,NA,NA,0.148811087
CXADR,Brain Cortex,ANX,Wald ratio,1,-0.136,0.062,0.873,0.0294,NA,NA,NA,0.01591198
C10orf90,Brain Cortex,ANX,Wald ratio,1,0.135,0.062,1.144,0.0297,NA,NA,NA,0.12979133
BLZF1,Brain Cortex,ANX,Wald ratio,1,-0.459,0.211,0.632,0.0298,NA,NA,NA,0.217859961
CDH13,Brain Cortex,ANX,Wald ratio,1,-0.166,0.077,0.847,0.0311,NA,NA,NA,0.017201202
ADAMTS17,Brain Cortex,ANX,Wald ratio,1,-0.138,0.064,0.871,0.0314,NA,NA,NA,0.023605113
STK32B,Brain Cortex,ANX,Wald ratio,1,0.115,0.053,1.122,0.0314,NA,NA,NA,0.014094242
L3MBTL4,Brain Cortex,ANX,Wald ratio,1,0.231,0.108,1.259,0.0324,NA,NA,NA,0.143567042
MFSD5,Brain Cortex,ANX,Wald ratio,1,-0.125,0.059,0.882,0.0346,NA,NA,NA,0.105681804
SORCS2,Brain Cortex,ANX,Wald ratio,1,-0.143,0.068,0.867,0.0351,NA,NA,NA,0.094177464
FRY,Brain Cortex,ANX,Wald ratio,1,0.133,0.063,1.142,0.0361,NA,NA,NA,0.028354364
BDNF-AS,Brain Cortex,ANX,Wald ratio,1,-0.105,0.05,0.901,0.0364,NA,NA,NA,0.118970449
OR51B5,Brain Cortex,ANX,Wald ratio,1,-0.073,0.035,0.929,0.0384,NA,NA,NA,0.09892377
MAML2,Brain Cortex,ANX,Wald ratio,1,-0.191,0.092,0.827,0.0385,NA,NA,NA,0.032116098
TIAM1,Brain Cortex,ANX,Wald ratio,1,0.076,0.037,1.079,0.0403,NA,NA,NA,0.097678446
DSCAM,Brain Cortex,ANX,Wald ratio,1,0.078,0.038,1.081,0.0404,NA,NA,NA,0.027353278
FAS,Brain Cortex,ANX,Wald ratio,1,-0.072,0.035,0.93,0.0412,NA,NA,NA,0.091623227
SNX29,Brain Cortex,ANX,Inverse variance weighted,2,0.178,0.087,1.194,0.0416,NA,0.893872512,NA,0.052583402
LINC02703,Brain Cortex,ANX,Wald ratio,1,-0.214,0.105,0.807,0.0417,NA,NA,NA,0.108452044
EDDM3B,Brain Cortex,ANX,Wald ratio,1,-0.167,0.082,0.846,0.043,NA,NA,NA,0.097438819
LINC00607,Brain Cortex,ANX,Wald ratio,1,-0.239,0.118,0.788,0.0433,NA,NA,NA,0.013169517
SLC1A2,Brain Cortex,ANX,Wald ratio,1,-0.138,0.069,0.871,0.0444,NA,NA,NA,0.092778974
ENSG00000273674,Brain Cortex,ANX,Wald ratio,1,-0.066,0.033,0.936,0.0463,NA,NA,NA,0.025558766
LTO1,Brain Cortex,ANX,Wald ratio,1,-0.268,0.135,0.765,0.048,NA,NA,NA,0.026605364
COX10-DT,Brain Cortex,ANX,Wald ratio,1,-0.384,0.194,0.681,0.0481,NA,NA,NA,0.16332653
NPAS3,Brain Cortex,ANX,Wald ratio,1,-0.111,0.056,0.895,0.0488,NA,NA,NA,0.017280103
TEAD1,Brain Cortex,ANX,Wald ratio,1,-0.207,0.105,0.813,0.0489,NA,NA,NA,0.129116173
LINC01036,Brain Cortex,ANX,Wald ratio,1,-0.212,0.108,0.809,0.0494,NA,NA,NA,0.028378263
FAM174B,Brain Cortex,ANX,Wald ratio,1,0.542,0.276,1.719,0.0496,NA,NA,NA,0.020289049
DOCK1,Brain Cortex,ANX,Wald ratio,1,0.103,0.053,1.109,0.0497,NA,NA,NA,0.046097701
RCCD1,Brain Cortex,ANX,Wald ratio,1,0.169,0.086,1.184,0.0504,NA,NA,NA,0.018177089
ENSG00000286345,Brain Cortex,ANX,Wald ratio,1,0.193,0.099,1.213,0.0504,NA,NA,NA,0.132509948
KLF12,Brain Cortex,ANX,Wald ratio,1,0.196,0.1,1.217,0.0505,NA,NA,NA,0.844713822
TMEM132B,Brain Cortex,ANX,Wald ratio,1,0.157,0.08,1.17,0.0507,NA,NA,NA,0.054057783
ENTREP2,Brain Cortex,ANX,Wald ratio,1,0.105,0.054,1.111,0.0515,NA,NA,NA,0.094489021
TCERG1L,Brain Cortex,ANX,Wald ratio,1,0.228,0.117,1.256,0.0516,NA,NA,NA,0.094164713
RAB30,Brain Cortex,ANX,Wald ratio,1,0.088,0.046,1.092,0.0543,NA,NA,NA,0.019851359
LINC02989,Brain Cortex,ANX,Wald ratio,1,-0.083,0.043,0.921,0.0556,NA,NA,NA,0.074629873
VPS37C,Brain Cortex,ANX,Wald ratio,1,-0.198,0.104,0.821,0.0569,NA,NA,NA,0.080751119
ENSG00000287034,Brain Cortex,ANX,Wald ratio,1,0.224,0.119,1.251,0.0594,NA,NA,NA,0.108437754
RBFOX1,Brain Cortex,ANX,Wald ratio,1,-0.2,0.106,0.819,0.0595,NA,NA,NA,0.042247992
SPTB,Brain Cortex,ANX,Wald ratio,1,0.217,0.115,1.242,0.0596,NA,NA,NA,0.026930586
MED6,Brain Cortex,ANX,Wald ratio,1,-0.127,0.068,0.88,0.0601,NA,NA,NA,0.09830606
RPTOR,Brain Cortex,ANX,Wald ratio,1,0.216,0.115,1.241,0.0602,NA,NA,NA,0.013369229
SRGAP1,Brain Cortex,ANX,Wald ratio,1,-0.138,0.073,0.871,0.0605,NA,NA,NA,0.030400709
TSPAN9,Brain Cortex,ANX,Wald ratio,1,0.836,0.446,2.308,0.061,NA,NA,NA,0.016091049
NTRK3,Brain Cortex,ANX,Wald ratio,1,-0.249,0.135,0.779,0.0639,NA,NA,NA,0.097485896
SH3RF3,Brain Cortex,ANX,Wald ratio,1,0.216,0.117,1.241,0.0646,NA,NA,NA,0.039658387
ENSG00000257221,Brain Cortex,ANX,Inverse variance weighted,2,0.198,0.107,1.219,0.0652,NA,0.952189699,NA,0.047054511
NGFR-AS1,Brain Cortex,ANX,Wald ratio,1,-0.272,0.148,0.762,0.0659,NA,NA,NA,0.134216152
POLE,Brain Cortex,ANX,Wald ratio,1,-0.24,0.13,0.787,0.0659,NA,NA,NA,0.081302108
LINC02752,Brain Cortex,ANX,Wald ratio,1,-0.057,0.031,0.945,0.0671,NA,NA,NA,0.065300742
ENSG00000230526,Brain Cortex,ANX,Wald ratio,1,0.209,0.115,1.232,0.0685,NA,NA,NA,0.108138171
GAS7,Brain Cortex,ANX,Wald ratio,1,0.127,0.07,1.136,0.0686,NA,NA,NA,0.02048294
RORA,Brain Cortex,ANX,Wald ratio,1,0.184,0.101,1.202,0.0694,NA,NA,NA,0.072132957
ZNF423,Brain Cortex,ANX,Wald ratio,1,0.06,0.033,1.062,0.0696,NA,NA,NA,0.026277155
ENSG00000228566,Brain Cortex,ANX,Wald ratio,1,-0.07,0.038,0.933,0.0696,NA,NA,NA,0.070418929
STX18-AS1,Brain Cortex,ANX,Wald ratio,1,-0.061,0.033,0.941,0.0701,NA,NA,NA,0.062773648
PPP1CC,Brain Cortex,ANX,Wald ratio,1,0.137,0.076,1.147,0.0713,NA,NA,NA,0.014088821
