Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
WNT5B,Brain Cortex,ASD,Wald ratio,1,0.185,0.051,1.203,0.000259,NA,NA,NA,0.011660233
ADIRF,Brain Cortex,ASD,Wald ratio,1,-0.172,0.053,0.842,0.0011,NA,NA,NA,0.00704082
CNMD,Brain Cortex,ASD,Wald ratio,1,0.191,0.062,1.21,0.00201,NA,NA,NA,0.328287769
WDR95P,Brain Cortex,ASD,Wald ratio,1,0.173,0.057,1.189,0.00247,NA,NA,NA,0.031856149
RBFOX1,Brain Cortex,ASD,Wald ratio,1,0.091,0.03,1.095,0.0027,NA,NA,NA,0.014291433
USP7,Brain Cortex,ASD,Wald ratio,1,0.101,0.035,1.106,0.00358,NA,NA,NA,0.080040652
NBAS,Brain Cortex,ASD,Wald ratio,1,0.077,0.027,1.08,0.00396,NA,NA,NA,0.330093613
ABTB3,Brain Cortex,ASD,Wald ratio,1,0.048,0.017,1.049,0.00411,NA,NA,NA,0.008480927
TMEM121B,Brain Cortex,ASD,Wald ratio,1,-0.159,0.056,0.853,0.00424,NA,NA,NA,0.312920404
ZBTB16,Brain Cortex,ASD,Wald ratio,1,0.115,0.041,1.122,0.00477,NA,NA,NA,0.011045679
PRKCA,Brain Cortex,ASD,Wald ratio,1,-0.103,0.037,0.902,0.00478,NA,NA,NA,0.022183614
STYX,Brain Cortex,ASD,Wald ratio,1,-0.066,0.024,0.936,0.00494,NA,NA,NA,0.266500928
CASC18,Brain Cortex,ASD,Wald ratio,1,0.091,0.032,1.095,0.00503,NA,NA,NA,0.323355294
ZRANB1,Brain Cortex,ASD,Wald ratio,1,0.125,0.045,1.133,0.0056,NA,NA,NA,0.266398104
DCDC2C,Brain Cortex,ASD,Wald ratio,1,0.094,0.034,1.099,0.00577,NA,NA,NA,0.023819326
EPHB2,Brain Cortex,ASD,Wald ratio,1,0.158,0.059,1.171,0.0072,NA,NA,NA,0.008495721
FBXO21,Brain Cortex,ASD,Wald ratio,1,-0.048,0.018,0.953,0.00744,NA,NA,NA,0.196742966
RPH3AL,Brain Cortex,ASD,Wald ratio,1,-0.133,0.05,0.875,0.00755,NA,NA,NA,0.195747077
HS3ST2,Brain Cortex,ASD,Wald ratio,1,-0.105,0.04,0.9,0.00832,NA,NA,NA,0.30349917
TOM1L2,Brain Cortex,ASD,Wald ratio,1,0.091,0.034,1.095,0.00853,NA,NA,NA,0.185199142
MYO16,Brain Cortex,ASD,Wald ratio,1,0.046,0.018,1.047,0.0107,NA,NA,NA,0.014921697
NPAS3,Brain Cortex,ASD,Wald ratio,1,0.071,0.028,1.074,0.0115,NA,NA,NA,0.008276331
SORBS2,Brain Cortex,ASD,Inverse variance weighted,2,-0.109,0.043,0.896,0.0116,NA,0.786218302,NA,0.012098198
LINC00484,Brain Cortex,ASD,Wald ratio,1,0.053,0.021,1.054,0.0122,NA,NA,NA,0.019197734
LCMT2,Brain Cortex,ASD,Wald ratio,1,-0.179,0.072,0.836,0.0127,NA,NA,NA,0.01063495
LINC02694,Brain Cortex,ASD,Inverse variance weighted,2,-0.097,0.039,0.907,0.0128,NA,0.479613365,NA,0.092356983
LRP1B,Brain Cortex,ASD,Wald ratio,1,-0.103,0.042,0.902,0.0138,NA,NA,NA,0.130064025
LHPP,Brain Cortex,ASD,Wald ratio,1,-0.092,0.038,0.912,0.0147,NA,NA,NA,0.999892337
MYO1E,Brain Cortex,ASD,Wald ratio,1,0.086,0.035,1.09,0.0147,NA,NA,NA,0.007757104
SORCS1,Brain Cortex,ASD,Wald ratio,1,-0.187,0.077,0.83,0.015,NA,NA,NA,0.01016163
TUT7,Brain Cortex,ASD,Wald ratio,1,0.081,0.033,1.084,0.015,NA,NA,NA,0.116264389
ENSG00000238280,Brain Cortex,ASD,Wald ratio,1,-0.168,0.069,0.845,0.0154,NA,NA,NA,0.160296521
CDH8,Brain Cortex,ASD,Wald ratio,1,0.093,0.039,1.097,0.0167,NA,NA,NA,0.107695246
ANHX,Brain Cortex,ASD,Wald ratio,1,0.118,0.05,1.125,0.0174,NA,NA,NA,0.026606093
NALCN,Brain Cortex,ASD,Wald ratio,1,-0.054,0.023,0.948,0.0185,NA,NA,NA,0.012308172
ENSG00000286608,Brain Cortex,ASD,Wald ratio,1,-0.156,0.066,0.855,0.0188,NA,NA,NA,0.149185792
AATF,Brain Cortex,ASD,Wald ratio,1,0.24,0.102,1.271,0.0189,NA,NA,NA,0.177333498
ZFHX3,Brain Cortex,ASD,Wald ratio,1,0.079,0.034,1.082,0.0203,NA,NA,NA,0.099804833
ENSG00000286162,Brain Cortex,ASD,Wald ratio,1,-0.106,0.046,0.9,0.0214,NA,NA,NA,0.009224056
FRY,Brain Cortex,ASD,Wald ratio,1,0.074,0.032,1.076,0.0233,NA,NA,NA,0.01987607
ENSG00000259084,Brain Cortex,ASD,Wald ratio,1,-0.051,0.023,0.95,0.0233,NA,NA,NA,0.081704224
WFDC1,Brain Cortex,ASD,Wald ratio,1,0.053,0.024,1.054,0.0247,NA,NA,NA,0.02534686
FGD4,Brain Cortex,ASD,Wald ratio,1,0.048,0.021,1.049,0.0258,NA,NA,NA,0.08271562
LINC02743,Brain Cortex,ASD,Wald ratio,1,-0.053,0.024,0.948,0.0265,NA,NA,NA,0.077748446
TMEM150A,Brain Cortex,ASD,Wald ratio,1,-0.12,0.054,0.887,0.0268,NA,NA,NA,0.076151907
VASH1-DT,Brain Cortex,ASD,Wald ratio,1,0.06,0.027,1.061,0.0281,NA,NA,NA,0.079644712
LINC02703,Brain Cortex,ASD,Wald ratio,1,-0.109,0.05,0.896,0.0283,NA,NA,NA,0.077889487
NTM,Brain Cortex,ASD,Wald ratio,1,0.116,0.053,1.124,0.0287,NA,NA,NA,0.011202752
CDYL2,Brain Cortex,ASD,Wald ratio,1,-0.077,0.036,0.926,0.0311,NA,NA,NA,0.066359798
ADGRL3,Brain Cortex,ASD,Wald ratio,1,0.13,0.06,1.139,0.0311,NA,NA,NA,0.082389623
BDNF-AS,Brain Cortex,ASD,Wald ratio,1,0.104,0.048,1.11,0.0315,NA,NA,NA,0.070321111
ENSG00000278954,Brain Cortex,ASD,Wald ratio,1,-0.107,0.05,0.899,0.0332,NA,NA,NA,0.086236644
TMEM72-AS1,Brain Cortex,ASD,Wald ratio,1,-0.055,0.026,0.946,0.0336,NA,NA,NA,0.023370367
KCNJ1,Brain Cortex,ASD,Wald ratio,1,0.067,0.031,1.069,0.0337,NA,NA,NA,0.010072371
SORCS2,Brain Cortex,ASD,Wald ratio,1,0.069,0.032,1.071,0.0338,NA,NA,NA,0.01579223
SLC35E3,Brain Cortex,ASD,Wald ratio,1,-0.099,0.047,0.906,0.034,NA,NA,NA,0.006847928
PRKCH,Brain Cortex,ASD,Wald ratio,1,-0.084,0.04,0.919,0.0342,NA,NA,NA,0.009813883
GLIS3,Brain Cortex,ASD,Wald ratio,1,-0.057,0.027,0.945,0.0344,NA,NA,NA,0.015447259
CACNA1C,Brain Cortex,ASD,Wald ratio,1,-0.103,0.049,0.902,0.0347,NA,NA,NA,0.082131872
GPRIN3,Brain Cortex,ASD,Wald ratio,1,-0.079,0.038,0.924,0.035,NA,NA,NA,0.01206689
GRID1,Brain Cortex,ASD,Wald ratio,1,-0.089,0.042,0.915,0.0351,NA,NA,NA,0.080785215
KIRREL3,Brain Cortex,ASD,Wald ratio,1,0.041,0.019,1.042,0.0357,NA,NA,NA,0.544746723
KAZN,Brain Cortex,ASD,Wald ratio,1,-0.073,0.035,0.93,0.0362,NA,NA,NA,0.008523167
C10orf143,Brain Cortex,ASD,Wald ratio,1,0.11,0.053,1.116,0.0371,NA,NA,NA,0.075967155
TECTB,Brain Cortex,ASD,Wald ratio,1,0.187,0.09,1.206,0.0372,NA,NA,NA,0.06095074
SYNE3,Brain Cortex,ASD,Wald ratio,1,0.084,0.04,1.088,0.0373,NA,NA,NA,0.0722324
LINC01500,Brain Cortex,ASD,Wald ratio,1,0.035,0.017,1.036,0.0376,NA,NA,NA,0.008040633
ADARB2,Brain Cortex,ASD,Wald ratio,1,0.12,0.058,1.127,0.0385,NA,NA,NA,0.012899131
JPH3,Brain Cortex,ASD,Wald ratio,1,-0.094,0.045,0.91,0.0386,NA,NA,NA,0.009008929
LINC02691,Brain Cortex,ASD,Wald ratio,1,-0.072,0.035,0.93,0.0391,NA,NA,NA,0.020453034
TCERG1L,Brain Cortex,ASD,Wald ratio,1,0.148,0.072,1.159,0.0396,NA,NA,NA,0.026214129
MAP2K7,Brain Cortex,ASD,Wald ratio,1,-0.052,0.025,0.95,0.0418,NA,NA,NA,0.012624125
MTCL1,Brain Cortex,ASD,Wald ratio,1,0.074,0.036,1.077,0.0424,NA,NA,NA,0.013393295
ENSG00000270299,Brain Cortex,ASD,Wald ratio,1,0.083,0.041,1.086,0.0425,NA,NA,NA,0.074001631
SLC6A5,Brain Cortex,ASD,Wald ratio,1,0.052,0.026,1.054,0.0448,NA,NA,NA,0.007265714
STK32B,Brain Cortex,ASD,Wald ratio,1,-0.069,0.035,0.934,0.0468,NA,NA,NA,0.020220401
ENSG00000287373,Brain Cortex,ASD,Wald ratio,1,0.167,0.084,1.182,0.0474,NA,NA,NA,0.073939027
PRPF6,Brain Cortex,ASD,Wald ratio,1,-0.07,0.035,0.932,0.0478,NA,NA,NA,0.022855681
ABR,Brain Cortex,ASD,Wald ratio,1,-0.055,0.028,0.947,0.0482,NA,NA,NA,0.011578083
SERTAD4BP,Brain Cortex,ASD,Wald ratio,1,-0.158,0.08,0.854,0.0486,NA,NA,NA,0.011078059
TRPM5,Brain Cortex,ASD,Wald ratio,1,-0.152,0.077,0.859,0.0487,NA,NA,NA,0.075907606
ZNF423,Brain Cortex,ASD,Wald ratio,1,-0.092,0.047,0.912,0.0494,NA,NA,NA,0.017571324
ENSG00000280367,Brain Cortex,ASD,Wald ratio,1,0.034,0.017,1.034,0.0501,NA,NA,NA,0.047410744
COL5A1,Brain Cortex,ASD,Wald ratio,1,0.152,0.078,1.164,0.0514,NA,NA,NA,0.019190731
LINC02685,Brain Cortex,ASD,Wald ratio,1,0.052,0.027,1.053,0.0522,NA,NA,NA,0.047927549
CEP83,Brain Cortex,ASD,Wald ratio,1,0.122,0.063,1.13,0.0522,NA,NA,NA,0.030763535
CAMSAP1-DT,Brain Cortex,ASD,Wald ratio,1,0.068,0.035,1.07,0.0523,NA,NA,NA,0.06541723
NRL,Brain Cortex,ASD,Wald ratio,1,-0.042,0.022,0.959,0.053,NA,NA,NA,0.047061219
VPS37B,Brain Cortex,ASD,Wald ratio,1,0.095,0.049,1.099,0.0548,NA,NA,NA,0.061527337
PLBD2,Brain Cortex,ASD,Wald ratio,1,0.186,0.097,1.204,0.0567,NA,NA,NA,0.006945678
RAD51B,Brain Cortex,ASD,Wald ratio,1,0.037,0.02,1.038,0.059,NA,NA,NA,0.007385114
SDC3,Brain Cortex,ASD,Wald ratio,1,0.055,0.029,1.057,0.0598,NA,NA,NA,0.040155478
SHISA6,Brain Cortex,ASD,Wald ratio,1,-0.07,0.038,0.932,0.0605,NA,NA,NA,0.007295791
PYGL,Brain Cortex,ASD,Wald ratio,1,0.109,0.058,1.115,0.061,NA,NA,NA,0.043093703
CARD19,Brain Cortex,ASD,Inverse variance weighted,2,0.162,0.087,1.176,0.062,NA,0.773631098,NA,0.012095888
SERPINH1,Brain Cortex,ASD,Wald ratio,1,0.099,0.053,1.104,0.0627,NA,NA,NA,0.040710147
OTX2-AS1,Brain Cortex,ASD,Wald ratio,1,-0.138,0.074,0.871,0.0633,NA,NA,NA,0.054360191
KLHL14,Brain Cortex,ASD,Wald ratio,1,-0.051,0.027,0.951,0.0657,NA,NA,NA,0.037257358
COX10,Brain Cortex,ASD,Wald ratio,1,-0.129,0.071,0.879,0.0678,NA,NA,NA,0.047057435
AGAP1,Brain Cortex,ASD,Wald ratio,1,0.086,0.047,1.09,0.0685,NA,NA,NA,0.007394382
ENSG00000256955,Brain Cortex,ASD,Wald ratio,1,-0.181,0.1,0.834,0.0688,NA,NA,NA,0.076904152
KCNMA1,Brain Cortex,ASD,Wald ratio,1,0.077,0.042,1.08,0.0693,NA,NA,NA,0.016577741
C1QL3,Brain Cortex,ASD,Wald ratio,1,-0.054,0.03,0.948,0.0694,NA,NA,NA,0.008859663
CCDC83,Brain Cortex,ASD,Wald ratio,1,-0.097,0.054,0.908,0.0713,NA,NA,NA,0.415603676
CAPS2,Brain Cortex,ASD,Wald ratio,1,-0.043,0.024,0.958,0.0719,NA,NA,NA,0.041641246
ZWILCH,Brain Cortex,ASD,Wald ratio,1,-0.095,0.053,0.909,0.0719,NA,NA,NA,0.008883383
