Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
MSI2,Brain Cortex,OCD,Wald ratio,1,-0.285,0.073,0.752,9.35E-05,NA,NA,NA,0.960986639
CCDC92,Brain Cortex,OCD,Wald ratio,1,0.22,0.065,1.246,0.000772,NA,NA,NA,0.776865711
USP20,Brain Cortex,OCD,Wald ratio,1,0.285,0.091,1.33,0.00179,NA,NA,NA,0.03006041
USP7,Brain Cortex,OCD,Wald ratio,1,0.247,0.079,1.28,0.0018,NA,NA,NA,0.702875228
RIMBP2,Brain Cortex,OCD,Wald ratio,1,-0.494,0.17,0.61,0.00367,NA,NA,NA,0.014208126
CFAP251,Brain Cortex,OCD,Wald ratio,1,0.113,0.039,1.12,0.00389,NA,NA,NA,0.434704472
ENTPD2,Brain Cortex,OCD,Wald ratio,1,-0.28,0.105,0.756,0.00738,NA,NA,NA,0.082896915
DTX4,Brain Cortex,OCD,Wald ratio,1,-0.164,0.062,0.849,0.00854,NA,NA,NA,0.356045306
LINC02410,Brain Cortex,OCD,Wald ratio,1,-0.489,0.186,0.613,0.00859,NA,NA,NA,0.421618055
CDHR5,Brain Cortex,OCD,Wald ratio,1,-0.329,0.125,0.72,0.00866,NA,NA,NA,0.043735598
TMTC1,Brain Cortex,OCD,Wald ratio,1,0.144,0.055,1.155,0.00937,NA,NA,NA,0.173074803
CAMK1D,Brain Cortex,OCD,Wald ratio,1,-0.159,0.063,0.853,0.0113,NA,NA,NA,0.077347165
TANC2,Brain Cortex,OCD,Wald ratio,1,-0.63,0.255,0.533,0.0136,NA,NA,NA,0.340620305
LIMCH1,Brain Cortex,OCD,Wald ratio,1,0.107,0.043,1.112,0.0136,NA,NA,NA,0.021157238
FRMD4A,Brain Cortex,OCD,Wald ratio,1,-0.093,0.038,0.911,0.0138,NA,NA,NA,0.208970181
KIAA1217,Brain Cortex,OCD,Wald ratio,1,0.218,0.089,1.244,0.0143,NA,NA,NA,0.017226913
ADPRHL1,Brain Cortex,OCD,Wald ratio,1,0.642,0.263,1.899,0.0149,NA,NA,NA,0.050018419
ENSG00000255026,Brain Cortex,OCD,Wald ratio,1,0.129,0.053,1.137,0.0162,NA,NA,NA,0.024786936
NPFFR1,Brain Cortex,OCD,Wald ratio,1,0.213,0.089,1.237,0.0165,NA,NA,NA,0.290241601
KCNIP4,Brain Cortex,OCD,Wald ratio,1,0.244,0.102,1.277,0.0165,NA,NA,NA,0.029371491
CELF4,Brain Cortex,OCD,Wald ratio,1,0.155,0.065,1.168,0.0167,NA,NA,NA,0.081716983
DLG2,Brain Cortex,OCD,Wald ratio,1,-0.168,0.07,0.846,0.0169,NA,NA,NA,0.014392046
ENSG00000257283,Brain Cortex,OCD,Wald ratio,1,0.248,0.105,1.282,0.0182,NA,NA,NA,0.203432291
ENSG00000285082,Brain Cortex,OCD,Wald ratio,1,-0.132,0.056,0.876,0.019,NA,NA,NA,0.228483773
CAMK2D,Brain Cortex,OCD,Wald ratio,1,0.618,0.264,1.855,0.0192,NA,NA,NA,0.033972027
ADARB2,Brain Cortex,OCD,Wald ratio,1,0.224,0.096,1.251,0.0192,NA,NA,NA,0.017894966
KLHL5,Brain Cortex,OCD,Wald ratio,1,-0.199,0.086,0.819,0.02,NA,NA,NA,0.051875438
SDK2,Brain Cortex,OCD,Wald ratio,1,0.247,0.107,1.28,0.0203,NA,NA,NA,0.015921695
ABR,Brain Cortex,OCD,Wald ratio,1,-0.104,0.045,0.901,0.0209,NA,NA,NA,0.022911394
LMX1A,Brain Cortex,OCD,Wald ratio,1,0.095,0.041,1.099,0.0209,NA,NA,NA,0.013077087
ZMIZ1-AS1,Brain Cortex,OCD,Wald ratio,1,-0.195,0.085,0.823,0.0217,NA,NA,NA,0.04302738
DIP2B,Brain Cortex,OCD,Wald ratio,1,0.078,0.034,1.081,0.0219,NA,NA,NA,0.155877112
STK32B,Brain Cortex,OCD,Wald ratio,1,-0.202,0.089,0.817,0.0235,NA,NA,NA,0.018785138
ENSG00000287514,Brain Cortex,OCD,Wald ratio,1,-0.222,0.099,0.801,0.0242,NA,NA,NA,0.017907529
CELF2,Brain Cortex,OCD,Wald ratio,1,0.097,0.044,1.101,0.0275,NA,NA,NA,0.146865281
BAIAP2,Brain Cortex,OCD,Wald ratio,1,0.177,0.081,1.194,0.0284,NA,NA,NA,0.154910842
WDR72,Brain Cortex,OCD,Wald ratio,1,-0.247,0.114,0.781,0.03,NA,NA,NA,0.019351241
LINC02714,Brain Cortex,OCD,Wald ratio,1,0.13,0.06,1.138,0.0307,NA,NA,NA,0.118127652
KDM5A,Brain Cortex,OCD,Wald ratio,1,-0.154,0.072,0.857,0.0314,NA,NA,NA,0.112915199
ENSG00000286345,Brain Cortex,OCD,Wald ratio,1,-0.188,0.088,0.829,0.0323,NA,NA,NA,0.167009751
KCNQ1,Brain Cortex,OCD,Wald ratio,1,-0.132,0.062,0.877,0.0327,NA,NA,NA,0.109750479
GOLGA2P5,Brain Cortex,OCD,Wald ratio,1,-0.732,0.347,0.481,0.0346,NA,NA,NA,0.209001391
NCOR2,Brain Cortex,OCD,Wald ratio,1,-0.404,0.192,0.668,0.0354,NA,NA,NA,0.136878653
RPS6KL1,Brain Cortex,OCD,Wald ratio,1,0.167,0.08,1.182,0.036,NA,NA,NA,0.103510208
COLEC11,Brain Cortex,OCD,Wald ratio,1,-0.278,0.134,0.757,0.0371,NA,NA,NA,0.131463017
THSD4,Brain Cortex,OCD,Wald ratio,1,-0.145,0.07,0.865,0.0382,NA,NA,NA,0.138697266
COL27A1,Brain Cortex,OCD,Wald ratio,1,0.201,0.098,1.223,0.0393,NA,NA,NA,0.013119288
JAKMIP3,Brain Cortex,OCD,Wald ratio,1,0.234,0.114,1.264,0.0398,NA,NA,NA,0.016674767
NR4A1,Brain Cortex,OCD,Wald ratio,1,-0.236,0.115,0.79,0.0399,NA,NA,NA,0.107670902
ABLIM2,Brain Cortex,OCD,Wald ratio,1,-0.181,0.088,0.835,0.0399,NA,NA,NA,0.018360083
COL5A1,Brain Cortex,OCD,Wald ratio,1,0.07,0.034,1.073,0.0404,NA,NA,NA,0.018651901
MYO3A,Brain Cortex,OCD,Wald ratio,1,-0.164,0.08,0.849,0.0404,NA,NA,NA,0.115528422
SHANK2,Brain Cortex,OCD,Wald ratio,1,-0.207,0.102,0.813,0.0414,NA,NA,NA,0.109282747
FBN1,Brain Cortex,OCD,Wald ratio,1,-0.192,0.094,0.826,0.0425,NA,NA,NA,0.026806227
APBB2,Brain Cortex,OCD,Wald ratio,1,0.088,0.044,1.092,0.0427,NA,NA,NA,0.019542634
ENSG00000255446,Brain Cortex,OCD,Wald ratio,1,0.209,0.103,1.233,0.0429,NA,NA,NA,0.024617828
ENSG00000255910,Brain Cortex,OCD,Wald ratio,1,0.134,0.066,1.143,0.0432,NA,NA,NA,0.021030149
ZNF516,Brain Cortex,OCD,Wald ratio,1,-0.168,0.083,0.846,0.0443,NA,NA,NA,0.087250619
OPCML,Brain Cortex,OCD,Wald ratio,1,0.129,0.064,1.138,0.0452,NA,NA,NA,0.103025796
PRTFDC1,Brain Cortex,OCD,Wald ratio,1,0.079,0.04,1.083,0.0455,NA,NA,NA,0.087611528
DOCK8,Brain Cortex,OCD,Wald ratio,1,0.069,0.034,1.071,0.0459,NA,NA,NA,0.084059007
STX18-AS1,Brain Cortex,OCD,Wald ratio,1,-0.065,0.033,0.937,0.0463,NA,NA,NA,0.08431237
CATSPERB,Brain Cortex,OCD,Wald ratio,1,-0.264,0.133,0.768,0.0466,NA,NA,NA,0.148668452
