Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
CACNA1C,Brain Cortex,SCZ,Wald ratio,1,-0.108,0.012,0.898,1.73E-18,NA,NA,NA,0.011000715
RBM26-AS1,Brain Cortex,SCZ,Wald ratio,1,-0.212,0.033,0.809,7.44E-11,NA,NA,NA,0.045197598
ENSG00000267284,Brain Cortex,SCZ,Wald ratio,1,0.162,0.026,1.176,3.81E-10,NA,NA,NA,0.999999275
OGFOD2,Brain Cortex,SCZ,Wald ratio,1,-0.18,0.029,0.836,4.24E-10,NA,NA,NA,0.023787469
CACNB2,Brain Cortex,SCZ,Wald ratio,1,0.131,0.024,1.14,3.12E-08,NA,NA,NA,0.999946504
KLF12,Brain Cortex,SCZ,Wald ratio,1,-0.146,0.027,0.864,6.65E-08,NA,NA,NA,0.007713053
CCDC92,Brain Cortex,SCZ,Wald ratio,1,0.147,0.027,1.158,7.10E-08,NA,NA,NA,0.999886546
TMTC1,Brain Cortex,SCZ,Wald ratio,1,0.08,0.015,1.084,2.09E-07,NA,NA,NA,0.005673818
CPEB1,Brain Cortex,SCZ,Wald ratio,1,0.186,0.036,1.204,2.23E-07,NA,NA,NA,0.999674632
ZNF592,Brain Cortex,SCZ,Wald ratio,1,-0.147,0.029,0.863,3.53E-07,NA,NA,NA,0.009048706
BCL11B,Brain Cortex,SCZ,Wald ratio,1,-0.151,0.03,0.86,4.28E-07,NA,NA,NA,0.009806301
DOCK1,Brain Cortex,SCZ,Wald ratio,1,-0.064,0.013,0.938,1.04E-06,NA,NA,NA,0.998758747
TRMT61A,Brain Cortex,SCZ,Wald ratio,1,-0.058,0.012,0.944,1.08E-06,NA,NA,NA,0.998545855
PLCH2,Brain Cortex,SCZ,Wald ratio,1,-0.162,0.034,0.851,1.91E-06,NA,NA,NA,0.997393374
ENSG00000255028,Brain Cortex,SCZ,Wald ratio,1,-0.075,0.017,0.928,6.32E-06,NA,NA,NA,0.992004854
SLC12A5,Brain Cortex,SCZ,Wald ratio,1,0.085,0.019,1.089,7.68E-06,NA,NA,NA,0.990576647
IREB2,Brain Cortex,SCZ,Wald ratio,1,-0.049,0.011,0.952,1.20E-05,NA,NA,NA,0.984578309
NCAPD3,Brain Cortex,SCZ,Wald ratio,1,-0.103,0.023,0.903,1.24E-05,NA,NA,NA,0.009292346
LINC02703,Brain Cortex,SCZ,Wald ratio,1,0.132,0.031,1.141,1.95E-05,NA,NA,NA,0.977198363
TOM1L2,Brain Cortex,SCZ,Wald ratio,1,-0.09,0.021,0.914,1.96E-05,NA,NA,NA,0.975411672
FPGS,Brain Cortex,SCZ,Wald ratio,1,0.052,0.012,1.053,2.43E-05,NA,NA,NA,0.971782017
KIAA0040,Brain Cortex,SCZ,Wald ratio,1,-0.053,0.013,0.948,3.87E-05,NA,NA,NA,0.004697122
MFSD5,Brain Cortex,SCZ,Wald ratio,1,-0.08,0.019,0.924,4.07E-05,NA,NA,NA,0.950948348
RASA3,Brain Cortex,SCZ,Inverse variance weighted,2,0.13,0.032,1.138,4.20E-05,NA,0.986161387,NA,0.027796119
CYP19A1,Brain Cortex,SCZ,Wald ratio,1,0.06,0.015,1.062,4.73E-05,NA,NA,NA,0.944412034
TMEM132C,Brain Cortex,SCZ,Wald ratio,1,-0.111,0.028,0.895,6.03E-05,NA,NA,NA,0.584342174
MAP2K5,Brain Cortex,SCZ,Wald ratio,1,-0.041,0.01,0.96,6.94E-05,NA,NA,NA,0.013218829
NRP1,Brain Cortex,SCZ,Wald ratio,1,-0.114,0.029,0.892,8.09E-05,NA,NA,NA,0.909196259
PPP1CC,Brain Cortex,SCZ,Wald ratio,1,0.096,0.024,1.101,8.44E-05,NA,NA,NA,0.00443037
TGM5,Brain Cortex,SCZ,Wald ratio,1,0.076,0.019,1.079,8.76E-05,NA,NA,NA,0.917791462
TLN2,Brain Cortex,SCZ,Wald ratio,1,-0.094,0.024,0.91,0.000121,NA,NA,NA,0.981257905
VPS4A,Brain Cortex,SCZ,Wald ratio,1,-0.072,0.019,0.931,0.000166,NA,NA,NA,0.852338841
LRMDA,Brain Cortex,SCZ,Wald ratio,1,0.157,0.042,1.17,0.000175,NA,NA,NA,0.007424126
TTC12,Brain Cortex,SCZ,Wald ratio,1,0.107,0.029,1.113,0.000187,NA,NA,NA,0.005681015
ANKRD27,Brain Cortex,SCZ,Wald ratio,1,0.069,0.019,1.072,0.000216,NA,NA,NA,0.006795736
RASGRP1,Brain Cortex,SCZ,Wald ratio,1,-0.138,0.037,0.871,0.000228,NA,NA,NA,0.820998419
TRPC4,Brain Cortex,SCZ,Wald ratio,1,0.092,0.025,1.097,0.000242,NA,NA,NA,0.018030484
LRP1B,Brain Cortex,SCZ,Wald ratio,1,-0.086,0.023,0.918,0.000261,NA,NA,NA,0.005654903
ABLIM2,Brain Cortex,SCZ,Wald ratio,1,-0.046,0.013,0.955,0.000271,NA,NA,NA,0.134146882
ATP2A2,Brain Cortex,SCZ,Wald ratio,1,-0.145,0.04,0.865,0.00033,NA,NA,NA,0.01652522
SOX5,Brain Cortex,SCZ,Wald ratio,1,-0.138,0.039,0.871,0.000367,NA,NA,NA,0.017337246
HS6ST3,Brain Cortex,SCZ,Wald ratio,1,-0.217,0.062,0.805,0.00047,NA,NA,NA,0.00681834
GOLGA2P5,Brain Cortex,SCZ,Wald ratio,1,-0.434,0.125,0.648,0.000544,NA,NA,NA,0.847537673
SAXO1,Brain Cortex,SCZ,Wald ratio,1,0.129,0.038,1.138,0.00061,NA,NA,NA,0.237773809
ENSG00000255470,Brain Cortex,SCZ,Wald ratio,1,0.065,0.019,1.067,0.000723,NA,NA,NA,0.579160044
ANKRD34C-AS1,Brain Cortex,SCZ,Wald ratio,1,-0.039,0.011,0.962,0.000759,NA,NA,NA,0.005581264
CCDC85C,Brain Cortex,SCZ,Wald ratio,1,-0.309,0.092,0.734,0.000781,NA,NA,NA,0.042032405
RPTOR,Brain Cortex,SCZ,Wald ratio,1,0.105,0.031,1.11,0.000824,NA,NA,NA,0.536075572
PAX5,Brain Cortex,SCZ,Inverse variance weighted,2,-0.032,0.01,0.968,0.000886,NA,0.584410102,NA,0.01792504
GSTO1,Brain Cortex,SCZ,Inverse variance weighted,2,0.101,0.03,1.106,0.000892,NA,0.773056148,NA,0.004776449
COX10-DT,Brain Cortex,SCZ,Wald ratio,1,0.034,0.01,1.035,0.00101,NA,NA,NA,0.009038635
CACNA2D4,Brain Cortex,SCZ,Wald ratio,1,0.088,0.027,1.092,0.00102,NA,NA,NA,0.012417973
SNX29,Brain Cortex,SCZ,Wald ratio,1,-0.035,0.011,0.966,0.00105,NA,NA,NA,0.050387395
SEMA6D,Brain Cortex,SCZ,Wald ratio,1,-0.06,0.018,0.941,0.00105,NA,NA,NA,0.004591107
TSPAN9,Brain Cortex,SCZ,Wald ratio,1,0.209,0.064,1.232,0.00108,NA,NA,NA,0.004858242
NCAM1,Brain Cortex,SCZ,Wald ratio,1,-0.078,0.024,0.925,0.00114,NA,NA,NA,0.219314767
LINC02346,Brain Cortex,SCZ,Wald ratio,1,0.037,0.011,1.037,0.00116,NA,NA,NA,0.051836078
RASSF8,Brain Cortex,SCZ,Wald ratio,1,0.098,0.03,1.103,0.00125,NA,NA,NA,0.005151482
ADAMTS7,Brain Cortex,SCZ,Wald ratio,1,-0.059,0.018,0.942,0.00126,NA,NA,NA,0.497495392
PYROXD2,Brain Cortex,SCZ,Wald ratio,1,0.118,0.037,1.126,0.00137,NA,NA,NA,0.570623282
LINC01169,Brain Cortex,SCZ,Wald ratio,1,0.099,0.031,1.104,0.00154,NA,NA,NA,0.145006652
STK32B,Brain Cortex,SCZ,Wald ratio,1,0.092,0.029,1.096,0.00156,NA,NA,NA,0.007638735
HNF1A,Brain Cortex,SCZ,Wald ratio,1,-0.101,0.032,0.904,0.00156,NA,NA,NA,0.387209478
LINC02714,Brain Cortex,SCZ,Wald ratio,1,-0.088,0.028,0.916,0.00195,NA,NA,NA,0.355756259
IL25,Brain Cortex,SCZ,Wald ratio,1,-0.048,0.016,0.953,0.00196,NA,NA,NA,0.114286644
ADGRL3,Brain Cortex,SCZ,Wald ratio,1,0.113,0.036,1.119,0.00196,NA,NA,NA,0.008092359
RAD51B,Brain Cortex,SCZ,Wald ratio,1,0.038,0.012,1.038,0.00211,NA,NA,NA,0.038718867
GLT8D2,Brain Cortex,SCZ,Wald ratio,1,-0.102,0.033,0.903,0.00213,NA,NA,NA,0.021544405
NLRP1,Brain Cortex,SCZ,Wald ratio,1,-0.071,0.023,0.931,0.00221,NA,NA,NA,0.345586445
CFI,Brain Cortex,SCZ,Wald ratio,1,-0.086,0.028,0.918,0.00223,NA,NA,NA,0.041068265
BDNF,Brain Cortex,SCZ,Wald ratio,1,-0.074,0.024,0.928,0.00226,NA,NA,NA,0.327750511
DAPK2,Brain Cortex,SCZ,Wald ratio,1,-0.036,0.012,0.965,0.00229,NA,NA,NA,0.338862851
WDR25,Brain Cortex,SCZ,Wald ratio,1,0.086,0.028,1.09,0.00232,NA,NA,NA,0.31264365
MAP2K7,Brain Cortex,SCZ,Wald ratio,1,0.093,0.03,1.097,0.00233,NA,NA,NA,0.314524703
CCDC3,Brain Cortex,SCZ,Wald ratio,1,-0.082,0.027,0.921,0.00233,NA,NA,NA,0.018782808
TRDMT1,Brain Cortex,SCZ,Wald ratio,1,0.074,0.024,1.077,0.00235,NA,NA,NA,0.320127912
HSPA12A,Brain Cortex,SCZ,Wald ratio,1,0.079,0.026,1.082,0.00241,NA,NA,NA,0.007923785
KYAT1,Brain Cortex,SCZ,Wald ratio,1,-0.046,0.015,0.955,0.00245,NA,NA,NA,0.327029054
PLBD1,Brain Cortex,SCZ,Wald ratio,1,0.052,0.018,1.054,0.0029,NA,NA,NA,0.277532447
REEP3,Brain Cortex,SCZ,Wald ratio,1,0.068,0.023,1.07,0.0029,NA,NA,NA,0.036639731
UNG,Brain Cortex,SCZ,Wald ratio,1,-0.28,0.095,0.756,0.00332,NA,NA,NA,0.824802859
WWOX,Brain Cortex,SCZ,Wald ratio,1,-0.139,0.048,0.871,0.00372,NA,NA,NA,0.007598808
KIRREL3,Brain Cortex,SCZ,Wald ratio,1,0.035,0.012,1.036,0.00381,NA,NA,NA,0.005364376
LINC01234,Brain Cortex,SCZ,Wald ratio,1,-0.164,0.057,0.848,0.00384,NA,NA,NA,0.047094151
JAK1,Brain Cortex,SCZ,Wald ratio,1,-0.106,0.037,0.9,0.00403,NA,NA,NA,0.006077362
WDR95P,Brain Cortex,SCZ,Wald ratio,1,0.099,0.035,1.104,0.00404,NA,NA,NA,0.011255333
HMGA2,Brain Cortex,SCZ,Wald ratio,1,0.086,0.03,1.089,0.00415,NA,NA,NA,0.308002285
MYO5A,Brain Cortex,SCZ,Wald ratio,1,0.092,0.032,1.097,0.00417,NA,NA,NA,0.021771063
ELAC2,Brain Cortex,SCZ,Wald ratio,1,-0.07,0.025,0.932,0.00432,NA,NA,NA,0.272435675
MYO16,Brain Cortex,SCZ,Wald ratio,1,-0.059,0.021,0.942,0.00436,NA,NA,NA,0.471775832
LRRC4B,Brain Cortex,SCZ,Wald ratio,1,0.076,0.027,1.078,0.00444,NA,NA,NA,0.20329176
LHFPL6,Brain Cortex,SCZ,Wald ratio,1,-0.203,0.071,0.816,0.0045,NA,NA,NA,0.010613154
DHRS4-AS1,Brain Cortex,SCZ,Wald ratio,1,0.176,0.062,1.192,0.00467,NA,NA,NA,0.057334509
SORBS2,Brain Cortex,SCZ,Inverse variance weighted,2,-0.073,0.026,0.93,0.00468,NA,0.927879066,NA,0.007281052
NALCN-AS1,Brain Cortex,SCZ,Wald ratio,1,0.056,0.02,1.058,0.00469,NA,NA,NA,0.190245612
ARHGAP12,Brain Cortex,SCZ,Wald ratio,1,-0.04,0.014,0.961,0.00472,NA,NA,NA,0.187745824
LINC02743,Brain Cortex,SCZ,Wald ratio,1,0.089,0.032,1.093,0.00476,NA,NA,NA,0.193277718
ENSG00000237372,Brain Cortex,SCZ,Wald ratio,1,0.043,0.015,1.044,0.00479,NA,NA,NA,0.190603701
GABBR2,Brain Cortex,SCZ,Wald ratio,1,-0.115,0.041,0.891,0.00481,NA,NA,NA,0.986584363
LCMT2,Brain Cortex,SCZ,Wald ratio,1,-0.08,0.028,0.923,0.00496,NA,NA,NA,0.01132803
PHKB,Brain Cortex,SCZ,Wald ratio,1,0.194,0.069,1.214,0.005,NA,NA,NA,0.347226548
TCERG1L,Brain Cortex,SCZ,Wald ratio,1,-0.055,0.02,0.946,0.00514,NA,NA,NA,0.212446676
TTC41P,Brain Cortex,SCZ,Wald ratio,1,0.106,0.038,1.112,0.0052,NA,NA,NA,0.005912216
RBFOX1,Brain Cortex,SCZ,Wald ratio,1,-0.042,0.015,0.959,0.00535,NA,NA,NA,0.026435804
PKNOX2,Brain Cortex,SCZ,Wald ratio,1,-0.225,0.081,0.798,0.00554,NA,NA,NA,0.008888405
RAB27A,Brain Cortex,SCZ,Wald ratio,1,-0.043,0.016,0.958,0.00561,NA,NA,NA,0.166640564
DNM1,Brain Cortex,SCZ,Wald ratio,1,-0.086,0.031,0.917,0.00562,NA,NA,NA,0.232963919
TMEM132B,Brain Cortex,SCZ,Wald ratio,1,0.056,0.02,1.057,0.00581,NA,NA,NA,0.00568968
C2orf69,Brain Cortex,SCZ,Wald ratio,1,-0.026,0.009,0.975,0.00586,NA,NA,NA,0.159657602
