Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
PTPRF,BannerBBDP,ADHD,Inverse variance weighted,2,3.584,0.495,36.034,4.53E-13,NA,0.698229913,NA,0.001711911
NKX22,BannerBBDP,ADHD,Wald ratio,1,0.392,0.083,1.48,2.34E-06,NA,NA,NA,0.613136052
CAZA2,BannerBBDP,ADHD,Inverse variance weighted,2,-6.718,1.44,0.001,3.07E-06,NA,0.375218784,NA,0.006542222
NU160,BannerBBDP,ADHD,Wald ratio,1,4.386,0.975,80.312,6.80E-06,NA,NA,NA,0.006634683
MTCH2,BannerBBDP,ADHD,Wald ratio,1,-7.681,1.707,0,6.80E-06,NA,NA,NA,0.00260263
ELOV1,BannerBBDP,ADHD,Wald ratio,1,-1.29,0.293,0.275,1.07E-05,NA,NA,NA,0.004060846
HYI,BannerBBDP,ADHD,Wald ratio,1,-0.962,0.219,0.382,1.07E-05,NA,NA,NA,0.851537956
CISD2,BannerBBDP,ADHD,Wald ratio,1,-1.194,0.278,0.303,1.70E-05,NA,NA,NA,0.972374207
TPR,BannerBBDP,ADHD,Wald ratio,1,-6.777,1.631,0.001,3.24E-05,NA,NA,NA,0.000208813
VP37B,BannerBBDP,ADHD,Wald ratio,1,-11.787,2.836,0,3.24E-05,NA,NA,NA,0.000199792
OGFD2,BannerBBDP,ADHD,Wald ratio,1,0.6,0.144,1.822,3.24E-05,NA,NA,NA,0.062854855
ABCB9,BannerBBDP,ADHD,Wald ratio,1,1.825,0.439,6.205,3.24E-05,NA,NA,NA,0.001689677
RIT2,BannerBBDP,ADHD,Inverse variance weighted,3,-0.745,0.183,0.475,4.86E-05,0.689020753,0.896305552,0.848550757,8.90E-06
C9JZR2,BannerBBDP,ADHD,Wald ratio,1,1.365,0.338,3.917,5.32E-05,NA,NA,NA,0.928829089
TPR,BannerBBDP,ADHD,Inverse variance weighted,8,2.757,0.683,15.747,5.39E-05,0.50245323,0.434122394,0.249979035,1.61E-08
MYCT,BannerBBDP,ADHD,Inverse variance weighted,5,0.786,0.197,2.194,6.70E-05,0.921281607,0.910141019,0.527203075,9.56E-08
NEO1,BannerBBDP,ADHD,Wald ratio,1,2.985,0.77,19.792,0.000105,NA,NA,NA,0.000572988
RAB34,BannerBBDP,ADHD,Wald ratio,1,4.294,1.118,73.261,0.000122,NA,NA,NA,0.000127678
RL23A,BannerBBDP,ADHD,Wald ratio,1,-4.128,1.074,0.016,0.000122,NA,NA,NA,0.000309994
RMD1,BannerBBDP,ADHD,Inverse variance weighted,2,0.514,0.139,1.671,0.000213,NA,0.464846629,NA,0.717362795
GLRX1,BannerBBDP,ADHD,Inverse variance weighted,4,0.892,0.244,2.441,0.000249,0.618384747,0.806887929,0.912535337,9.04E-07
NGEF,BannerBBDP,ADHD,Inverse variance weighted,2,0.89,0.246,2.436,0.000291,NA,0.454461557,NA,1.84E-07
DJC17,BannerBBDP,ADHD,Wald ratio,1,-1.903,0.533,0.149,0.000358,NA,NA,NA,0.000107443
RMD3,BannerBBDP,ADHD,Wald ratio,1,-0.709,0.199,0.492,0.000358,NA,NA,NA,0.786503422
GFRP,BannerBBDP,ADHD,Wald ratio,1,20.924,5.863,1222548000,0.000358,NA,NA,NA,4.52E-05
HMGN2,BannerBBDP,ADHD,Wald ratio,1,12.435,3.488,251384.1,0.000364,NA,NA,NA,6.02E-05
HM20A,BannerBBDP,ADHD,Wald ratio,1,4.911,1.38,135.737,0.000371,NA,NA,NA,2.53E-05
PEAK1,BannerBBDP,ADHD,Wald ratio,1,-0.875,0.246,0.417,0.000371,NA,NA,NA,0.073074605
TMCC2,BannerBBDP,ADHD,Inverse variance weighted,2,-1.064,0.301,0.345,0.000406,NA,0.454321178,NA,1.08E-06
IF2P,BannerBBDP,ADHD,Wald ratio,1,1.255,0.362,3.507,0.000533,NA,NA,NA,0.652523331
TXND9,BannerBBDP,ADHD,Wald ratio,1,2.746,0.793,15.574,0.000533,NA,NA,NA,3.54E-05
CMPK2,BannerBBDP,ADHD,Inverse variance weighted,8,1.064,0.311,2.898,0.000615,0.473494365,0.553942657,0.596177299,3.51E-08
TP4A2,BannerBBDP,ADHD,Wald ratio,1,1.732,0.508,5.653,0.000648,NA,NA,NA,0.000202897
NCK1,BannerBBDP,ADHD,Wald ratio,1,-1.325,0.389,0.266,0.000656,NA,NA,NA,0.038820889
ISCA2,BannerBBDP,ADHD,Wald ratio,1,3.256,0.957,25.935,0.000666,NA,NA,NA,4.46E-05
SAA2,BannerBBDP,ADHD,Inverse variance weighted,3,-0.19,0.056,0.827,0.00072,0.2545009,0.521287302,0.962641063,0.026033049
CTNB1,BannerBBDP,ADHD,Wald ratio,1,3.571,1.061,35.549,0.000766,NA,NA,NA,3.23E-05
SPD2A,BannerBBDP,ADHD,Inverse variance weighted,2,11.319,3.368,82411.88,0.000776,NA,0.342871801,NA,8.33E-08
RED1,BannerBBDP,ADHD,Wald ratio,1,1.077,0.321,2.935,0.000789,NA,NA,NA,0.000181578
LAMC1,BannerBBDP,ADHD,Inverse variance weighted,2,0.565,0.169,1.759,0.000816,NA,0.796438013,NA,0.541887033
ABCD2,BannerBBDP,ADHD,Wald ratio,1,3.723,1.116,41.373,0.000851,NA,NA,NA,2.00E-05
MARH5,BannerBBDP,ADHD,Wald ratio,1,2.42,0.727,11.248,0.000867,NA,NA,NA,2.08E-05
GLYM,BannerBBDP,ADHD,Wald ratio,1,-4.277,1.287,0.014,0.000892,NA,NA,NA,1.06E-05
NUA4L,BannerBBDP,ADHD,Wald ratio,1,-4.953,1.491,0.007,0.000892,NA,NA,NA,1.73E-05
ERIC3,BannerBBDP,ADHD,Wald ratio,1,0.531,0.161,1.7,0.000962,NA,NA,NA,0.481832272
ITPR2,BannerBBDP,ADHD,Inverse variance weighted,7,-0.704,0.215,0.495,0.00105,0.803891566,0.859266869,0.628589372,1.18E-06
OGA,BannerBBDP,ADHD,Wald ratio,1,62.684,19.166,1.67E+27,0.00107,NA,NA,NA,7.57E-06
KCIP2,BannerBBDP,ADHD,Wald ratio,1,-2.404,0.735,0.09,0.00107,NA,NA,NA,1.84E-05
ARMD3,BannerBBDP,ADHD,Wald ratio,1,2.987,0.913,19.829,0.00107,NA,NA,NA,4.11E-05
K0513,BannerBBDP,ADHD,Inverse variance weighted,5,0.874,0.267,2.396,0.00108,0.799671401,0.817151165,0.513227688,1.33E-05
NTNG2,BannerBBDP,ADHD,Inverse variance weighted,3,-1.852,0.568,0.157,0.00112,0.198912892,0.355195605,0.70260893,1.11E-07
KPCA,BannerBBDP,ADHD,Inverse variance weighted,11,0.768,0.239,2.156,0.00129,0.345048005,0.393727656,0.528246831,2.11E-07
NEUR3,BannerBBDP,ADHD,Wald ratio,1,0.867,0.272,2.381,0.00141,NA,NA,NA,0.003776454
PPCEL,BannerBBDP,ADHD,Wald ratio,1,11.744,3.684,125960.6,0.00144,NA,NA,NA,4.59E-06
AT2L1,BannerBBDP,ADHD,Wald ratio,1,4.013,1.261,55.338,0.00146,NA,NA,NA,2.06E-05
MRCKB,BannerBBDP,ADHD,Wald ratio,1,-3.104,0.985,0.045,0.00162,NA,NA,NA,0.001322074
ANO10,BannerBBDP,ADHD,Inverse variance weighted,2,-2.933,0.937,0.053,0.00174,NA,0.241054307,NA,4.88E-08
RS11,BannerBBDP,ADHD,Wald ratio,1,18.954,6.077,170437700,0.00182,NA,NA,NA,2.63E-06
RL13A,BannerBBDP,ADHD,Wald ratio,1,2.244,0.719,9.427,0.00182,NA,NA,NA,1.16E-05
A16A1,BannerBBDP,ADHD,Inverse variance weighted,2,-0.33,0.106,0.719,0.00182,NA,0.847706715,NA,0.409897328
VIME,BannerBBDP,ADHD,Inverse variance weighted,2,-1.035,0.333,0.355,0.00186,NA,0.92283536,NA,1.36E-05
PIHD1,BannerBBDP,ADHD,Inverse variance weighted,2,0.94,0.303,2.561,0.00189,NA,0.737515091,NA,0.00027
SOX11,BannerBBDP,ADHD,Inverse variance weighted,4,0.364,0.118,1.44,0.00192,0.881463462,0.856829431,0.54685101,0.000279294
GUAD,BannerBBDP,ADHD,Inverse variance weighted,3,0.858,0.277,2.358,0.00192,0.867452571,0.858144147,0.691049623,2.53E-08
AGO2,BannerBBDP,ADHD,Inverse variance weighted,4,-1.655,0.534,0.191,0.00195,0.112495884,0.215247799,0.852354875,3.10E-05
DUSTY,BannerBBDP,ADHD,Wald ratio,1,0.944,0.305,2.571,0.00197,NA,NA,NA,0.002970939
LSM6,BannerBBDP,ADHD,Inverse variance weighted,3,-1.485,0.481,0.227,0.00203,0.897594597,0.072968656,0.262674088,4.70E-08
5NT1A,BannerBBDP,ADHD,Inverse variance weighted,3,-0.416,0.135,0.659,0.0021,0.753732902,0.835692758,0.699528751,0.304896789
S38A3,BannerBBDP,ADHD,Wald ratio,1,-7.483,2.44,0.001,0.00217,NA,NA,NA,1.15E-05
CA2D2,BannerBBDP,ADHD,Wald ratio,1,-1.177,0.384,0.308,0.00217,NA,NA,NA,0.003010376
TUSC2,BannerBBDP,ADHD,Wald ratio,1,-4.758,1.552,0.009,0.00217,NA,NA,NA,8.97E-06
NAA80,BannerBBDP,ADHD,Wald ratio,1,-2.39,0.779,0.092,0.00217,NA,NA,NA,1.82E-05
