Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
PVR,BannerBBDP,ALZ,Wald ratio,1,3.61,0.268,37,1.78E-41,NA,NA,NA,0.003499899
CD2AP,BannerBBDP,ALZ,Inverse variance weighted,2,-3.273,0.524,0.038,4.06E-10,NA,0.554691906,NA,8.04E-07
PICAL,BannerBBDP,ALZ,Wald ratio,1,37.268,8.186,1.53E+16,5.30E-06,NA,NA,NA,1.17E-05
OMGP,BannerBBDP,ALZ,Wald ratio,1,0.982,0.232,2.67,2.40E-05,NA,NA,NA,0.975333897
EVI2A,BannerBBDP,ALZ,Wald ratio,1,0.955,0.226,2.6,2.40E-05,NA,NA,NA,8.88E-07
ACADV,BannerBBDP,ALZ,Inverse variance weighted,2,-1.379,0.33,0.252,2.95E-05,NA,0.860206364,NA,0.320080846
GBRAP,BannerBBDP,ALZ,Inverse variance weighted,3,6.075,1.507,435,5.57E-05,0.473480947,0.522201615,0.538320018,0.000580462
ERCC2,BannerBBDP,ALZ,Inverse variance weighted,2,-3.313,0.83,0.036,6.59E-05,NA,0.363700479,NA,7.03E-07
T106B,BannerBBDP,ALZ,Inverse variance weighted,2,0.347,0.087,1.42,6.87E-05,NA,0.344371106,NA,0.995759562
SHIP1,BannerBBDP,ALZ,Inverse variance weighted,3,-1.062,0.268,0.346,7.37E-05,0.632105101,0.770349969,0.684330815,0.00012439
OARD1,BannerBBDP,ALZ,Wald ratio,1,1.793,0.453,6.01,7.48E-05,NA,NA,NA,0.01425962
A16L1,BannerBBDP,ALZ,Inverse variance weighted,2,-4.83,1.249,0.008,0.00011,NA,0.557226447,NA,5.24E-06
GRL1A,BannerBBDP,ALZ,Inverse variance weighted,5,1.218,0.32,3.38,0.000139,0.651501646,0.740906478,0.602241748,1.11E-06
COG7,BannerBBDP,ALZ,Inverse variance weighted,3,2.23,0.6,9.3,0.000202,0.822420581,0.704131491,0.567747813,1.52E-07
ACE,BannerBBDP,ALZ,Inverse variance weighted,2,0.548,0.15,1.73,0.000247,NA,NA,NA,0.793321957
MTSS2,BannerBBDP,ALZ,Wald ratio,1,1.486,0.406,4.42,0.000256,NA,0.57105364,NA,5.91E-06
VAC14,BannerBBDP,ALZ,Wald ratio,1,256.339,70.104,2.12E+111,0.000256,NA,NA,NA,9.15E-08
VATA,BannerBBDP,ALZ,Wald ratio,1,-6.221,1.748,0.002,0.000372,NA,NA,NA,1.61E-05
PPIB,BannerBBDP,ALZ,Wald ratio,1,-29.211,8.249,0,0.000399,NA,NA,NA,2.74E-06
ANS1A,BannerBBDP,ALZ,Inverse variance weighted,2,-9.587,2.732,0,0.000449,NA,NA,NA,2.54E-07
DMWD,BannerBBDP,ALZ,Wald ratio,1,4.669,1.33,107,0.000449,NA,NA,NA,3.11E-07
BIN1,BannerBBDP,ALZ,Inverse variance weighted,5,-2.754,0.785,0.064,0.000451,NA,NA,NA,6.27E-06
SYEM,BannerBBDP,ALZ,Wald ratio,1,-0.306,0.088,0.736,0.000538,NA,NA,NA,1.65E-06
CLUS,BannerBBDP,ALZ,Inverse variance weighted,3,3.561,1.038,35.2,0.000603,NA,0.304692353,NA,1.02E-07
SPTN4,BannerBBDP,ALZ,Inverse variance weighted,3,-3.229,0.943,0.04,0.00062,NA,NA,NA,7.10E-08
KPCB,BannerBBDP,ALZ,Inverse variance weighted,6,-1.24,0.363,0.29,0.000631,0.004334724,0.009177611,0.801643733,1.34E-07
MARK2,BannerBBDP,ALZ,Wald ratio,1,6.794,2.006,892,0.000709,0.653682795,0.571850641,0.338332535,9.49E-05
VP9D1,BannerBBDP,ALZ,Inverse variance weighted,2,-4.297,1.272,0.014,0.000732,NA,NA,NA,9.00E-06
BICD2,BannerBBDP,ALZ,Wald ratio,1,6.352,1.891,574,0.000782,0.397973776,0.164270237,0.338119492,0.000457337
WDR12,BannerBBDP,ALZ,Wald ratio,1,-2.874,0.857,0.056,0.000804,0.56907258,0.7848475,0.757559887,6.03E-07
CLIP1,BannerBBDP,ALZ,Wald ratio,1,-5.65,1.687,0.004,0.000811,0.232776899,0.280200873,0.518726302,2.20E-08
CCZ1B,BannerBBDP,ALZ,Inverse variance weighted,7,-1.303,0.392,0.272,0.000894,NA,NA,NA,7.84E-05
VP33A,BannerBBDP,ALZ,Inverse variance weighted,2,5.63,1.701,279,0.000934,NA,NA,NA,2.05E-08
I5P1,BannerBBDP,ALZ,Inverse variance weighted,4,1.346,0.41,3.84,0.00102,NA,0.521061831,NA,3.44E-07
CD5L,BannerBBDP,ALZ,Inverse variance weighted,2,0.651,0.201,1.92,0.00118,NA,0.503450472,NA,3.03E-07
ACSF2,BannerBBDP,ALZ,Inverse variance weighted,2,1.274,0.395,3.57,0.00126,NA,NA,NA,5.74E-08
BCAR1,BannerBBDP,ALZ,Wald ratio,1,-34.512,10.732,0,0.0013,NA,0.637695401,NA,1.59E-06
OSBL1,BannerBBDP,ALZ,Inverse variance weighted,3,-1.791,0.559,0.167,0.00136,NA,NA,NA,4.86E-08
PLTP,BannerBBDP,ALZ,Inverse variance weighted,2,4.753,1.503,116,0.00156,NA,NA,NA,2.66E-07
SNX1,BannerBBDP,ALZ,Inverse variance weighted,2,2.272,0.72,9.7,0.0016,NA,NA,NA,7.55E-06
