Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
KAD5,BannerBBDP,ANX,Inverse variance weighted,4,2.591,0.751,13.341,0.000559,0.872815361,0.605644975,0.336745338,1.19E-06
TCAF1,BannerBBDP,ANX,Wald ratio,1,7.461,2.27,1739.524,0.00101,NA,NA,NA,6.63E-06
CMPK2,BannerBBDP,ANX,Inverse variance weighted,8,-2.909,0.909,0.055,0.00137,0.935750927,0.901901688,0.357177198,3.44E-07
SEM4A,BannerBBDP,ANX,Inverse variance weighted,2,-2.916,0.933,0.054,0.00177,NA,0.912745674,NA,0.000231832
ADSSP,BannerBBDP,ANX,Inverse variance weighted,5,-2.453,0.796,0.086,0.00206,0.457026279,0.589075368,0.675590335,4.68E-07
KCNJ3,BannerBBDP,ANX,Inverse variance weighted,4,-1.96,0.64,0.141,0.00219,0.648675727,0.727392287,0.574682503,6.65E-07
HSDL2,BannerBBDP,ANX,Wald ratio,1,2.809,0.923,16.587,0.00235,NA,NA,NA,0.000225244
PAHX,BannerBBDP,ANX,Inverse variance weighted,3,-2.611,0.867,0.073,0.0026,0.857194872,0.912240221,0.763820237,8.76E-06
YIF1B,BannerBBDP,ANX,Inverse variance weighted,2,-12.814,4.263,0,0.00265,NA,0.644947769,NA,4.01E-07
SMG5,BannerBBDP,ANX,Inverse variance weighted,2,-7.265,2.444,0.001,0.00296,NA,0.33062783,NA,2.42E-06
MF2L2,BannerBBDP,ANX,Inverse variance weighted,5,1.828,0.62,6.223,0.00319,0.397118538,0.548403914,0.781481499,4.51E-07
RB27B,BannerBBDP,ANX,Inverse variance weighted,3,-0.798,0.271,0.45,0.00325,0.954798671,0.996775735,0.963767924,0.195978214
FIP1,BannerBBDP,ANX,Wald ratio,1,22.668,7.712,6993952000,0.00329,NA,NA,NA,3.68E-07
ATP5I,BannerBBDP,ANX,Inverse variance weighted,5,-6.573,2.26,0.001,0.00363,0.527549551,0.593101309,0.505035013,6.12E-07
PP14A,BannerBBDP,ANX,Inverse variance weighted,2,-1.921,0.664,0.146,0.0038,NA,0.399832881,NA,4.06E-07
DGKE,BannerBBDP,ANX,Inverse variance weighted,3,-1.966,0.686,0.14,0.00417,0.542490998,0.667196182,0.627675026,1.11E-07
ASB1,BannerBBDP,ANX,Inverse variance weighted,2,-1.632,0.57,0.196,0.00423,NA,0.318440291,NA,3.67E-06
SC22A,BannerBBDP,ANX,Inverse variance weighted,4,2.566,0.901,13.014,0.00438,0.781793884,0.765654227,0.503296377,1.99E-07
PMGT2,BannerBBDP,ANX,Wald ratio,1,1.907,0.67,6.731,0.00441,NA,NA,NA,0.000108339
HNRPL,BannerBBDP,ANX,Inverse variance weighted,4,-6.422,2.26,0.002,0.00449,0.981817531,0.855208408,0.480504597,3.45E-07
RS19,BannerBBDP,ANX,Wald ratio,1,-7.706,2.718,0,0.00458,NA,NA,NA,1.35E-07
SI1L1,BannerBBDP,ANX,Wald ratio,1,11.286,4.087,79705.13,0.00575,NA,NA,NA,0.000541662
VINC,BannerBBDP,ANX,Inverse variance weighted,2,6.946,2.516,1039.289,0.00576,NA,0.497447415,NA,4.11E-06
ACE,BannerBBDP,ANX,Wald ratio,1,-0.939,0.34,0.391,0.00579,NA,NA,NA,0.374509303
DCAF7,BannerBBDP,ANX,Wald ratio,1,54.719,19.832,5.81E+23,0.00579,NA,NA,NA,7.49E-06
SCOC,BannerBBDP,ANX,Inverse variance weighted,2,9.747,3.535,17095.55,0.00583,NA,0.767010908,NA,4.15E-07
CADM4,BannerBBDP,ANX,Inverse variance weighted,4,7.306,2.683,1488.716,0.00648,0.770455477,0.901617896,0.835374468,1.96E-07
CCD92,BannerBBDP,ANX,Inverse variance weighted,2,0.565,0.21,1.76,0.00712,NA,0.817270033,NA,9.24E-07
DCMC,BannerBBDP,ANX,Inverse variance weighted,4,4.461,1.668,86.562,0.00749,0.734726052,0.753691347,0.525666106,0.025739881
EXOS9,BannerBBDP,ANX,Inverse variance weighted,2,-4.138,1.549,0.016,0.00753,NA,0.926104803,NA,3.32E-06
CEP43,BannerBBDP,ANX,Inverse variance weighted,4,1.421,0.533,4.143,0.00761,0.394728129,0.541196403,0.641883752,4.84E-07
TTC27,BannerBBDP,ANX,Inverse variance weighted,4,1.944,0.73,6.988,0.00775,0.858379558,0.433450405,0.259046161,0.000438364
GNAO,BannerBBDP,ANX,Inverse variance weighted,2,4.125,1.551,61.843,0.00782,NA,0.426276208,NA,2.61E-07
NCALD,BannerBBDP,ANX,MR Egger,8,-4.321,1.109,0.013,0.008,0.660397693,0.011410884,0.009593921,8.83E-06
SDHB,BannerBBDP,ANX,Inverse variance weighted,3,5.697,2.157,297.943,0.00827,0.349739655,0.43949765,0.541511512,3.79E-07
STIM2,BannerBBDP,ANX,Inverse variance weighted,5,-2.55,0.966,0.078,0.00829,0.71255663,0.571800596,0.301918239,5.01E-06
LMNA,BannerBBDP,ANX,Wald ratio,1,11.999,4.564,162600.6,0.00856,NA,NA,NA,2.67E-06
GRID1,BannerBBDP,ANX,Inverse variance weighted,7,-2.735,1.041,0.065,0.0086,0.645050927,0.762434557,0.958802096,4.01E-07
MYO5B,BannerBBDP,ANX,Inverse variance weighted,3,-1.966,0.75,0.14,0.00874,0.779369586,0.935952655,0.854770172,1.82E-05
CDK5,BannerBBDP,ANX,Inverse variance weighted,4,2.904,1.11,18.238,0.00891,0.759624255,0.905571836,0.929709369,2.48E-07
RGF1A,BannerBBDP,ANX,Inverse variance weighted,2,-1.583,0.609,0.205,0.00932,NA,0.345590548,NA,2.03E-06
PIGT,BannerBBDP,ANX,Inverse variance weighted,2,-6.606,2.551,0.001,0.0096,NA,0.41079596,NA,8.99E-08
AGRL3,BannerBBDP,ANX,Inverse variance weighted,3,-5.366,2.079,0.005,0.00984,0.622227875,0.776564247,0.69832791,6.64E-07
RHG44,BannerBBDP,ANX,Inverse variance weighted,5,5.011,1.951,150.095,0.0102,0.398503382,0.55618636,0.831062952,2.31E-05
ZC11A,BannerBBDP,ANX,Inverse variance weighted,2,-30.933,12.064,0,0.0103,NA,0.893567417,NA,2.36E-06
NCK1,BannerBBDP,ANX,Wald ratio,1,3.091,1.208,21.991,0.0105,NA,NA,NA,0.002541919
PARK7,BannerBBDP,ANX,Inverse variance weighted,2,-17.399,6.809,0,0.0106,NA,0.398588907,NA,4.11E-06
TCPR2,BannerBBDP,ANX,Wald ratio,1,4.655,1.848,105.096,0.0118,NA,NA,NA,0.000314656
PREX2,BannerBBDP,ANX,Inverse variance weighted,6,0.899,0.357,2.456,0.0118,0.87295279,0.936230522,0.824208526,4.51E-07
CL004,BannerBBDP,ANX,Inverse variance weighted,2,12.379,4.967,237803.1,0.0127,NA,0.374466393,NA,1.16E-07
SPRL1,BannerBBDP,ANX,Wald ratio,1,0.783,0.315,2.187,0.013,NA,NA,NA,0.000647481
NXN,BannerBBDP,ANX,Inverse variance weighted,8,1.397,0.563,4.044,0.0131,0.167729192,0.233216792,0.746565405,6.30E-07
VIP,BannerBBDP,ANX,Inverse variance weighted,2,-4.738,1.912,0.009,0.0132,NA,0.347221854,NA,1.71E-07
TRPV2,BannerBBDP,ANX,Inverse variance weighted,3,-0.306,0.124,0.736,0.0134,0.582525298,0.424896165,0.445621837,0.139459103
SCAI,BannerBBDP,ANX,Wald ratio,1,12.192,4.938,197108.1,0.0135,NA,NA,NA,2.48E-07
PPP6,BannerBBDP,ANX,Wald ratio,1,33.65,13.628,4.11E+14,0.0135,NA,NA,NA,1.99E-07
RABEK,BannerBBDP,ANX,Wald ratio,1,13.75,5.569,936170.1,0.0135,NA,NA,NA,0.000438066
BIP,BannerBBDP,ANX,Wald ratio,1,10.055,4.072,23272.51,0.0135,NA,NA,NA,7.70E-07
CHIP,BannerBBDP,ANX,Inverse variance weighted,4,-5.963,2.421,0.003,0.0138,0.967365847,0.933521757,0.606781228,1.98E-07
RL24,BannerBBDP,ANX,Wald ratio,1,-2.161,0.88,0.115,0.014,NA,NA,NA,1.17E-06
