Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
NAA30,BannerBBDP,ASD,Inverse variance weighted,2,4.128,1.004,62.061,3.94E-05,NA,0.604609478,NA,3.46E-07
AEDO,BannerBBDP,ASD,Inverse variance weighted,2,-1.145,0.293,0.318,9.41E-05,NA,0.725147549,NA,0.916476869
NSF,BannerBBDP,ASD,Wald ratio,1,-4.838,1.265,0.008,0.00013,NA,NA,NA,4.18E-07
BAIP2,BannerBBDP,ASD,Inverse variance weighted,4,-3.152,0.838,0.043,0.000169,0.754465526,0.758774888,0.515808374,5.02E-08
DGLB,BannerBBDP,ASD,Inverse variance weighted,2,1.019,0.275,2.771,0.000209,NA,0.478871204,NA,3.34E-05
RAC1,BannerBBDP,ASD,Inverse variance weighted,2,-14.088,3.818,0,0.000224,NA,0.42726438,NA,2.07E-07
DCNL2,BannerBBDP,ASD,Inverse variance weighted,2,0.754,0.212,2.126,0.000386,NA,0.369936482,NA,2.70E-07
CMIP,BannerBBDP,ASD,Inverse variance weighted,8,-1.295,0.394,0.274,0.00103,0.613535859,0.564933928,0.294730465,0.000137866
RL27A,BannerBBDP,ASD,Wald ratio,1,-0.852,0.261,0.427,0.00109,NA,NA,NA,3.10E-07
PPCS,BannerBBDP,ASD,Wald ratio,1,14.187,4.355,1449576,0.00112,NA,NA,NA,1.79E-07
RIMKA,BannerBBDP,ASD,Wald ratio,1,1.34,0.411,3.819,0.00112,NA,NA,NA,2.83E-07
SGSM2,BannerBBDP,ASD,Inverse variance weighted,2,1.951,0.62,7.038,0.00163,NA,0.235833554,NA,6.46E-08
OTU1,BannerBBDP,ASD,Inverse variance weighted,3,-1.279,0.408,0.278,0.00174,0.302639209,0.554451063,0.796005575,0.211035745
DYN1,BannerBBDP,ASD,Wald ratio,1,-3.036,0.972,0.048,0.00179,NA,NA,NA,0.001023384
BBLN,BannerBBDP,ASD,Wald ratio,1,-2.005,0.642,0.135,0.00179,NA,NA,NA,4.02E-07
TPC6B,BannerBBDP,ASD,Inverse variance weighted,4,2.565,0.827,12.999,0.00191,0.873851379,0.931678653,0.719220888,2.12E-06
LRC8D,BannerBBDP,ASD,Inverse variance weighted,2,-2.075,0.675,0.125,0.0021,NA,0.580778141,NA,5.78E-06
EFHD1,BannerBBDP,ASD,Inverse variance weighted,2,-0.785,0.256,0.456,0.00215,NA,0.382324182,NA,2.16E-05
RHG26,BannerBBDP,ASD,Inverse variance weighted,6,1.375,0.451,3.955,0.00231,0.8974642,0.941544141,0.71431313,2.55E-08
CISD2,BannerBBDP,ASD,Wald ratio,1,-1.253,0.412,0.286,0.00234,NA,NA,NA,0.424886338
S14L2,BannerBBDP,ASD,Inverse variance weighted,2,5.243,1.725,189.274,0.00237,NA,0.633988199,NA,3.10E-05
NPL4,BannerBBDP,ASD,Inverse variance weighted,3,3.057,1.01,21.255,0.00247,0.275547363,0.356199348,0.548493929,1.30E-06
LSP1,BannerBBDP,ASD,Inverse variance weighted,4,-0.207,0.069,0.813,0.0025,0.915973651,0.356798622,0.222376807,1.16E-07
IGJ,BannerBBDP,ASD,Inverse variance weighted,2,-0.484,0.16,0.617,0.00251,NA,0.68967698,NA,7.60E-07
CATH,BannerBBDP,ASD,Inverse variance weighted,4,-0.254,0.084,0.776,0.00262,0.785154104,0.916767988,0.886949423,6.77E-07
S11IP,BannerBBDP,ASD,Inverse variance weighted,2,1.352,0.453,3.864,0.00286,NA,0.291292559,NA,2.58E-07
GNA1,BannerBBDP,ASD,Inverse variance weighted,2,1.069,0.36,2.913,0.00294,NA,0.832417878,NA,2.02E-06
RALA,BannerBBDP,ASD,Inverse variance weighted,2,1.855,0.628,6.392,0.00313,NA,0.438851302,NA,1.23E-05
RINT1,BannerBBDP,ASD,Inverse variance weighted,3,-1.375,0.466,0.253,0.00319,0.807450089,0.513984836,0.461835009,8.02E-08
UBP10,BannerBBDP,ASD,Inverse variance weighted,7,5.301,1.799,200.504,0.00322,0.868747233,0.881795436,0.501942416,7.40E-08
RN114,BannerBBDP,ASD,Inverse variance weighted,2,-1.246,0.427,0.288,0.0035,NA,0.388193952,NA,1.65E-07
FERM2,BannerBBDP,ASD,Inverse variance weighted,2,-20.27,6.982,0,0.00369,NA,0.831794472,NA,1.37E-07
AUHM,BannerBBDP,ASD,Inverse variance weighted,4,1.054,0.363,2.869,0.00373,0.54167627,0.658552454,0.601518393,5.82E-08
LAMB1,BannerBBDP,ASD,Inverse variance weighted,6,0.771,0.268,2.163,0.00394,0.959540312,0.979917598,0.744365072,1.78E-07
LIFR,BannerBBDP,ASD,Inverse variance weighted,4,-1.005,0.35,0.366,0.00411,0.837251311,0.944474274,0.890907585,7.48E-07
LY6H,BannerBBDP,ASD,Inverse variance weighted,3,0.537,0.189,1.711,0.00444,0.690883253,0.550162372,0.494225157,6.69E-06
KCD16,BannerBBDP,ASD,Inverse variance weighted,3,-1.867,0.659,0.155,0.00462,0.281179391,0.330421072,0.515526074,4.68E-08
RIR1,BannerBBDP,ASD,Inverse variance weighted,2,1.141,0.403,3.13,0.00465,NA,0.495513874,NA,0.001552835
HACE1,BannerBBDP,ASD,Inverse variance weighted,2,-2.108,0.746,0.121,0.00471,NA,0.341626378,NA,8.92E-07
CPT2,BannerBBDP,ASD,Weighted median,4,0.272,0.097,1.312,0.00499,0.029136653,0.069025306,0.946376985,0.303571055
SYNPO,BannerBBDP,ASD,Wald ratio,1,-11.905,4.247,0,0.00506,NA,NA,NA,9.37E-08
KIFC2,BannerBBDP,ASD,Wald ratio,1,-6.32,2.267,0.002,0.0053,NA,NA,NA,7.91E-06
VPS28,BannerBBDP,ASD,Wald ratio,1,21.871,7.844,3150980000,0.0053,NA,NA,NA,2.84E-06
CH082,BannerBBDP,ASD,Wald ratio,1,-10.97,3.934,0,0.0053,NA,NA,NA,5.47E-06
LRC14,BannerBBDP,ASD,Wald ratio,1,-17.703,6.349,0,0.0053,NA,NA,NA,0.000237845
PP16A,BannerBBDP,ASD,Wald ratio,1,1.31,0.47,3.705,0.0053,NA,NA,NA,0.358416228
CPSF1,BannerBBDP,ASD,Wald ratio,1,-6.854,2.458,0.001,0.0053,NA,NA,NA,2.21E-06
RHG39,BannerBBDP,ASD,Wald ratio,1,-5.791,2.077,0.003,0.0053,NA,NA,NA,2.33E-06
ALAT1,BannerBBDP,ASD,Wald ratio,1,1.105,0.396,3.018,0.0053,NA,NA,NA,0.000518532
TAGL2,BannerBBDP,ASD,Inverse variance weighted,6,-1.179,0.423,0.308,0.00531,0.881764387,0.913566188,0.602904282,2.67E-07
GBRD,BannerBBDP,ASD,Inverse variance weighted,3,-1.63,0.586,0.196,0.00544,0.779727278,0.820796253,0.673658063,1.29E-07
DICER,BannerBBDP,ASD,Inverse variance weighted,4,0.751,0.27,2.119,0.00545,0.569128737,0.766500261,0.90939759,5.97E-08
RS9,BannerBBDP,ASD,Inverse variance weighted,4,-0.968,0.351,0.38,0.00578,0.358232504,0.534927391,0.754429401,5.46E-08
NGEF,BannerBBDP,ASD,Inverse variance weighted,2,1.006,0.365,2.733,0.00585,NA,0.695835574,NA,4.40E-08
PSA7,BannerBBDP,ASD,Inverse variance weighted,2,4.659,1.695,105.567,0.00598,NA,0.441967609,NA,2.50E-06
NOA1,BannerBBDP,ASD,Inverse variance weighted,4,-0.856,0.313,0.425,0.00625,0.924170611,0.852671016,0.510900234,0.000110788
ENAH,BannerBBDP,ASD,Wald ratio,1,-10.356,3.793,0,0.00632,NA,NA,NA,4.16E-06
FAAH1,BannerBBDP,ASD,Inverse variance weighted,2,0.513,0.19,1.671,0.00675,NA,0.519970168,NA,0.006929599
DDHD2,BannerBBDP,ASD,Wald ratio,1,4.015,1.483,55.438,0.00679,NA,NA,NA,4.24E-07
DUS26,BannerBBDP,ASD,Wald ratio,1,-2.519,0.936,0.081,0.00713,NA,NA,NA,5.27E-05
COX7C,BannerBBDP,ASD,Wald ratio,1,-3.885,1.448,0.021,0.0073,NA,NA,NA,3.00E-07
BAG4,BannerBBDP,ASD,Inverse variance weighted,2,24.71,9.218,53889800000,0.00735,NA,0.587297742,NA,2.90E-06
WDTC1,BannerBBDP,ASD,Inverse variance weighted,2,1.408,0.525,4.086,0.00737,NA,0.758171646,NA,4.57E-07
