Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
DGLA,BannerBBDP,BP,Wald ratio,1,8.199,1.214,3639.01,1.45E-11,NA,NA,NA,6.46E-05
FEN1,BannerBBDP,BP,Wald ratio,1,4.516,0.669,91.469,1.45E-11,NA,NA,NA,0.000401278
FADS2,BannerBBDP,BP,Inverse variance weighted,2,-0.583,0.087,0.558,1.85E-11,NA,0.468122569,NA,0.005642284
ADDG,BannerBBDP,BP,Wald ratio,1,-2.892,0.452,0.055,1.59E-10,NA,NA,NA,4.28E-08
BLTP1,BannerBBDP,BP,Wald ratio,1,3.239,0.57,25.514,1.35E-08,NA,NA,NA,0.000270926
CDR2L,BannerBBDP,BP,Inverse variance weighted,2,5.855,1.181,348.815,7.23E-07,NA,0.328525229,NA,0.000302498
U520,BannerBBDP,BP,Wald ratio,1,-17.79,3.702,0,1.55E-06,NA,NA,NA,1.24E-06
CIAO1,BannerBBDP,BP,Wald ratio,1,-43.293,9.01,0,1.55E-06,NA,NA,NA,2.77E-08
TM127,BannerBBDP,BP,Wald ratio,1,-3.402,0.708,0.033,1.55E-06,NA,NA,NA,7.29E-08
MARK2,BannerBBDP,BP,Wald ratio,1,-7.853,1.648,0,1.88E-06,NA,NA,NA,0.000144104
ARL3,BannerBBDP,BP,Wald ratio,1,-1.131,0.243,0.323,3.38E-06,NA,NA,NA,3.20E-06
SYYC,BannerBBDP,BP,Inverse variance weighted,3,-2.654,0.571,0.07,3.39E-06,0.171064025,0.389659648,0.950508283,1.07E-05
DNPH1,BannerBBDP,BP,Inverse variance weighted,2,-1.33,0.29,0.265,4.39E-06,NA,0.837115044,NA,7.65E-08
NT5C,BannerBBDP,BP,Wald ratio,1,0.833,0.187,2.3,8.25E-06,NA,NA,NA,4.18E-07
KCTD2,BannerBBDP,BP,Wald ratio,1,1.987,0.446,7.293,8.25E-06,NA,NA,NA,1.01E-06
JUPI1,BannerBBDP,BP,Wald ratio,1,3.226,0.724,25.189,8.25E-06,NA,NA,NA,4.09E-07
PMVK,BannerBBDP,BP,Wald ratio,1,-2.061,0.466,0.127,9.82E-06,NA,NA,NA,0.000155747
