Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
LRFN5,BannerBBDP,DEP,Inverse variance weighted,2,-0.943,0.146,0.389,1.11E-10,NA,0.94003704,NA,1.52E-07
POGZ,BannerBBDP,DEP,Inverse variance weighted,2,1.609,0.362,4.999,8.59E-06,NA,0.314709361,NA,0.000322375
B3GLT,BannerBBDP,DEP,Inverse variance weighted,4,0.196,0.047,1.217,2.44E-05,0.573079039,0.135472348,0.169672519,4.79E-08
PSB4,BannerBBDP,DEP,Inverse variance weighted,2,-0.248,0.059,0.78,2.88E-05,NA,0.286318319,NA,0.971263416
PHLB1,BannerBBDP,DEP,Wald ratio,1,-0.757,0.188,0.469,5.75E-05,NA,NA,NA,1.26E-06
COPD,BannerBBDP,DEP,Wald ratio,1,-8.114,2.017,0,5.75E-05,NA,NA,NA,8.74E-05
TRIA1,BannerBBDP,DEP,Wald ratio,1,-4.105,1.022,0.016,5.91E-05,NA,NA,NA,0.000120342
GATC,BannerBBDP,DEP,Wald ratio,1,0.341,0.085,1.406,5.91E-05,NA,NA,NA,6.87E-05
SRSF9,BannerBBDP,DEP,Wald ratio,1,-7.095,1.767,0.001,5.91E-05,NA,NA,NA,0.000164822
CX6A1,BannerBBDP,DEP,Wald ratio,1,24.816,6.179,59909900000,5.91E-05,NA,NA,NA,0.000861601
MSI1H,BannerBBDP,DEP,Wald ratio,1,-21.863,5.443,0,5.91E-05,NA,NA,NA,0.00134133
MFD4A,BannerBBDP,DEP,Inverse variance weighted,3,2.145,0.538,8.545,6.66E-05,0.886268648,0.707880684,0.563199261,0.000556889
TB182,BannerBBDP,DEP,Wald ratio,1,-4.703,1.18,0.009,6.75E-05,NA,NA,NA,1.31E-07
SSRP1,BannerBBDP,DEP,Wald ratio,1,3.92,0.984,50.42,6.75E-05,NA,NA,NA,1.12E-08
EFL1,BannerBBDP,DEP,Inverse variance weighted,3,-0.567,0.143,0.567,7.28E-05,0.882147131,0.63435962,0.518840024,0.030362852
RL24,BannerBBDP,DEP,Wald ratio,1,-0.547,0.142,0.579,0.000113,NA,NA,NA,7.80E-07
CEP97,BannerBBDP,DEP,Wald ratio,1,0.968,0.251,2.633,0.000113,NA,NA,NA,4.45E-06
RFC5,BannerBBDP,DEP,Inverse variance weighted,3,0.463,0.121,1.589,0.00012,0.557515403,0.841682582,0.983400309,1.97E-07
ACADS,BannerBBDP,DEP,Inverse variance weighted,2,0.079,0.021,1.082,0.000136,NA,0.89764664,NA,0.518421047
DEN1A,BannerBBDP,DEP,Inverse variance weighted,6,-0.899,0.238,0.407,0.000155,0.313374849,0.435167124,0.797485404,2.06E-07
RAB18,BannerBBDP,DEP,Wald ratio,1,-1.393,0.375,0.248,0.000206,NA,NA,NA,1.10E-08
MGDP1,BannerBBDP,DEP,Inverse variance weighted,2,-0.654,0.179,0.52,0.000257,NA,0.637928615,NA,2.78E-08
LST2,BannerBBDP,DEP,Inverse variance weighted,2,-0.48,0.132,0.618,0.000282,NA,0.830785578,NA,5.79E-06
S23IP,BannerBBDP,DEP,Inverse variance weighted,2,-0.321,0.089,0.725,0.000326,NA,0.840593054,NA,0.183453841
EAA2,BannerBBDP,DEP,Inverse variance weighted,7,0.372,0.104,1.45,0.000364,0.328341646,0.439715628,0.80852647,3.24E-08
DJC11,BannerBBDP,DEP,Inverse variance weighted,2,0.641,0.183,1.898,0.000466,NA,0.988456338,NA,7.77E-08
ARFG3,BannerBBDP,DEP,Inverse variance weighted,2,-1.647,0.475,0.193,0.000531,NA,0.911682863,NA,1.26E-07
NU133,BannerBBDP,DEP,Inverse variance weighted,3,1.209,0.352,3.352,0.000597,0.264481066,0.533926413,0.943538396,6.05E-07
RSRC1,BannerBBDP,DEP,Wald ratio,1,31.111,9.066,3.25E+13,6.00E-04,NA,NA,NA,7.43E-06
MLF1,BannerBBDP,DEP,Wald ratio,1,0.192,0.056,1.212,6.00E-04,NA,NA,NA,3.51E-08
MCMBP,BannerBBDP,DEP,Wald ratio,1,-1.152,0.337,0.316,0.000638,NA,NA,NA,3.13E-06
SAC2,BannerBBDP,DEP,Wald ratio,1,3.559,1.042,35.127,0.000638,NA,NA,NA,4.67E-06
CALR,BannerBBDP,DEP,Wald ratio,1,4.938,1.452,139.515,0.000674,NA,NA,NA,5.49E-06
G45IP,BannerBBDP,DEP,Wald ratio,1,-1.958,0.576,0.141,0.000674,NA,NA,NA,5.34E-06
RGS10,BannerBBDP,DEP,Inverse variance weighted,3,0.195,0.057,1.215,0.000685,0.494942751,0.791905188,0.981293188,6.82E-08
AFG1L,BannerBBDP,DEP,Wald ratio,1,1.579,0.466,4.85,0.000696,NA,NA,NA,4.51E-06
MP2K5,BannerBBDP,DEP,Inverse variance weighted,2,-0.291,0.086,0.748,0.000715,NA,0.9966013,NA,5.96E-07
SCD5,BannerBBDP,DEP,Inverse variance weighted,5,-0.476,0.141,0.621,0.000752,0.502638951,0.518578921,0.415653262,5.33E-06
BIEA,BannerBBDP,DEP,Wald ratio,1,0.98,0.291,2.663,0.000764,NA,NA,NA,0.005301076
COA1,BannerBBDP,DEP,Wald ratio,1,1.082,0.321,2.95,0.000764,NA,NA,NA,8.97E-07
ZYX,BannerBBDP,DEP,Inverse variance weighted,3,0.833,0.249,2.3,0.000813,0.418764396,0.514949101,0.562481329,1.12E-07
AVL9,BannerBBDP,DEP,Inverse variance weighted,2,-2.358,0.709,0.095,0.000878,NA,0.620315173,NA,4.96E-07
CLMN,BannerBBDP,DEP,Inverse variance weighted,4,0.41,0.124,1.506,0.000949,0.316060132,0.402985026,0.538456036,1.90E-08
NMT1,BannerBBDP,DEP,Wald ratio,1,22.919,6.94,8982701000,0.000959,NA,NA,NA,2.09E-08
DCAKD,BannerBBDP,DEP,Wald ratio,1,0.387,0.117,1.472,0.000959,NA,NA,NA,2.87E-08
GFAP,BannerBBDP,DEP,Wald ratio,1,-0.693,0.21,0.5,0.000959,NA,NA,NA,1.49E-07
PLCD3,BannerBBDP,DEP,Wald ratio,1,56.922,17.237,5.26E+24,0.000959,NA,NA,NA,0.001340559
SCP2,BannerBBDP,DEP,Wald ratio,1,2.181,0.664,8.858,0.00102,NA,NA,NA,6.95E-08
LSM7,BannerBBDP,DEP,Inverse variance weighted,3,1.12,0.341,3.065,0.00102,0.903500887,0.273144222,0.354458089,1.40E-08
P2RX7,BannerBBDP,DEP,Weighted median,4,0.066,0.02,1.069,0.00106,0.000540662,0.000302744,0.553787282,0.927518151
DPYL4,BannerBBDP,DEP,Inverse variance weighted,2,-0.357,0.109,0.7,0.00106,NA,0.5743859,NA,0.061870086
GGYF1,BannerBBDP,DEP,Wald ratio,1,-1.746,0.536,0.174,0.00114,NA,NA,NA,3.07E-08
FADS2,BannerBBDP,DEP,Inverse variance weighted,2,-0.13,0.04,0.878,0.0012,NA,0.408173708,NA,8.04E-06
LAMP1,BannerBBDP,DEP,Inverse variance weighted,3,0.848,0.264,2.336,0.00132,0.449052192,0.632733847,0.662968447,1.45E-08
TM1L2,BannerBBDP,DEP,Inverse variance weighted,2,-0.581,0.181,0.559,0.00137,NA,0.337437984,NA,0.204166526
SPTB2,BannerBBDP,DEP,Inverse variance weighted,2,-5.027,1.572,0.007,0.00139,NA,0.408089857,NA,1.73E-08
