Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
XPO2,BannerBBDP,PTSD,Wald ratio,1,2.468,0.557,11.799,9.31E-06,NA,NA,NA,0.945516928
STAU1,BannerBBDP,PTSD,Wald ratio,1,6.475,1.461,648.847,9.31E-06,NA,NA,NA,0.000931901
BIG2,BannerBBDP,PTSD,Wald ratio,1,-8.213,1.853,0,9.31E-06,NA,NA,NA,0.000308667
EIF3E,BannerBBDP,PTSD,Wald ratio,1,7.465,1.887,1745.493,7.63E-05,NA,NA,NA,6.12E-08
TNIP1,BannerBBDP,PTSD,Inverse variance weighted,5,-0.939,0.24,0.391,9.02E-05,0.506323342,0.626806131,0.640672064,3.60E-07
TNR21,BannerBBDP,PTSD,Inverse variance weighted,4,2.312,0.66,10.095,0.000459,0.430752053,0.46786823,0.452335336,2.57E-06
PI16,BannerBBDP,PTSD,Inverse variance weighted,4,0.328,0.098,1.388,0.000867,0.723304945,0.873789312,0.8443423,3.97E-07
GSDME,BannerBBDP,PTSD,Inverse variance weighted,2,-1.168,0.364,0.311,0.00135,NA,0.868548559,NA,0.231406272
RRBP1,BannerBBDP,PTSD,Inverse variance weighted,3,-1.352,0.422,0.259,0.00136,0.96566674,0.990431149,0.91656046,1.14E-06
PSMG1,BannerBBDP,PTSD,Inverse variance weighted,3,1.171,0.367,3.225,0.00141,0.807515493,0.895873405,0.757381418,7.68E-06
RELL1,BannerBBDP,PTSD,Inverse variance weighted,6,0.555,0.175,1.741,0.00151,0.521023666,0.43411077,0.270968642,2.44E-07
CAMP1,BannerBBDP,PTSD,Inverse variance weighted,3,5.955,1.884,385.636,0.00157,0.68477508,0.750611201,0.637798813,8.05E-07
PUR2,BannerBBDP,PTSD,Inverse variance weighted,2,-0.407,0.129,0.666,0.00165,NA,0.89343707,NA,0.087684707
ANR16,BannerBBDP,PTSD,Inverse variance weighted,3,0.546,0.176,1.727,0.00188,0.815607324,0.894963987,0.752650895,1.30E-07
BCAR1,BannerBBDP,PTSD,Wald ratio,1,2.839,0.917,17.107,0.00196,NA,NA,NA,8.38E-08
GGA1,BannerBBDP,PTSD,Inverse variance weighted,2,-5.445,1.761,0.004,0.00199,NA,0.239452569,NA,1.17E-06
SNUT1,BannerBBDP,PTSD,Wald ratio,1,-11.757,3.804,0,0.002,NA,NA,NA,5.07E-06
TRI25,BannerBBDP,PTSD,Wald ratio,1,114.592,37.377,5.84E+49,0.00217,NA,NA,NA,0.174914712
QORL1,BannerBBDP,PTSD,Wald ratio,1,-3.912,1.289,0.02,0.00241,NA,NA,NA,6.14E-07
PGAP1,BannerBBDP,PTSD,Wald ratio,1,-2.851,0.94,0.058,0.00242,NA,NA,NA,6.98E-06
GLRA3,BannerBBDP,PTSD,Inverse variance weighted,4,-0.755,0.25,0.47,0.0025,0.805585467,0.926518739,0.873374557,4.59E-07
RT21,BannerBBDP,PTSD,Wald ratio,1,-3.86,1.287,0.021,0.0027,NA,NA,NA,3.37E-07
RPRD2,BannerBBDP,PTSD,Wald ratio,1,5.329,1.776,206.323,0.0027,NA,NA,NA,3.18E-07
CAH14,BannerBBDP,PTSD,Wald ratio,1,-3.921,1.307,0.02,0.0027,NA,NA,NA,2.77E-07
PRPF3,BannerBBDP,PTSD,Wald ratio,1,1.763,0.588,5.831,0.0027,NA,NA,NA,1.22E-07
SMOC1,BannerBBDP,PTSD,Inverse variance weighted,5,0.356,0.119,1.427,0.00286,0.290170194,0.415930527,0.728907218,1.53E-05
TBL3,BannerBBDP,PTSD,Inverse variance weighted,2,1.95,0.666,7.026,0.00344,NA,0.743428608,NA,2.11E-07
BORG5,BannerBBDP,PTSD,Inverse variance weighted,2,1.904,0.652,6.711,0.0035,NA,0.215567282,NA,7.55E-05
SH3G1,BannerBBDP,PTSD,Inverse variance weighted,2,-18.007,6.172,0,0.00353,NA,0.304520051,NA,1.59E-07
KAT3,BannerBBDP,PTSD,Inverse variance weighted,3,0.135,0.046,1.144,0.00365,0.905753942,0.96214446,0.843248691,0.000170223
GNS,BannerBBDP,PTSD,Inverse variance weighted,2,1.184,0.411,3.267,0.00396,NA,0.648374105,NA,1.93E-05
NOE1,BannerBBDP,PTSD,Inverse variance weighted,4,1.416,0.492,4.122,0.00398,0.605032079,0.425372578,0.313402233,7.89E-08
NNRE,BannerBBDP,PTSD,Inverse variance weighted,2,-0.768,0.267,0.464,0.00399,NA,0.49689817,NA,0.188576599
