Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
NDUA6,BannerBBDP,SCZ,Wald ratio,1,-12.696,1.817,0,2.78E-12,NA,NA,NA,0.999999328
EMRE,BannerBBDP,SCZ,Wald ratio,1,6.912,0.989,1003.925,2.78E-12,NA,NA,NA,0.006058303
NAGAB,BannerBBDP,SCZ,Wald ratio,1,-1.424,0.204,0.241,2.78E-12,NA,NA,NA,0.104413691
ARL3,BannerBBDP,SCZ,Wald ratio,1,-1.515,0.226,0.22,1.86E-11,NA,NA,NA,3.43E-06
SATB2,BannerBBDP,SCZ,Wald ratio,1,-2.453,0.384,0.086,1.60E-10,NA,NA,NA,0.062681199
PTPRF,BannerBBDP,SCZ,Inverse variance weighted,2,2.869,0.455,17.616,2.93E-10,NA,0.900535203,NA,1.53E-05
VP37B,BannerBBDP,SCZ,Wald ratio,1,16.108,2.588,9896033,4.88E-10,NA,NA,NA,3.41E-08
OGFD2,BannerBBDP,SCZ,Wald ratio,1,-0.82,0.132,0.441,4.88E-10,NA,NA,NA,9.05E-05
ABCB9,BannerBBDP,SCZ,Wald ratio,1,-2.495,0.401,0.083,4.88E-10,NA,NA,NA,9.29E-05
RN112,BannerBBDP,SCZ,Wald ratio,1,-9.676,1.715,0,1.69E-08,NA,NA,NA,2.10E-07
PSA4,BannerBBDP,SCZ,Wald ratio,1,-8.451,1.565,0,6.66E-08,NA,NA,NA,0.001887914
BAG4,BannerBBDP,SCZ,Inverse variance weighted,2,30.837,5.851,2.47E+13,1.36E-07,NA,0.897262086,NA,1.87E-06
DDHD2,BannerBBDP,SCZ,Wald ratio,1,4.948,0.942,140.846,1.48E-07,NA,NA,NA,9.03E-05
MARK2,BannerBBDP,SCZ,Wald ratio,1,-7.837,1.508,0,2.01E-07,NA,NA,NA,1.35E-05
NGEF,BannerBBDP,SCZ,Inverse variance weighted,2,-1.795,0.348,0.166,2.54E-07,NA,0.123633677,NA,5.03E-08
CCD92,BannerBBDP,SCZ,Inverse variance weighted,2,0.347,0.068,1.415,3.65E-07,NA,0.532414167,NA,5.00E-07
NSF,BannerBBDP,SCZ,Wald ratio,1,3.886,0.777,48.698,5.74E-07,NA,NA,NA,2.41E-06
DEFM,BannerBBDP,SCZ,Inverse variance weighted,2,-1.634,0.328,0.195,6.41E-07,NA,0.760219679,NA,0.863330791
CUL3,BannerBBDP,SCZ,Inverse variance weighted,3,-4.599,0.93,0.01,7.54E-07,0.852898994,0.387955662,0.402833201,4.40E-07
LY6H,BannerBBDP,SCZ,Inverse variance weighted,3,-0.576,0.117,0.562,8.60E-07,0.599012627,0.548787999,0.512645964,2.68E-06
DNPH1,BannerBBDP,SCZ,Inverse variance weighted,2,-1.303,0.269,0.272,1.25E-06,NA,0.738211156,NA,7.78E-08
TM1L2,BannerBBDP,SCZ,Inverse variance weighted,2,1.714,0.355,5.551,1.42E-06,NA,0.331773206,NA,0.998655641
SYMC,BannerBBDP,SCZ,Wald ratio,1,-81.119,17.353,0,2.95E-06,NA,NA,NA,1.30E-07
KIF5A,BannerBBDP,SCZ,Wald ratio,1,12.047,2.577,170657.4,2.95E-06,NA,NA,NA,2.41E-07
DCTN2,BannerBBDP,SCZ,Wald ratio,1,8.847,1.893,6951.407,2.95E-06,NA,NA,NA,1.04E-07
SIAE,BannerBBDP,SCZ,Inverse variance weighted,4,0.757,0.169,2.131,7.24E-06,0.355112554,0.337587471,0.378594768,5.75E-08
CE170,BannerBBDP,SCZ,Wald ratio,1,-3.338,0.749,0.036,8.43E-06,NA,NA,NA,2.43E-07
CLCN3,BannerBBDP,SCZ,Wald ratio,1,-6.174,1.4,0.002,1.03E-05,NA,NA,NA,1.10E-07
NEK1,BannerBBDP,SCZ,Wald ratio,1,3.344,0.758,28.336,1.03E-05,NA,NA,NA,0.001052616
SYDM,BannerBBDP,SCZ,Wald ratio,1,-0.461,0.105,0.631,1.16E-05,NA,NA,NA,0.987207974
NRBP2,BannerBBDP,SCZ,Inverse variance weighted,2,-2.242,0.523,0.106,1.82E-05,NA,0.398036445,NA,0.129108703
AKAP1,BannerBBDP,SCZ,Inverse variance weighted,5,-3.789,0.887,0.023,1.92E-05,0.392201808,0.524433278,0.680163052,1.23E-07
ADCY1,BannerBBDP,SCZ,Inverse variance weighted,3,1.03,0.242,2.8,2.09E-05,0.828989605,0.442519232,0.427444028,1.36E-06
AP180,BannerBBDP,SCZ,Inverse variance weighted,2,-2.195,0.519,0.111,2.35E-05,NA,0.204300525,NA,9.24E-06
GPT11,BannerBBDP,SCZ,Inverse variance weighted,3,-1.31,0.312,0.27,2.65E-05,0.381732357,0.635830998,0.771670637,0.000356314
AGM1,BannerBBDP,SCZ,Wald ratio,1,0.536,0.128,1.709,2.74E-05,NA,NA,NA,0.97991346
RWD2A,BannerBBDP,SCZ,Wald ratio,1,-1.259,0.3,0.284,2.74E-05,NA,NA,NA,0.001160766
DOP1,BannerBBDP,SCZ,Wald ratio,1,32.628,7.779,1.48E+14,2.74E-05,NA,NA,NA,0.000534934
UN45A,BannerBBDP,SCZ,Inverse variance weighted,3,0.957,0.229,2.603,2.96E-05,0.166316338,0.379302948,0.93051884,0.028626313
CISD2,BannerBBDP,SCZ,Wald ratio,1,1.068,0.257,2.911,3.14E-05,NA,NA,NA,0.945973615
CPNE7,BannerBBDP,SCZ,Inverse variance weighted,2,1.511,0.365,4.529,3.45E-05,NA,0.848047296,NA,0.003835536
NPL,BannerBBDP,SCZ,Inverse variance weighted,2,-0.808,0.195,0.446,3.55E-05,NA,0.764876934,NA,9.68E-06
HSC20,BannerBBDP,SCZ,Inverse variance weighted,2,4.326,1.047,75.615,3.61E-05,NA,0.941115448,NA,3.91E-08
S4A10,BannerBBDP,SCZ,Wald ratio,1,-1.855,0.449,0.156,3.62E-05,NA,NA,NA,0.000148563
TPPC1,BannerBBDP,SCZ,Wald ratio,1,-3.477,0.853,0.031,4.56E-05,NA,NA,NA,1.04E-07
CHD3,BannerBBDP,SCZ,Wald ratio,1,0.464,0.114,1.59,4.56E-05,NA,NA,NA,1.22E-06
LSMD1,BannerBBDP,SCZ,Wald ratio,1,6.777,1.662,877.598,4.56E-05,NA,NA,NA,5.09E-08
WDFY3,BannerBBDP,SCZ,Inverse variance weighted,2,-3.47,0.853,0.031,4.76E-05,NA,0.339365847,NA,1.28E-08
