Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
KIZ,Brain Cortex,ADHD,Wald ratio,1,0.474,0.081,1.606,5.02E-09,NA,NA,NA,0.999991957
LSM6,Brain Cortex,ADHD,Wald ratio,1,0.135,0.024,1.145,1.43E-08,NA,NA,NA,0.999978194
ANO10,Brain Cortex,ADHD,Wald ratio,1,-0.355,0.065,0.701,4.63E-08,NA,NA,NA,0.999946168
ABHD5,Brain Cortex,ADHD,Wald ratio,1,0.881,0.161,2.414,4.63E-08,NA,NA,NA,0.999962181
TIE1,Brain Cortex,ADHD,Wald ratio,1,-0.198,0.041,0.82,1.33E-06,NA,NA,NA,0.998226358
MED8,Brain Cortex,ADHD,Wald ratio,1,-0.483,0.1,0.617,1.33E-06,NA,NA,NA,0.998226358
CAPZA2,Brain Cortex,ADHD,Wald ratio,1,-0.472,0.103,0.624,4.29E-06,NA,NA,NA,0.995129757
MANBA,Brain Cortex,ADHD,Wald ratio,1,-0.374,0.087,0.688,1.62E-05,NA,NA,NA,0.980193609
UBE2D3,Brain Cortex,ADHD,Wald ratio,1,-0.182,0.042,0.834,1.62E-05,NA,NA,NA,0.980193605
CISD2,Brain Cortex,ADHD,Wald ratio,1,-0.169,0.039,0.845,1.62E-05,NA,NA,NA,0.980193609
SLC9B1,Brain Cortex,ADHD,Wald ratio,1,0.241,0.056,1.272,1.62E-05,NA,NA,NA,0.980137458
CARF,Brain Cortex,ADHD,Wald ratio,1,-0.776,0.182,0.46,2.02E-05,NA,NA,NA,0.982995924
NBEAL1,Brain Cortex,ADHD,Wald ratio,1,-0.797,0.187,0.451,2.02E-05,NA,NA,NA,0.982981722
OGFOD2,Brain Cortex,ADHD,Wald ratio,1,-0.558,0.135,0.572,3.53E-05,NA,NA,NA,0.963107437
ARL6IP4,Brain Cortex,ADHD,Wald ratio,1,0.049,0.012,1.05,3.53E-05,NA,NA,NA,0.963107437
PITPNM2,Brain Cortex,ADHD,Wald ratio,1,-0.863,0.209,0.422,3.53E-05,NA,NA,NA,0.961845869
ABCB9,Brain Cortex,ADHD,Wald ratio,1,0.174,0.042,1.19,3.53E-05,NA,NA,NA,0.963102387
KMT5A,Brain Cortex,ADHD,Wald ratio,1,-0.57,0.138,0.565,3.53E-05,NA,NA,NA,0.963107437
AC140912.1,Brain Cortex,ADHD,Wald ratio,1,0.251,0.061,1.285,3.53E-05,NA,NA,NA,0.963100502
C12orf65,Brain Cortex,ADHD,Wald ratio,1,-0.199,0.048,0.82,3.53E-05,NA,NA,NA,0.962928271
MPHOSPH9,Brain Cortex,ADHD,Wald ratio,1,-0.591,0.143,0.554,3.53E-05,NA,NA,NA,0.963107437
C2orf82,Brain Cortex,ADHD,Wald ratio,1,0.085,0.021,1.089,4.62E-05,NA,NA,NA,0.949242831
SNORC,Brain Cortex,ADHD,Wald ratio,1,0.155,0.038,1.167,4.62E-05,NA,NA,NA,0.949242831
GIGYF2,Brain Cortex,ADHD,Wald ratio,1,-0.239,0.059,0.787,4.62E-05,NA,NA,NA,0.948320934
NGEF,Brain Cortex,ADHD,Wald ratio,1,0.395,0.097,1.484,4.62E-05,NA,NA,NA,0.949242831
CHUK,Brain Cortex,ADHD,Wald ratio,1,0.241,0.06,1.272,6.56E-05,NA,NA,NA,0.967950096
BLOC1S2,Brain Cortex,ADHD,Wald ratio,1,0.221,0.055,1.248,6.56E-05,NA,NA,NA,0.96802499
WTAP,Brain Cortex,ADHD,Wald ratio,1,0.509,0.129,1.664,8.40E-05,NA,NA,NA,0.936446972
AP006621.5,Brain Cortex,ADHD,Wald ratio,1,0.184,0.047,1.202,0.000101,NA,NA,NA,0.901865975
EPS8L2,Brain Cortex,ADHD,Wald ratio,1,0.47,0.121,1.6,0.000101,NA,NA,NA,0.901865976
PIDD,Brain Cortex,ADHD,Wald ratio,1,-0.11,0.028,0.896,0.000101,NA,NA,NA,0.901865976
RPLP2,Brain Cortex,ADHD,Wald ratio,1,0.331,0.085,1.392,0.000101,NA,NA,NA,0.901865976
AP006621.3,Brain Cortex,ADHD,Wald ratio,1,0.165,0.042,1.179,0.000101,NA,NA,NA,0.901865976
PIDD1,Brain Cortex,ADHD,Wald ratio,1,0.449,0.116,1.567,0.000101,NA,NA,NA,0.901865976
GATD1,Brain Cortex,ADHD,Wald ratio,1,0.251,0.064,1.285,0.000101,NA,NA,NA,0.901865976
AMZ2,Brain Cortex,ADHD,Inverse variance weighted,2,0.126,0.033,1.134,0.00012,NA,0.725311737,NA,0.31276409
CTNNB1,Brain Cortex,ADHD,Wald ratio,1,-0.25,0.066,0.779,0.000154,NA,NA,NA,0.855291405
