Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
APOE,Brain Hippocampus,ALZ,Wald ratio,1,-0.418,0.014,0.658,6.55E-196,NA,NA,NA,0.999967015
CEACAM16-AS1,Brain Hippocampus,ALZ,Wald ratio,1,0.112,0.009,1.118,1.23E-36,NA,NA,NA,1
TMEM259,Brain Hippocampus,ALZ,Wald ratio,1,-0.088,0.019,0.916,2.71E-06,NA,NA,NA,0.996274033
SLC39A13,Brain Hippocampus,ALZ,Wald ratio,1,0.057,0.013,1.059,5.67E-06,NA,NA,NA,0.99337723
TSPAN14,Brain Hippocampus,ALZ,Wald ratio,1,-0.069,0.015,0.933,6.31E-06,NA,NA,NA,0.993833201
ZNF112,Brain Hippocampus,ALZ,Wald ratio,1,0.101,0.023,1.106,8.01E-06,NA,NA,NA,0.143275405
KNOP1,Brain Hippocampus,ALZ,Wald ratio,1,-0.102,0.023,0.903,1.24E-05,NA,NA,NA,0.5620522
CASTOR3P,Brain Hippocampus,ALZ,Wald ratio,1,0.037,0.009,1.037,2.48E-05,NA,NA,NA,0.975046001
GPLD1,Brain Hippocampus,ALZ,Wald ratio,1,0.124,0.033,1.132,0.000175,NA,NA,NA,0.003166387
CEACAM19,Brain Hippocampus,ALZ,Wald ratio,1,0.056,0.015,1.057,0.000208,NA,NA,NA,0.647189292
SDSL,Brain Hippocampus,ALZ,Wald ratio,1,0.058,0.016,1.06,0.000247,NA,NA,NA,0.007205205
ARRDC3,Brain Hippocampus,ALZ,Wald ratio,1,0.16,0.045,1.174,0.00039,NA,NA,NA,0.001932142
MVB12B,Brain Hippocampus,ALZ,Wald ratio,1,-0.039,0.011,0.962,0.000555,NA,NA,NA,0.747598712
ASCC1,Brain Hippocampus,ALZ,Wald ratio,1,0.07,0.02,1.073,0.000578,NA,NA,NA,0.002791184
CIAO2A,Brain Hippocampus,ALZ,Wald ratio,1,0.062,0.018,1.064,0.000714,NA,NA,NA,0.201612455
POLR2B,Brain Hippocampus,ALZ,Wald ratio,1,0.096,0.028,1.101,0.000722,NA,NA,NA,0.019777366
PLEKHM2,Brain Hippocampus,ALZ,Wald ratio,1,-0.087,0.026,0.916,0.000741,NA,NA,NA,0.02625182
ZYX,Brain Hippocampus,ALZ,Wald ratio,1,-0.062,0.018,0.94,0.00076,NA,NA,NA,0.089705215
ADCY10P1,Brain Hippocampus,ALZ,Wald ratio,1,0.028,0.008,1.029,0.000798,NA,NA,NA,0.574384831
RSRC2,Brain Hippocampus,ALZ,Wald ratio,1,0.044,0.013,1.045,0.000905,NA,NA,NA,0.577198475
KCNN4,Brain Hippocampus,ALZ,Wald ratio,1,0.044,0.014,1.045,0.00101,NA,NA,NA,0.000782572
USP6NL,Brain Hippocampus,ALZ,Wald ratio,1,0.062,0.019,1.064,0.00108,NA,NA,NA,0.004408707
LINC02882,Brain Hippocampus,ALZ,Wald ratio,1,-0.069,0.021,0.933,0.00109,NA,NA,NA,0.002844512
ARHGEF37,Brain Hippocampus,ALZ,Wald ratio,1,0.055,0.017,1.056,0.00109,NA,NA,NA,0.005535756
SMIM18,Brain Hippocampus,ALZ,Wald ratio,1,-0.066,0.02,0.936,0.00118,NA,NA,NA,0.009844197
DZANK1,Brain Hippocampus,ALZ,Wald ratio,1,-0.025,0.008,0.975,0.00122,NA,NA,NA,0.522227888
