Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
SLC24A2,Brain Cortex,ANX,Wald ratio,1,2.178,0.546,8.831,6.53E-05,NA,NA,NA,0.971534375
GLDN,Brain Cortex,ANX,Wald ratio,1,-0.484,0.14,0.616,0.000546,NA,NA,NA,0.862444932
CHL1-AS2,Brain Cortex,ANX,Wald ratio,1,-0.508,0.15,0.601,0.000707,NA,NA,NA,0.035020665
ELOVL2,Brain Cortex,ANX,Wald ratio,1,0.362,0.109,1.436,0.000902,NA,NA,NA,0.785401369
ARHGEF10L,Brain Cortex,ANX,Wald ratio,1,1.452,0.441,4.271,0.000996,NA,NA,NA,0.765326065
ALG5,Brain Cortex,ANX,Wald ratio,1,-1.385,0.425,0.25,0.0011,NA,NA,NA,0.71608526
ZPR1,Brain Cortex,ANX,Wald ratio,1,0.963,0.3,2.62,0.0013,NA,NA,NA,0.76747862
ZNF37A,Brain Cortex,ANX,Wald ratio,1,-1.749,0.546,0.174,0.00135,NA,NA,NA,0.692709956
RPL22L1,Brain Cortex,ANX,Wald ratio,1,0.347,0.108,1.415,0.00136,NA,NA,NA,0.706024054
DZIP3,Brain Cortex,ANX,Wald ratio,1,0.107,0.034,1.113,0.00138,NA,NA,NA,0.671484292
FBXO27,Brain Cortex,ANX,Wald ratio,1,-1.767,0.558,0.171,0.00154,NA,NA,NA,0.663197776
TIMM50,Brain Cortex,ANX,Wald ratio,1,2.078,0.66,7.99,0.00163,NA,NA,NA,0.666759274
RPS16,Brain Cortex,ANX,Wald ratio,1,0.659,0.209,1.933,0.00163,NA,NA,NA,0.669271192
SUPT5H,Brain Cortex,ANX,Wald ratio,1,-0.229,0.073,0.795,0.00163,NA,NA,NA,0.669271192
SCHIP1,Brain Cortex,ANX,Inverse variance weighted,2,-0.671,0.214,0.511,0.00174,NA,0.389256194,NA,0.748649619
SCN1A-AS1,Brain Cortex,ANX,Wald ratio,1,-0.998,0.319,0.369,0.00177,NA,NA,NA,0.612946217
PDLIM4,Brain Cortex,ANX,Wald ratio,1,-1.422,0.457,0.241,0.00186,NA,NA,NA,0.664994854
AC034220.3,Brain Cortex,ANX,Wald ratio,1,0.478,0.154,1.614,0.00186,NA,NA,NA,0.664852989
MIR3936HG,Brain Cortex,ANX,Wald ratio,1,-1.064,0.342,0.345,0.00186,NA,NA,NA,0.664994854
EIF2A,Brain Cortex,ANX,Inverse variance weighted,2,-0.297,0.096,0.743,0.00199,NA,0.359927188,NA,0.051101223
GLO1,Brain Cortex,ANX,Wald ratio,1,1.844,0.598,6.32,0.00203,NA,NA,NA,0.031206928
FO393400.1,Brain Cortex,ANX,Wald ratio,1,1.017,0.331,2.765,0.00215,NA,NA,NA,0.581892114
AC079154.1,Brain Cortex,ANX,Inverse variance weighted,2,0.202,0.066,1.224,0.00227,NA,0.803549681,NA,0.055987808
