Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
KIZ,Brain Cortex,ASD,Wald ratio,1,0.643,0.121,1.902,9.88E-08,NA,NA,NA,0.999899099
C17orf58,Brain Cortex,ASD,Wald ratio,1,0.991,0.238,2.693,3.06E-05,NA,NA,NA,0.978846098
BPTF,Brain Cortex,ASD,Wald ratio,1,1.087,0.261,2.967,3.06E-05,NA,NA,NA,0.97884274
CTD-2366F13.1,Brain Cortex,ASD,Wald ratio,1,-0.297,0.073,0.743,5.26E-05,NA,NA,NA,0.95922176
CXXC4-AS1,Brain Cortex,ASD,Wald ratio,1,-0.66,0.164,0.517,5.96E-05,NA,NA,NA,0.954651669
AC004053.1,Brain Cortex,ASD,Wald ratio,1,-0.193,0.048,0.825,5.96E-05,NA,NA,NA,0.954651669
CXXC4,Brain Cortex,ASD,Wald ratio,1,0.982,0.259,2.669,0.000147,NA,NA,NA,0.904665982
RP11-665J16.1,Brain Cortex,ASD,Inverse variance weighted,2,-0.099,0.026,0.906,0.000167,NA,0.494882095,NA,0.103080387
MPPE1,Brain Cortex,ASD,Inverse variance weighted,3,0.219,0.059,1.245,0.000229,0.707580769,0.627446296,0.537132174,0.591054925
MRPS33,Brain Cortex,ASD,Inverse variance weighted,2,-0.466,0.131,0.627,0.000377,NA,0.685469388,NA,0.22314042
KATNAL1,Brain Cortex,ASD,Inverse variance weighted,3,0.113,0.033,1.119,0.000541,0.836074585,0.971915561,0.924604742,0.220835635
DYNLL1,Brain Cortex,ASD,Wald ratio,1,0.576,0.168,1.779,0.000588,NA,NA,NA,0.745958753
CBWD1,Brain Cortex,ASD,Wald ratio,1,-0.308,0.09,0.735,0.000603,NA,NA,NA,0.007590932
WNT5B,Brain Cortex,ASD,Wald ratio,1,-0.302,0.089,0.739,0.000668,NA,NA,NA,0.729959814
