Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
PBRM1,Brain Cortex,BP,Wald ratio,1,0.198,0.031,1.218,1.10E-10,NA,NA,NA,0.999999799
NT5DC2,Brain Cortex,BP,Wald ratio,1,0.308,0.048,1.361,1.10E-10,NA,NA,NA,0.999999795
SPCS1,Brain Cortex,BP,Wald ratio,1,0.377,0.058,1.458,1.10E-10,NA,NA,NA,0.999999799
GNL3,Brain Cortex,BP,Wald ratio,1,-0.375,0.058,0.687,1.10E-10,NA,NA,NA,0.999992336
NEK4,Brain Cortex,BP,Wald ratio,1,0.361,0.056,1.435,1.10E-10,NA,NA,NA,0.999992173
CUL4A,Brain Cortex,BP,Wald ratio,1,-0.208,0.036,0.812,5.58E-09,NA,NA,NA,0.999992035
PCID2,Brain Cortex,BP,Wald ratio,1,0.262,0.045,1.299,5.58E-09,NA,NA,NA,0.999992035
TRPT1,Brain Cortex,BP,Inverse variance weighted,2,-0.116,0.021,0.89,2.33E-08,NA,0.430683911,NA,0.034146711
SCN2A,Brain Cortex,BP,Wald ratio,1,-0.253,0.045,0.777,2.66E-08,NA,NA,NA,0.9999763
PRDX5,Brain Cortex,BP,Wald ratio,1,-0.302,0.056,0.739,6.79E-08,NA,NA,NA,0.999923947
DNAJC4,Brain Cortex,BP,Wald ratio,1,0.907,0.168,2.476,6.79E-08,NA,NA,NA,0.99993975
AP001453.3,Brain Cortex,BP,Wald ratio,1,0.712,0.132,2.039,6.79E-08,NA,NA,NA,0.999940281
ZSCAN16-AS1,Brain Cortex,BP,Wald ratio,1,-0.361,0.07,0.697,2.73E-07,NA,NA,NA,0.999663918
RP1-313I6.12,Brain Cortex,BP,Wald ratio,1,-0.165,0.032,0.848,2.73E-07,NA,NA,NA,0.999663918
ZSCAN26,Brain Cortex,BP,Wald ratio,1,-0.743,0.145,0.476,2.73E-07,NA,NA,NA,0.999663911
UBE2E3,Brain Cortex,BP,Wald ratio,1,-0.465,0.091,0.628,3.30E-07,NA,NA,NA,0.99956353
NDUFA13,Brain Cortex,BP,Wald ratio,1,0.349,0.069,1.417,3.63E-07,NA,NA,NA,0.999598737
SUGP1,Brain Cortex,BP,Wald ratio,1,0.102,0.02,1.108,3.63E-07,NA,NA,NA,0.999598737
MAU2,Brain Cortex,BP,Wald ratio,1,-0.239,0.047,0.787,3.63E-07,NA,NA,NA,0.999598734
HAPLN4,Brain Cortex,BP,Wald ratio,1,0.71,0.14,2.035,3.63E-07,NA,NA,NA,0.999598737
RP11-776H12.1,Brain Cortex,BP,Wald ratio,1,-0.24,0.048,0.787,4.63E-07,NA,NA,NA,0.999360982
LINC01748,Brain Cortex,BP,Wald ratio,1,0.326,0.065,1.385,4.63E-07,NA,NA,NA,0.999360985
ARFGAP3,Brain Cortex,BP,Wald ratio,1,0.072,0.015,1.075,9.89E-07,NA,NA,NA,0.998623898
PACSIN2,Brain Cortex,BP,Wald ratio,1,0.28,0.057,1.323,9.89E-07,NA,NA,NA,0.998611805
PSMD3,Brain Cortex,BP,Wald ratio,1,-0.852,0.178,0.426,1.64E-06,NA,NA,NA,0.99793444
THRA,Brain Cortex,BP,Wald ratio,1,0.07,0.015,1.073,1.64E-06,NA,NA,NA,0.997934593
MED24,Brain Cortex,BP,Wald ratio,1,-0.285,0.059,0.752,1.64E-06,NA,NA,NA,0.99793181
SLTM,Brain Cortex,BP,Wald ratio,1,-0.07,0.015,0.933,2.05E-06,NA,NA,NA,0.997630026
ZNF660,Brain Cortex,BP,Wald ratio,1,0.873,0.186,2.393,2.60E-06,NA,NA,NA,0.996614191
ZNF445,Brain Cortex,BP,Wald ratio,1,0.402,0.086,1.495,2.60E-06,NA,NA,NA,0.996721194
ZSCAN23,Brain Cortex,BP,Weighted median,3,0.218,0.047,1.244,2.74E-06,0.146993168,0.046282609,0.397797078,0.999655303
CD40,Brain Cortex,BP,Wald ratio,1,0.255,0.056,1.29,5.43E-06,NA,NA,NA,0.993747427
ECE2,Brain Cortex,BP,Wald ratio,1,0.114,0.025,1.12,6.94E-06,NA,NA,NA,0.992319115
XPNPEP3,Brain Cortex,BP,Wald ratio,1,0.067,0.015,1.069,7.69E-06,NA,NA,NA,0.990376609
ZCCHC2,Brain Cortex,BP,Wald ratio,1,-0.202,0.046,0.817,8.99E-06,NA,NA,NA,0.989368373
CHUK,Brain Cortex,BP,Wald ratio,1,0.252,0.057,1.286,9.13E-06,NA,NA,NA,0.994582852
BLOC1S2,Brain Cortex,BP,Wald ratio,1,0.232,0.052,1.261,9.13E-06,NA,NA,NA,0.994597795
HSPD1,Brain Cortex,BP,Wald ratio,1,0.678,0.154,1.97,1.01E-05,NA,NA,NA,0.987983886
RFTN2,Brain Cortex,BP,Wald ratio,1,0.247,0.056,1.28,1.01E-05,NA,NA,NA,0.987983948
HSPE1,Brain Cortex,BP,Wald ratio,1,0.617,0.14,1.854,1.01E-05,NA,NA,NA,0.987983948
WSCD2,Brain Cortex,BP,Wald ratio,1,0.205,0.047,1.227,1.39E-05,NA,NA,NA,0.985344499
SCAMP1,Brain Cortex,BP,Wald ratio,1,0.213,0.05,1.238,1.67E-05,NA,NA,NA,0.983283057
QPCT,Brain Cortex,BP,Inverse variance weighted,2,-0.155,0.036,0.856,1.75E-05,NA,0.441502433,NA,0.159806559
HSPA9,Brain Cortex,BP,Wald ratio,1,0.067,0.016,1.069,1.77E-05,NA,NA,NA,0.979113192
GABRA2,Brain Cortex,BP,Wald ratio,1,-0.216,0.05,0.805,1.81E-05,NA,NA,NA,0.978315311
KLC1,Brain Cortex,BP,Wald ratio,1,0.161,0.038,1.174,1.85E-05,NA,NA,NA,0.978909966
TDRD9,Brain Cortex,BP,Wald ratio,1,0.169,0.039,1.184,1.85E-05,NA,NA,NA,0.978888532
COA8,Brain Cortex,BP,Wald ratio,1,0.215,0.05,1.24,1.85E-05,NA,NA,NA,0.978909966
ZFYVE21,Brain Cortex,BP,Wald ratio,1,-0.178,0.042,0.837,1.85E-05,NA,NA,NA,0.978909952
MARK3,Brain Cortex,BP,Wald ratio,1,0.73,0.17,2.075,1.85E-05,NA,NA,NA,0.978828167
XRCC3,Brain Cortex,BP,Wald ratio,1,-0.25,0.058,0.779,1.85E-05,NA,NA,NA,0.978291069
PPP1R13B,Brain Cortex,BP,Wald ratio,1,0.118,0.027,1.125,1.85E-05,NA,NA,NA,0.978909966
KCNG1,Brain Cortex,BP,Wald ratio,1,-0.788,0.185,0.455,1.93E-05,NA,NA,NA,0.978052746
ANKRD36C,Brain Cortex,BP,Inverse variance weighted,3,0.079,0.019,1.083,1.95E-05,0.189346906,0.410347684,0.883687072,0.019610474
NDST3,Brain Cortex,BP,Wald ratio,1,0.211,0.05,1.235,2.34E-05,NA,NA,NA,0.975903444
INSYN2B,Brain Cortex,BP,Wald ratio,1,0.797,0.19,2.22,2.74E-05,NA,NA,NA,0.972709033
CABP1,Brain Cortex,BP,Wald ratio,1,-0.906,0.216,0.404,2.78E-05,NA,NA,NA,0.975547114
GLRA3,Brain Cortex,BP,Wald ratio,1,-0.699,0.17,0.497,3.91E-05,NA,NA,NA,0.967822391
EMC10,Brain Cortex,BP,Wald ratio,1,-0.236,0.058,0.79,4.16E-05,NA,NA,NA,0.956504442
MYBPC2,Brain Cortex,BP,Wald ratio,1,0.145,0.035,1.156,4.16E-05,NA,NA,NA,0.956728394
ASPDH,Brain Cortex,BP,Wald ratio,1,-0.272,0.066,0.762,4.16E-05,NA,NA,NA,0.956728394
AL583827.1,Brain Cortex,BP,Wald ratio,1,-0.46,0.112,0.632,4.40E-05,NA,NA,NA,0.950999895
CDH8,Brain Cortex,BP,Wald ratio,1,-0.64,0.157,0.527,4.53E-05,NA,NA,NA,0.95332847
ADCY2,Brain Cortex,BP,Wald ratio,1,0.207,0.051,1.23,5.09E-05,NA,NA,NA,0.945695538
ARPC3,Brain Cortex,BP,Wald ratio,1,0.15,0.037,1.162,5.64E-05,NA,NA,NA,0.947335631
AC092802.1,Brain Cortex,BP,Wald ratio,1,-0.777,0.193,0.46,5.75E-05,NA,NA,NA,0.964024292
HLF,Brain Cortex,BP,Wald ratio,1,-0.612,0.152,0.542,5.79E-05,NA,NA,NA,0.937945466
ANKRD36C,Brain Cortex,BP,Weighted median,3,0.091,0.023,1.095,6.91E-05,0.189346906,0.410347684,0.883687072,0.019610474
CDHR1,Brain Cortex,BP,Wald ratio,1,0.119,0.03,1.127,7.82E-05,NA,NA,NA,0.92287318
TPP2,Brain Cortex,BP,Wald ratio,1,-0.358,0.091,0.699,8.29E-05,NA,NA,NA,0.914286283
AC007390.5,Brain Cortex,BP,Inverse variance weighted,2,0.072,0.018,1.075,9.57E-05,NA,0.731684297,NA,0.010946053
METTL21C,Brain Cortex,BP,Inverse variance weighted,2,0.07,0.018,1.073,9.82E-05,NA,0.454535102,NA,0.005388273
RBM26,Brain Cortex,BP,Wald ratio,1,0.131,0.034,1.14,9.85E-05,NA,NA,NA,0.901591621
CERS6,Brain Cortex,BP,Wald ratio,1,-0.177,0.046,0.838,0.000104,NA,NA,NA,0.908463111
WAC-AS1,Brain Cortex,BP,Weighted median,4,-0.126,0.033,0.882,0.000112,0.424554521,0.245285086,0.258629571,0.009457963
C16orf72,Brain Cortex,BP,Wald ratio,1,0.534,0.138,1.705,0.000116,NA,NA,NA,0.894491348
RBM26-AS1,Brain Cortex,BP,Weighted median,3,0.235,0.061,1.265,0.000129,0.507745694,0.014048161,0.215207845,0.050851926
SLC45A3,Brain Cortex,BP,Wald ratio,1,-0.233,0.061,0.793,0.000134,NA,NA,NA,0.868132459
AC119673.2,Brain Cortex,BP,Wald ratio,1,-0.469,0.123,0.625,0.000134,NA,NA,NA,0.871492297
RAB29,Brain Cortex,BP,Wald ratio,1,-0.269,0.07,0.764,0.000134,NA,NA,NA,0.871492297
UGGT2,Brain Cortex,BP,Wald ratio,1,-0.072,0.019,0.931,0.000151,NA,NA,NA,0.859757275
MMD,Brain Cortex,BP,Wald ratio,1,0.18,0.048,1.197,0.000173,NA,NA,NA,0.841925532
STK4,Brain Cortex,BP,Wald ratio,1,-0.088,0.024,0.915,0.000197,NA,NA,NA,0.825693149
ANKRD40,Brain Cortex,BP,Wald ratio,1,-0.191,0.052,0.826,0.000204,NA,NA,NA,0.835884019
LUC7L3,Brain Cortex,BP,Wald ratio,1,-0.184,0.05,0.832,0.000204,NA,NA,NA,0.835884583
NDUFAF7,Brain Cortex,BP,Wald ratio,1,-0.262,0.071,0.769,0.000208,NA,NA,NA,0.83053713
CEBPZOS,Brain Cortex,BP,Wald ratio,1,-0.411,0.111,0.663,0.000208,NA,NA,NA,0.83053713
PRKD3,Brain Cortex,BP,Wald ratio,1,-0.764,0.206,0.466,0.000208,NA,NA,NA,0.829686246
CYB5R3,Brain Cortex,BP,Weighted median,3,-0.234,0.063,0.791,0.000224,0.077924434,0.069862561,0.553652875,0.998623838
