Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
FLT3,Brain Cortex,OCD,Wald ratio,1,-0.235,0.053,0.79,7.83E-06,NA,NA,NA,0.996339877
DHRS11,Brain Cortex,OCD,Wald ratio,1,-0.745,0.185,0.475,5.48E-05,NA,NA,NA,0.974884239
MYO19,Brain Cortex,OCD,Wald ratio,1,-0.56,0.139,0.571,5.48E-05,NA,NA,NA,0.974881916
GGNBP2,Brain Cortex,OCD,Wald ratio,1,-0.621,0.154,0.537,5.48E-05,NA,NA,NA,0.974884239
ZNHIT3,Brain Cortex,OCD,Wald ratio,1,-0.639,0.158,0.528,5.48E-05,NA,NA,NA,0.974884239
ASB2,Brain Cortex,OCD,Wald ratio,1,2.035,0.547,7.654,0.000199,NA,NA,NA,0.934456602
USP20,Brain Cortex,OCD,Wald ratio,1,-1.46,0.411,0.232,0.000381,NA,NA,NA,0.897940337
FIP1L1,Brain Cortex,OCD,Wald ratio,1,0.579,0.163,1.785,0.000396,NA,NA,NA,0.896977454
TTC40,Brain Cortex,OCD,Inverse variance weighted,2,0.388,0.11,1.474,0.000439,NA,0.328318438,NA,0.130179107
MRC1,Brain Cortex,OCD,Wald ratio,1,0.602,0.171,1.825,0.000443,NA,NA,NA,0.849951509
SLC39A12,Brain Cortex,OCD,Wald ratio,1,-0.102,0.029,0.903,0.000443,NA,NA,NA,0.850409529
CSGALNACT2,Brain Cortex,OCD,Wald ratio,1,-0.234,0.067,0.792,0.000506,NA,NA,NA,0.85444369
LAMTOR5-AS1,Brain Cortex,OCD,Wald ratio,1,-0.268,0.078,0.765,0.000559,NA,NA,NA,0.819916694
PLEC,Brain Cortex,OCD,Wald ratio,1,0.493,0.144,1.638,0.000622,NA,NA,NA,0.816131824
AC107294.2,Brain Cortex,OCD,Wald ratio,1,-1.652,0.484,0.192,0.000651,NA,NA,NA,0.809016884
RP11-329B9.4,Brain Cortex,OCD,Wald ratio,1,0.215,0.063,1.24,0.000651,NA,NA,NA,0.809052387
GRM3,Brain Cortex,OCD,Wald ratio,1,-0.353,0.104,0.702,0.000661,NA,NA,NA,0.798567063
AP2B1,Brain Cortex,OCD,Wald ratio,1,0.435,0.128,1.545,0.00068,NA,NA,NA,0.789502658
ZNF529,Brain Cortex,OCD,Wald ratio,1,-0.32,0.095,0.726,0.00076,NA,NA,NA,0.776190687
ZNF567,Brain Cortex,OCD,Wald ratio,1,0.143,0.042,1.154,0.00076,NA,NA,NA,0.776190687
ZNF382,Brain Cortex,OCD,Wald ratio,1,1.175,0.349,3.239,0.00076,NA,NA,NA,0.776190687
LINC01534,Brain Cortex,OCD,Wald ratio,1,1.143,0.34,3.137,0.00076,NA,NA,NA,0.776190687
ZNF529-AS1,Brain Cortex,OCD,Wald ratio,1,1.187,0.353,3.278,0.00076,NA,NA,NA,0.776190687
DDX41,Brain Cortex,OCD,Wald ratio,1,1.016,0.302,2.761,0.000762,NA,NA,NA,0.83865258
PCDH7,Brain Cortex,OCD,Wald ratio,1,0.315,0.094,1.37,0.000785,NA,NA,NA,0.7785505
ARL6IP4,Brain Cortex,OCD,Wald ratio,1,0.108,0.032,1.114,0.000876,NA,NA,NA,0.761728897
OGFOD2,Brain Cortex,OCD,Wald ratio,1,-1.238,0.372,0.29,0.000876,NA,NA,NA,0.761728897
PITPNM2,Brain Cortex,OCD,Wald ratio,1,-1.914,0.575,0.147,0.000876,NA,NA,NA,0.755472125
C12orf65,Brain Cortex,OCD,Wald ratio,1,-0.44,0.132,0.644,0.000876,NA,NA,NA,0.760835021
MPHOSPH9,Brain Cortex,OCD,Wald ratio,1,-1.31,0.394,0.27,0.000876,NA,NA,NA,0.761728897
ABCB9,Brain Cortex,OCD,Wald ratio,1,0.386,0.116,1.472,0.000876,NA,NA,NA,0.76170368
