"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"MYLK","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.071","0.016","1.073","9.88e-06",NA,NA,NA,0.98802887
"CD40","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.051","0.015","1.052","5.34e-04",NA,NA,NA,0.643699522
"SYDE1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.067","0.021","0.935","1.10e-03",NA,NA,NA,0.029881222
"ALDH16A1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.044","0.014","0.957","1.93e-03",NA,NA,NA,0.396644036
"DHX38","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.063","0.021","0.939","2.70e-03",NA,NA,NA,0.014236201
"TRMT61B","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.039","0.013","1.039","2.79e-03",NA,NA,NA,0.28852693
"RMDN1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.033","0.011","1.034","3.06e-03",NA,NA,NA,0.295908105
"MANBA","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.038","0.014","1.039","5.31e-03",NA,NA,NA,0.192497146
"ALPL","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.058","0.021","0.944","5.34e-03",NA,NA,NA,0.008702342
"TARS","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.084","0.030","1.087","6.04e-03",NA,NA,NA,0.020434019
"C14orf159","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.024","0.009","0.977","7.73e-03",NA,NA,NA,0.147966444
"MCCC1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.057","0.022","0.944","9.29e-03",NA,NA,NA,0.010193067
"PSMB7","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.098","0.040","0.906","1.40e-02",NA,NA,NA,0.212614407
"IQCB1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.032","0.013","0.968","1.64e-02",NA,NA,NA,0.088377316
"IMMT","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.042","0.018","0.958","1.68e-02",NA,NA,NA,0.073741678
"LTA4H","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.098","0.041","1.103","1.83e-02",NA,NA,NA,0.022997347
"MTAP","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.094","0.040","1.098","2.05e-02",NA,NA,NA,0.023064016
"DLG1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.046","0.020","1.047","2.15e-02",NA,NA,NA,0.063088815
"PLEKHA7","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.042","0.018","0.959","2.21e-02",NA,NA,NA,0.044759556
"BRD3","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.046","0.020","1.047","2.44e-02",NA,NA,NA,0.007933892
"KHK","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.037","0.016","0.964","2.60e-02",NA,NA,NA,0.039094672
"SLC25A1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.081","0.039","1.084","3.69e-02",NA,NA,NA,0.00306543
"DCP1B","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.041","0.020","1.042","3.80e-02",NA,NA,NA,0.008754453
"CHMP2B","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.058","0.028","0.944","3.96e-02",NA,NA,NA,0.007841379
"CHMP1A","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.042","0.021","0.959","4.11e-02",NA,NA,NA,0.009306011
"ALDH7A1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.044","0.022","1.045","4.12e-02",NA,NA,NA,0.033167071
"TMEM143","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.045","0.023","1.046","4.55e-02",NA,NA,NA,0.00048114
"MON2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.041","0.021","1.042","4.55e-02",NA,NA,NA,0.032200085
"MLH1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.052","0.026","0.950","4.66e-02",NA,NA,NA,0.001354213
"HDDC3","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.035","0.018","1.036","4.97e-02",NA,NA,NA,0.01783273
"FAHD1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.029","0.015","0.971","5.11e-02",NA,NA,NA,0.038894194
"VAMP4","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.034","0.018","1.035","5.30e-02",NA,NA,NA,0.002346201
"SLC1A5","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.058","0.030","0.944","5.78e-02",NA,NA,NA,0.008145253
"MDH2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.023","0.012","0.977","5.84e-02",NA,NA,NA,0.02948727
"PROSC","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.072","0.038","0.931","5.95e-02",NA,NA,NA,0.005166442
"MRI1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.031","0.016","1.031","6.11e-02",NA,NA,NA,0.030574229
"METTL18","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.026","0.014","1.027","6.12e-02",NA,NA,NA,0.038717583
"MZT2A","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.037","0.020","0.963","6.13e-02",NA,NA,NA,0.002906846
