"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SMARCA2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.190","0.035","1.209","7.22e-08",NA,NA,NA,0.924579999
"LRRC27","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.120","0.026","0.887","3.80e-06",NA,NA,NA,0.95732178
"LINC01088","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.052","0.011","1.053","5.14e-06",NA,NA,NA,0.645913719
"PITPNM2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.078","0.018","0.925","1.19e-05",NA,NA,NA,0.028116258
"CDH8","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.089","0.022","1.093","6.51e-05",NA,NA,NA,0.013444061
"RPL5P28","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.166","0.042","0.847","6.56e-05",NA,NA,NA,0.942927538
"TOX3","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.059","0.015","0.942","1.12e-04",NA,NA,NA,0.002269333
"IGF1R","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.055","0.014","0.946","1.22e-04",NA,NA,NA,0.05271347
"PRICKLE2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.067","0.018","0.935","1.66e-04",NA,NA,NA,0.040516392
"DPP10","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.179","0.048","1.196","2.05e-04",NA,NA,NA,0.818684349
"ARHGEF7","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.121","0.033","1.128","2.11e-04",NA,NA,NA,0.813575342
"PRKCA","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.051","0.014","0.950","2.11e-04",NA,NA,NA,0.17613012
"PARN","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.097","0.026","1.102","2.42e-04",NA,NA,NA,0.002767624
"RNF123","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.080","0.022","1.083","2.71e-04",NA,NA,NA,0.001350589
"CNN3","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.048","0.014","0.953","4.47e-04",NA,NA,NA,0.69113454
"ASPM","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.052","0.015","0.949","4.47e-04",NA,NA,NA,0.009114435
"TBX20","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.138","0.041","0.872","8.79e-04",NA,NA,NA,0.423044105
"COL11A1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.051","0.015","0.951","9.52e-04",NA,NA,NA,0.000832552
"HSF2BP","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.043","0.013","0.958","1.14e-03",NA,NA,NA,0.000375038
"PSKH2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.253","0.078","0.776","1.19e-03",NA,NA,NA,0.463873215
"LINC00698","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.040","0.012","1.040","1.33e-03",NA,NA,NA,0.005569234
"LINC01478","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.047","0.015","0.954","1.53e-03",NA,NA,NA,0.002418966
"FAM179A","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.046","0.015","0.955","1.69e-03",NA,NA,NA,0.000890388
"KBTBD8","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.078","0.025","1.081","1.77e-03",NA,NA,NA,0.000795667
"PHC2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.045","0.014","0.956","2.07e-03",NA,NA,NA,0.007778527
"DOCK4","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.056","0.018","0.945","2.16e-03",NA,NA,NA,0.000151213
"LINGO2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.047","0.015","1.048","2.21e-03",NA,NA,NA,0.001362258
"UFD1L","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.053","0.017","0.948","2.36e-03",NA,NA,NA,0.000588245
"RNY1P1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.212","0.070","0.809","2.37e-03",NA,NA,NA,0.493633332
"RNU6-812P","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.152","0.051","0.859","2.62e-03",NA,NA,NA,0.193434735
"LINC01559","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.057","0.019","1.059","2.63e-03",NA,NA,NA,0.000267556
"LMO4","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.036","0.012","0.965","2.70e-03",NA,NA,NA,0.296960899
"CEBPE","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.051","0.017","1.052","2.70e-03",NA,NA,NA,0.000106646
"TTC21A","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.073","0.025","0.930","3.14e-03",NA,NA,NA,0.002458922
"PKP4","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.041","0.014","0.960","3.21e-03",NA,NA,NA,0.000178767
"SEMA6D","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.140","0.048","1.150","3.45e-03",NA,NA,NA,0.298054665
"CIZ1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.037","0.013","0.964","4.17e-03",NA,NA,NA,0.0007821
"FAM227A","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.034","0.012","0.966","4.45e-03",NA,NA,NA,0.000714784
"FEZ2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.041","0.014","0.960","4.86e-03",NA,NA,NA,0.035625101
"DERA","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.099","0.035","0.906","5.11e-03",NA,NA,NA,0.012292026
"ZNF57","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.070","0.025","1.072","5.22e-03",NA,NA,NA,0.000296898
"CYCSP17","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.128","0.046","0.880","5.28e-03",NA,NA,NA,0.187010115
"TMCC2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.041","0.015","1.042","5.29e-03",NA,NA,NA,0.000252233
"LINC00520","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.044","0.016","0.957","5.36e-03",NA,NA,NA,0.000108748
"FAM189A2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.042","0.015","0.959","5.63e-03",NA,NA,NA,0.000236958
"NBAS","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.084","0.030","0.920","5.66e-03",NA,NA,NA,0.000896544
"SUMO1P2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.070","0.025","1.072","5.73e-03",NA,NA,NA,0.00053174
"DNAH9","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.108","0.039","0.897","5.74e-03",NA,NA,NA,0.000586069
"NRCAM","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.036","0.013","0.964","6.24e-03",NA,NA,NA,0.001697408
"WDPCP","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.060","0.022","0.942","6.64e-03",NA,NA,NA,0.000186718
"C15orf53","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.045","0.017","1.046","7.05e-03",NA,NA,NA,0.000753342
"UNC5CL","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.123","0.046","0.884","7.42e-03",NA,NA,NA,0.000497666
"METTL4","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.102","0.039","1.108","8.15e-03",NA,NA,NA,0.021818048
"SLC25A21","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.069","0.026","0.934","8.30e-03",NA,NA,NA,6.13e-05
"HELZ","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.098","0.038","1.103","9.27e-03",NA,NA,NA,0.0003452
"LINC01264","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.051","0.020","0.951","9.73e-03",NA,NA,NA,0.000112149
"TBC1D4","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.177","0.069","0.838","1.00e-02",NA,NA,NA,0.000829352
"MFSD14A","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.121","0.047","0.886","1.02e-02",NA,NA,NA,0.000397664
"ZHX3","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.061","0.024","0.941","1.06e-02",NA,NA,NA,8.41e-05
"SP100","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.042","0.016","0.959","1.07e-02",NA,NA,NA,0.000431729
"DSC3","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.041","0.016","1.042","1.18e-02",NA,NA,NA,0.000305491
"ARHGAP21","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.040","0.016","1.041","1.19e-02",NA,NA,NA,6.94e-05
"ACTR3B","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.038","0.015","0.962","1.22e-02",NA,NA,NA,4.35e-05
"RNU6-138P","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.149","0.060","0.861","1.25e-02",NA,NA,NA,0.007350674
"CYP4X1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.095","0.038","1.100","1.26e-02",NA,NA,NA,0.012784529
"TMC2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.064","0.026","0.938","1.30e-02",NA,NA,NA,0.005019372
"ANKRD50","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.051","0.021","0.950","1.31e-02",NA,NA,NA,0.000299301
"CD101","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.088","0.036","1.092","1.36e-02",NA,NA,NA,0.00288284
"KSR1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.036","0.015","1.037","1.38e-02",NA,NA,NA,2.72e-05
"IFIT1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.098","0.040","0.907","1.39e-02",NA,NA,NA,0.029455436
"PRKRIR","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.098","0.040","0.907","1.43e-02",NA,NA,NA,0.000319143
"LINC01115","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.064","0.026","0.938","1.44e-02",NA,NA,NA,0.000654894
"LINC00492","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.065","0.027","1.068","1.44e-02",NA,NA,NA,0.000320209
"CDK14","Stem-cell-iPSC","ADHD","Weighted median",3,"-0.039","0.016","0.961","1.44e-02",0.052276214,0.137237937,0.854037577,0.000285599
"ESCO1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.097","0.040","1.102","1.45e-02",NA,NA,NA,0.000543322
"ASTN2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.066","0.027","0.936","1.46e-02",NA,NA,NA,0.011036889
"TRIM42","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.034","0.014","0.966","1.62e-02",NA,NA,NA,0.000677067
"HAGLROS","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.043","0.018","0.958","1.63e-02",NA,NA,NA,7.09e-05
"GRK5","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.041","0.017","0.960","1.64e-02",NA,NA,NA,7.13e-05
"RPL17P45","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.041","0.017","1.042","1.66e-02",NA,NA,NA,0.000398396
"RIMS2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.034","0.014","0.966","1.67e-02",NA,NA,NA,0.001750012
"FAM78B","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.050","0.021","0.951","1.68e-02",NA,NA,NA,9.91e-05
"MED30","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.039","0.016","1.040","1.68e-02",NA,NA,NA,0.000667819
"MIR1202","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.034","0.014","1.034","1.73e-02",NA,NA,NA,0.000234053
"KIAA1429","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.070","0.029","1.072","1.76e-02",NA,NA,NA,0.000298
"RPL23AP22","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.085","0.036","1.089","1.77e-02",NA,NA,NA,0.07209401
"RPSAP12","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.048","0.020","0.953","1.80e-02",NA,NA,NA,0.000136672
"KCNMB2","Stem-cell-iPSC","ADHD","Inverse variance weighted",2," 0.070","0.030","1.073","1.94e-02",NA,0.526431536,NA,0.003736107
"MEGF11","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.036","0.016","1.037","1.98e-02",NA,NA,NA,4.16e-05
"PDIA5","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.041","0.018","0.960","1.99e-02",NA,NA,NA,0.000526936
"GC","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.036","0.015","1.037","2.00e-02",NA,NA,NA,2.99e-05
"LINC01588","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.077","0.033","1.080","2.05e-02",NA,NA,NA,0.003088721
"CDKAL1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.091","0.039","1.095","2.06e-02",NA,NA,NA,0.000294717
"ARPP21","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.039","0.017","1.040","2.10e-02",NA,NA,NA,0.000466091
"LSM1P2","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.044","0.019","1.045","2.15e-02",NA,NA,NA,6.44e-05
"ENDOD1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.064","0.028","0.938","2.26e-02",NA,NA,NA,0.059554257
"KRT18P17","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.029","0.013","0.971","2.33e-02",NA,NA,NA,0.001864196
"ASAP1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.079","0.035","1.083","2.34e-02",NA,NA,NA,5.08e-05
"DIO2","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.038","0.017","0.962","2.39e-02",NA,NA,NA,0.000107904
"MKL1","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.071","0.032","0.932","2.46e-02",NA,NA,NA,0.00170818
"TSKU","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.046","0.020","1.047","2.47e-02",NA,NA,NA,0.039382259
"KCNH1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.032","0.014","1.033","2.52e-02",NA,NA,NA,0.000104374
"XPR1","Stem-cell-iPSC","ADHD","Wald ratio",1," 0.035","0.016","1.035","2.54e-02",NA,NA,NA,0.000647548
"PEPD","Stem-cell-iPSC","ADHD","Wald ratio",1,"-0.032","0.015","0.968","2.62e-02",NA,NA,NA,0.066133884
