"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CEACAM19","Inhibitory neurons","ALZ","Wald ratio",1,-3.843,0.092,0.021,0,NA,NA,NA,0.088957267
"ZNF226","OPCs / COPs","ALZ","Wald ratio",1,3.534,0.041,34.274,0,NA,NA,NA,0.090941
"QPCTL","Pericytes","ALZ","Wald ratio",1,-1.602,0.042,0.202,0,NA,NA,NA,0.09056186
"VASP","Endothelial cells","ALZ","Wald ratio",1,-2.167,0.032,0.115,0,NA,NA,NA,0.090123673
"DMPK","OPCs / COPs","ALZ","Wald ratio",1,1.59,0.043,4.903,1.6e-296,NA,NA,NA,0.282168673
"MARK4","OPCs / COPs","ALZ","Wald ratio",1,1.335,0.04,3.798,1.36e-242,NA,NA,NA,0.203919996
"DMWD","Astrocytes","ALZ","Wald ratio",1,-1.806,0.054,0.164,4.56e-241,NA,NA,NA,0.08614472
"ZNF227","Endothelial cells","ALZ","Wald ratio",1,-1.015,0.031,0.362,8.54e-235,NA,NA,NA,0.088857152
"PPP1R13L","Inhibitory neurons","ALZ","Wald ratio",1,1.22,0.039,3.388,3.1e-218,NA,NA,NA,0.087927432
"BCL3","Pericytes","ALZ","Wald ratio",1,1.006,0.036,2.736,1.93e-168,NA,NA,NA,0.088283184
"ZNF296","Astrocytes","ALZ","Wald ratio",1,-1.272,0.046,0.28,7.6e-165,NA,NA,NA,0.089570702
"RELB","Microglia","ALZ","Wald ratio",1,1.415,0.052,4.118,1.48e-160,NA,NA,NA,0.090164509
"NECTIN2","Astrocytes","ALZ","Wald ratio",1,1.421,0.053,4.143,1.48e-160,NA,NA,NA,0.087664403
"BCAM","Astrocytes","ALZ","Wald ratio",1,-2.283,0.086,0.102,2.65e-154,NA,NA,NA,0.095033251
"FBXO46","Inhibitory neurons","ALZ","Wald ratio",1,0.9,0.045,2.459,1.15e-87,NA,NA,NA,0.08957298
"ZNF235","Endothelial cells","ALZ","Wald ratio",1,-0.894,0.049,0.409,1.06e-75,NA,NA,NA,0.090416525
"RELB","Endothelial cells","ALZ","Wald ratio",1,0.648,0.036,1.913,5.7e-73,NA,NA,NA,0.090419883
"ZNF227","Astrocytes","ALZ","Wald ratio",1,-0.669,0.039,0.512,7.28e-65,NA,NA,NA,0.089690478
"ZNF155","Astrocytes","ALZ","Wald ratio",1,0.837,0.051,2.308,3.94e-61,NA,NA,NA,0.089160621
"AC245748.1","Inhibitory neurons","ALZ","Wald ratio",1,0.672,0.041,1.958,2.94e-60,NA,NA,NA,0.088830604
"ZNF230","Oligodendrocytes","ALZ","Wald ratio",1,-1.033,0.064,0.356,3.46e-58,NA,NA,NA,0.09047891
"ERCC2","Oligodendrocytes","ALZ","Wald ratio",1,-0.975,0.061,0.377,3.46e-58,NA,NA,NA,0.088547037
"BIN1","Microglia","ALZ","Wald ratio",1,0.335,0.024,1.397,1.31e-45,NA,NA,NA,0.922528967
"PVR","Endothelial cells","ALZ","Wald ratio",1,-0.614,0.052,0.541,1.72e-32,NA,NA,NA,0.090427673
"PPM1N","Inhibitory neurons","ALZ","Wald ratio",1,0.456,0.038,1.578,1.72e-32,NA,NA,NA,0.089847647
"PPP1R13L","Excitatory neurons","ALZ","Wald ratio",1,0.556,0.047,1.743,1.08e-31,NA,NA,NA,0.089851649
"ZNF45","Excitatory neurons","ALZ","Wald ratio",1,-0.452,0.041,0.636,1.1e-27,NA,NA,NA,0.104596296
"PICALM","Microglia","ALZ","Wald ratio",1,-0.239,0.023,0.787,1.07e-24,NA,NA,NA,0.999852622
"CR1","Pericytes","ALZ","Wald ratio",1,0.209,0.02,1.232,1.43e-24,NA,NA,NA,0.091042265
